"Time","v3 L COP","v1 xCoM","v2 R COP","37a CoMy (cm)","70 RDS cle","34 FRx (cm)","29 HRx (cm)","71 LDS cle","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.000,0.000000,6.295535,0.000000,-0.139185,1,18.991541,14.027985,1,17.088037,11.978418,0.00003,0.09540
0.001,0.000000,6.296481,0.000000,-0.133346,1,18.992964,14.013832,1,17.073359,12.010668,-0.00003,0.09540
0.002,0.000000,6.296254,0.000000,-0.180086,1,18.993538,14.005865,1,17.063110,12.044237,-0.00015,0.09543
0.003,0.000000,6.295787,0.000000,-0.226826,1,18.994114,13.997897,1,17.052862,12.077806,0.00015,0.09564
0.004,0.000000,6.294236,0.000000,-0.273566,1,18.994690,13.989930,1,17.042614,12.111376,0.00009,0.09552
0.005,0.000000,6.292499,0.000000,-0.324900,1,18.995024,13.980669,1,17.032328,12.146349,-0.00009,0.09522
0.006,0.000000,6.289922,0.000000,-0.418519,1,18.993143,13.959498,1,17.021708,12.194238,0.00012,0.09503
0.007,0.000000,6.287133,0.000000,-0.512139,1,18.991261,13.938329,1,17.011086,12.242126,0.00006,0.09542
0.008,0.000000,6.283383,0.000000,-0.605758,1,18.989378,13.917159,1,17.000465,12.290015,0.00012,0.09555
0.009,0.000000,6.279455,0.000000,-0.700413,1,18.988380,13.897404,1,16.990288,12.337862,0.00015,0.09531
0.010,0.000000,6.274715,0.000000,-0.804607,1,18.995527,13.890674,1,16.984194,12.385325,0.00027,0.09494
0.011,0.000000,6.270024,0.000000,-0.908801,1,19.002674,13.883943,1,16.978100,12.432789,0.00024,0.09536
0.012,0.000000,6.265549,0.000000,-1.012995,1,19.009821,13.877212,1,16.972006,12.480252,0.00027,0.09543
0.013,0.000000,6.261302,0.000000,-1.113264,1,19.016689,13.870194,1,16.965231,12.525384,0.00027,0.09558
0.014,0.000000,6.258087,0.000000,-1.177408,1,19.020998,13.860538,1,16.952188,12.549047,0.00012,0.09540
0.015,0.000000,6.255030,0.000000,-1.241553,1,19.025305,13.850883,1,16.939144,12.572709,0.00012,0.09501
0.016,0.000000,6.252684,0.000000,-1.305697,1,19.029613,13.841228,1,16.926102,12.596372,0.00000,0.09530
0.017,0.000000,6.250415,0.462384,-1.363163,1,19.032728,13.831231,1,16.913393,12.620652,0.00021,0.09558
0.018,0.000000,6.248495,3.031184,-1.359152,1,19.024872,13.818090,1,16.903751,12.650617,0.00012,0.09558
0.019,0.000000,6.246737,5.138258,-1.355141,1,19.017014,13.804950,1,16.894110,12.680582,0.00012,0.09519
0.020,0.000000,6.245718,5.141917,-1.351130,1,19.009155,13.791809,1,16.884468,12.710546,0.00012,0.09515
0.021,0.000000,6.244946,5.145447,-1.339224,1,19.002726,13.778415,1,16.874493,12.739631,0.00009,0.09555
0.022,0.000000,6.245301,5.148395,-1.254658,1,19.009439,13.762691,1,16.861450,12.760607,0.00012,0.09558
0.023,0.000000,6.245897,5.151156,-1.170091,1,19.016153,13.746968,1,16.848410,12.781584,-0.00003,0.09549
0.024,0.000000,6.247588,5.153071,-1.085525,1,19.022869,13.731244,1,16.835367,12.802561,0.00040,0.09534
0.025,0.000000,6.249526,5.154808,-0.995490,1,19.027763,13.716442,1,16.822250,12.824293,0.00018,0.09549
0.026,0.000000,6.252594,5.155726,-0.855123,1,19.015902,13.710118,1,16.808428,12.852984,0.00018,0.09585
0.027,0.000000,6.255964,5.156868,-0.714757,1,19.004042,13.703794,1,16.794607,12.881676,0.00015,0.09598
0.028,0.000000,6.260710,5.159024,-0.574390,1,18.992180,13.697471,1,16.780785,12.910367,-0.00006,0.09577
0.029,0.000000,6.265707,5.161670,-0.431641,1,18.981148,13.690469,1,16.767239,12.938950,-0.00009,0.09561
0.030,0.000000,6.271845,5.166547,-0.266956,1,18.977739,13.677224,1,16.756226,12.966538,0.00009,0.09606
0.031,0.000000,6.278018,5.171062,-0.102270,1,18.974331,13.663980,1,16.745214,12.994127,0.00024,0.09622
0.032,0.000000,6.284354,5.173928,0.062415,1,18.970922,13.650735,1,16.734201,13.021716,0.00015,0.09598
