"Time","60 right DS","59 left DS","v3 L COP","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)","24 toey (cm)","16 Hipy (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0.000000,0.000000,6.870777,6.781906,6.565061,5.797608,7.401361,5.313884,7.597301,8.384818,9.818984,1.47442,0.09906,3.27656
0.001,0,0,0.000000,0.000000,6.882419,6.824865,6.571701,5.792337,7.402226,5.316076,7.597860,8.384902,9.822887,1.47926,0.09885,3.27740
0.002,0,0,0.000000,0.000000,6.893888,6.867826,6.578340,5.787066,7.403091,5.318268,7.598421,8.384987,9.826791,1.46985,0.09876,3.27777
0.003,0,0,0.000000,0.000000,6.905188,6.910786,6.584980,5.781796,7.403956,5.320460,7.598980,8.385071,9.830694,1.47883,0.09900,3.27746
0.004,0,0,0.000000,0.000000,6.916169,6.975813,6.591494,5.778528,7.404745,5.322126,7.599440,8.384248,9.834412,1.47818,0.09896,3.27709
0.005,0,0,0.000000,0.000000,6.926837,7.071066,6.597837,5.778002,7.405429,5.323071,7.599762,8.382183,9.837873,1.48191,0.09863,3.27664
0.006,0,0,0.000000,0.000000,6.937027,7.166319,6.604179,5.777476,7.406113,5.324016,7.600084,8.380117,9.841333,1.48237,0.09846,3.27681
0.007,0,0,0.000000,0.000000,6.946747,7.261573,6.610522,5.776950,7.406796,5.324960,7.600407,8.378053,9.844794,1.48239,0.09874,3.27788
0.008,0,0,0.000000,0.000000,6.955860,7.370238,6.616612,5.778135,7.407496,5.324743,7.600807,8.378185,9.848545,1.48200,0.09873,3.27812
0.009,0,0,0.000000,0.000000,6.964374,7.497272,6.622358,5.781663,7.408219,5.322935,7.601315,8.381329,9.852693,1.48138,0.09840,3.27721
0.010,0,0,0.000000,0.000000,6.972318,7.624308,6.628103,5.785192,7.408942,5.321126,7.601822,8.384471,9.856839,1.48555,0.09833,3.27667
0.011,0,0,0.000000,0.000000,6.979701,7.751342,6.633848,5.788721,7.409664,5.319317,7.602330,8.387614,9.860987,1.48362,0.09850,3.27667
0.012,0,0,0.000000,0.000000,6.986656,7.874279,6.639325,5.791342,7.410218,5.318180,7.602870,8.389246,9.863545,1.48439,0.09836,3.27670
0.013,0,0,0.000000,0.000000,6.993188,7.991600,6.644435,5.792722,7.410540,5.317962,7.603457,8.388807,9.863931,1.48121,0.09813,3.27678
0.014,0,0,0.000000,0.000000,6.999295,8.108922,6.649545,5.794101,7.410861,5.317744,7.604044,8.388369,9.864316,1.48287,0.09791,3.27667
