"Time","v3 L COP","v1 xCoM","v2 R COP","37a CoMy (cm)","70 RDS cle","34 FRx (cm)","29 HRx (cm)","71 LDS cle","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.000,0.000000,6.394731,0.000000,-4.233754,0,14.900438,12.174535,0,14.641206,9.541461,-0.48048,0.09792
0.001,0.000000,6.383327,0.000000,-4.417559,0,14.936382,12.153983,0,14.630787,9.529351,-0.50588,0.09812
0.002,0.000000,6.371890,0.000000,-4.611413,0,14.962505,12.129782,0,14.621656,9.518357,-0.53044,0.09798
0.003,0.000000,6.360639,0.000000,-4.805267,0,14.988629,12.105581,0,14.612526,9.507363,-0.56683,0.09813
0.004,0.000000,6.349485,0.000000,-4.999121,0,15.014752,12.081380,0,14.603395,9.496369,-0.60425,0.09853
0.005,0.000000,6.338346,0.000000,-5.166327,0,15.041013,12.064722,0,14.594088,9.482840,-0.62556,0.09851
0.006,0.000000,6.327215,0.000000,-5.313754,0,15.067375,12.053661,0,14.584650,9.467429,-0.65144,0.09846
0.007,0.000000,6.316247,0.000000,-5.461181,0,15.093738,12.042601,0,14.575212,9.452018,-0.67180,0.09882
0.008,0.000000,6.305365,0.000000,-5.608608,0,15.120100,12.031540,0,14.565773,9.436607,-0.69490,0.09902
0.009,0.000000,6.295276,0.000000,-5.708736,0,15.138238,12.019235,0,14.549515,9.425817,-0.72864,0.09884
0.010,0.000000,6.285603,0.000000,-5.773763,0,15.150271,12.006007,0,14.528194,9.418456,-0.76334,0.09889
0.011,0.000000,6.277005,0.000000,-5.838789,0,15.162305,11.992780,0,14.506875,9.411096,-0.78341,0.09916
0.012,0.000000,6.268971,0.000000,-5.903815,0,15.174338,11.979552,0,14.485555,9.403734,-0.80639,0.09916
0.013,0.000000,6.261896,0.000000,-5.901483,0,15.186333,11.965775,0,14.467959,9.395552,-0.82720,0.09906
0.014,0.000000,6.255324,0.000000,-5.849160,0,15.198298,11.951590,0,14.453129,9.386761,-0.84831,0.09913
0.015,0.000000,6.249930,0.000000,-5.796837,0,15.210262,11.937405,0,14.438297,9.377969,-0.88151,0.09936
