"Time","69 L mark","68 R mark","67 sinus","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 rFLswoff","57 rFLswon","56 lFLswoff","55 lFLswon","54 rHLswoff","53 rHLswon","52 lHLswoff","51 lHLswon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v1 xCoM","37a CoMy (cm)","v2 R COP","37 CoMy (cm)","36 CoMx (cm)","70 RDS cle","35 FRy (cm)","34 FRx (cm)","29 HRx (cm)","30 HRy (cm)","v3 L COP","71 LDS cle","33 FLy (cm)","31 Keyboard","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.495056,60.828888,90.418175,25.539740,6.394731,-4.233754,0.000000,6.595171,12.960312,0,5.687725,14.900438,12.174535,4.994663,0.000000,0,7.197749,0,14.641206,6.463060,9.541461,8.363928,14.894733,8.121833,12.488231,8.197907,11.867264,8.562827,11.216802,9.342049,12.474923,10.546821,11.758120,10.063600,12.470756,0,-0.01512,0.00403,-0.01849,-0.01298,0.00457,-0.01111,0.00505,0.00042,-0.48048,0.09792,3.27698
0.001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.350952,60.701267,90.199852,25.831024,6.383327,-4.417559,0.000000,6.592097,12.958543,0,5.695422,14.936382,12.153983,4.991035,0.000000,0,7.195694,0,14.630787,6.462266,9.529351,8.374821,14.922888,8.117415,12.466317,8.195476,11.850842,8.562419,11.203999,9.334342,12.465912,10.539270,11.749360,10.058014,12.462905,0,-0.01462,-0.00135,-0.02656,-0.01392,0.01041,-0.01250,0.00429,0.01469,-0.50588,0.09812,3.27689
0.002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.108841,60.500931,90.047508,26.234570,6.371890,-4.611413,0.000000,6.588246,12.957324,0,5.702427,14.962505,12.129782,4.987411,0.000000,0,7.193631,0,14.621656,6.461390,9.518357,8.377973,14.943674,8.117021,12.443844,8.195327,11.835666,8.564113,11.191613,9.326640,12.456590,10.533482,11.740982,10.054322,12.455796,0,-0.01328,0.00298,-0.02160,-0.01423,0.01143,-0.01238,-0.00317,0.01897,-0.53044,0.09798,3.27674
0.003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.866730,60.300598,89.895164,26.638115,6.360639,-4.805267,0.000000,6.584396,12.956106,0,5.709432,14.988629,12.105581,4.983788,0.000000,0,7.191568,0,14.612526,6.460513,9.507363,8.381125,14.964459,8.116626,12.421371,8.195178,11.820489,8.565807,11.179228,9.318937,12.447268,10.527692,11.732605,10.050631,12.448688,0,-0.01730,0.00898,-0.02250,-0.01299,0.00798,-0.01162,0.00390,0.00933,-0.56683,0.09813,3.27710
0.004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.624603,60.100262,89.742813,27.041660,6.349485,-4.999121,0.000000,6.580546,12.954887,0,5.716437,15.014752,12.081380,4.980165,0.000000,0,7.189504,0,14.603395,6.459636,9.496369,8.384278,14.985245,8.116231,12.398897,8.195029,11.805311,8.567501,11.166842,9.311235,12.437944,10.521902,11.724227,10.046939,12.441579,0,-0.01960,0.00259,-0.02125,-0.01125,0.00653,-0.01232,0.00853,0.00082,-0.60425,0.09853,3.27787
0.005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.449982,59.812695,89.701904,27.542440,6.338346,-5.166327,0.000000,6.573747,12.952222,0,5.723445,15.041013,12.064722,4.976368,0.000000,0,7.187601,0,14.594088,6.458910,9.482840,8.389723,15.018676,8.114258,12.385092,8.191021,11.794355,8.566621,11.153151,9.303061,12.427595,10.515766,11.717800,10.044360,12.436511,0,-0.01869,0.00152,-0.02089,-0.01455,0.01012,-0.01198,0.00455,0.00170,-0.62556,0.09851,3.27794
0.006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.325424,59.460384,89.743698,28.115381,6.327215,-5.313754,0.000000,6.564759,12.948482,0,5.730455,15.067375,12.053661,4.972443,0.000000,0,7.185815,0,14.584650,6.458295,9.467429,8.396869,15.061492,8.111112,12.377721,8.184149,11.786532,8.563829,11.138488,9.294535,12.416484,10.509374,11.712820,10.042608,12.432958,0,-0.01848,0.00144,-0.01951,-0.01392,0.00862,-0.01324,0.00598,0.00128,-0.65144,0.09846,3.27748
0.007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.200867,59.108074,89.785492,28.688324,6.316247,-5.461181,0.000000,6.555772,12.944741,0,5.737465,15.093738,12.042601,4.968517,0.000000,0,7.184030,0,14.575212,6.457680,9.452018,8.404016,15.104308,8.107965,12.370349,8.177276,11.778709,8.561037,11.123825,9.286009,12.405372,10.502981,11.707840,10.040855,12.429404,0,-0.01700,0.00365,-0.02032,-0.01474,0.00729,-0.01217,0.00687,0.00209,-0.67180,0.09882,3.27720
0.008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.076309,58.755768,89.827278,29.261265,6.305365,-5.608608,0.000000,6.546784,12.941002,0,5.744475,15.120100,12.031540,4.964592,0.000000,0,7.182244,0,14.565773,6.457065,9.436607,8.411161,15.147123,8.104819,12.362978,8.170403,11.770886,8.558246,11.109162,9.277483,12.394260,10.496589,11.702860,10.039104,12.425851,0,-0.01900,0.00379,-0.01915,-0.01318,0.01166,-0.01258,0.00405,0.00228,-0.69490,0.09902,3.27704
0.009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.185791,58.310665,89.873344,29.778400,6.295276,-5.708736,0.000000,6.540590,12.940770,0,5.745449,15.138238,12.019235,4.960830,0.000000,0,7.180323,0,14.549515,6.455819,9.425817,8.415709,15.176628,8.104111,12.354135,8.168215,11.759335,8.556852,11.094118,9.269146,12.381832,10.491847,11.697793,10.037259,12.422885,0,-0.01732,0.00388,-0.02296,-0.01297,0.00701,-0.01117,0.00460,0.00305,-0.72864,0.09884,3.27711
