"Time","v5 L COP","37a CoMy (cm)","37 CoMy (cm)","v3 xCoM","v4 R COP","67 RDS cle","65 R mark","34 FRx (cm)","29 HRx (cm)","68 LDS cle","66 L mark","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.000,0.000000,-1.038541,4.836442,4.787449,0.000000,1,0,18.535658,15.693033,1,0,19.495832,14.966173,-1.48348,0.10104
0.001,0.000000,-1.049893,4.835430,4.785633,0.000000,1,0,18.521589,15.723252,1,0,19.501463,14.955183,-1.47933,0.10111
0.002,0.000000,-1.061245,4.834417,4.784029,0.000000,1,0,18.507521,15.753471,1,0,19.507092,14.944193,-1.47857,0.10120
0.003,0.000000,-1.072597,4.833404,4.782517,0.000000,1,0,18.493452,15.783689,1,0,19.512722,14.933203,-1.47801,0.10086
0.004,0.000000,-1.071593,4.832064,4.781197,0.000000,1,0,18.479490,15.805622,1,0,19.518572,14.922224,-1.47933,0.10068
0.005,0.000000,-1.062886,4.830520,4.779960,0.000000,1,0,18.465595,15.822388,1,0,19.524559,14.911253,-1.48129,0.10086
0.006,0.000000,-1.054178,4.828976,4.779078,0.000000,1,0,18.451700,15.839154,1,0,19.530546,14.900282,-1.47748,0.10074
0.007,0.000000,-1.045471,4.827432,4.778352,0.000000,1,0,18.437805,15.855920,1,0,19.536535,14.889311,-1.47780,0.10046
0.008,0.000000,-1.028027,4.826401,4.778089,0.000000,1,0,18.420919,15.871003,1,0,19.542625,14.878327,-1.47900,0.10054
0.009,0.000000,-1.005136,4.825689,4.778027,0.000000,1,0,18.402172,15.885037,1,0,19.548782,14.867336,-1.47785,0.10068
0.010,0.000000,-0.982246,4.824977,4.778287,0.000000,1,0,18.383425,15.899072,1,0,19.554937,14.856346,-1.47772,0.10049
0.011,0.000000,-0.959355,4.824265,4.778686,0.000000,1,0,18.364676,15.913106,1,0,19.561094,14.845355,-1.48022,0.10043
0.012,0.000000,-0.925686,4.823350,4.779336,0.000000,1,0,18.353500,15.930317,1,0,19.567919,14.834428,-1.47797,0.10057
0.013,0.000000,-0.885299,4.822310,4.780094,0.000000,1,0,18.347042,15.949509,1,0,19.575163,14.823540,-1.47709,0.10055
0.014,0.000000,-0.844912,4.821270,4.781349,0.000000,1,0,18.340586,15.968699,1,0,19.582407,14.812651,-1.47998,0.10032
0.015,0.000000,-0.804525,4.820229,4.782819,0.000000,1,0,18.334129,15.987891,1,0,19.589651,14.801763,-1.47900,0.10025
0.016,0.000000,-0.745810,4.819636,4.784935,0.000000,1,0,18.327982,16.003071,1,0,19.597237,14.791030,-1.48171,0.10042
0.017,0.000000,-0.675671,4.819323,4.787330,0.000000,1,0,18.322029,16.015753,1,0,19.605038,14.780395,-1.47947,0.10043
0.018,0.000000,-0.605531,4.819010,4.790074,0.000000,1,0,18.316074,16.028433,1,0,19.612839,14.769759,-1.47948,0.10023
0.019,0.000000,-0.535391,4.818696,4.792969,0.000000,1,0,18.310122,16.041115,1,0,19.620640,14.759123,-1.47948,0.10033
0.020,0.000000,-0.460457,4.817989,4.795877,0.000000,1,0,18.300360,16.053850,1,0,19.628878,14.748438,-1.47948,0.10060
0.021,0.000000,-0.382534,4.817036,4.798789,0.000000,1,0,18.288225,16.066620,1,0,19.637392,14.737720,-1.48051,0.10051
0.022,0.000000,-0.304610,4.816082,4.801796,0.000000,1,0,18.276091,16.079388,1,0,19.645905,14.727003,-1.47961,0.10048
0.023,0.000000,-0.226687,4.815129,4.804844,0.000000,1,0,18.263956,16.092157,1,0,19.654417,14.716286,-1.47903,0.10073
0.024,0.000000,-0.141224,4.814502,4.808197,0.000000,1,0,18.250082,16.101301,1,0,19.662712,14.705478,-1.48011,0.10080
0.025,0.000000,-0.051059,4.814079,4.811682,0.000000,1,0,18.235121,16.108183,1,0,19.670872,14.694613,-1.47828,0.10071
0.026,0.000000,0.039105,4.813656,4.815358,0.000000,1,0,18.220161,16.115067,1,0,19.679031,14.683746,-1.47726,0.10088
0.027,0.000000,0.129270,4.813233,4.819116,0.000000,1,0,18.205202,16.121948,1,0,19.687191,14.672881,-1.47875,0.10109
0.028,0.000000,0.210650,4.812966,4.822786,0.000000,1,0,18.190735,16.135546,1,0,19.694010,14.661808,-1.47984,0.10095
0.029,0.000000,0.286554,4.812796,4.826417,0.000000,1,0,18.176577,16.153330,1,0,19.699989,14.650606,-1.47933,0.10105
0.030,0.000000,0.362458,4.812625,4.829879,0.000000,1,0,18.162418,16.171112,1,0,19.705971,14.639403,-1.47842,0.10140
0.031,0.000000,0.438362,4.812455,4.833269,0.000000,1,0,18.148260,16.188896,1,0,19.711952,14.628201,-1.47991,0.10128
0.032,0.000000,0.505501,4.812666,4.836624,0.000000,1,0,18.135942,16.204983,1,0,19.716944,14.616917,-1.47841,0.10134
0.033,0.000000,0.567177,4.813115,4.839964,0.000000,1,0,18.124771,16.220013,1,0,19.721319,14.605580,-1.48292,0.10173
