"Time","64 sinus3","63 Ramp down","62 Ramp up","61 right DS","60 left DS","59 rHL swoff","58 rHL swon","57 lHL swoff","55 rFL swoff","56 lHL swon","54 rFL swon","53 lFL swoff","52 lFL swon","51 sinus2","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v3 xCoM","v4 R COP","36 CoMx (cm)","35 FRy (cm)","67 RDS cle","65 R mark","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v5 L COP","68 LDS cle","66 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v2 Virtual","v1 Virtual"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.314621,21.956411,74.074951,73.294510,0.764322,4.879334,4.915535,0.000000,17.619390,4.522147,0,0,18.796661,6.002245,16.264402,0.000000,0,0,20.490458,0,3.097720,5.593311,14.818064,8.006768,18.711172,8.204208,16.546991,8.305363,15.867933,8.532402,15.280527,8.553043,16.674585,9.895796,16.263247,9.900719,17.209402,0,0.00092,0.00095,0.00220,0.00069,0.00058,0.00072,0.01331,0.00686,1.48429,0.09961,3.27853,,
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.346695,21.929905,74.212257,73.310089,0.796620,4.880440,4.918175,0.000000,17.620525,4.521863,0,0,18.785919,5.999192,16.264977,0.000000,0,0,20.493959,0,3.099158,5.590722,14.806875,8.006005,18.705643,8.202398,16.547739,8.301026,15.862432,8.528029,15.276187,8.549956,16.671967,9.892910,16.261152,9.897523,17.205770,0,0.00093,0.00094,0.00224,0.00070,0.00057,0.00072,0.01271,0.00601,1.48477,0.09973,3.27825,,
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.378754,21.903399,74.349571,73.325668,0.828919,4.881545,4.920862,0.000000,17.621662,4.521578,0,0,18.775177,5.996139,16.265553,0.000000,0,0,20.497461,0,3.100596,5.588132,14.795687,8.005241,18.700111,8.200587,16.548489,8.296691,15.856932,8.523657,15.271848,8.546869,16.669348,9.890024,16.259056,9.894327,17.202139,0,0.00092,0.00086,0.00227,0.00068,0.00058,0.00071,0.01258,0.00617,1.48191,0.09966,3.27748,,
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.559952,21.781572,74.488319,73.330452,0.867322,4.882613,4.923724,0.000000,17.621981,4.521380,0,0,18.763193,5.990611,16.267979,0.000000,0,0,20.501490,0,3.102312,5.585472,14.784437,8.007748,18.685804,8.197017,16.549866,8.293205,15.854777,8.517243,15.270160,8.544210,16.668222,9.887484,16.258268,9.891889,17.200699,0,0.00089,0.00076,0.00226,0.00071,0.00057,0.00071,0.01221,0.00672,1.48503,0.09961,3.27717,,
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.792480,21.626949,74.627563,73.331512,0.907826,4.883669,4.926621,0.000000,17.622021,4.521213,0,0,18.750780,5.984231,16.271040,0.000000,0,0,20.505699,0,3.104124,5.582788,14.773166,8.011378,18.668478,8.192840,16.551458,8.290011,15.853776,8.510127,15.269384,8.541699,16.667612,9.885061,16.257931,9.889711,17.200010,0,0.00089,0.00073,0.00229,0.00070,0.00055,0.00073,0.01154,0.00685,1.48395,0.09982,3.27702,,
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.024994,21.472326,74.766808,73.332573,0.948330,4.884726,4.929766,0.000000,17.622059,4.521046,0,0,18.738369,5.977851,16.274103,0.000000,0,0,20.509909,0,3.105935,5.580104,14.761894,8.015010,18.651150,8.188663,16.553053,8.286818,15.852774,8.503012,15.268608,8.539187,16.667002,9.882640,16.257593,9.887534,17.199324,0,0.00088,0.00073,0.00229,0.00069,0.00056,0.00073,0.01064,0.00843,1.48476,0.09996,3.27748,,
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.257507,21.317703,74.906059,73.333633,0.988833,4.885782,4.932963,0.000000,17.622099,4.520879,0,0,18.725958,5.971472,16.277166,0.000000,0,0,20.514118,0,3.107747,5.577420,14.750624,8.018641,18.633823,8.184486,16.554646,8.283624,15.851772,8.495895,15.267833,8.536676,16.666391,9.880218,16.257254,9.885357,17.198635,0,0.00086,0.00072,0.00210,0.00071,0.00056,0.00073,0.01093,0.00857,1.48430,0.09984,3.27817,,
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.396973,21.267033,74.984062,73.314491,1.031963,4.887255,4.936415,0.000000,17.624519,4.520811,0,0,18.712278,5.966631,16.278038,0.000000,0,0,20.517525,0,3.109713,5.576125,14.739483,8.018373,18.624382,8.183812,16.556463,8.281621,15.852104,8.490890,15.267453,8.534669,16.666374,9.877822,16.257030,9.882978,17.197838,0,0.00085,0.00070,0.00188,0.00071,0.00056,0.00071,0.01112,0.00835,1.48406,0.09998,3.27768,,
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.504410,21.252132,75.041000,73.288391,1.075996,4.888870,4.939921,0.000000,17.627758,4.520776,0,0,18.698164,5.962319,16.278158,0.000000,0,0,20.520657,0,3.111731,5.575307,14.728388,8.016762,18.617653,8.184342,16.558357,8.280027,15.852896,8.486609,15.267209,8.532834,16.666559,9.875435,16.256845,9.880530,17.197001,0,0.00091,0.00071,0.00180,0.00070,0.00054,0.00071,0.01139,0.00839,1.48228,0.10025,3.27676,,
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.611862,21.237232,75.097939,73.262291,1.120029,4.890486,4.943480,0.000000,17.630999,4.520742,0,0,18.684050,5.958007,16.278278,0.000000,0,0,20.523787,0,3.113749,5.574490,14.717293,8.015152,18.610926,8.184873,16.560251,8.278434,15.853687,8.482329,15.266965,8.530999,16.666746,9.873048,16.256660,9.878083,17.196163,0,0.00091,0.00071,0.00190,0.00069,0.00054,0.00072,0.01183,0.00850,1.48473,0.10009,3.27725,,
