"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v2 R COP","66 RDS cle","64 R mark","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","65 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","28a HLy (cm)"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.889069,41.759727,88.214287,94.863136,4.082846,5.245632,5.425264,0.000000,1,0,14.632547,4.275517,16.006475,6.057693,12.479945,0.000000,1,0,17.437860,0,3.851058,6.096839,12.775278,8.262838,15.964358,8.794863,12.000959,9.282539,11.822596,9.786090,11.410467,9.567668,12.930619,10.861320,13.080317,10.840129,14.121409,0,-0.01681,0.00378,-0.02021,-0.01289,0.00622,-0.01243,-0.00170,0.00230,0.00005,0.09737,3.27699,6.095463
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.812271,41.271568,88.180855,94.538345,3.969545,5.249516,5.425192,0.000000,1,0,14.639046,4.274784,15.996111,6.053898,12.513321,0.000000,1,0,17.480722,0,3.851170,6.097410,12.764274,8.263140,15.957592,8.804996,12.039983,9.280840,11.846446,9.767887,11.430498,9.564203,12.950469,10.859753,13.088635,10.840766,14.130397,0,-0.01748,0.00355,-0.02274,-0.01360,0.00820,-0.01354,0.01277,0.00249,0.00005,0.09755,3.27661,6.095192
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.663086,40.820076,88.179939,94.268188,3.850363,5.253430,5.424904,0.000000,1,0,14.659900,4.273614,15.986333,6.064958,12.546698,0.000000,1,0,17.518751,0,3.852582,6.097935,12.753016,8.259514,15.949264,8.795491,12.079195,9.272267,11.868237,9.756710,11.445614,9.560977,12.970572,10.857152,13.098098,10.842124,14.140119,0,-0.01660,0.00366,-0.02071,-0.01379,0.00930,-0.01264,0.00689,0.00336,-0.00020,0.09734,3.27622,6.096298
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.513916,40.368580,88.179024,93.998039,3.731181,5.257345,5.424616,0.000000,1,0,14.680753,4.272445,15.976555,6.076017,12.580073,0.000000,1,0,17.556780,0,3.853993,6.098459,12.741757,8.255889,15.940936,8.785987,12.118407,9.263696,11.890027,9.745532,11.460730,9.557751,12.990676,10.854551,13.107560,10.843483,14.149841,0,-0.01809,0.00355,-0.01978,-0.01290,0.00710,-0.01179,0.00533,0.00145,0.00015,0.09720,3.27600,6.097404
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.364731,39.917084,88.178116,93.727882,3.611999,5.261259,5.424328,0.000000,1,0,14.701606,4.271275,15.966777,6.087077,12.613449,0.000000,1,0,17.594809,0,3.855405,6.098983,12.730499,8.252264,15.932608,8.776482,12.157619,9.255123,11.911817,9.734354,11.475845,9.554524,13.010779,10.851950,13.117023,10.844841,14.159563,0,-0.01785,0.00293,-0.02115,-0.01368,0.01016,-0.01169,0.00656,0.00165,0.00000,0.09757,3.27654,6.098509
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.886017,39.371170,88.214752,93.445961,3.494826,5.265031,5.423986,0.000000,1,0,14.717595,4.270337,15.956930,6.096979,12.647113,0.000000,1,0,17.631741,0,3.856968,6.099411,12.719289,8.249958,15.923617,8.766718,12.199473,9.247395,11.934534,9.721478,11.492309,9.551589,13.030531,10.849587,13.125897,10.846501,14.168983,0,-0.01838,0.00401,-0.01620,-0.01425,0.00916,-0.01205,0.00633,0.00242,-0.00005,0.09765,3.27702,6.099670
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.945892,38.406525,88.417931,93.111847,3.386562,5.268172,5.423404,0.000000,1,0,14.712011,4.270427,15.946776,6.101745,12.682051,0.000000,1,0,17.663801,0,3.859205,6.099411,12.708290,8.253501,15.911693,8.755810,12.253039,9.243409,11.961361,9.701076,11.514744,9.549945,13.048725,10.848284,13.132167,10.849500,14.177059,0,-0.01888,0.00367,-0.02256,-0.01324,0.01019,-0.01371,0.00562,0.00612,0.00005,0.09762,3.27725,6.101080
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.005753,37.441875,88.621117,92.777740,3.278297,5.271314,5.422821,0.000000,1,0,14.706429,4.270517,15.936623,6.106510,12.716989,0.000000,1,0,17.695864,0,3.861441,6.099411,12.697290,8.257045,15.899768,8.744901,12.306605,9.239425,11.988187,9.680672,11.537179,9.548301,13.066919,10.846980,13.138436,10.852498,14.185136,0,-0.01746,0.00280,-0.02345,-0.01287,0.01170,-0.01316,0.00710,0.00117,0.00010,0.09756,3.27748,6.102490
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.065628,36.477230,88.824295,92.443626,3.170033,5.274455,5.422238,0.000000,1,0,14.700845,4.270607,15.926470,6.111276,12.751927,0.000000,1,0,17.727924,0,3.863678,6.099411,12.686292,8.260589,15.887843,8.733992,12.360171,9.235439,12.015014,9.660269,11.559614,9.546658,13.085114,10.845676,13.144706,10.855496,14.193213,0,-0.01750,0.00500,-0.02331,-0.01466,0.00781,-0.01241,0.00434,0.00179,0.00020,0.09786,3.27770,6.103899
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.195175,35.565872,88.988701,92.074951,3.066962,5.277521,5.421579,0.000000,1,0,14.694341,4.271069,15.916301,6.114715,12.786940,0.000000,1,0,17.759018,0,3.866216,6.099411,12.675359,8.262948,15.875760,8.724000,12.408529,9.231644,12.041731,9.640145,11.580061,9.545524,13.103201,10.844543,13.150903,10.858338,14.200696,0,-0.01774,0.00336,-0.02187,-0.01378,0.01135,-0.01200,0.00478,0.00266,0.00005,0.09805,3.27787,6.104865
