"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v2 R COP","66 RDS cle","64 R mark","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","65 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","28a HLy (cm)"
0.000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.562469,28.764074,87.811447,95.029449,-2.522108,4.579839,4.471539,0.000000,0,0,16.397882,3.771288,17.085384,4.829585,14.697766,0.000000,0,0,19.521446,0,3.372742,5.598569,13.532564,7.988926,17.157656,8.123897,14.527564,8.434935,14.010584,8.749330,13.427184,8.773109,14.926417,10.066457,14.851590,10.218209,15.854913,0,-0.01793,0.00377,-0.02033,-0.01371,0.00864,-0.01160,-0.00936,0.00052,-1.47682,0.10121,3.27823,5.593204
0.001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.742432,28.608812,87.816475,94.886818,-2.469015,4.577530,4.470883,0.000000,0,0,16.399084,3.772188,17.073898,4.826902,14.707432,0.000000,0,0,19.527349,0,3.373350,5.598569,13.520854,7.990205,17.144491,8.129502,14.536651,8.432055,14.017543,8.741950,13.425123,8.776003,14.927811,10.067948,14.849198,10.220572,15.851828,0,-0.01772,0.00272,-0.01592,-0.01392,0.00696,-0.01163,0.01036,0.00150,-1.47980,0.10111,3.27893,5.595021
0.002,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.922394,28.453550,87.821510,94.744186,-2.415922,4.575221,4.470228,0.000000,0,0,16.400286,3.773089,17.062410,4.824219,14.717096,0.000000,0,0,19.533253,0,3.373957,5.598569,13.509143,7.991484,17.131327,8.135108,14.545737,8.429177,14.024502,8.734570,13.423061,8.778896,14.929203,10.069441,14.846807,10.222935,15.848742,0,-0.01834,0.00377,-0.02194,-0.01282,0.00746,-0.01311,0.00356,0.00608,-1.47805,0.10096,3.27809,5.596837
0.003,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.100235,28.305857,87.821815,94.592201,-2.363343,4.572919,4.469592,0.000000,0,0,16.401527,3.774122,17.050945,4.821907,14.726836,0.000000,0,0,19.539162,0,3.374629,5.598726,13.497445,7.992748,17.117970,8.140671,14.554916,8.426630,14.031443,8.727767,13.421327,8.781878,14.930827,10.071054,14.844625,10.225388,15.845841,0,-0.01747,0.00360,-0.01985,-0.01387,0.00786,-0.01253,0.00794,0.00258,-1.47799,0.10130,3.27729,5.598726
0.004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.234055,28.315084,87.724136,94.246254,-2.321426,4.570775,4.469356,0.000000,0,0,16.403595,3.777919,17.039934,4.827295,14.738118,0.000000,0,0,19.545204,0,3.376634,5.602142,13.486013,7.993695,17.100634,8.145342,14.566026,8.430968,14.037985,8.732922,13.426366,8.786699,14.937242,10.075165,14.846776,10.229704,15.846746,0,-0.01819,0.00385,-0.01741,-0.01377,0.00776,-0.01086,0.01202,0.00212,-1.47776,0.10132,3.27760,5.602142
0.005,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.367874,28.324314,87.626457,93.900314,-2.279509,4.568631,4.469119,0.000000,0,0,16.405663,3.781715,17.028921,4.832684,14.749400,0.000000,0,0,19.551247,0,3.378639,5.605558,13.474583,7.994642,17.083300,8.150013,14.577135,8.435307,14.044527,8.738077,13.431404,8.791521,14.943656,10.079275,14.848927,10.234021,15.847651,0,-0.01748,0.00421,-0.02028,-0.01321,0.00787,-0.01280,0.00306,0.00472,-1.48002,0.10106,3.27786,5.605558
0.006,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.501694,28.333544,87.528770,93.554367,-2.237592,4.566486,4.468883,0.000000,0,0,16.407730,3.785511,17.017908,4.838072,14.760681,0.000000,0,0,19.557289,0,3.380643,5.608974,13.463151,7.995589,17.065964,8.154684,14.588245,8.439645,14.051069,8.743233,13.436443,8.796343,14.950070,10.083386,14.851079,10.238338,15.848557,0,-0.01746,0.00363,-0.01911,-0.01400,0.00814,-0.01281,-0.02564,0.00666,-1.47952,0.10142,3.27710,5.608974
0.007,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.618912,28.339825,87.430481,93.200920,-2.195327,4.564333,4.468662,0.000000,0,0,16.409916,3.789135,17.006895,4.843431,14.771986,0.000000,0,0,19.563305,0,3.382667,5.612233,13.451693,7.996383,17.048975,8.159211,14.599487,8.443716,14.057725,8.747836,13.441628,8.801190,14.956622,10.087524,14.853099,10.242614,15.849401,0,-0.01796,0.00431,-0.02002,-0.01331,0.00978,-0.01356,0.00157,-0.00026,-1.47864,0.10164,3.27637,5.612302
0.008,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.391754,28.284983,87.319595,92.691978,-2.145838,4.562016,4.468763,0.000000,0,0,16.414543,3.789183,16.995857,4.848156,14.783754,0.000000,0,0,19.568729,0,3.385085,5.612233,13.439664,7.994011,17.039154,8.160757,14.613489,8.442237,14.066712,8.740993,13.449835,8.806574,14.966009,10.092239,14.852386,10.246052,15.848957,0,-0.01728,0.00338,-0.02040,-0.01375,0.00839,-0.01295,0.00590,0.00345,-1.47933,0.10137,3.27653,5.613814
0.009,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.164581,28.230139,87.208702,92.183029,-2.096349,4.559698,4.468864,0.000000,0,0,16.419172,3.789230,16.984818,4.852882,14.795524,0.000000,0,0,19.574152,0,3.387503,5.612233,13.427636,7.991639,17.029331,8.162303,14.627491,8.440758,14.075700,8.734148,13.458042,8.811958,14.975396,10.096953,14.851675,10.249489,15.848515,0,-0.01771,0.00430,-0.01773,-0.01358,0.01115,-0.01204,-0.00248,0.00231,-1.47855,0.10155,3.27668,5.615326
