"Time","v3 L COP","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v2 R COP","66 RDS cle","64 R mark","34 FRx (cm)","29 HRx (cm)","67 LDS cle","65 L mark","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.000,0.000000,-2.522108,4.579839,4.471539,0.000000,0,0,17.085384,14.697766,0,0,19.521446,13.532564,-1.47682,0.10121
0.001,0.000000,-2.469015,4.577530,4.470883,0.000000,0,0,17.073898,14.707432,0,0,19.527349,13.520854,-1.47980,0.10111
0.002,0.000000,-2.415922,4.575221,4.470228,0.000000,0,0,17.062410,14.717096,0,0,19.533253,13.509143,-1.47805,0.10096
0.003,0.000000,-2.363343,4.572919,4.469592,0.000000,0,0,17.050945,14.726836,0,0,19.539162,13.497445,-1.47799,0.10130
0.004,0.000000,-2.321426,4.570775,4.469356,0.000000,0,0,17.039934,14.738118,0,0,19.545204,13.486013,-1.47776,0.10132
0.005,0.000000,-2.279509,4.568631,4.469119,0.000000,0,0,17.028921,14.749400,0,0,19.551247,13.474583,-1.48002,0.10106
0.006,0.000000,-2.237592,4.566486,4.468883,0.000000,0,0,17.017908,14.760681,0,0,19.557289,13.463151,-1.47952,0.10142
0.007,0.000000,-2.195327,4.564333,4.468662,0.000000,0,0,17.006895,14.771986,0,0,19.563305,13.451693,-1.47864,0.10164
0.008,0.000000,-2.145838,4.562016,4.468763,0.000000,0,0,16.995857,14.783754,0,0,19.568729,13.439664,-1.47933,0.10137
0.009,0.000000,-2.096349,4.559698,4.468864,0.000000,0,0,16.984818,14.795524,0,0,19.574152,13.427636,-1.47855,0.10155
0.010,0.000000,-2.046859,4.557380,4.468966,0.000000,0,0,16.973780,14.807292,0,0,19.579576,13.415607,-1.47983,0.10185
0.011,0.000000,-1.997355,4.555086,4.469075,0.000000,0,0,16.962763,14.819114,0,0,19.584951,13.403605,-1.47707,0.10155
0.012,0.000000,-1.947535,4.553292,4.469348,0.000000,0,0,16.952198,14.832036,0,0,19.589310,13.392143,-1.47863,0.10142
0.013,0.000000,-1.897716,4.551497,4.469621,0.000000,0,0,16.941633,14.844957,0,0,19.593670,13.380681,-1.47824,0.10181
0.014,0.000000,-1.847896,4.549703,4.469894,0.000000,0,0,16.931067,14.857879,0,0,19.598028,13.369219,-1.47817,0.10164
0.015,0.000000,-1.797608,4.547906,4.470163,0.000000,0,0,16.920485,14.870835,0,0,19.602308,13.357788,-1.47957,0.10122
0.016,0.000000,-1.737598,4.546062,4.470338,0.000000,0,0,16.909521,14.884518,0,0,19.604973,13.347012,-1.47910,0.10160
0.017,0.000000,-1.677589,4.544217,4.470514,0.000000,0,0,16.898558,14.898200,0,0,19.607637,13.336234,-1.47832,0.10168
0.018,0.000000,-1.617579,4.542372,4.470689,0.000000,0,0,16.887594,14.911882,0,0,19.610302,13.325458,-1.47851,0.10120
0.019,0.000000,-1.557114,4.540550,4.470854,0.000000,0,0,16.876648,14.925600,0,0,19.612967,13.314664,-1.47268,0.10157
0.020,0.000000,-1.487198,4.539178,4.470801,0.000000,0,0,16.866049,14.940054,0,0,19.615641,13.303524,-1.47910,0.10179
0.021,0.000000,-1.417282,4.537807,4.470747,0.000000,0,0,16.855448,14.954507,0,0,19.618315,13.292384,-1.47808,0.10138
0.022,0.000000,-1.347365,4.536435,4.470694,0.000000,0,0,16.844847,14.968961,0,0,19.620989,13.281244,-1.47876,0.10135
0.023,0.000000,-1.278044,4.535073,4.470620,0.000000,0,0,16.834248,14.983452,0,0,19.623589,13.270126,-1.47533,0.10172
0.024,0.000000,-1.221065,4.533909,4.470127,0.000000,0,0,16.823687,14.998737,0,0,19.624664,13.259460,-1.47793,0.10149
0.025,0.000000,-1.164085,4.532745,4.469635,0.000000,0,0,16.813126,15.014023,0,0,19.625742,13.248795,-1.47811,0.10113
0.026,0.000000,-1.107106,4.531581,4.469142,0.000000,0,0,16.802565,15.029308,0,0,19.626818,13.238129,-1.47769,0.10151
0.027,0.000000,-1.050927,4.530432,4.468630,0.000000,0,0,16.792007,15.044665,0,0,19.627783,13.227474,-1.47783,0.10142
0.028,0.000000,-1.011362,4.529591,4.467716,0.000000,0,0,16.781506,15.061513,0,0,19.626410,13.217055,-1.47776,0.10107
0.029,0.329232,-0.971797,4.528750,4.466801,0.000000,0,0,16.771004,15.078362,0,0,19.625034,13.206635,-1.47877,0.10119
0.030,2.901355,-0.932232,4.527909,4.465887,0.000000,0,0,16.760502,15.095210,0,1,19.623661,13.196217,-1.47878,0.10122
0.031,5.143244,-0.894336,4.527080,4.464950,0.000000,0,0,16.750027,15.112134,1,0,19.622189,13.185788,-1.47913,0.10111
0.032,5.135409,-0.891050,4.526484,4.463559,0.000000,0,0,16.740101,15.130628,1,0,19.618656,13.175177,-1.47894,0.10088
0.033,5.127846,-0.887764,4.525887,4.462168,0.000000,0,0,16.730177,15.149121,1,0,19.615124,13.164565,-1.47762,0.10106
0.034,5.122140,-0.884479,4.525291,4.460777,0.000000,0,0,16.720251,15.167615,1,0,19.611591,13.153954,-1.47896,0.10105
0.035,5.116812,-0.882796,4.524684,4.459359,0.000000,0,0,16.710318,15.186184,1,0,19.608011,13.143351,-1.47941,0.10079
0.036,5.114048,-0.914367,4.523845,4.457386,0.000000,0,0,16.700216,15.206307,1,0,19.603460,13.132923,-1.47958,0.10085
0.037,5.111606,-0.945938,4.523007,4.455413,0.000000,0,0,16.690115,15.226431,1,0,19.598907,13.122497,-1.48358,0.10109
0.038,5.111360,-0.977508,4.522168,4.453440,0.000000,0,0,16.680014,15.246554,1,0,19.594357,13.112069,-1.47888,0.10099
0.039,5.111347,-1.010240,4.521320,4.451434,0.000000,0,0,16.669916,15.266676,1,0,19.589748,13.101674,-1.47566,0.10075
0.040,5.112921,-1.067050,4.520274,4.448752,0.000000,0,0,16.659878,15.286756,1,0,19.583965,13.091957,-1.48107,0.10105
0.041,5.114684,-1.123861,4.519228,4.446071,0.000000,0,0,16.649839,15.306835,1,0,19.578184,13.082239,-1.48078,0.10116
0.042,5.117732,-1.180672,4.518181,4.443389,0.000000,0,0,16.639803,15.326915,1,0,19.572401,13.072522,-1.47905,0.10079
0.043,5.120910,-1.238144,4.517122,4.440666,0.000000,0,0,16.629782,15.346967,1,0,19.566530,13.062770,-1.47975,0.10088
0.044,5.124973,-1.309345,4.515788,4.437081,0.000000,0,0,16.620110,15.366447,1,0,19.558825,13.052298,-1.47802,0.10115
0.045,5.128987,-1.380545,4.514454,4.433496,0.000000,0,0,16.610439,15.385929,1,0,19.551119,13.041825,-1.47874,0.10091
0.046,5.132665,-1.451745,4.513121,4.429911,0.000000,0,0,16.600767,15.405411,1,0,19.543413,13.031354,-1.47838,0.10072
0.047,5.136123,-1.522715,4.511768,4.426286,0.000000,0,0,16.591156,15.424851,1,0,19.535629,13.020884,-1.47780,0.10094
