"Time","60 right DS","59 left DS","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v3 L COP","v2 R COP","3 Platform"
0.000,0,1,1.220815,4.869742,4.949588,5.661963,0.000000,1.48383
0.001,0,1,1.255433,4.870843,4.952752,5.659661,0.000000,1.48372
0.002,0,1,1.290051,4.871945,4.955916,5.657824,0.000000,1.48256
0.003,0,1,1.348003,4.873321,4.959566,5.658651,0.000000,1.48498
0.004,0,1,1.413650,4.874788,4.963376,5.660008,0.000000,1.48583
0.005,0,1,1.479297,4.876255,4.967186,5.662135,0.000000,1.48387
0.006,0,1,1.544944,4.877721,4.970996,5.664414,0.000000,1.48321
0.007,0,1,1.624994,4.879088,4.975202,5.665450,0.000000,1.48365
0.008,0,1,1.709794,4.880423,4.979537,5.666237,0.000000,1.48190
0.009,0,1,1.794594,4.881757,4.983873,5.666068,0.000000,1.48315
0.010,0,1,1.879394,4.883092,4.988209,5.665709,0.000000,1.48509
0.011,0,1,1.975966,4.885125,4.992903,5.665171,0.000000,1.48499
0.012,0,1,2.076420,4.887387,4.997716,5.664597,0.000000,1.48548
0.013,0,1,2.176873,4.889650,5.002529,5.663879,0.000000,1.48452
0.014,0,1,2.277327,4.891913,5.007341,5.663134,0.000000,1.48316
0.015,0,1,2.372292,4.894572,5.012345,5.662226,0.000000,1.48396
0.016,0,1,2.465446,4.897362,5.017411,5.661287,0.000000,1.48265
0.017,0,1,2.558601,4.900152,5.022477,5.660868,0.000000,1.48246
0.018,0,1,2.651756,4.902942,5.027544,5.660553,0.000000,1.48235
0.019,0,1,2.740396,4.905437,5.032696,5.661368,0.000000,1.48213
0.020,0,1,2.827548,4.907836,5.037877,5.662408,0.000000,1.48340
0.021,0,1,2.914700,4.910235,5.043057,5.663973,0.000000,1.48412
0.022,0,1,3.001852,4.912633,5.048238,5.665643,0.000000,1.48332
0.023,0,1,3.076474,4.915887,5.053207,5.667231,0.000000,1.48669
0.024,0,1,3.146964,4.919423,5.058105,5.668802,0.000000,1.48265
0.025,0,1,3.217454,4.922959,5.063004,5.671227,0.000000,1.48356
0.026,0,1,3.287944,4.926495,5.067902,5.673822,0.000000,1.48454
0.027,0,1,3.342875,4.930079,5.072274,5.678208,0.000000,1.48366
0.028,0,1,3.392674,4.933681,5.076472,5.682950,0.000000,1.48250
0.029,0,1,3.442474,4.937281,5.080670,5.688447,0.000000,1.48194
0.030,0,1,3.492274,4.940882,5.084868,5.694094,0.000000,1.48356
0.031,0,1,3.535408,4.944357,5.088475,5.699399,0.000000,1.48408
0.032,0,1,3.576344,4.947791,5.091886,5.704635,0.000000,1.48194
0.033,0,1,3.617280,4.951225,5.095297,5.710670,0.000000,1.48502
0.034,0,1,3.658216,4.954659,5.098709,5.716864,0.000000,1.47998
0.035,0,1,3.666859,4.958368,5.101434,5.724771,0.000000,1.48449
0.036,0,1,3.664852,4.962168,5.103933,5.733019,0.000000,1.48082
0.037,0,1,3.662845,4.965969,5.106432,5.740017,0.000000,1.48506
0.038,0,1,3.660839,4.969769,5.108931,5.746767,0.000000,1.48239
0.039,0,1,3.631195,4.973629,5.110853,5.749382,0.000000,1.48468
0.040,0,1,3.592437,4.977510,5.112585,5.751173,0.000000,1.48501
0.041,0,1,3.553679,4.981391,5.114317,5.751255,0.000000,1.48407
0.042,0,1,3.514921,4.985272,5.116049,5.750997,0.000000,1.48190
0.043,0,1,3.437571,4.989106,5.117319,5.752779,0.000000,1.48205
0.044,0,1,3.347494,4.992926,5.118437,5.754969,0.000000,1.48568
0.045,0,1,3.257416,4.996745,5.119555,5.762145,0.000000,1.48220
0.046,0,1,3.167338,5.000565,5.120674,5.770313,0.000000,1.48340
0.047,0,1,3.049294,5.003598,5.121338,5.784462,0.000000,1.48336
0.048,0,1,2.922025,5.006371,5.121853,5.799803,0.000000,1.48265
0.049,0,1,2.794757,5.009146,5.122368,5.814336,0.000000,1.48457
0.050,0,1,2.667489,5.011919,5.122883,5.828708,0.000000,1.48493
0.051,0,1,2.543515,5.014398,5.123039,5.835283,0.000000,1.48352
0.052,0,1,2.420627,5.016779,5.123076,5.840305,0.000000,1.48246
0.053,0,1,2.297740,5.019161,5.123113,5.839597,0.000000,1.48496
0.054,0,1,2.174853,5.021542,5.123150,5.837749,0.000000,1.48346
0.055,1,1,2.068382,5.023363,5.122862,5.834569,1.612827,1.48256
0.056,1,1,1.967324,5.024998,5.122468,5.831123,3.546672,1.48554
0.057,1,1,1.866267,5.026634,5.122073,5.829717,3.869881,1.48251
0.058,1,1,1.765210,5.028270,5.121678,5.828716,3.872507,1.48504
0.059,1,1,1.697185,5.029709,5.121166,5.831703,3.876587,1.48324
0.060,1,1,1.640054,5.031084,5.120615,5.835483,3.880957,1.48497
0.061,1,1,1.582923,5.032458,5.120064,5.840079,3.882467,1.48435
0.062,1,1,1.525792,5.033833,5.119514,5.844838,3.883408,1.48239
0.063,1,1,1.481858,5.035350,5.119009,5.846633,3.877592,1.48227
0.064,1,1,1.442275,5.036916,5.118521,5.847838,3.870431,1.48419
0.065,1,1,1.402693,5.038481,5.118032,5.846078,3.860106,1.48326
0.066,1,1,1.363110,5.040046,5.117544,5.843728,3.849151,1.48280
0.067,1,1,1.337340,5.041325,5.117353,5.839704,3.839407,1.48290
0.068,1,1,1.316126,5.042509,5.117260,5.835347,3.829903,1.48518
0.069,1,1,1.294912,5.043693,5.117167,5.831605,3.819927,1.48402
0.070,1,1,1.273698,5.044877,5.117073,5.827987,3.809859,1.48337
0.071,1,1,1.258301,5.046148,5.117550,5.827236,3.796978,1.48491
0.072,1,1,1.244823,5.047447,5.118215,5.827057,3.783539,1.48336
0.073,1,1,1.231345,5.048747,5.118879,5.830552,3.769706,1.48518
0.074,1,1,1.217867,5.050046,5.119544,5.834778,3.755795,1.48036
0.075,1,1,1.207868,5.051126,5.120765,5.842383,3.745107,1.48212
