"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v2 R COP","66 RDS cle","64 R mark","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","65 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","28a HLy (cm)"
0.000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.419327,47.044537,87.016296,44.100349,0.878794,4.948761,4.988197,0.000000,0,0,11.652565,4.472773,14.425383,6.070539,10.901370,0.000000,0,0,13.390136,0,3.955670,6.613978,9.197931,8.066793,14.266085,8.115911,10.677664,8.142276,9.961947,8.277068,9.207746,9.166412,10.389257,10.147804,9.569241,10.033554,10.618514,0,-0.01865,0.00317,-0.02080,-0.01456,0.00803,-0.01333,0.00549,0.00190,-0.45803,0.09968,3.27629,6.610305
0.001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.438370,47.248447,86.886375,44.059464,0.968578,4.950407,4.995174,0.000000,0,0,11.651134,4.477443,14.418285,6.028675,10.894679,0.000000,0,0,13.416933,0,3.957606,6.614167,9.189430,8.064394,14.257818,8.116556,10.675200,8.144003,9.941610,8.273945,9.194917,9.169893,10.378786,10.150295,9.555209,10.041577,10.604484,0,-0.01720,0.00339,-0.02053,-0.01115,0.00939,-0.01194,0.00654,0.00245,-0.43090,0.09956,3.27645,6.611336
0.002,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.457413,47.452358,86.756447,44.018578,1.058363,4.952052,5.002150,0.000000,0,0,11.649705,4.482114,14.411188,5.986810,10.887989,0.000000,0,0,13.443729,0,3.959542,6.614356,9.180928,8.061995,14.249553,8.117202,10.672737,8.145731,9.921274,8.270822,9.182088,9.173375,10.368314,10.152786,9.541178,10.049601,10.590453,0,-0.01702,0.00377,-0.02012,-0.01155,0.00931,-0.01218,0.00449,0.00366,-0.40690,0.09970,3.27656,6.612366
0.003,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.476456,47.656269,86.626526,43.977692,1.148147,4.953697,5.009127,0.000000,0,0,11.648274,4.486784,14.404091,5.944945,10.881298,0.000000,0,0,13.470526,0,3.961477,6.614544,9.172427,8.059595,14.241286,8.117846,10.670275,8.147458,9.900937,8.267698,9.169259,9.176857,10.357842,10.155278,9.527146,10.057624,10.576423,0,-0.01737,0.00330,-0.01980,-0.01277,0.00876,-0.01262,0.00464,0.00194,-0.38008,0.09978,3.27664,6.613397
0.004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.317825,47.946472,86.512657,43.800220,1.223529,4.955080,5.016490,0.000000,0,0,11.648665,4.491236,14.396873,5.911282,10.874268,0.000000,0,0,13.497532,0,3.962132,6.618629,9.163404,8.059926,14.233924,8.116355,10.665877,8.148158,9.885990,8.268948,9.160949,9.181354,10.349685,10.156833,9.514610,10.062517,10.563793,0,-0.01740,0.00383,-0.01998,-0.01286,0.00847,-0.01203,0.00042,0.00536,-0.35770,0.09960,3.27659,6.617974
0.005,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.004166,48.311985,86.412804,43.503559,1.286343,4.956234,5.024192,0.000000,0,0,11.650646,4.495496,14.389551,5.884774,10.866940,0.000000,0,0,13.524719,0,3.961668,6.626111,9.153928,8.062641,14.227350,8.112998,10.659794,8.147961,9.875745,8.274012,9.156581,9.186737,10.343548,10.157569,9.503379,10.064678,10.552386,0,-0.01859,0.00272,-0.02079,-0.01306,0.00842,-0.01142,0.00784,0.00254,-0.32925,0.09954,3.27644,6.625646
0.006,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.690521,48.677498,86.312958,43.206902,1.349156,4.957388,5.031894,0.000000,0,0,11.652626,4.499756,14.382230,5.858266,10.859612,0.000000,0,0,13.551908,0,3.961204,6.633594,9.144450,8.065356,14.220777,8.109642,10.653710,8.147764,9.865500,8.279076,9.152214,9.192121,10.337410,10.158306,9.492148,10.066839,10.540979,0,-0.01766,0.00320,-0.02046,-0.01270,0.00920,-0.01234,0.00261,0.00265,-0.30142,0.09979,3.27645,6.633317
0.007,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.376862,49.043007,86.213104,42.910240,1.411969,4.958542,5.039595,0.000000,0,0,11.654607,4.504016,14.374907,5.831759,10.852283,0.000000,0,0,13.579095,0,3.960740,6.641077,9.134974,8.068071,14.214203,8.106285,10.647627,8.147567,9.855255,8.284140,9.147847,9.197504,10.331272,10.159042,9.480917,10.069000,10.529573,0,-0.01828,0.00478,-0.02148,-0.01388,0.00889,-0.01292,0.00294,0.00122,-0.25561,0.09981,3.27660,6.640989
0.008,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.105591,49.306911,86.220047,42.724316,1.496753,4.959669,5.047752,0.000000,0,0,11.653307,4.506873,14.367517,5.812550,10.844525,0.000000,0,0,13.606609,0,3.959763,6.647728,9.125804,8.068686,14.210511,8.107458,10.639127,8.147734,9.847945,8.286890,9.143605,9.202947,10.325953,10.161956,9.471973,10.069791,10.522542,0,-0.01534,0.00541,-0.02025,-0.01983,0.00886,-0.01109,0.00525,0.00150,-0.22933,0.09975,3.27699,6.647728
0.009,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.871323,49.482147,86.320190,42.635025,1.600708,4.960773,5.056307,0.000000,0,0,11.649144,4.508504,14.360067,5.799710,10.836391,0.000000,0,0,13.634410,0,3.958337,6.653654,9.116903,8.067466,14.209334,8.112582,10.628520,8.148217,9.843196,8.287620,9.139473,9.208443,10.321347,10.166769,9.465025,10.069385,10.519328,0,-0.01583,0.00555,-0.02063,-0.01174,0.00897,-0.01313,0.00681,0.00319,-0.20437,0.10004,3.27760,6.653654
0.010,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.637054,49.657383,86.420334,42.545738,1.704664,4.961875,5.064862,0.000000,0,0,11.644982,4.510136,14.352617,5.786870,10.828258,0.000000,0,0,13.662210,0,3.956912,6.659579,9.108003,8.066247,14.208158,8.117707,10.617912,8.148701,9.838447,8.288349,9.135341,9.213939,10.316742,10.171581,9.458077,10.068978,10.516114,0,-0.02614,0.00337,-0.01796,-0.00169,0.00851,-0.01245,0.00639,0.00284,-0.17802,0.10025,3.27789,6.659579
0.011,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.402786,49.832619,86.520470,42.456448,1.808619,4.962978,5.073417,0.000000,0,0,11.640820,4.511768,14.345167,5.774030,10.820124,0.000000,0,0,13.690010,0,3.955486,6.665505,9.099101,8.065027,14.206981,8.122832,10.607305,8.149184,9.833698,8.289079,9.131207,9.219435,10.312137,10.176394,9.451129,10.068572,10.512900,0,-0.01645,0.00822,-0.02141,-0.01654,0.00766,-0.01343,0.00578,0.00247,-0.15215,0.10012,3.27789,6.665505
0.012,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.173248,49.912529,86.619705,42.481026,1.925470,4.964593,5.082310,0.000000,0,0,11.630692,4.515104,14.337143,5.759228,10.811707,0.000000,0,0,13.717373,0,3.955170,6.668611,9.090233,8.065817,14.207337,8.126961,10.602402,8.150908,9.832313,8.291701,9.129045,9.224238,10.307811,10.181465,9.446156,10.072673,10.506927,0,-0.01767,-0.00012,-0.02178,-0.01288,0.00873,-0.01266,0.00399,0.00356,-0.12568,0.10017,3.27753,6.668611
0.013,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.947861,49.909245,86.718155,42.604969,2.053576,4.966654,5.091498,0.000000,0,0,11.615361,4.519926,14.328617,5.742713,10.803041,0.000000,0,0,13.744353,0,3.955822,6.669257,9.081392,8.068360,14.209033,8.130219,10.602476,8.153713,9.833863,8.295976,9.128600,9.228437,10.303728,10.186760,9.442906,10.080706,10.498543,0,-0.02215,0.00183,-0.01965,-0.01378,0.00831,-0.01212,0.00424,0.00231,-0.09684,0.10046,3.27685,6.669257
0.014,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.722473,49.905964,86.816597,42.728912,2.181681,4.968716,5.100687,0.000000,0,0,11.600030,4.524749,14.320090,5.726198,10.794376,0.000000,0,0,13.771335,0,3.956474,6.669903,9.072552,8.070904,14.210729,8.133478,10.602551,8.156520,9.835413,8.300250,9.128156,9.232637,10.299645,10.192055,9.439656,10.088739,10.490159,0,-0.01651,0.00323,-0.01950,-0.01523,0.00878,-0.01319,0.00580,0.00215,-0.04943,0.10029,3.27688,6.669903
0.015,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.497086,49.902683,86.915039,42.852852,2.309786,4.970777,5.109875,0.000000,0,0,11.584699,4.529571,14.311564,5.709683,10.785711,0.000000,0,0,13.798315,0,3.957126,6.670549,9.063711,8.073447,14.212424,8.136737,10.602625,8.159326,9.836964,8.304524,9.127711,9.236837,10.295563,10.197350,9.436407,10.096772,10.481775,0,-0.01841,0.00325,-0.01964,-0.01291,0.00827,-0.01160,0.00598,0.00279,-0.02209,0.10016,3.27757,6.670549
0.016,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.310822,49.851173,86.949944,42.910656,2.460357,4.973028,5.119279,0.000000,0,0,11.577019,4.529944,14.303074,5.549370,10.777124,0.000000,0,0,13.824360,0,3.957610,6.670850,9.054840,8.078179,14.212513,8.143129,10.598685,8.163049,9.836197,8.309609,9.122687,9.239668,10.289912,10.202370,9.433268,10.101582,10.475565,0,-0.01683,0.00370,-0.02083,-0.01323,0.00797,-0.01218,0.00305,0.00110,0.00441,0.10045,3.27757,6.673037
0.017,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.158691,49.757576,86.929398,42.910744,2.630534,4.975444,5.128872,0.000000,0,0,11.576015,4.526433,14.294613,5.263571,10.768604,0.000000,0,0,13.849588,0,3.957948,6.670850,9.045941,8.084820,14.211199,8.152256,10.591243,8.167572,9.833408,8.315403,9.113667,9.241303,10.282895,10.207150,9.430225,10.103580,10.471249,0,-0.01761,0.00287,-0.02140,-0.01363,0.00809,-0.01085,0.00713,0.00316,0.02682,0.10043,3.27696,6.677131
0.018,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.006577,49.663979,86.908852,42.910831,2.800710,4.977860,5.138464,0.000000,0,0,11.575012,4.522923,14.286153,4.977772,10.760085,0.000000,0,0,13.874817,0,3.958286,6.670850,9.037044,8.091461,14.209886,8.161383,10.583801,8.172095,9.830620,8.321196,9.104646,9.242939,10.275877,10.211930,9.427183,10.105577,10.466933,0,-0.02053,0.00393,-0.02088,-0.01323,0.00854,-0.01203,0.00623,0.00378,0.05214,0.10020,3.27675,6.681226
0.019,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.854446,49.570381,86.888306,42.910915,2.970886,4.980277,5.148057,0.000000,0,0,11.574009,4.519412,14.277692,4.691974,10.751565,0.000000,0,0,13.900045,0,3.958623,6.670850,9.028145,8.098102,14.208572,8.170509,10.576359,8.176620,9.827831,8.326989,9.095625,9.244575,10.268859,10.216710,9.424141,10.107574,10.462618,0,-0.01741,0.00334,-0.02021,-0.01474,0.00844,-0.01253,0.00601,0.00059,0.08024,0.10030,3.27691,6.685321
