"Time","60 right DS","59 left DS","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","30 HRy (cm)","v1 xCoM","v3 L COP","v2 R COP","3 Platform","2 Trdml"
0.000,0,0,-2.551920,5.670368,4.746188,3.998957,5.536060,0.000000,0.000000,0.87477,0.10208
0.001,0,0,-2.760790,5.668722,4.753538,3.996540,5.531068,0.000000,0.000000,0.85339,0.10200
0.002,0,0,-2.969660,5.667077,4.760888,3.994123,5.526076,0.000000,0.000000,0.81047,0.10144
0.003,0,0,-3.177288,5.665293,4.768585,3.991736,5.521122,0.000000,0.000000,0.78790,0.10167
0.004,0,0,-3.360291,5.660776,4.783159,3.989952,5.516912,0.000000,0.000000,0.76639,0.10171
0.005,0,0,-3.543295,5.656259,4.797734,3.988169,5.512702,0.000000,0.000000,0.74382,0.10151
0.006,0,0,-3.726299,5.651742,4.812308,3.986385,5.508491,0.000000,0.000000,0.72198,0.10150
0.007,0,0,-3.905428,5.647206,4.825886,3.984555,5.504305,0.000000,0.000000,0.69142,0.10162
0.008,0,0,-4.007714,5.642303,4.819696,3.981788,5.500601,0.000000,0.000000,0.65176,0.10157
0.009,0,0,-4.110001,5.637399,4.813506,3.979022,5.496897,0.000000,0.000000,0.62938,0.10122
0.010,0,0,-4.212287,5.632495,4.807316,3.976255,5.493193,0.000000,0.000000,0.60728,0.10125
0.011,0,0,-4.308057,5.627574,4.801799,3.973513,5.489501,0.000000,0.000000,0.57988,0.10134
0.012,0,0,-4.274580,5.622314,4.809620,3.971245,5.486050,0.000000,0.000000,0.55791,0.10103
0.013,0,0,-4.241102,5.617054,4.817442,3.968977,5.482600,0.000000,0.000000,0.53438,0.10087
0.014,0,0,-4.207623,5.611794,4.825264,3.966709,5.479149,0.000000,0.000000,0.49689,0.10120
0.015,0,0,-4.169081,5.606626,4.833553,3.964407,5.475711,0.000000,0.000000,0.45914,0.10128
0.016,0,0,-4.030088,5.603275,4.851124,3.961434,5.472508,0.000000,0.000000,0.43620,0.10097
0.017,0,0,-3.891095,5.599926,4.868695,3.958461,5.469306,0.000000,0.000000,0.41162,0.10141
0.018,0,0,-3.752101,5.596575,4.886266,3.955488,5.466103,0.000000,0.000000,0.38600,0.10153
0.019,0,0,-3.611630,5.593202,4.903231,3.952531,5.462926,0.000000,0.000000,0.36163,0.10119
0.020,0,0,-3.441839,5.589357,4.908162,3.949896,5.460274,0.000000,0.000000,0.33690,0.10151
0.021,0,0,-3.272048,5.585512,4.913092,3.947261,5.457621,0.000000,0.000000,0.30742,0.10170
0.022,0,0,-3.102256,5.581667,4.918023,3.944626,5.454968,0.000000,0.000000,0.25970,0.10140
0.023,0,0,-2.933233,5.577899,4.923447,3.942023,5.452360,0.000000,0.000000,0.23349,0.10126
0.024,0,0,-2.779433,5.575634,4.938663,3.940038,5.450626,0.000000,0.000000,0.21002,0.10131
0.025,0,0,-2.625633,5.573370,4.953878,3.938054,5.448894,0.410699,0.000000,0.18170,0.10115
0.026,0,1,-2.471833,5.571105,4.969093,3.936069,5.447160,3.569926,0.000000,0.15610,0.10036
0.027,0,1,-2.321792,5.568858,4.983751,3.934072,5.445480,6.318309,0.000000,0.12331,0.09991
0.028,0,1,-2.246303,5.566958,4.987356,3.931821,5.444855,6.317208,0.000000,0.07744,0.09986
0.029,0,1,-2.170814,5.565058,4.990961,3.929570,5.444231,6.316234,0.000000,0.05281,0.09951
0.030,0,1,-2.095324,5.563158,4.994565,3.927319,5.443605,6.316112,0.000000,0.02698,0.09906
0.031,0,1,-2.022914,5.561292,4.997423,3.925105,5.443007,6.316452,0.000000,0.00528,0.09863
0.032,0,1,-2.011580,5.560092,4.985474,3.923626,5.442945,6.319888,0.000000,-0.02179,0.09857
0.033,0,1,-2.000245,5.558893,4.973524,3.922148,5.442883,6.324458,0.000000,-0.04831,0.09869
0.034,0,1,-1.988910,5.557694,4.961574,3.920670,5.442822,6.336609,0.000000,-0.08220,0.09855
0.035,0,1,-1.978943,5.556457,4.950375,3.919168,5.442737,6.350176,0.000000,-0.12585,0.09805
0.036,0,1,-1.996109,5.554484,4.954071,3.917203,5.442207,6.373222,0.000000,-0.15416,0.09808
0.037,0,1,-2.013275,5.552510,4.957766,3.915239,5.441677,6.395789,0.000000,-0.17844,0.09823
0.038,0,1,-2.030442,5.550537,4.961461,3.913275,5.441146,6.415157,0.000000,-0.20427,0.09809
0.039,0,1,-2.045757,5.548531,4.964358,3.911269,5.440558,6.432302,0.000000,-0.22923,0.09757
0.040,0,1,-2.024364,5.545867,4.951410,3.908457,5.438805,6.434573,0.000000,-0.26561,0.09782
0.041,0,1,-2.002971,5.543204,4.938463,3.905644,5.437052,6.436341,0.286480,-0.30571,0.09821
0.042,1,1,-1.981578,5.540541,4.925516,3.902832,5.435299,6.434743,2.490168,-0.33133,0.09804
0.043,1,1,-1.959625,5.537870,4.912767,3.900003,5.433492,6.434693,4.406469,-0.35951,0.09771
0.044,1,1,-1.926585,5.535041,4.903952,3.896862,5.430613,6.445002,4.399487,-0.38179,0.09809
0.045,1,1,-1.893544,5.532213,4.895136,3.893720,5.427732,6.455979,4.392747,-0.40730,0.09820
0.046,1,1,-1.860503,5.529384,4.886320,3.890579,5.424853,6.471431,4.387624,-0.44055,0.09809
0.047,1,1,-1.829232,5.526658,4.877612,3.887426,5.421916,6.486143,4.382500,-0.47815,0.09777
0.048,1,1,-1.833067,5.525962,4.871024,3.884042,5.417866,6.495911,4.377381,-0.50401,0.09801
0.049,1,1,-1.836901,5.525266,4.864435,3.880658,5.413816,6.504891,4.372294,-0.52713,0.09819
0.050,1,1,-1.840736,5.524570,4.857847,3.877274,5.409766,6.508594,4.367420,-0.55418,0.09815
0.051,1,1,-1.847435,5.523882,4.851330,3.873873,5.405675,6.511828,4.362638,-0.57635,0.09803
0.052,1,1,-1.910949,5.523361,4.846219,3.870121,5.400799,6.511924,4.358473,-0.60831,0.09842
0.053,1,1,-1.974462,5.522840,4.841107,3.866370,5.395922,6.511802,4.354245,-0.64963,0.09868
0.054,1,1,-2.037976,5.522319,4.835996,3.862618,5.391046,6.510227,4.349590,-0.67194,0.09852
0.055,1,1,-2.104415,5.521677,4.830688,3.858891,5.386142,6.508562,4.344730,-0.69444,0.09868
0.056,1,1,-2.228877,5.518644,4.821476,3.855648,5.380698,6.506299,4.338501,-0.71825,0.09927
0.057,1,1,-2.353339,5.515612,4.812264,3.852404,5.375254,6.503598,4.332273,-0.73943,0.09925
0.058,1,1,-2.477801,5.512579,4.803052,3.849161,5.369810,6.497966,4.326042,-0.76474,0.09927
0.059,1,1,-2.602675,5.509495,4.794109,3.845907,5.364359,6.491642,4.320052,-0.80577,0.09996
0.060,1,1,-2.735718,5.505400,4.790493,3.842443,5.358787,6.480682,4.315669,-0.82425,0.10006
0.061,1,1,-2.868760,5.501305,4.786876,3.838979,5.353215,6.469807,4.311489,-0.84859,0.09998
0.062,1,1,-3.001802,5.497209,4.783259,3.835515,5.347643,6.459501,4.308665,-0.87363,0.10058
0.063,1,1,-3.134833,5.493209,4.779810,3.832036,5.342041,6.450037,4.305937,-0.88853,0.10079
0.064,1,1,-3.267625,5.491101,4.779705,3.828270,5.335845,6.446211,4.303853,-0.91093,0.10048
0.065,1,1,-3.400416,5.488993,4.779599,3.824503,5.329648,6.442573,4.301805,-0.94048,0.10087
0.066,1,1,-3.533208,5.486884,4.779494,3.820737,5.323452,6.440192,4.299995,-0.97054,0.10118
0.067,1,1,-3.663882,5.484694,4.779291,3.817040,5.317217,6.437193,4.298170,-0.98163,0.10079
0.068,1,1,-3.752562,5.480878,4.777153,3.814707,5.310208,6.430060,4.296247,-1.00896,0.10106
0.069,1,1,-3.841241,5.477061,4.775014,3.812374,5.303199,6.422625,4.294249,-1.02751,0.10142
0.070,1,1,-3.929920,5.473245,4.772876,3.810042,5.296190,6.413168,4.291749,-1.04756,0.10121
0.071,1,1,-4.017169,5.469386,4.770659,3.807678,5.289134,6.403926,4.289141,-1.07553,0.10120
0.072,1,1,-4.076046,5.464674,4.766883,3.804703,5.281131,6.396125,4.285804,-1.10132,0.10151
0.073,1,1,-4.134923,5.459963,4.763106,3.801728,5.273128,6.388532,4.282458,-1.11681,0.10133
0.074,1,1,-4.193800,5.455252,4.759330,3.798752,5.265125,6.382336,4.279047,-1.13441,0.10103
0.075,1,1,-4.251307,5.450503,4.755650,3.795774,5.257095,6.376229,4.275733,-1.14882,0.10130
0.076,1,1,-4.281630,5.445007,4.753882,3.792737,5.248526,6.370709,4.273063,-1.16409,0.10132
0.077,1,1,-4.311954,5.439512,4.752115,3.789701,5.239957,6.365306,4.270458,-1.18713,0.10103
0.078,1,1,-4.342278,5.434016,4.750348,3.786664,5.231388,6.360688,4.268283,-1.21310,0.10116
0.079,1,1,-4.372070,5.428627,4.748595,3.783681,5.222835,6.356224,4.266127,-1.22658,0.10134
0.080,1,1,-4.391323,5.425341,4.747139,3.781764,5.214608,6.352792,4.264091,-1.24075,0.10123
0.081,1,1,-4.410575,5.422054,4.745682,3.779848,5.206380,6.349394,4.262139,-1.25429,0.10114
0.082,1,1,-4.429827,5.418768,4.744226,3.777931,5.198153,6.346220,4.260748,-1.27141,0.10131
0.083,1,1,-4.452742,5.415445,4.742956,3.776007,5.189948,6.342977,4.259510,-1.28888,0.10132
0.084,1,1,-4.548301,5.411380,4.745387,3.773937,5.182188,6.339263,4.259296,-1.30733,0.10097
0.085,1,1,-4.643859,5.407316,4.747818,3.771866,5.174428,6.335653,4.259177,-1.32021,0.10107
0.086,1,1,-4.739418,5.403252,4.750248,3.769795,5.166668,6.332739,4.259693,-1.33327,0.10130
0.087,1,1,-4.836027,5.399155,4.752668,3.767742,5.158914,6.330108,4.260212,-1.34178,0.10100
0.088,1,1,-4.953458,5.394414,4.754862,3.766039,5.151276,6.329369,4.260757,-1.35245,0.10070
0.089,1,1,-5.070889,5.389673,4.757056,3.764335,5.143638,6.328756,4.261230,-1.36574,0.10091
0.090,1,1,-5.188320,5.384932,4.759250,3.762632,5.136001,6.328991,4.261222,-1.38216,0.10092
0.091,1,1,-5.305937,5.380124,4.761282,3.760979,5.128368,6.329172,4.261101,-1.39159,0.10052
0.092,1,1,-5.427232,5.373981,4.760096,3.760326,5.120850,6.328985,4.260230,-1.39880,0.10038
0.093,1,1,-5.548528,5.367840,4.758911,3.759673,5.113331,6.328874,4.259347,-1.40871,0.10063
0.094,1,1,-5.669823,5.361698,4.757725,3.759021,5.105812,6.329275,4.258386,-1.41168,0.10053
0.095,1,1,-5.787889,5.355505,4.756577,3.758399,5.098300,6.329874,4.257514,-1.42667,0.09998
0.096,1,1,-5.841896,5.348309,4.756155,3.758393,5.090942,6.331798,4.257241,-1.43922,0.10026
0.097,1,1,-5.895903,5.341112,4.755734,3.758387,5.083583,6.333599,4.256983,-1.44496,0.10042
0.098,1,1,-5.949909,5.333915,4.755313,3.758381,5.076225,6.334577,4.256821,-1.44785,0.10003
0.099,1,1,-6.001263,5.326816,4.754914,3.758330,5.068875,6.335118,4.256593,-1.45355,0.09998
0.100,1,1,-5.999994,5.321672,4.754953,3.757380,5.061697,6.332734,4.255919,-1.45796,0.10029
0.101,1,1,-5.998724,5.316528,4.754992,3.756430,5.054518,6.330194,4.255297,-1.46278,0.10025
0.102,1,1,-5.997456,5.311385,4.755031,3.755480,5.047339,6.326613,4.255025,-1.47163,0.10016
0.103,1,1,-5.995832,5.306220,4.755118,3.754673,5.040175,6.323238,4.254934,-1.47368,0.10068
0.104,1,1,-5.987185,5.300647,4.756170,3.756713,5.033286,6.321230,4.256057,-1.47479,0.10077
