"Time","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","v3 R COP","60 RDS cle","58 R mark","57 rm dwn st","56 rm dwn sw","55 rmp up st","54 rmp up sw","53 Ramp down","52 Ramp up","51 right DS","50 left DS","49 lHL swoff","48 lHL swon","47 rHL swoff","46 rHL swon","45 Memory","44 lFL swon","43 rFL swoff","42 rFL swon","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","36 CoMx (cm)","34a FRx (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","35 FRy (cm)","29 HRx (cm)","v2 L COP","32a FLx (cm)","61 LDS cle","59 L mark","32 FLx (cm)","27 HLx (cm)","30 HRy (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,5.749436,2.531867,5.660370,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.232407,34.295216,88.759369,63.918106,15.934484,-11.901094,17.459833,6.697517,0,5.058919,14.897021,0.000000,18.056011,1,0,17.953156,13.266149,3.898717,6.303815,7.789231,17.858089,8.152307,15.330341,8.216228,14.678811,8.366673,13.884027,9.042358,15.449879,10.493214,14.772360,10.483858,15.814945,0,0.00150,0.00063,0.00141,0.00099,0.00054,0.00060,0.00413,0.00235,0.00015,0.10007,3.27756
0.001,5.748431,2.471334,5.663257,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.088715,34.389843,88.961632,63.614662,15.930273,-11.917288,17.448246,6.701370,0,5.058768,14.906965,0.000000,17.809437,1,0,17.970713,13.255050,3.896973,6.303501,7.789235,17.852211,8.146900,15.346426,8.208997,14.697076,8.354283,13.894546,9.043041,15.453171,10.489428,14.766779,10.479333,15.812969,0,0.00163,0.00063,0.00142,0.00101,0.00053,0.00059,0.00368,0.00209,0.00021,0.10019,3.27733
0.002,5.746916,2.372874,5.665690,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.212662,34.267620,89.220367,63.411015,15.928299,-11.979050,17.436569,6.704460,0,5.059004,14.913530,0.000000,17.604370,1,0,17.987928,13.243919,3.893720,6.303467,7.791654,17.838776,8.146683,15.358035,8.200992,14.708165,8.342782,13.902439,9.041990,15.454803,10.487258,14.763607,10.475685,15.810675,0,0.00173,0.00063,0.00145,0.00102,0.00052,0.00059,0.00356,0.00190,-0.00009,0.10004,3.27699
0.003,5.745319,2.263718,5.667995,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.412109,34.084240,89.495026,63.235512,15.926956,-12.053664,17.424866,6.707335,0,5.059350,14.919142,0.000000,17.411015,1,0,18.005047,13.232779,3.890043,6.303513,7.794754,17.823210,8.147929,15.368383,8.192769,14.717230,8.331532,13.909592,9.040451,15.455966,10.485543,14.761113,10.472284,15.808290,0,0.00162,0.00064,0.00147,0.00103,0.00051,0.00058,0.00348,0.00184,0.00006,0.09992,3.27661
0.004,5.743250,2.154562,5.670300,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.611557,33.900856,89.769691,63.060009,15.925612,-12.128280,17.413164,6.710209,0,5.059696,14.924754,0.000000,17.217655,1,0,18.022167,13.221639,3.886365,6.303559,7.797854,17.807642,8.149176,15.378731,8.184546,14.726295,8.320281,13.916745,9.038912,15.457129,10.483829,14.758620,10.468884,15.805906,0,0.00162,0.00065,0.00140,0.00104,0.00052,0.00058,0.00319,0.00183,0.00019,0.10008,3.27676
0.005,5.741107,2.045406,5.672605,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.810989,33.717476,90.044357,62.884506,15.924270,-12.202894,17.401463,6.713084,0,5.060041,14.930366,0.000000,17.024300,1,0,18.039286,13.210499,3.882687,6.303605,7.800954,17.792076,8.150422,15.389079,8.176323,14.735359,8.309031,13.923898,9.037373,15.458293,10.482115,14.756126,10.465483,15.803522,0,0.00169,0.00065,0.00125,0.00104,0.00050,0.00059,0.00300,0.00179,0.00009,0.10018,3.27706
0.006,5.738523,1.901475,5.674599,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.695740,33.518673,90.300690,62.847168,15.925298,-12.299253,17.389523,6.715143,0,5.060709,14.932703,0.000000,16.817900,1,0,18.055622,13.198940,3.878081,6.303879,7.802050,17.777193,8.148540,15.398825,8.172050,14.742681,8.292165,13.931762,9.034565,15.461403,10.477740,14.753320,10.462191,15.800602,0,0.00170,0.00069,0.00112,0.00107,0.00050,0.00058,0.00256,0.00129,0.00006,0.09990,3.27707
0.007,5.735869,1.747735,5.676507,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.773758,33.315517,90.551849,62.848793,15.926995,-12.401742,17.377514,6.716971,0,5.061468,14.934117,0.000000,16.607824,1,0,18.071737,13.187264,3.873213,6.304217,7.802580,17.762505,8.145778,15.408400,8.168891,14.749511,8.273715,13.939827,9.031399,15.465062,10.472616,14.750425,10.458929,15.797531,0,0.00170,0.00069,0.00109,0.00108,0.00051,0.00061,0.00209,0.00111,0.00025,0.09976,3.27699
0.008,5.732798,1.593994,5.678414,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,177.851791,33.112366,90.803009,62.850422,15.928693,-12.504232,17.365507,6.718800,0,5.062227,14.935531,0.000000,16.397747,1,0,18.087852,13.175588,3.868345,6.304556,7.803111,17.747816,8.143015,15.417975,8.165732,14.756341,8.255264,13.947891,9.028233,15.468721,10.467491,14.747530,10.455667,15.794459,0,0.00172,0.00069,0.00106,0.00109,0.00053,0.00061,0.00206,0.00105,-0.00009,0.09997,3.27710
0.009,5.729660,1.440254,5.680322,0.000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.929810,32.909210,91.054176,62.852047,15.930389,-12.606723,17.353498,6.720628,0,5.062986,14.936945,0.000000,16.187672,1,0,18.103966,13.163912,3.863477,6.304894,7.803642,17.733126,8.140252,15.427550,8.162574,14.763171,8.236814,13.955956,9.025066,15.472381,10.462367,14.744636,10.452406,15.791389,0,0.00178,0.00069,0.00105,0.00109,0.00053,0.00062,0.00144,0.00093,0.00025,0.09992,3.27725
