"Time","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","v3 R COP","60 RDS cle","58 R mark","57 rm dwn st","56 rm dwn sw","55 rmp up st","54 rmp up sw","53 Ramp down","52 Ramp up","51 right DS","50 left DS","49 lHL swoff","48 lHL swon","47 rHL swoff","46 rHL swon","45 Memory","44 lFL swon","43 rFL swoff","42 rFL swon","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","36 CoMx (cm)","34a FRx (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","35 FRy (cm)","29 HRx (cm)","v2 L COP","32a FLx (cm)","61 LDS cle","59 L mark","32 FLx (cm)","27 HLx (cm)","30 HRy (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,6.423098,1.503784,6.343768,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.604126,38.353848,77.984550,95.169853,11.885938,-11.248061,12.775524,6.906363,0,5.559815,8.845828,0.000000,16.453962,0,0,14.879331,8.291691,4.913414,7.210567,7.972615,12.861175,8.216100,8.607916,8.799529,8.426631,9.442037,8.059353,8.818644,9.675690,10.392998,9.918186,10.344092,11.005614,0,0.00096,0.00057,0.00695,0.00072,0.00055,0.00090,0.00306,0.00117,-1.47828,0.09677,3.27681
0.001,6.427036,1.572434,6.345912,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.125351,37.955044,78.085258,94.688499,11.889125,-11.256059,12.765259,6.903351,0,5.560290,8.866453,0.000000,16.230818,0,0,14.896835,8.278675,4.911015,7.210147,7.968529,12.846167,8.227418,8.623405,8.802443,8.444044,9.435402,8.072268,8.819312,9.693011,10.395581,9.923060,10.348182,11.013366,0,0.00100,0.00057,0.00726,0.00069,0.00055,0.00090,0.00300,0.00117,-1.48099,0.09664,3.27788
0.002,6.430918,1.627124,6.347841,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,165.904419,37.658340,78.381683,94.207336,11.893424,-11.253592,12.755029,6.900345,0,5.560981,8.884255,0.000000,16.020496,0,0,14.914134,8.265804,4.909014,7.209606,7.964630,12.834023,8.231728,8.644787,8.799264,8.462905,9.421082,8.083738,8.820476,9.710404,10.398402,9.926972,10.351344,11.019976,0,0.00099,0.00057,0.00758,0.00068,0.00054,0.00089,0.00330,0.00123,-1.48150,0.09692,3.27825
0.003,6.434744,1.663006,6.349483,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.030884,37.499207,78.941818,93.726448,11.899220,-11.237027,12.744843,6.897347,0,5.561965,8.898257,0.000000,15.827457,0,0,14.931154,8.253128,4.907550,7.208900,7.960981,12.825738,8.226593,8.674108,8.787878,8.483715,9.396409,8.093262,8.822309,9.727897,10.401545,9.929587,10.353255,11.025045,0,0.00100,0.00057,0.00728,0.00069,0.00053,0.00090,0.00345,0.00128,-1.48049,0.09718,3.27764
0.004,6.438502,1.698888,6.351124,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.157349,37.340076,79.501961,93.245552,11.905015,-11.220462,12.734659,6.894349,0,5.562948,8.912258,0.000000,15.634418,0,0,14.948174,8.240452,4.906087,7.208195,7.957333,12.817452,8.221458,8.703429,8.776492,8.504525,9.371735,8.102785,8.824141,9.745388,10.404686,9.932203,10.355167,11.030115,0,0.00101,0.00056,0.00700,0.00066,0.00052,0.00092,0.00384,0.00130,-1.47963,0.09703,3.27722
0.005,6.442193,1.734770,6.352766,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.283829,37.180943,80.062096,92.764656,11.910810,-11.203897,12.724475,6.891350,0,5.563932,8.926260,0.000000,15.441378,0,0,14.965195,8.227776,4.904624,7.207489,7.953684,12.809168,8.216324,8.732750,8.765106,8.525336,9.347061,8.112309,8.825973,9.762879,10.407828,9.934818,10.357079,11.035185,0,0.00109,0.00057,0.00689,0.00067,0.00053,0.00092,0.00363,0.00124,-1.48134,0.09684,3.27707
0.006,6.445847,1.777420,6.353920,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.369659,37.036491,80.572159,92.375351,11.909672,-11.179583,12.714354,6.888873,0,5.564978,8.944177,0.000000,15.232033,0,0,14.981797,8.215209,4.903832,7.206781,7.952046,12.800823,8.214650,8.758727,8.751449,8.542398,9.319646,8.120770,8.828172,9.779218,10.411393,9.937852,10.360208,11.040880,0,0.00123,0.00057,0.00704,0.00064,0.00055,0.00093,0.00349,0.00123,-1.47939,0.09731,3.27698
0.007,6.449466,1.829189,6.354419,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.400772,36.911819,81.014755,92.109451,11.899191,-11.144829,12.704316,6.887096,0,5.566107,8.967368,0.000000,15.000716,0,0,14.997836,8.202790,4.903948,7.206071,7.953118,12.792399,8.217640,8.780197,8.734731,8.554411,9.288538,8.127797,8.830866,9.794001,10.415529,9.941450,10.364977,11.047420,0,0.00125,0.00057,0.00715,0.00063,0.00053,0.00092,0.00359,0.00135,-1.47913,0.09751,3.27698
0.008,6.453068,1.880959,6.354917,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.431870,36.787151,81.457352,91.843559,11.888710,-11.110074,12.694280,6.885320,0,5.567236,8.990560,0.000000,14.769401,0,0,15.013875,8.190372,4.904064,7.205360,7.954190,12.783976,8.220629,8.801668,8.718012,8.566424,9.257430,8.134826,8.833560,9.808784,10.419665,9.945047,10.369746,11.053959,0,0.00128,0.00055,0.00704,0.00059,0.00055,0.00094,0.00399,0.00151,-1.49487,0.09732,3.27695
0.009,6.456653,1.932728,6.355416,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.462967,36.662479,81.899948,91.577660,11.878229,-11.075319,12.684243,6.883544,0,5.568366,9.013751,0.000000,14.538085,0,0,15.029914,8.177953,4.904179,7.204650,7.955263,12.775551,8.223619,8.823138,8.701294,8.578437,9.226322,8.141854,8.836254,9.823566,10.423801,9.948646,10.374516,11.060498,0,0.00129,0.00055,0.00705,0.00057,0.00055,0.00092,0.00366,0.00156,-1.48116,0.09732,3.27687
