"Time","51 right DS","50 left DS","v3 R COP","v2 L COP","v1 xCoM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0.000000,0.000000,6.725853,1.48468,0.09702,3.27721
0.001,0,0,0.000000,0.000000,6.733808,1.48293,0.09693,3.27706
0.002,0,0,0.000000,0.000000,6.742093,1.48239,0.09674,3.27708
0.003,0,0,0.000000,0.000000,6.750649,1.48445,0.09665,3.27731
0.004,0,0,0.000000,0.000000,6.759097,1.48537,0.09682,3.27747
0.005,0,0,0.000000,0.000000,6.767454,1.48293,0.09690,3.27755
0.006,0,0,0.000000,0.000000,6.776243,1.48361,0.09676,3.27738
0.007,0,0,0.000000,0.000000,6.785385,1.48354,0.09650,3.27692
0.008,0,0,0.000000,0.000000,6.795587,1.48384,0.09668,3.27699
0.009,0,0,0.000000,0.000000,6.806654,1.48499,0.09688,3.27767
0.010,0,0,0.000000,0.000000,6.818540,1.48491,0.09669,3.27784
0.011,0,0,0.000000,0.000000,6.831095,1.48216,0.09645,3.27738
0.012,0,0,0.000000,0.000000,6.844060,1.48376,0.09671,3.27720
0.013,0,0,0.000000,0.000000,6.857363,1.48560,0.09691,3.27735
0.014,0,0,0.000000,0.000000,6.871022,1.48392,0.09683,3.27740
0.015,0,0,0.000000,0.000000,6.884974,1.48552,0.09674,3.27732
0.016,0,0,0.000000,0.000000,6.899474,1.48323,0.09689,3.27728
0.017,0,0,0.000000,0.000000,6.914423,1.48392,0.09710,3.27728
0.018,0,0,0.000000,0.000000,6.930770,1.48483,0.09719,3.27732
0.019,0,0,0.000000,0.000000,6.948261,1.48460,0.09709,3.27739
0.020,0,0,0.000000,0.000000,6.967547,1.48285,0.09704,3.27726
0.021,0,0,0.000000,0.000000,6.988303,1.48376,0.09729,3.27688
0.022,0,0,0.000000,0.000000,7.008359,1.48445,0.09732,3.27681
0.023,0,0,0.000000,0.000000,7.027845,1.48346,0.09699,3.27712
0.024,0,0,0.000000,0.000000,7.044042,1.48254,0.09690,3.27725
0.025,0,0,0.000000,0.000000,7.057546,1.48438,0.09720,3.27717
0.026,0,0,0.000000,0.000000,7.068420,1.48376,0.09720,3.27706
0.027,0,0,0.000000,0.000000,7.077143,1.48651,0.09692,3.27691
0.028,0,0,0.000000,0.000000,7.084354,1.48483,0.09691,3.27690
0.029,0,0,0.000000,0.000000,7.090328,1.48415,0.09716,3.27705
0.030,0,0,0.000000,0.000000,7.093820,1.48399,0.09722,3.27741
0.031,0,0,0.000000,0.000000,7.095281,1.48331,0.09702,3.27802
0.032,0,0,0.000000,0.000000,7.092998,1.48476,0.09680,3.27789
0.033,0,0,0.000000,0.000000,7.087651,1.48407,0.09688,3.27690
0.034,0,0,0.000000,0.000000,7.078643,1.48361,0.09704,3.27679
0.035,0,0,0.000000,0.000000,7.066640,1.48308,0.09696,3.27770
0.036,0,0,0.000000,0.000000,7.051807,1.48514,0.09662,3.27799
0.037,0,0,0.000000,0.000000,7.034658,1.48422,0.09651,3.27753
0.038,0,0,0.000000,0.000000,7.017170,1.48514,0.09673,3.27721
0.039,0,0,0.000000,0.000000,6.999403,1.48331,0.09668,3.27706
0.040,0,0,0.000000,0.000000,6.983673,1.48361,0.09640,3.27691
0.041,0,0,0.000000,0.000000,6.969608,1.48430,0.09622,3.27675
0.042,0,0,1.592889,0.000000,6.957321,1.48598,0.09636,3.27678
0.043,1,0,4.489052,0.000000,6.946489,1.48338,0.09642,3.27701
0.044,1,0,5.791114,0.000000,6.936803,1.48438,0.09633,3.27710
0.045,1,0,5.788912,0.000000,6.928055,1.48338,0.09611,3.27702
0.046,1,0,5.786474,0.000000,6.921510,1.48422,0.09607,3.27698
0.047,1,0,5.783843,0.000000,6.916766,1.48514,0.09630,3.27698
0.048,1,0,5.780774,0.000000,6.914956,1.48361,0.09637,3.27705
0.049,1,0,5.777346,0.000000,6.915547,1.48453,0.09604,3.27720
0.050,1,0,5.773676,0.000000,6.916190,1.48338,0.09578,3.27721
0.051,1,0,5.769809,0.000000,6.916876,1.48453,0.09610,3.27706
0.052,1,0,5.765950,0.000000,6.914597,1.48369,0.09627,3.27701
0.053,1,0,5.762098,0.000000,6.909890,1.48216,0.09608,3.27709
0.054,1,0,5.758237,0.000000,6.903209,1.48216,0.09584,3.27717
0.055,1,0,5.754368,0.000000,6.894912,1.48415,0.09583,3.27724
0.056,1,0,5.750409,0.000000,6.886311,1.48514,0.09601,3.27728
0.057,1,0,5.746376,0.000000,6.877461,1.48399,0.09611,3.27728
0.058,1,0,5.742226,0.000000,6.867930,1.48476,0.09590,3.27707
0.059,1,0,5.737980,0.000000,6.857842,1.48323,0.09561,3.27661
0.060,1,0,5.733637,0.000000,6.846232,1.48468,0.09573,3.27644
0.061,1,0,5.729214,0.000000,6.833377,1.48567,0.09595,3.27659
0.062,1,0,5.724850,0.000000,6.818683,1.48331,0.09580,3.27685
0.063,1,0,5.720534,0.000000,6.802485,1.48438,0.09544,3.27723
0.064,1,0,5.716449,0.000000,6.784554,1.48453,0.09536,3.27712
0.065,1,0,5.712552,0.000000,6.765208,1.48483,0.09557,3.27643
0.066,1,0,5.708945,0.000000,6.745489,1.48659,0.09562,3.27638
0.067,1,0,5.705576,0.000000,6.725465,1.48315,0.09554,3.27706
0.068,1,0,5.702490,0.000000,6.706458,1.48483,0.09528,3.27740
0.069,1,0,5.699635,0.000000,6.688280,1.48262,0.09523,3.27732
0.070,1,0,5.696886,0.000000,6.671034,1.48399,0.09549,3.27707
0.071,1,0,5.694222,0.000000,6.654550,1.48247,0.09556,3.27661
0.072,1,0,5.691499,0.000000,6.638749,1.48453,0.09526,3.27672
0.073,1,0,5.688727,0.000000,6.623507,1.48514,0.09496,3.27748
0.074,1,0,5.685990,0.000000,6.609845,1.48407,0.09515,3.27768
0.075,1,0,5.683282,0.000000,6.597476,1.48468,0.09527,3.27722
0.076,1,0,5.680733,0.000000,6.587782,1.48430,0.09518,3.27701
