"Time","60 Right DS","67 xCoM","37a CoMy (cm)","v4 R Mos","v3 R COP","35 FRy (cm)","30 HRy (cm)","59 Left DS","v7 xCoM","v6 L Mos","v5 L COP","28 HLy (cm)","33 FLy (cm)","37b CoMy (cm)","37 CoMy (cm)"
0.000,1,,,,,,,1,,,,,,,
0.001,1,,,,,,,1,,,,,,,
0.002,1,,,,,,,1,,,,,,,
0.003,1,,,,,,,1,,,,,,,
0.004,1,,,,,,,1,,,,,,,
0.005,1,,,,,,,1,,,,,,,
0.006,1,,,,,,,1,,,,,,,
0.007,1,,,,,,,1,,,,,,,
0.008,1,,,,,,,1,,,,,,,
0.009,1,,,,,,,1,,,,,,,
0.010,1,,,,,,,1,,,,,,,
0.011,1,,,,,,,1,,,,,,,
0.012,1,,,,,,,1,,,,,,,
0.013,1,,,,,,,1,,,,,,,
0.014,1,,,,,,,1,,,,,,,
0.015,1,,,,,,,1,,,,,,,
0.016,1,,,,,,,1,,,,,,,
0.017,1,,,,,,,1,,,,,,,
0.018,1,,,,,,,1,,,,,,,
0.019,1,,,,,,,1,,,,,,,
0.020,1,,,,,,,1,,,,,,,
0.021,1,,,,,,,1,,,,,,,
0.022,1,,,,,,,1,,,,,,,
0.023,1,,,,,,,1,,,,,,,
0.024,1,,,,,,,1,,,,,,,
0.025,1,,,,,,,1,,,,,,,
0.026,1,,,,,,,1,,,,,,,
0.027,1,,,,,,,1,,,,,,,
0.028,1,,,,,,,1,,,,,,,
0.029,1,,,,,,,1,,,,,,,
0.030,1,,,,,,,1,,,,,,,
0.031,1,,,,,,,1,,,,,,,
0.032,1,,,,,,,1,,,,,,,
0.033,1,,,,,,,1,,,,,,,
0.034,1,,,,,,,1,,,,,,,
0.035,1,,,,,,,1,,,,,,,
0.036,1,,,,,,,1,,,,,,,
0.037,1,,,,,,,1,,,,,,,
0.038,1,,,,,,,1,,,,,,,
0.039,1,,,,,,,1,,,,,,,
0.040,1,,,,,,,1,,,,,,,
0.041,1,,,,,,,1,,,,,,,
0.042,1,5.071947,5.038850,,,4.323332,3.855896,1,5.071947,,,6.785746,5.900612,5.038850,0.622850
0.043,1,5.073206,5.036856,,,4.326403,3.856141,1,5.073206,,,6.783423,5.901587,5.036856,0.684074
0.044,1,5.074466,5.034862,5.072913,0.000000,4.329473,3.856385,1,5.074466,5.072913,0.000000,6.781101,5.902561,5.034862,0.745298
0.045,1,5.075725,5.032868,5.074992,0.000000,4.332544,3.856630,1,5.075725,5.074992,0.000000,6.778779,5.903536,5.032868,0.806522
0.046,1,5.078136,5.032052,5.078104,0.000000,4.335707,3.856897,1,5.078136,5.078104,0.000000,6.776429,5.904528,5.032052,0.867263
0.047,1,5.083726,5.034485,5.083150,0.000000,4.339124,3.857226,1,5.083726,5.083150,0.000000,6.774002,5.905568,5.034485,0.926669
0.048,1,5.089315,5.036918,5.088547,0.000000,4.342542,3.857555,1,5.089315,5.088547,0.000000,6.771574,5.906608,5.036918,0.986076
0.049,1,5.094905,5.039350,5.094602,0.000000,4.345959,3.857885,1,5.094905,5.094602,0.000000,6.769147,5.907648,5.039350,1.045483
0.050,1,5.100375,5.041730,5.100285,0.000000,4.349481,3.858324,1,5.100375,5.100285,0.000000,6.766675,5.908769,5.041730,1.103648
0.051,1,5.105517,5.043962,5.105269,0.000000,4.353292,3.859065,1,5.105517,5.105269,0.000000,6.764079,5.910113,5.043962,1.158386
0.052,1,5.110659,5.046196,5.110353,0.000000,4.357103,3.859807,1,5.110659,5.110353,0.000000,6.761482,5.911457,5.046196,1.213124
0.053,1,5.115800,5.048429,5.115625,0.000000,4.360915,3.860548,1,5.115800,5.115625,0.000000,6.758885,5.912801,5.048429,1.267862
0.054,1,5.121701,5.051486,5.121610,0.000000,4.364844,3.861336,1,5.121701,5.121610,0.000000,6.756096,5.914307,5.051486,1.321360
0.055,1,5.129698,5.056822,5.128933,0.000000,4.369101,3.862252,1,5.129698,5.128933,0.000000,6.752776,5.916260,5.056822,1.371437
