"Time","60 Right DS","59 Left DS","v6 L Mos","67 xCoM","37a CoMy (cm)","v4 R Mos","v7 xCoM","v3 R COP","v5 L COP"
0.000,1,1,,,,,,,
0.001,1,1,,,,,,,
0.002,1,1,,,,,,,
0.003,1,1,,,,,,,
0.004,1,1,,,,,,,
0.005,1,1,,,,,,,
0.006,1,1,,,,,,,
0.007,1,1,,,,,,,
0.008,1,1,,,,,,,
0.009,1,1,,,,,,,
0.010,1,1,,,,,,,
0.011,1,1,,,,,,,
0.012,1,1,,,,,,,
0.013,1,1,,,,,,,
0.014,1,1,,,,,,,
0.015,1,1,,,,,,,
0.016,1,1,,,,,,,
0.017,1,1,,,,,,,
0.018,1,1,,,,,,,
0.019,1,1,,,,,,,
0.020,1,1,,,,,,,
0.021,1,1,,,,,,,
0.022,1,1,,,,,,,
0.023,1,1,,,,,,,
0.024,1,1,,,,,,,
0.025,1,1,,,,,,,
0.026,1,1,,,,,,,
0.027,1,1,,,,,,,
0.028,1,1,,,,,,,
0.029,1,1,,,,,,,
0.030,1,1,,,,,,,
0.031,1,1,,,,,,,
0.032,1,1,,,,,,,
0.033,1,1,,,,,,,
0.034,1,1,,,,,,,
0.035,1,1,,,,,,,
0.036,1,1,,,,,,,
0.037,1,1,,,,,,,
0.038,1,1,,,,,,,
0.039,1,1,,,,,,,
0.040,1,1,,,,,,,
0.041,1,1,,,,,,,
0.042,1,1,,5.071947,5.038850,,5.071947,,
0.043,1,1,,5.073206,5.036856,,5.073206,,
0.044,1,1,-5.072913,5.074466,5.034862,5.072913,5.074466,0.000000,0.000000
0.045,1,1,-5.074992,5.075725,5.032868,5.074992,5.075725,0.000000,0.000000
0.046,1,1,-5.078104,5.078136,5.032052,5.078104,5.078136,0.000000,0.000000
0.047,1,1,-5.083150,5.083726,5.034485,5.083150,5.083726,0.000000,0.000000
0.048,1,1,-5.088547,5.089315,5.036918,5.088547,5.089315,0.000000,0.000000
0.049,1,1,-5.094602,5.094905,5.039350,5.094602,5.094905,0.000000,0.000000
0.050,1,1,-5.100285,5.100375,5.041730,5.100285,5.100375,0.000000,0.000000
0.051,1,1,-5.105269,5.105517,5.043962,5.105269,5.105517,0.000000,0.000000
0.052,1,1,-5.110353,5.110659,5.046196,5.110353,5.110659,0.000000,0.000000
0.053,1,1,-5.115625,5.115800,5.048429,5.115625,5.115800,0.000000,0.000000
0.054,1,1,-5.121610,5.121701,5.051486,5.121610,5.121701,0.000000,0.000000
0.055,1,1,-5.128933,5.129698,5.056822,5.128933,5.129698,0.000000,0.000000
0.056,1,1,-5.136690,5.137694,5.062158,5.136690,5.137694,0.000000,0.000000
0.057,1,1,-5.145260,5.145690,5.067493,5.145260,5.145690,0.000000,0.000000
0.058,1,1,-5.153702,5.153399,5.072587,5.153702,5.153399,0.000000,0.000000
0.059,1,1,-5.161904,5.160311,5.077017,5.161904,5.160311,0.000000,0.000000
0.060,1,1,-5.169277,5.167224,5.081447,5.169277,5.167224,0.000000,0.000000
0.061,1,1,-5.175100,5.174136,5.085876,5.175100,5.174136,0.000000,0.000000
0.062,1,1,-5.179675,5.179712,5.089018,5.179675,5.179712,0.000000,0.000000
0.063,1,1,-5.181911,5.181599,5.088608,5.181911,5.181599,0.000000,0.000000
0.064,1,1,-5.183921,5.183485,5.088198,5.183921,5.183485,0.000000,0.000000
0.065,1,1,-5.185503,5.185371,5.087788,5.185503,5.185371,0.000000,0.000000
0.066,1,1,-5.187827,5.187591,5.087630,5.187827,5.187591,0.000000,0.000000
0.067,1,1,-5.191536,5.190727,5.088167,5.191536,5.190727,0.000000,0.000000
0.068,1,1,-5.194880,5.193863,5.088704,5.194880,5.193863,0.000000,0.000000
0.069,1,1,-5.197537,5.196999,5.089241,5.197537,5.196999,0.000000,0.000000
0.070,1,1,-5.198786,5.199139,5.088669,5.198786,5.199139,0.000000,0.000000
0.071,1,1,-5.197397,5.198530,5.085042,5.197397,5.198530,0.000000,0.000000
0.072,1,1,-5.196505,5.197921,5.081413,5.196505,5.197921,0.000000,0.000000
