"Time","v3 L COP","v2 R COP","49 RDS cle","47 R marks","39 FRx (cm)","35 HRx (cm)","v1 xCoM","42 CoMy (cm)","50 LDS cle","48 L marks","37 FLx (cm)","33 HLx (cm)","3 Platform"
0.000,0.000000,0.000000,1,0,16.898457,13.055558,7.012484,6.920592,1,0,13.888843,13.573238,0.00015
0.001,0.000000,0.000000,1,0,16.906874,13.045298,7.006466,6.923094,1,0,13.890598,13.558399,-0.00015
0.002,0.000000,0.000000,1,0,16.915289,13.035036,6.997756,6.925597,1,0,13.892354,13.543559,0.00008
0.003,0.000000,0.000000,1,0,16.923706,13.024776,6.984001,6.928099,1,0,13.894110,13.528719,0.00008
0.004,0.000000,0.000000,1,0,16.931690,13.014542,6.966387,6.928720,1,0,13.896046,13.513879,0.00008
0.005,0.000000,0.000000,1,0,16.938316,13.004395,6.941545,6.923446,1,0,13.898546,13.499036,-0.00008
0.006,0.000000,0.000000,1,0,16.944944,12.994247,6.916981,6.918172,1,0,13.901047,13.484194,0.00015
0.007,0.000000,0.000000,1,0,16.951571,12.984100,6.892937,6.912898,1,0,13.903547,13.469352,-0.00008
0.008,0.000000,0.000000,1,0,16.957972,12.973929,6.872264,6.907725,1,0,13.906575,13.454545,-0.00015
0.009,0.000000,0.000000,1,0,16.963657,12.963683,6.857907,6.902865,1,0,13.911258,13.439852,0.00000
0.010,0.000000,0.000000,1,0,16.969345,12.953438,6.837838,6.898005,1,0,13.915939,13.425159,0.00015
0.011,0.000000,0.000000,1,0,16.975031,12.943192,6.807068,6.893146,1,0,13.920622,13.410465,0.00009
0.012,0.000000,0.000000,1,0,16.980375,12.932901,6.762312,6.888374,1,0,13.926003,13.395807,0.00001
0.013,0.000000,0.000000,1,0,16.984646,12.922475,6.691354,6.883880,1,0,13.933579,13.381263,-0.00015
0.014,0.000000,0.000000,1,0,16.988916,12.912048,6.618662,6.879386,1,0,13.941155,13.366718,-0.00007
0.015,0.000000,0.000000,1,0,16.993187,12.901621,6.542723,6.874892,1,0,13.948731,13.352173,-0.00008
0.016,0.000000,0.000000,1,0,16.997173,12.891211,6.476311,6.870360,1,0,13.957137,13.337647,-0.00023
0.017,0.000000,0.000000,1,0,17.000275,12.880848,6.427750,6.865710,1,0,13.968143,13.323183,0.00001
0.018,0.000000,0.000000,1,0,17.003376,12.870486,6.367129,6.861060,1,0,13.979148,13.308718,0.00000
0.019,0.000000,0.000000,1,0,17.006477,12.860125,6.283914,6.856410,1,0,13.990153,13.294252,0.00007
0.020,0.000000,0.000000,1,0,17.009241,12.849792,6.167650,6.835299,1,0,14.002062,13.279774,-0.00023
0.021,0.000000,0.000000,1,0,17.010939,12.839552,5.989467,6.762627,1,0,14.016799,13.265254,-0.00015
0.022,0.000000,0.000000,1,0,17.012638,12.829312,5.805184,6.689956,1,0,14.031536,13.250734,0.00007
0.023,0.000000,0.000000,1,0,17.014336,12.819072,5.609475,6.617285,1,0,14.046273,13.236215,0.00015
0.024,0.000000,0.000000,1,0,17.015701,12.808905,5.437950,6.561165,1,0,14.061863,13.223382,0.00000
0.025,0.000000,0.000000,1,0,17.016026,12.798968,5.311734,6.556889,1,0,14.080119,13.215835,-0.00015
0.026,0.000000,0.731157,1,1,17.016348,12.789031,5.189745,6.552612,1,0,14.098375,13.208287,0.00000
0.027,0.000000,2.832182,1,0,17.016672,12.779094,5.075675,6.548335,1,0,14.116632,13.200741,-0.00008
0.028,0.000000,4.201859,1,0,17.016668,12.769195,4.939785,6.527488,1,0,14.135862,13.192876,-0.00008
0.029,0.000000,4.201308,1,0,17.015644,12.759412,4.763012,6.454739,1,0,14.158149,13.184019,0.00000
0.030,0.000000,4.200924,1,0,17.014620,12.749629,4.578833,6.381990,1,0,14.180435,13.175162,-0.00007
0.031,0.000000,4.200853,1,0,17.013596,12.739846,4.380777,6.309241,1,0,14.202722,13.166306,-0.00008
0.032,0.000000,4.200603,1,0,17.012199,12.730118,4.197683,6.236487,1,0,14.225821,13.157239,-0.00023
0.033,0.000000,4.200016,1,0,17.009638,12.720561,4.042619,6.163719,1,0,14.251464,13.147517,-0.00001
0.034,0.000000,4.199590,1,0,17.007076,12.711004,3.906583,6.090950,1,0,14.277106,13.137796,0.00001
0.035,0.000000,4.199464,1,0,17.004515,12.701447,3.806198,6.018182,1,0,14.302750,13.128075,-0.00023
0.036,0.000000,4.199907,1,0,17.001579,12.691975,3.724462,5.945313,1,0,14.329377,13.118284,0.00015
0.037,0.000000,4.201412,1,0,16.997475,12.682767,3.677666,5.872131,1,0,14.359093,13.108281,0.00008
0.038,0.000000,4.203264,1,0,16.993368,12.673559,3.653428,5.798948,1,0,14.388807,13.098277,-0.00015
0.039,0.000000,4.205765,1,0,16.989264,12.664351,3.671456,5.725766,1,0,14.418522,13.088273,-0.00001
0.040,0.000000,4.208192,1,0,16.984837,12.655229,3.715074,5.670852,1,0,14.449050,13.078228,0.00023
0.041,0.000000,4.210481,1,0,16.979406,12.646369,3.806640,5.673159,1,0,14.482123,13.068052,0.00000
0.042,0.000000,4.212201,1,0,16.973976,12.637510,3.916819,5.675467,1,0,14.515197,13.057878,-0.00001
0.043,0.000000,4.212853,1,0,16.968546,12.628651,4.061873,5.677774,1,0,14.548270,13.047702,0.00008
0.044,0.000000,4.212671,1,0,16.962725,12.619989,4.215363,5.678275,1,0,14.582003,13.037541,0.00008
0.045,0.000000,4.210923,1,0,16.955673,12.611948,4.384658,5.673119,1,0,14.617798,13.027425,-0.00023
0.046,0.000000,4.209251,1,0,16.948624,12.603907,4.550950,5.667962,1,0,14.653592,13.017309,0.00015
0.047,0.000000,4.207723,1,0,16.941574,12.595865,4.711616,5.662806,1,0,14.689387,13.007193,-0.00007
0.048,0.000000,4.207114,1,0,16.934193,12.588304,4.859749,5.657636,1,0,14.725904,12.996948,-0.00015
0.049,0.000000,4.208229,1,0,16.925777,12.582241,4.984404,5.652426,1,0,14.764685,12.986299,0.00007
0.050,0.000000,4.209167,1,0,16.917360,12.576180,5.097688,5.647216,1,0,14.803465,12.975649,0.00016
0.051,0.000000,4.209776,1,0,16.908945,12.570117,5.189669,5.642007,1,0,14.842245,12.964999,-0.00007
0.052,0.000000,4.209035,1,0,16.900223,12.565150,5.273654,5.636680,1,0,14.881700,12.954303,0.00001
0.053,0.000000,4.205768,1,1,16.890549,12.563616,5.342660,5.630987,1,0,14.923266,12.943460,0.00000
0.054,0.000000,3.472204,0,0,16.880873,12.562080,5.402737,5.625294,1,0,14.964833,12.932619,0.00008
0.055,0.000000,1.370386,0,0,16.871197,12.560545,5.446087,5.619602,1,0,15.006400,12.921777,-0.00007
0.056,0.000000,0.000000,0,0,16.861422,12.560415,5.479764,5.615585,1,0,15.048444,12.910916,0.00001
0.057,0.000000,0.000000,0,0,16.851336,12.564689,5.495318,5.616820,1,0,15.091982,12.899996,0.00001
0.058,0.000000,0.000000,0,0,16.841248,12.568962,5.507255,5.618055,1,0,15.135519,12.889074,-0.00023
0.059,0.000000,0.000000,0,0,16.831161,12.573236,5.512412,5.619291,1,0,15.179057,12.878154,0.00007
0.060,0.000000,0.000000,0,0,16.821129,12.579021,5.520298,5.620415,1,0,15.222995,12.867262,0.00000
0.061,0.000000,0.000000,0,0,16.811266,12.589542,5.533296,5.621193,1,0,15.268182,12.856459,0.00000
0.062,0.000000,0.000000,0,0,16.801403,12.600065,5.547397,5.621971,1,0,15.313369,12.845655,0.00001
0.063,0.000000,0.000000,0,0,16.791540,12.610587,5.563561,5.622749,1,0,15.358556,12.834852,0.00008
0.064,0.000000,0.000000,0,0,16.781725,12.622573,5.577607,5.623274,1,0,15.404184,12.824094,0.00000
0.065,0.000000,0.000000,0,0,16.772057,12.639144,5.587682,5.623006,1,0,15.451193,12.813476,0.00015
0.066,0.000000,0.000000,0,0,16.762388,12.655715,5.595893,5.622738,1,0,15.498201,12.802856,0.00016
0.067,0.000000,0.000000,0,0,16.752720,12.672286,5.600612,5.622471,1,0,15.545210,12.792237,0.00009
0.068,0.000000,0.000000,0,0,16.743038,12.690118,5.604498,5.622156,1,0,15.592708,12.781653,-0.00008
0.069,0.000000,0.000000,0,0,16.733309,12.711900,5.606822,5.621695,1,0,15.641737,12.771178,0.00000
0.070,0.000000,0.000000,0,0,16.723581,12.733682,5.608197,5.621233,1,0,15.690766,12.760703,0.00007
