"Time","v2 R COP","49 RDS cle","47 R marks","46 HLr swoff","45 FLr swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","39 FRx (cm)","38 FLy (cm)","35a HRx (cm)","35 HRx (cm)","v3 L COP","37a FLx (cm)","42a CoMy (cm)","v1 xCoM","42 CoMy (cm)","52 HLl swoff","51 HLr swoff","50 LDS cle","48 L marks","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,0,7.264738,0.552789,12.459072,4.130208,35.658760,13.239556,7.041558,-10.599848,10.526927,0.000000,-12.236747,7.191080,6.566264,6.241627,0,0,0,0,13.626802,2.979395,7.085242,-51.206593,12.381662,158.442566,0,44.173912,53.491138,46.856941,8.566117,12.533118,8.082664,10.899001,8.095388,10.430115,8.307281,9.933511,8.954171,11.613132,9.812119,10.262652,10.057961,11.218072,0,0.11456,-0.09706,-0.05710,0.00505,0.00916,-0.01300,0.00705,0.00339,1.47430,0.11375,3.27707
0.001,0.000000,0,0,0,0,7.265660,0.552625,12.447629,4.062858,35.813480,13.275847,7.040085,-10.575212,10.516439,0.000000,-12.265531,6.864607,6.558879,6.248754,0,0,0,0,13.614538,2.977145,7.085520,-51.930210,12.318930,158.553482,0,44.107822,53.368629,46.873394,8.566113,12.651677,8.079798,10.882001,8.095691,10.412630,8.309291,9.918571,8.946203,11.601991,9.809265,10.254779,10.051607,11.210462,0,0.29846,-0.13222,0.02151,0.00398,0.00916,-0.01265,0.00467,0.00301,1.47369,0.11235,3.27686
0.002,0.000000,0,0,0,0,7.266582,0.552460,12.436186,3.995509,35.968197,13.312138,7.038612,-10.550575,10.505952,0.000000,-12.294315,6.538136,6.550612,6.255880,0,0,0,0,13.602274,2.974895,7.085798,-52.653824,12.256197,158.664413,0,44.041733,53.246120,46.889847,8.566108,12.770236,8.076931,10.865001,8.095993,10.395145,8.311300,9.903633,8.938235,11.590850,9.806411,10.246904,10.045253,11.202852,0,-0.35483,-0.13622,-0.01907,0.00386,0.00885,-0.01260,0.00443,0.00093,1.47507,0.11037,3.27739
0.003,0.000000,0,0,0,0,7.266772,0.552566,12.424850,3.931830,36.087696,13.348514,7.038013,-10.535508,10.495549,0.000000,-12.320272,6.201463,6.541685,6.262481,0,0,0,0,13.590000,2.973292,7.085974,-53.122715,12.192766,158.708344,0,43.997707,53.189854,47.035137,8.574404,12.901353,8.073689,10.848046,8.095418,10.378139,8.312335,9.889508,8.929677,11.580301,9.804159,10.240471,10.040513,11.195303,0,0.06854,0.01793,-0.04504,0.00331,0.00977,-0.01222,0.00592,0.00157,1.47452,0.11059,3.27747
0.004,0.000000,0,0,0,0,7.265503,0.553211,12.413731,3.875469,36.136971,13.385058,7.039160,-10.539521,10.485317,0.000000,-12.340592,5.844451,6.531918,6.268033,0,0,0,0,13.577709,2.972979,7.085946,-53.083672,12.127944,158.618729,0,43.997673,53.265675,47.437328,8.599249,13.057509,8.069696,10.831184,8.093094,10.362082,8.311427,9.877007,8.919939,11.570937,9.803106,10.236911,10.038995,11.187877,0,0.43112,-0.04532,-0.01477,0.00305,0.01007,-0.01268,0.00650,0.00322,1.47382,0.11391,3.27671
0.005,0.000000,0,0,0,0,7.264235,0.553855,12.402610,3.819109,36.186245,13.421603,7.040307,-10.543534,10.475084,0.000000,-12.360912,5.487439,6.521559,6.273585,0,0,0,0,13.565418,2.972666,7.085918,-53.044632,12.063122,158.529114,0,43.997639,53.341499,47.839523,8.624095,13.213667,8.065704,10.814322,8.090770,10.346025,8.310518,9.864505,8.910202,11.561573,9.802054,10.233351,10.037476,11.180450,0,-0.22113,0.10150,0.02844,0.00432,0.00931,-0.01227,0.00485,0.00330,1.47470,0.11703,3.27640
0.006,0.000000,0,0,0,0,7.262966,0.554500,12.391489,3.762748,36.235516,13.458149,7.041453,-10.547547,10.464851,0.000000,-12.381232,5.130427,6.510446,6.279137,0,0,0,0,13.553127,2.972353,7.085891,-53.005589,11.998300,158.439499,0,43.997604,53.417320,48.241718,8.648940,13.369823,8.061711,10.797460,8.088446,10.329968,8.309610,9.852003,8.900464,11.552209,9.801003,10.229791,10.035957,11.173023,0,-0.13187,0.13864,-0.05038,0.00342,0.00900,-0.01346,0.00510,0.00258,1.47519,0.11732,3.27694
0.007,0.000000,0,0,0,0,7.262571,0.554972,12.380738,3.725921,36.271290,13.494569,7.042389,-10.563615,10.454562,0.000000,-12.395385,4.766272,6.498812,6.284219,0,0,0,0,13.540689,2.972713,7.085962,-53.036793,11.949135,158.639587,0,43.632561,53.543873,48.646988,8.667456,13.520807,8.059860,10.784029,8.087797,10.316102,8.308250,9.838345,8.889966,11.541718,9.800495,10.226178,10.034209,11.166433,0,0.13211,0.00269,0.01096,0.00366,0.00824,-0.01300,0.00748,0.00322,1.47403,0.11292,3.27744
0.008,0.000000,0,0,0,0,7.263918,0.555099,12.370724,3.728044,36.280140,13.530741,7.042903,-10.603720,10.444162,0.000000,-12.397238,4.387872,6.486517,6.288361,0,0,0,0,13.527955,2.974413,7.086231,-53.208069,11.931190,159.417404,0,42.539680,53.771572,49.058388,8.673347,13.661475,8.062277,10.777441,8.090488,10.306603,8.305990,9.822377,8.877951,11.528978,9.801073,10.222460,10.032006,11.161511,0,-0.19589,0.09895,-0.07724,0.00453,0.00977,-0.01291,0.00522,0.00287,1.47366,0.11202,3.27790
0.009,0.000000,0,0,0,0,7.265265,0.555226,12.360709,3.730167,36.288990,13.566913,7.043418,-10.643824,10.433762,0.000000,-12.399090,4.009471,6.473754,6.292504,0,0,0,0,13.515223,2.976114,7.086501,-53.379341,11.913246,160.195206,0,41.446800,53.999275,49.469788,8.679240,13.802143,8.064694,10.770853,8.093181,10.297105,8.303730,9.806410,8.865934,11.516239,9.801652,10.218741,10.029803,11.156590,0,-0.26099,-0.24815,0.00272,0.00386,0.00717,-0.01155,0.00586,0.00227,1.47604,0.11749,3.27796
