"Time","v3 L COP","v2 R COP","49 RDS cle","47 R marks","39 FRx (cm)","35 HRx (cm)","v1 xCoM","42 CoMy (cm)","50 LDS cle","48 L marks","37 FLx (cm)","33 HLx (cm)","3 Platform"
0.000,0.000000,0.000000,0,0,17.109949,16.027140,5.817110,5.827004,0,0,18.298950,15.341232,1.48218
0.001,0.000000,0.000000,0,0,17.099310,16.016747,5.817653,5.826864,0,0,18.302353,15.330693,1.47702
0.002,0.000000,0.000000,0,0,17.088663,16.006355,5.818193,5.826713,0,0,18.305819,15.320262,1.47684
0.003,0.000000,0.000000,0,0,17.077991,15.995973,5.818725,5.826515,0,0,18.309544,15.310261,1.47557
0.004,0.000000,0.000000,0,0,17.067322,15.985589,5.819240,5.826317,0,0,18.313269,15.300259,1.47612
0.005,0.000000,0.000000,0,0,17.056650,15.975205,5.819714,5.826119,0,0,18.316994,15.290257,1.47530
0.006,0.000000,0.000000,0,0,17.045956,15.964780,5.820156,5.825928,0,0,18.320658,15.280356,1.47173
0.007,0.000000,0.000000,0,0,17.035162,15.954193,5.820525,5.825765,0,0,18.324089,15.270858,1.47634
0.008,0.000000,0.000000,0,0,17.024366,15.943605,5.820879,5.825602,0,0,18.327518,15.261360,1.47491
0.009,0.000000,0.000000,0,0,17.013573,15.933018,5.821201,5.825439,0,0,18.330950,15.251862,1.47573
0.010,0.000000,0.000000,0,0,17.002794,15.922453,5.821534,5.825298,0,0,18.334404,15.242455,1.47668
0.011,0.000000,0.000000,0,0,16.992081,15.911978,5.821887,5.825243,0,0,18.337950,15.233412,1.47725
0.012,0.000000,0.000000,0,0,16.981367,15.901502,5.822253,5.825188,0,0,18.341496,15.224369,1.47601
0.013,0.000000,0.000000,0,0,16.970654,15.891026,5.822646,5.825133,0,0,18.345041,15.215326,1.47488
0.014,0.000000,0.000000,0,0,16.959970,15.880530,5.823050,5.825076,0,0,18.348612,15.206339,1.47549
0.015,0.000000,0.000000,0,0,16.949400,15.869955,5.823476,5.825013,0,0,18.352276,15.197573,1.47564
0.016,0.000000,0.000000,0,0,16.938831,15.859380,5.823919,5.824950,0,0,18.355942,15.188806,1.47595
0.017,0.000000,0.000000,0,0,16.928263,15.848804,5.824401,5.824886,0,0,18.359606,15.180039,1.47500
0.018,0.000000,0.000000,0,0,16.917681,15.838198,5.824904,5.824850,0,0,18.363245,15.171371,1.47489
0.019,0.000000,0.000000,0,0,16.907043,15.827469,5.825456,5.824917,0,0,18.366791,15.163096,1.47672
0.020,0.000000,0.000000,0,0,16.896408,15.816739,5.826009,5.824985,0,0,18.370335,15.154821,1.47473
0.021,0.000000,0.000000,0,0,16.885771,15.806009,5.826567,5.825053,0,0,18.373880,15.146545,1.47431
0.022,0.000000,0.000000,0,0,16.875172,15.795206,5.827103,5.825112,0,0,18.377348,15.138404,1.47451
0.023,0.000000,0.000000,0,0,16.864716,15.784110,5.827593,5.825137,0,0,18.380508,15.130787,1.47609
0.024,0.000000,0.000000,0,0,16.854259,15.773014,5.828057,5.825162,0,0,18.383669,15.123170,1.47546
0.025,0.000000,0.000000,0,0,16.843803,15.761919,5.828460,5.825188,0,0,18.386831,15.115553,1.47436
0.026,0.000000,0.000000,0,0,16.833380,15.750916,5.828838,5.825223,0,0,18.389917,15.108031,1.47723
0.027,0.000000,0.000000,0,0,16.823078,15.740279,5.829158,5.825298,0,0,18.392714,15.100890,1.47780
0.028,0.000000,0.000000,0,0,16.812775,15.729643,5.829460,5.825373,0,0,18.395510,15.093749,1.47512
0.029,0.000000,0.000000,0,0,16.802473,15.719007,5.829724,5.825449,0,0,18.398306,15.086608,1.47554
0.030,0.000000,0.000000,0,0,16.792177,15.708364,5.829975,5.825534,0,0,18.400959,15.079557,1.47598
0.031,0.000000,0.000000,0,0,16.781906,15.697697,5.830197,5.825664,0,0,18.403051,15.072862,1.47609
0.032,0.000000,0.000000,0,0,16.771633,15.687030,5.830385,5.825794,0,0,18.405142,15.066166,1.47495
0.033,0.000000,0.000000,0,0,16.761362,15.676363,5.830493,5.825924,0,0,18.407232,15.059470,1.47631
0.034,0.000000,0.000000,0,0,16.751133,15.665753,5.830548,5.826025,0,0,18.409105,15.052842,1.47471
0.035,0.000000,0.000000,0,0,16.741079,15.655371,5.830482,5.826009,0,0,18.410120,15.046485,1.47607
0.036,1.105230,0.000000,0,0,16.731024,15.644987,5.830402,5.825994,0,0,18.411133,15.040127,1.47635
0.037,4.693640,0.000000,0,0,16.720970,15.634604,5.830292,5.825980,0,1,18.412146,15.033769,1.47431
0.038,7.176827,0.000000,0,0,16.710941,15.624204,5.830216,5.825957,1,0,18.412773,15.027408,1.47540
0.039,7.176852,0.000000,0,0,16.701017,15.613731,5.830219,5.825902,1,0,18.411871,15.021035,1.47647
0.040,7.177487,0.000000,0,0,16.691093,15.603259,5.830267,5.825846,1,0,18.410969,15.014663,1.47595
0.041,7.179494,0.000000,0,0,16.681170,15.592788,5.830416,5.825791,1,0,18.410067,15.008290,1.47860
0.042,7.181504,0.000000,0,0,16.671310,15.582303,5.830609,5.825759,1,0,18.408768,15.001911,1.47496
0.043,7.183519,0.000000,0,0,16.661703,15.571768,5.830901,5.825822,1,0,18.405901,14.995504,1.47664
0.044,7.184890,0.000000,0,0,16.652096,15.561234,5.831237,5.825885,1,0,18.403034,14.989098,1.47711
0.045,7.184813,0.000000,0,0,16.642488,15.550699,5.831674,5.825948,1,0,18.400167,14.982691,1.47670
0.046,7.183791,0.000000,0,0,16.632879,15.540148,5.832152,5.826053,1,0,18.397083,14.976267,1.47676
0.047,7.180650,0.000000,0,0,16.623262,15.529531,5.832720,5.826324,1,0,18.393135,14.969776,1.47623
0.048,7.177957,0.000000,0,0,16.613644,15.518913,5.833294,5.826594,1,0,18.389187,14.963284,1.47657
0.049,7.176268,0.000000,0,0,16.604025,15.508296,5.833882,5.826864,1,0,18.385241,14.956794,1.47621
0.050,7.176310,0.000000,0,0,16.594416,15.497703,5.834443,5.827139,1,0,18.380980,14.950358,1.47545
0.051,7.180241,0.000000,0,0,16.584837,15.487205,5.834942,5.827434,1,0,18.375479,14.944147,1.48329
0.052,7.184365,0.000000,0,0,16.575258,15.476706,5.835423,5.827729,1,0,18.369980,14.937936,1.47654
0.053,7.188923,0.000000,0,0,16.565680,15.466208,5.835865,5.828024,1,0,18.364481,14.931725,1.47720
0.054,7.191902,0.000000,0,0,16.556179,15.455720,5.836303,5.828331,1,0,18.358551,14.925527,1.47494
0.055,7.191333,0.000000,0,0,16.546988,15.445278,5.836738,5.828688,1,0,18.350927,14.919383,1.47626
0.056,7.190197,0.000000,0,0,16.537794,15.434835,5.837155,5.829045,1,0,18.343302,14.913239,1.47808
0.057,7.187784,0.000000,0,0,16.528603,15.424394,5.837533,5.829402,1,0,18.335676,14.907096,1.48022
0.058,7.186252,0.000000,0,0,16.519426,15.413983,5.837876,5.829727,1,0,18.327824,14.900944,1.47679
0.059,7.186697,0.000000,0,0,16.510319,15.403701,5.838137,5.829927,1,0,18.319071,14.894757,1.47485
0.060,7.187704,0.000000,0,0,16.501211,15.393418,5.838365,5.830128,1,0,18.310318,14.888572,1.47419
0.061,7.189971,0.000000,0,0,16.492104,15.383136,5.838518,5.830328,1,0,18.301565,14.882385,1.47704
0.062,7.192091,0.000000,0,0,16.483015,15.372835,5.838654,5.830515,1,0,18.292744,14.876185,1.47456
0.063,7.193883,0.000000,0,0,16.473993,15.362465,5.838751,5.830648,1,0,18.283651,14.869930,1.47676
0.064,7.195432,0.000000,0,0,16.464973,15.352095,5.838878,5.830782,1,0,18.274559,14.863675,1.47565
0.065,7.196437,0.000000,0,0,16.455954,15.341724,5.839072,5.830915,1,0,18.265467,14.857420,1.47612
0.066,7.197246,0.000000,0,0,16.446924,15.331321,5.839345,5.831061,1,0,18.256266,14.851133,1.47581
0.067,7.197613,0.000000,0,0,16.437855,15.320789,5.839795,5.831252,1,0,18.246632,14.844720,1.47585
