"Time","v2 R COP","49 RDS cle","48 L marks","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","42 CoMy (cm)","v1 xCoM","41 CoMx (cm)","39a FRx (cm)","39 FRx (cm)","35a HRx (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","37a FLx (cm)","37 FLx (cm)","33a HLx (cm)","33 HLx (cm)","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,1,0,0,0,0,7.047136,0.326744,-0.051998,5.662566,5.660298,16.400995,-9.975868,18.295441,-9.573383,13.815374,0.000000,1,9.772532,18.650326,-8.571582,13.856686,4.880709,6.558383,3.494566,6.850046,125.223160,0,84.876419,56.407227,88.359703,8.100340,18.898052,8.016027,14.237476,8.255677,13.969299,8.628733,14.012214,8.284379,15.676971,9.583294,15.154653,9.959882,16.174583,0,-0.01991,-0.01328,-0.02327,0.00325,0.00725,-0.01142,0.00585,0.00745,-1.49745,0.10645,3.27656
0.001,0.000000,1,0,0,0,0,7.047267,0.325854,0.005864,5.662510,5.662751,16.396790,-9.995777,18.285421,-9.586087,13.805827,0.000000,1,9.388245,18.660231,-8.635798,13.848168,4.879035,6.566557,3.494361,6.849935,125.053368,0,85.069405,56.460617,88.381241,8.101071,18.890268,8.016655,14.228340,8.254103,13.962904,8.627267,14.007141,8.282804,15.671876,9.582238,15.150854,9.957931,16.170301,0,-0.01545,-0.01365,-0.02017,0.00421,0.00338,-0.01322,0.00599,-0.00488,-1.49637,0.10557,3.27663
0.002,0.000000,1,0,0,0,0,7.046513,0.324029,0.063715,5.662483,5.665205,16.395409,-10.013987,18.275307,-9.602543,13.796232,0.000000,1,8.954780,18.669485,-8.703639,13.839417,4.876853,6.569017,3.494017,6.849767,124.877823,0,85.212685,56.564381,88.358414,8.101315,18.883568,8.016928,14.219331,8.251408,13.956683,8.625837,14.001850,8.282146,15.666744,9.582278,15.147474,9.956103,16.167337,0,-0.01870,-0.01390,-0.02075,0.00304,0.00602,-0.01190,0.00493,0.00465,-1.49765,0.10276,3.27686
0.003,0.000000,1,0,0,0,0,7.045758,0.322203,0.121566,5.662455,5.667691,16.394028,-10.032196,18.265192,-9.618999,13.786636,0.000000,1,8.521316,18.678740,-8.771479,13.830667,4.874670,6.571476,3.493674,6.849598,124.702271,0,85.355972,56.668140,88.335579,8.101558,18.876865,8.017200,14.210321,8.248713,13.950463,8.624407,13.996558,8.281487,15.661612,9.582318,15.144094,9.954277,16.164373,0,-0.01674,-0.01478,-0.02105,0.00343,0.00966,-0.01216,0.00525,0.00352,-1.49791,0.09879,3.27694
0.004,0.000000,1,0,0,0,0,7.045003,0.320377,0.179418,5.662427,5.670200,16.392647,-10.050405,18.255077,-9.635454,13.777041,0.000000,1,8.087851,18.687994,-8.839319,13.821916,4.872487,6.573936,3.493330,6.849430,124.526718,0,85.499252,56.771904,88.312744,8.101801,18.870163,8.017473,14.201312,8.246017,13.944242,8.622977,13.991267,8.280829,15.656480,9.582358,15.140716,9.952450,16.161409,0,-0.01803,-0.01279,-0.02037,0.00297,0.00941,-0.01326,0.00570,0.00126,-1.49848,0.09670,3.27686
0.005,0.000000,1,0,0,0,0,7.045661,0.321657,0.236785,5.662530,5.672781,16.388506,-10.064909,18.244987,-9.654963,13.767372,0.000000,1,7.632427,18.696232,-8.908027,13.812989,4.871184,6.569935,3.491403,6.849458,124.082680,0,85.823822,56.815689,88.278114,8.100901,18.861248,8.018167,14.194293,8.244617,13.938255,8.621241,13.987198,8.279871,15.652571,9.581554,15.137192,9.950828,16.158504,0,-0.01745,-0.01346,-0.02117,0.00372,0.00864,-0.01221,0.00544,0.00282,-1.49606,0.09558,3.27717
0.006,0.000000,1,0,0,0,0,7.047849,0.326302,0.293628,5.662776,5.675414,16.381374,-10.075399,18.234924,-9.677776,13.757624,0.000000,1,7.153216,18.703367,-8.977674,13.803873,4.870836,6.558936,3.487761,6.849699,123.347778,0,86.344788,56.794502,88.230690,8.098760,18.849932,8.019318,14.189429,8.244620,13.932520,8.619174,13.984453,8.278588,15.649985,9.579837,15.133513,9.949428,16.155661,0,-0.01695,-0.01234,-0.02033,0.00261,0.00814,-0.01244,0.00576,0.00148,-1.49550,0.09226,3.27785
0.007,0.000000,1,0,0,0,0,7.050037,0.330948,0.350471,5.663022,5.678132,16.374245,-10.085890,18.224861,-9.700590,13.747875,0.000000,1,6.674004,18.710505,-9.047322,13.794757,4.870487,6.547936,3.484118,6.849940,122.612885,0,86.865753,56.773312,88.183273,8.096619,18.838617,8.020468,14.184565,8.244624,13.926785,8.617106,13.981708,8.277305,15.647400,9.578119,15.129834,9.948027,16.152819,0,-0.01818,-0.01376,-0.01994,0.00281,0.00843,-0.01243,0.00524,0.00306,-1.49599,0.08795,3.27793
0.008,0.000000,1,0,0,0,0,7.052226,0.335593,0.407314,5.663267,5.680912,16.367113,-10.096380,18.214798,-9.723404,13.738127,0.000000,1,6.194793,18.717640,-9.116970,13.785641,4.870138,6.536937,3.480476,6.850181,121.877983,0,87.386711,56.752125,88.135857,8.094478,18.827303,8.021618,14.179701,8.244627,13.921050,8.615039,13.978963,8.276022,15.644815,9.576402,15.126156,9.946627,16.149977,0,-0.01590,-0.01271,-0.02185,0.00206,0.00921,-0.01152,0.00620,0.00313,-1.49971,0.08562,3.27740
0.009,0.000000,1,0,0,0,0,7.052886,0.337256,0.463539,5.663661,5.683777,16.359905,-10.102717,18.204676,-9.749553,13.728434,0.000000,1,5.712220,18.723677,-9.181449,13.776443,4.870601,6.579586,3.478729,6.850278,121.167755,0,87.852005,56.716503,88.118904,8.093103,18.815536,8.022708,14.175268,8.244964,13.915511,8.614276,13.976555,8.274412,15.642231,9.574734,15.123425,9.944688,16.147078,0,-0.01664,-0.01256,-0.02075,0.00098,0.00864,-0.01409,0.00381,0.00358,-1.49830,0.08421,3.27721
