"Time","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","v2 R COP","m3 RDS cle","m1 R marks","49 RDS cle","39 FRx (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","m4 LDS cle","m2 L marks","37 FLx (cm)","33 HLx (cm)","3 Platform","42 CoMy (cm)","v1 xCoM"
0.000,4.880709,6.558383,3.494566,6.850046,0.000000,1,0,1,18.295441,13.815374,0.000000,1,1,0,18.650326,13.856686,-1.49745,5.662566,5.660298
0.001,4.879035,6.566557,3.494361,6.849935,0.000000,1,0,1,18.285421,13.805827,0.000000,1,1,0,18.660231,13.848168,-1.49637,5.662510,5.662751
0.002,4.876853,6.569017,3.494017,6.849767,0.000000,1,0,1,18.275307,13.796232,0.000000,1,1,0,18.669485,13.839417,-1.49765,5.662483,5.665205
0.003,4.874670,6.571476,3.493674,6.849598,0.000000,1,0,1,18.265192,13.786636,0.000000,1,1,0,18.678740,13.830667,-1.49791,5.662455,5.667691
0.004,4.872487,6.573936,3.493330,6.849430,0.000000,1,0,1,18.255077,13.777041,0.000000,1,1,0,18.687994,13.821916,-1.49848,5.662427,5.670200
0.005,4.871184,6.569935,3.491403,6.849458,0.000000,1,0,1,18.244987,13.767372,0.000000,1,1,0,18.696232,13.812989,-1.49606,5.662530,5.672781
0.006,4.870836,6.558936,3.487761,6.849699,0.000000,1,0,1,18.234924,13.757624,0.000000,1,1,0,18.703367,13.803873,-1.49550,5.662776,5.675414
0.007,4.870487,6.547936,3.484118,6.849940,0.000000,1,0,1,18.224861,13.747875,0.000000,1,1,0,18.710505,13.794757,-1.49599,5.663022,5.678132
0.008,4.870138,6.536937,3.480476,6.850181,0.000000,1,0,1,18.214798,13.738127,0.000000,1,1,0,18.717640,13.785641,-1.49971,5.663267,5.680912
0.009,4.870601,6.579586,3.478729,6.850278,0.000000,1,0,1,18.204676,13.728434,0.000000,1,1,0,18.723677,13.776443,-1.49830,5.663661,5.683777
0.010,4.871941,6.680353,3.479038,6.850220,0.000000,1,0,1,18.194485,13.718802,0.000000,1,1,0,18.728521,13.767156,-1.49847,5.664215,5.686703
0.011,4.873282,6.781120,3.479346,6.850162,0.000000,1,0,1,18.184296,13.709171,0.000000,1,1,0,18.733366,13.757869,-1.50001,5.664769,5.689672
0.012,4.874623,6.881887,3.479654,6.850103,0.000000,1,0,1,18.174105,13.699540,0.000000,1,1,0,18.738209,13.748583,-1.49765,5.665323,5.692672
0.013,4.874218,6.932211,3.480542,6.849983,0.000000,1,0,1,18.163935,13.689745,0.000000,1,1,0,18.741934,13.739205,-1.49450,5.665934,5.695666
0.014,4.871924,6.927889,3.482060,6.849796,0.000000,1,0,1,18.153786,13.679772,0.000000,1,1,0,18.744446,13.729731,-1.49771,5.666606,5.698656
0.015,4.869630,6.923567,3.483577,6.849609,0.000000,1,0,1,18.143637,13.669799,0.000000,1,1,0,18.746958,13.720256,-1.50049,5.667279,5.701608
0.016,4.867335,6.919245,3.485094,6.849422,0.000000,1,0,1,18.133488,13.659826,0.000000,1,1,0,18.749468,13.710781,-1.49793,5.667952,5.704534
0.017,4.866310,6.916010,3.485294,6.849334,0.000000,1,0,1,18.123409,13.649818,0.000000,1,1,0,18.751432,13.701114,-1.49769,5.668698,5.707403
0.018,4.866658,6.913953,3.484068,6.849354,0.000000,1,0,1,18.113407,13.639773,0.000000,1,1,0,18.752800,13.691237,-1.49845,5.669526,5.710233
0.019,4.867006,6.911897,3.482842,6.849374,0.000000,1,0,1,18.103403,13.629728,0.000000,1,1,0,18.754169,13.681362,-1.49852,5.670352,5.713019
0.020,4.867354,6.909841,3.481616,6.849394,0.000000,1,0,1,18.093401,13.619683,0.000000,1,1,0,18.755539,13.671486,-1.49822,5.671179,5.715775
