"Time","v2 R COP","49 RDS cle","48 L marks","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","42 CoMy (cm)","v1 xCoM","41 CoMx (cm)","39a FRx (cm)","39 FRx (cm)","35a HRx (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","37a FLx (cm)","37 FLx (cm)","33a HLx (cm)","33 HLx (cm)","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,0,0,7.046467,0.318867,0.451575,5.946777,5.966320,16.721327,20.348927,18.310968,-11.506539,15.937983,0.000000,0,-9.772531,17.602554,28.601089,15.411970,4.823706,6.984756,4.257684,7.832952,175.315506,0,54.548767,66.991821,48.662987,8.455489,19.267326,8.049854,16.931141,8.065343,16.217310,8.169312,15.221003,9.444146,16.345625,9.886255,15.017343,10.486851,16.047064,0,-0.01667,-0.01202,-0.02159,0.00080,0.00817,-0.01190,0.00052,0.00595,-1.51656,0.10812,3.27707
0.001,0.000000,0,0,0,0,0,7.047682,0.320249,0.456030,5.946993,5.966772,16.727377,19.963543,18.332365,-11.699098,15.925707,0.000000,0,-9.760430,17.592688,28.438866,15.441358,4.814887,6.983809,4.260080,7.826101,174.775711,0,54.768391,66.602821,48.359158,8.421305,19.270212,8.052706,16.955469,8.066098,16.209553,8.174510,15.221952,9.447736,16.348400,9.882734,15.017726,10.482837,16.046469,0,-0.01788,-0.01383,-0.02024,0.00269,0.00770,-0.01471,0.00839,0.00315,-1.51725,0.10284,3.27646
0.002,0.000000,0,0,0,0,0,7.048491,0.321964,0.459007,5.947321,5.967292,16.732130,19.458681,18.352713,-11.894797,15.913336,0.000000,0,-9.744850,17.582890,28.208216,15.470077,4.802522,6.982746,4.259974,7.818698,174.780258,0,54.955399,66.372894,48.159637,8.359919,18.952431,8.053411,16.937210,8.068022,16.195656,8.176394,15.226438,9.451114,16.351171,9.878984,15.018199,10.480809,16.045481,0,-0.01801,-0.01373,-0.02059,0.00128,0.00834,-0.01097,0.00492,0.00153,-1.51581,0.09643,3.27631
0.003,0.000000,0,0,0,0,0,7.049008,0.323919,0.460922,5.947729,5.967844,16.735949,18.868008,18.372305,-12.092754,15.900895,0.000000,0,-9.726770,17.573145,27.928421,15.498316,4.787612,6.981600,4.258071,7.810899,175.175735,0,55.118980,66.257210,48.035034,8.278996,18.404343,8.052574,16.888369,8.070786,16.177349,8.175900,15.233461,9.454338,16.353941,9.875069,15.018736,10.480208,16.044210,0,-0.01636,-0.01230,-0.02051,0.00638,0.00914,-0.01391,0.00431,0.00133,-1.51533,0.09214,3.27646
0.004,0.000000,0,0,0,0,0,7.049526,0.325873,0.462837,5.948136,5.968320,16.739769,18.277336,18.391899,-12.290711,15.888454,0.000000,0,-9.708691,17.563398,27.648626,15.526555,4.772702,6.980454,4.256169,7.803100,175.571228,0,55.282566,66.141518,47.910435,8.198075,17.856255,8.051738,16.839525,8.073548,16.159042,8.175406,15.240485,9.457562,16.356709,9.871154,15.019273,10.479609,16.042940,0,-0.01717,-0.01324,-0.01993,0.00237,0.00815,-0.01298,0.00442,0.00375,-1.51655,0.08831,3.27661
0.005,0.000000,0,0,0,0,0,7.050043,0.327828,0.464752,5.948545,5.968763,16.743589,17.686663,18.411491,-12.488668,15.876015,0.000000,0,-9.690611,17.553654,27.368834,15.554794,4.757792,6.979308,4.254266,7.795301,175.966705,0,55.446148,66.025833,47.785831,8.117153,17.308167,8.050901,16.790684,8.076312,16.140736,8.174911,15.247509,9.460787,16.359478,9.867238,15.019811,10.479008,16.041670,0,-0.01724,-0.01482,-0.02042,0.00224,0.00846,-0.01167,0.00591,0.00309,-1.51754,0.08234,3.27676
0.006,0.000000,0,0,0,0,0,7.049461,0.327104,0.457520,5.948996,5.968972,16.746794,16.951582,18.429955,-12.637409,15.863249,0.000000,0,-9.667952,17.543936,27.046375,15.582129,4.744693,6.979396,4.251232,7.787584,175.866379,0,55.837074,65.902977,47.647400,8.103049,17.407673,8.047140,16.751085,8.073725,16.128706,8.174870,15.251157,9.462792,16.360773,9.863916,15.019483,10.477479,16.040714,0,-0.01810,-0.01365,-0.02073,-0.00034,0.00719,-0.01297,0.00388,0.00416,-1.51621,0.07611,3.27705
0.007,0.000000,0,0,0,0,0,7.048089,0.324456,0.443719,5.949479,5.969075,16.749559,16.112787,18.447603,-12.750802,15.850249,0.000000,0,-9.642003,17.534241,26.693277,15.608812,4.732895,6.980370,4.247386,7.779926,175.409943,0,56.391285,65.774963,47.499039,8.136934,17.972292,8.041280,16.718126,8.067295,16.121187,8.175154,15.252378,9.463923,16.361012,9.861020,15.018534,10.475284,16.039984,0,-0.01996,-0.01437,-0.01985,0.00412,0.00720,-0.01221,0.00527,0.00203,-1.51970,0.07569,3.27743
0.008,0.000000,0,0,0,0,0,7.046716,0.321809,0.429918,5.949963,5.968905,16.752323,15.273991,18.465254,-12.864195,15.837250,0.000000,0,-9.616055,17.524544,26.340179,15.635496,4.721097,6.981343,4.243540,7.772268,174.953506,0,56.945492,65.646950,47.350674,8.170819,18.536911,8.035419,16.685165,8.060865,16.113667,8.175438,15.253600,9.465055,16.361248,9.858125,15.017584,10.473088,16.039255,0,-0.01564,-0.01322,-0.02003,0.00520,0.01030,-0.01340,0.00627,0.00236,-1.51574,0.08943,3.27731
0.009,0.000000,0,0,0,0,0,7.045344,0.319161,0.416117,5.950446,5.968613,16.755087,14.435194,18.482904,-12.977588,15.824251,0.000000,0,-9.590107,17.514849,25.987082,15.662180,4.709299,6.982317,4.239694,7.764609,174.497086,0,57.499699,65.518936,47.202309,8.204704,19.101528,8.029559,16.652206,8.054436,16.106148,8.175722,15.254822,9.466185,16.361485,9.855228,15.016635,10.470893,16.038525,0,-0.02030,-0.01592,-0.02113,-0.00062,0.00731,-0.01383,0.00380,0.00067,-1.51502,0.10528,3.27686
