"Time","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","v2 R COP","m3 RDS cle","m1 R marks","49 RDS cle","39 FRx (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","m4 LDS cle","m2 L marks","37 FLx (cm)","33 HLx (cm)","3 Platform","42 CoMy (cm)","v1 xCoM"
0.000,4.823706,6.984756,4.257684,7.832952,0.000000,0,0,0,18.310968,15.937983,0.000000,0,0,0,17.602554,15.411970,-1.51656,5.946777,5.966320
0.001,4.814887,6.983809,4.260080,7.826101,0.000000,0,0,0,18.332365,15.925707,0.000000,0,0,0,17.592688,15.441358,-1.51725,5.946993,5.966772
0.002,4.802522,6.982746,4.259974,7.818698,0.000000,0,0,0,18.352713,15.913336,0.000000,0,0,0,17.582890,15.470077,-1.51581,5.947321,5.967292
0.003,4.787612,6.981600,4.258071,7.810899,0.000000,0,0,0,18.372305,15.900895,0.000000,0,0,0,17.573145,15.498316,-1.51533,5.947729,5.967844
0.004,4.772702,6.980454,4.256169,7.803100,0.000000,0,0,0,18.391899,15.888454,0.000000,0,0,0,17.563398,15.526555,-1.51655,5.948136,5.968320
0.005,4.757792,6.979308,4.254266,7.795301,0.000000,0,0,0,18.411491,15.876015,0.000000,0,0,0,17.553654,15.554794,-1.51754,5.948545,5.968763
0.006,4.744693,6.979396,4.251232,7.787584,0.000000,0,0,0,18.429955,15.863249,0.000000,0,0,0,17.543936,15.582129,-1.51621,5.948996,5.968972
0.007,4.732895,6.980370,4.247386,7.779926,0.000000,0,0,0,18.447603,15.850249,0.000000,0,0,0,17.534241,15.608812,-1.51970,5.949479,5.969075
0.008,4.721097,6.981343,4.243540,7.772268,0.000000,0,0,0,18.465254,15.837250,0.000000,0,0,0,17.524544,15.635496,-1.51574,5.949963,5.968905
0.009,4.709299,6.982317,4.239694,7.764609,0.000000,0,0,0,18.482904,15.824251,0.000000,0,0,0,17.514849,15.662180,-1.51502,5.950446,5.968613
0.010,4.706754,6.982529,4.237597,7.757124,0.000000,0,0,0,18.497665,15.811108,0.000000,0,0,0,17.505241,15.688039,-1.51581,5.950912,5.968046
0.011,4.710855,6.982195,4.236755,7.749763,0.000000,0,0,0,18.510353,15.797860,0.000000,0,0,0,17.495701,15.713305,-1.51900,5.951365,5.967356
0.012,4.714956,6.981861,4.235914,7.742403,0.000000,0,0,0,18.523041,15.784614,0.000000,0,0,0,17.486158,15.738572,-1.51623,5.951818,5.966398
0.013,4.719057,6.981526,4.235073,7.735042,0.000000,0,0,0,18.535728,15.771366,0.000000,0,0,0,17.476616,15.763839,-1.51849,5.952271,5.965319
