"Time","v2 R COP","49 RDS cle","48 L marks","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","42 CoMy (cm)","v1 xCoM","41 CoMx (cm)","39a FRx (cm)","39 FRx (cm)","35a HRx (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","37a FLx (cm)","37 FLx (cm)","33a HLx (cm)","33 HLx (cm)","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,0,0,7.167947,0.487185,-0.278272,5.697281,5.685291,16.818541,-8.556087,17.815687,5.098517,15.500449,0.000000,0,11.219920,18.158461,-20.173571,15.960263,4.748001,6.989106,4.220281,6.852379,165.165833,0,44.010319,55.458138,69.932709,8.144994,18.393995,8.178128,15.883036,8.345249,15.323050,8.686033,14.765743,9.055692,16.425034,10.008628,15.399512,10.533064,16.427273,0,-0.01709,-0.01341,-0.01910,0.00343,0.00757,-0.01256,0.00592,0.00829,0.24994,0.09151,3.27707
0.001,0.000000,0,0,0,0,0,7.163393,0.480330,-0.413043,5.696552,5.678852,16.810682,-8.109827,17.806456,5.492697,15.506159,0.000000,0,9.841434,18.176819,-20.153503,15.939852,4.748741,6.990795,4.219662,6.859798,165.933731,0,43.819016,55.292595,69.386673,8.141195,18.379713,8.175480,15.884679,8.346178,15.325632,8.684911,14.762692,9.060769,16.420574,10.006856,15.388788,10.528261,16.417973,0,-0.01736,-0.01263,-0.01993,0.00168,0.03674,-0.01166,0.00540,0.00009,0.20172,0.09181,3.27738
0.002,0.000000,0,0,0,0,0,7.158840,0.473475,-0.547814,5.695823,5.672181,16.802822,-7.663567,17.797226,5.886878,15.511868,0.000000,0,8.462948,18.195177,-20.133436,15.919439,4.749481,6.992484,4.219042,6.867216,166.701614,0,43.627708,55.127052,68.840630,8.137397,18.365431,8.172831,15.886321,8.347108,15.328214,8.683788,14.759643,9.065846,16.416113,10.005084,15.378065,10.523458,16.408672,0,-0.01770,-0.01392,-0.02188,0.00450,0.03571,-0.01021,0.00790,0.01186,0.17761,0.09186,3.27713
0.003,0.000000,0,0,0,0,1,7.154286,0.466620,-0.682585,5.695094,5.665483,16.794964,-7.217307,17.787996,6.281058,15.517578,0.000000,0,7.084461,18.213533,-20.113369,15.899028,4.750220,6.994172,4.218423,6.874635,167.469498,0,43.436405,54.961514,68.294594,8.133598,18.351149,8.170181,15.887963,8.348037,15.330795,8.682666,14.756593,9.070924,16.411654,10.003312,15.367341,10.518656,16.399372,0,-0.01587,-0.01260,0.00684,0.00290,0.05814,-0.01193,-0.00323,-0.01816,0.15106,0.09482,3.27674
0.004,0.000000,0,0,0,0,0,7.149984,0.467311,-0.816572,5.694019,5.658662,16.790730,-6.550405,17.779852,6.600239,15.525060,0.000000,0,5.700706,18.213614,-20.048170,15.878800,4.749025,6.999086,4.219789,6.881701,167.563171,0,43.479301,54.883293,67.709976,8.133133,18.342581,8.169578,15.902307,8.348853,15.335605,8.683322,14.756334,9.079422,16.409489,10.005383,15.359528,10.516904,16.394503,0,-0.02307,-0.01462,-0.02328,0.00992,0.02090,-0.01282,0.00974,0.01874,0.12482,0.09681,3.27673
0.005,0.000000,0,0,0,0,0,7.145748,0.469961,-0.950354,5.692854,5.651826,16.787436,-5.826259,17.771988,6.899961,15.533002,0.000000,0,4.315583,18.208952,-19.971260,15.858621,4.747327,7.004837,4.221671,6.888675,167.481918,0,43.582958,54.827728,67.115349,8.133531,18.335493,8.169505,15.919944,8.349640,15.340991,8.684439,14.756801,9.088808,16.407921,10.008451,15.352468,10.515944,16.390783,0,-0.01630,-0.01160,-0.02637,-0.00221,-0.01678,-0.01172,0.00262,-0.01839,0.09705,0.09558,3.27681
0.006,0.000000,0,0,0,0,0,7.141511,0.472611,-1.084137,5.691689,5.644765,16.784142,-5.102112,17.764124,7.199683,15.540944,0.000000,0,2.930460,18.204290,-19.894350,15.838441,4.745630,7.010587,4.223552,6.895648,167.400650,0,43.686619,54.772167,66.520729,8.133929,18.328405,8.169432,15.937582,8.350427,15.346377,8.685555,14.757267,9.098194,16.406353,10.011520,15.345410,10.514983,16.387064,0,-0.01855,-0.01161,-0.01489,0.01221,-0.03928,-0.01543,0.01334,0.03065,0.07080,0.09327,3.27707
0.007,0.000000,0,0,0,0,0,7.137274,0.475260,-1.217920,5.690525,5.637679,16.780849,-4.377965,17.756260,7.499404,15.548885,0.000000,0,1.545338,18.199629,-19.817440,15.818261,4.743932,7.016338,4.225434,6.902623,167.319397,0,43.790276,54.716602,65.926102,8.134328,18.321318,8.169359,15.955219,8.351213,15.351764,8.686673,14.757732,9.107580,16.404783,10.014588,15.338351,10.514023,16.383347,0,-0.01791,-0.01402,0.02423,0.00191,-0.01642,-0.01317,0.00400,-0.00674,0.01877,0.09313,3.27738
0.008,0.000000,0,0,0,0,0,7.131948,0.472811,-1.356754,5.688958,5.630225,16.776442,-3.491024,17.752014,7.687338,15.557432,0.000000,0,0.927655,18.195292,-19.683506,15.798438,4.741618,7.016891,4.224144,6.909460,167.985352,0,43.151638,54.745323,65.657707,8.132785,18.310244,8.177956,15.953236,8.359878,15.347749,8.685863,14.753802,9.109031,16.400291,10.015124,15.333055,10.509871,16.378410,0,-0.01712,-0.01369,-0.01685,0.00450,0.12897,-0.01472,0.00607,0.02309,-0.00717,0.09106,3.27731
0.009,0.000000,0,0,0,0,0,7.126338,0.469038,-1.496900,5.687287,5.622731,16.771744,-2.561847,17.748707,7.846269,15.566135,0.000000,0,0.509081,18.191038,-19.534779,15.778707,4.739143,7.016096,4.222031,6.916262,168.845184,0,42.320412,54.795910,65.473938,8.130739,18.298136,8.188802,15.946160,8.370585,15.341295,8.684553,14.748731,9.108422,16.395039,10.015004,15.328218,10.504889,16.373159,0,-0.01843,-0.01376,-0.02164,0.00496,0.09213,-0.01027,-0.00330,-0.00737,-0.03098,0.08624,3.27716
0.010,0.000000,0,0,0,0,0,7.120728,0.465265,-1.637045,5.685617,5.614810,16.767046,-1.632671,17.745399,8.005200,15.574840,0.000000,0,0.090508,18.186785,-19.386049,15.758976,4.736669,7.015301,4.219918,6.923064,169.705002,0,41.489185,54.846497,65.290176,8.128693,18.286026,8.199648,15.939085,8.381293,15.334841,8.683243,14.743660,9.107815,16.389788,10.014883,15.323380,10.499909,16.367907,0,-0.01862,-0.01305,-0.01129,0.00313,0.13434,-0.01123,-0.00070,0.01962,-0.04990,0.08117,3.27707
0.011,0.000000,0,0,0,0,0,7.115118,0.461492,-1.777190,5.683946,5.606841,16.762348,-0.703494,17.742090,8.164131,15.583543,0.000000,0,-0.328066,18.182531,-19.237320,15.739245,4.734194,7.014506,4.217805,6.929866,170.564819,0,40.657963,54.897083,65.106415,8.126646,18.273918,8.210494,15.932010,8.392001,15.328386,8.681933,14.738588,9.107206,16.384535,10.014762,15.318542,10.494928,16.362656,0,-0.01862,-0.01324,-0.01062,0.00336,0.03455,-0.01160,0.00665,-0.02141,-0.08453,0.07792,3.27699
0.012,0.000000,0,0,0,0,0,7.112072,0.458389,-1.925247,5.681849,5.598423,16.758617,0.247011,17.743170,8.231237,15.592100,0.000000,0,0.043067,18.178291,-18.985117,15.719921,4.731504,7.014795,4.214994,6.936660,170.412888,0,40.125755,54.893028,64.728668,8.123670,18.262939,8.226877,15.923345,8.398511,15.324460,8.680234,14.735153,9.108248,16.380381,10.013944,15.312819,10.489754,16.360950,0,-0.01913,-0.01422,-0.02231,0.00267,0.01315,-0.01103,0.00809,0.00021,-0.10773,0.09050,3.27673
0.013,0.000000,0,0,0,0,0,7.109690,0.455461,-2.075356,5.679640,5.589954,16.755136,1.203050,17.745386,8.274520,15.600619,0.000000,0,0.619087,18.174053,-18.706068,15.700703,4.728758,7.015365,4.212002,6.943452,169.998474,0,39.671127,54.874798,64.300606,8.120451,18.252253,8.244696,15.914266,8.403932,15.321189,8.678433,14.732142,9.109715,16.376511,10.012943,15.306869,10.484529,16.360165,0,-0.01660,-0.01328,-0.05716,0.00389,0.00671,-0.01196,-0.00934,0.01001,-0.16144,0.11153,3.27643
