"Time","47 RDS cle","45 R marks","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","v2 R COP","v3 L COP","48 LDS cle","46 L marks","42 CoMy (cm)","v1 xCoM","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","39 FRx (cm)","35a HRx (cm)","35 HRx (cm)","37a FLx (cm)","37 FLx (cm)","33a HLx (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,1,0,7.482223,1.165724,5.542337,0.000000,0.000000,1,0,4.566424,4.813549,14.543566,4.533491,7.936077,13.887041,12.858330,12.299275,-6.623836,16.530626,4.963180,6.087149,4.130219,6.006341,13.041723,175.171707,0,53.424946,88.696594,70.936272,8.384147,11.670868,8.974627,13.313787,9.030930,13.094779,9.838772,12.474238,9.878728,14.072737,11.167976,14.005952,11.075820,14.692658,0,-0.01853,-0.01427,-0.02142,0.00375,0.00783,-0.01520,0.00626,0.00334,0.00015,0.11032,3.27652
0.001,1,0,7.482903,1.167131,5.467730,0.000000,0.000000,1,0,4.571927,4.816262,14.556791,4.475941,8.521181,13.893048,12.816427,12.312041,-6.828389,16.523811,5.623117,6.103342,4.108523,6.021077,13.046469,174.978622,0,57.447826,87.456398,70.909019,8.376765,12.553591,8.931190,13.222207,8.930333,13.022335,9.838994,12.467914,9.835989,14.065748,11.136805,14.006268,11.026821,14.700290,0,-0.01683,-0.01382,-0.02142,0.00289,0.00272,-0.01449,-0.01020,0.00294,0.00030,0.10670,3.27683
0.002,1,0,7.483583,1.168537,5.393122,0.000000,0.000000,1,0,4.577431,4.818394,14.570018,4.418391,9.106285,13.899055,12.774526,12.324808,-7.032942,16.516994,6.283055,6.119536,4.086828,6.035813,13.051213,174.785522,0,61.470707,86.216194,70.881760,8.369383,13.436315,8.887753,13.130627,8.829736,12.949891,9.839216,12.461589,9.793249,14.058761,11.105633,14.006584,10.977823,14.707920,0,-0.01824,-0.01133,-0.02157,0.00306,0.00942,-0.01428,-0.00694,0.00285,0.00015,0.10421,3.27702
0.003,1,0,7.484264,1.169943,5.318514,0.000000,0.000000,1,0,4.582934,4.820143,14.583243,4.360841,9.691389,13.905062,12.732624,12.337574,-7.237495,16.510178,6.942993,6.135730,4.065132,6.050550,13.055959,174.592438,0,65.493584,84.975998,70.854507,8.362001,14.319037,8.844316,13.039046,8.729139,12.877446,9.839438,12.455264,9.750509,14.051772,11.074461,14.006901,10.928824,14.715551,0,-0.01924,-0.01602,-0.02227,0.00280,0.00835,-0.01541,0.00545,0.00469,0.00015,0.09963,3.27709
0.004,1,0,7.485976,1.170484,5.223792,0.000000,0.000000,1,0,4.588316,4.821314,14.597069,4.303411,10.451549,13.911515,12.687516,12.350270,-7.440984,16.502773,7.672615,6.151847,4.043456,6.065450,13.062387,172.991089,0,64.982544,87.840469,75.723671,8.358270,14.775738,8.801438,12.987497,8.664053,12.809136,9.862794,12.351032,9.731279,13.944633,11.042396,14.001950,10.886706,14.719045,0,-0.01843,-0.01255,-0.02018,0.00387,0.00887,-0.01362,0.00520,0.00219,0.00001,0.09393,3.27693
0.005,1,0,7.488737,1.170146,5.108631,0.000000,0.000000,1,0,4.593576,4.822102,14.611503,4.246105,11.389586,13.918424,12.639153,12.362894,-7.643392,16.494768,8.473045,6.167888,4.021800,6.080517,13.070525,169.958771,0,59.864449,94.875809,85.568237,8.358246,14.799544,8.759130,12.976625,8.635051,12.745026,9.909654,12.147316,9.735939,13.735727,11.009423,13.991647,10.851582,14.718334,0,-0.01880,-0.01288,-0.02038,0.00344,0.01000,-0.01221,0.00641,0.00272,-0.00015,0.09033,3.27655
0.006,1,0,7.491498,1.169808,4.993470,0.000000,0.000000,1,0,4.598836,4.822173,14.625937,4.188798,12.327624,13.925333,12.590788,12.375518,-7.845799,16.486765,9.273477,6.183928,4.000144,6.095584,13.078664,166.926453,0,54.746353,101.911156,95.412811,8.358223,14.823350,8.716822,12.965754,8.606049,12.680915,9.956514,11.943599,9.740598,13.526821,10.976451,13.981344,10.816456,14.717624,0,-0.01804,-0.01307,-0.02126,0.00333,0.00870,-0.01385,0.00623,0.00186,0.00000,0.08775,3.27656
0.007,1,0,7.494259,1.169469,4.878308,0.000000,0.000000,1,0,4.604096,4.821771,14.640370,4.131492,13.265662,13.932241,12.542424,12.388142,-8.048206,16.478762,10.073908,6.199969,3.978488,6.110651,13.086802,163.894135,0,49.628258,108.946495,105.257378,8.358199,14.847157,8.674514,12.954882,8.577046,12.616804,10.003374,11.739882,9.745257,13.317916,10.943479,13.971042,10.781330,14.716913,0,-0.01806,-0.01232,-0.02408,-0.00364,0.00919,-0.01286,0.00941,0.00345,0.00000,0.08322,3.27694
0.008,1,0,7.495589,1.168957,4.739246,0.000000,0.000000,1,0,4.609100,4.820517,14.656328,4.104609,14.278007,13.945379,12.175304,12.400727,-8.249141,16.470499,10.896376,6.215806,3.956865,6.125722,13.097054,159.077545,0,47.318081,110.938858,109.804726,8.358119,14.861373,8.635516,12.945021,8.548633,12.567406,10.019539,11.655427,9.716234,13.225054,10.910680,13.964046,10.743754,14.715693,0,-0.01974,-0.01398,-0.02037,0.00471,0.00823,-0.01361,0.00543,0.00314,0.00015,0.07811,3.27729
0.009,1,0,7.495465,1.168267,4.575897,0.000000,0.000000,1,0,4.613843,4.818700,14.673834,4.108642,15.365856,13.964847,11.484287,12.413277,-8.448578,16.461975,11.741237,6.231437,3.935276,6.140797,13.109452,152.447906,0,47.861111,107.806908,108.969414,8.357981,14.865845,8.599881,12.936186,8.520815,12.532955,10.004514,11.692158,9.652987,13.250108,10.878058,13.960411,10.703690,14.713956,0,-0.01729,-0.01397,-0.02344,0.00264,0.01092,-0.01377,0.00490,0.00203,0.00015,0.07515,3.27759
