"Time","47 RDS cle","45 R marks","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","v2 R COP","v3 L COP","48 LDS cle","46 L marks","42 CoMy (cm)","v1 xCoM","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","39 FRx (cm)","35a HRx (cm)","35 HRx (cm)","37a FLx (cm)","37 FLx (cm)","33a HLx (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,7.747629,1.423377,0.770427,0.000000,0.000000,0,0,4.290616,4.324609,16.978640,3.605441,-8.958936,17.541351,15.463235,14.198736,31.155502,18.797398,-8.948835,5.430680,3.654883,5.783612,15.417050,177.849152,0,48.314251,70.099297,90.489799,8.467055,19.121403,8.653465,15.064258,9.063765,14.912810,9.844991,14.616790,9.272990,16.111004,10.642230,16.136576,10.665120,16.912636,0,-0.01995,-0.01210,-0.02385,0.00233,0.00802,-0.01383,0.00669,0.00219,1.47820,0.11550,3.27773
0.001,0,0,7.745313,1.425090,0.898214,0.000000,0.000000,0,0,4.291244,4.331231,16.975233,3.605130,-8.924878,17.532421,15.439404,14.214794,31.234186,18.829388,-8.962151,5.435958,3.659348,5.784297,15.408242,177.974854,0,47.510040,70.282257,90.766792,8.467080,19.179800,8.658657,15.061434,9.072451,14.912034,9.856966,14.606235,9.278506,16.098000,10.648417,16.134087,10.668456,16.906527,0,-0.01758,-0.01326,-0.01896,0.00280,0.00758,-0.01326,0.00580,0.00297,1.47841,0.11466,3.27808
0.002,0,0,7.744513,1.422823,1.039644,0.000000,0.000000,0,0,4.292289,4.338300,16.972727,3.604595,-8.889811,17.523441,15.336188,14.230690,31.163902,18.861115,-8.992594,5.441514,3.664553,5.784959,15.399437,177.646011,0,46.878052,70.345436,90.902916,8.466958,19.185614,8.663608,15.061216,9.082369,14.910547,9.865275,14.598211,9.282147,16.088137,10.653873,16.130154,10.670487,16.901232,0,-0.01625,-0.01315,-0.02188,0.00213,0.00778,-0.01242,0.00273,0.00201,1.47860,0.11331,3.27754
0.003,0,0,7.743713,1.420555,1.181073,0.000000,0.000000,0,0,4.293333,4.345528,16.970219,3.604061,-8.854743,17.514462,15.232973,14.246586,31.093618,18.892843,-9.023037,5.447071,3.669758,5.785622,15.390632,177.317169,0,46.246059,70.408615,91.039047,8.466836,19.191425,8.668558,15.060999,9.092288,14.909060,9.873585,14.590189,9.285789,16.078274,10.659329,16.126221,10.672518,16.895937,0,-0.02039,-0.01301,-0.02220,0.00370,0.00719,-0.01409,0.00795,0.00270,1.47944,0.10933,3.27722
0.004,0,0,7.742914,1.418288,1.322502,0.000000,0.000000,0,0,4.294378,4.353097,16.967712,3.603526,-8.819675,17.505482,15.129758,14.262482,31.023335,18.924572,-9.053480,5.452626,3.674963,5.786284,15.381826,176.988312,0,45.614067,70.471794,91.175171,8.466714,19.197239,8.673509,15.060781,9.102206,14.907574,9.881894,14.582167,9.289431,16.068413,10.664785,16.122290,10.674548,16.890642,0,-0.01753,-0.01318,-0.02089,0.00295,0.00812,-0.01309,0.00546,0.00334,1.47641,0.10608,3.27760
0.005,0,0,7.742238,1.417133,1.465276,0.000000,0.000000,0,0,4.295534,4.360785,16.964767,3.602962,-8.787799,17.496592,15.013142,14.278147,30.904726,18.956154,-9.087363,5.458279,3.680314,5.786961,15.372950,176.868912,0,45.064922,70.506958,91.241821,8.466276,19.168261,8.678450,15.060773,9.111078,14.905427,9.890277,14.574337,9.293131,16.058722,10.669900,16.117863,10.676085,16.885103,0,-0.01801,-0.01356,-0.02192,0.00227,0.00787,-0.01385,0.00812,0.00334,1.47770,0.10544,3.27775
0.006,0,0,7.742018,1.420114,1.613046,0.000000,0.000000,0,0,4.297104,4.368729,16.960194,3.602290,-8.767782,17.488039,14.846710,14.292951,30.606495,18.987196,-9.134028,5.464292,3.686208,5.787687,15.363804,177.528030,0,44.823715,70.437988,91.050224,8.464666,19.009964,8.683352,15.061537,9.116058,14.900826,9.898931,14.567227,9.297050,16.049675,10.673746,16.111605,10.675782,16.878664,0,-0.01870,-0.01394,-0.02144,0.00407,0.00880,-0.01172,0.00399,0.00135,1.47887,0.10318,3.27714
0.007,0,0,7.741799,1.423094,1.760816,0.000000,0.000000,0,0,4.298674,4.376793,16.955620,3.601618,-8.747765,17.479485,14.680279,14.307755,30.308262,19.018238,-9.180694,5.470304,3.692101,5.788414,15.354658,178.187134,0,44.582508,70.369026,90.858620,8.463058,18.851669,8.688253,15.062302,9.121038,14.896225,9.907584,14.560117,9.300967,16.040628,10.677591,16.105347,10.675480,16.872225,0,-0.01783,-0.01415,-0.02146,0.00177,0.00897,-0.01102,0.00612,0.00983,1.47736,0.09857,3.27674
0.008,0,0,7.741580,1.426074,1.908585,0.000000,0.000000,0,0,4.300244,4.385116,16.951046,3.600946,-8.727748,17.470932,14.513847,14.322559,30.010031,19.049280,-9.227359,5.476316,3.697995,5.789140,15.345513,178.846252,0,44.341301,70.300064,90.667023,8.461448,18.693373,8.693155,15.063066,9.126019,14.891623,9.916238,14.553007,9.304886,16.031582,10.681437,16.099089,10.675179,16.865784,0,-0.01800,-0.01337,-0.02220,0.00336,0.00892,-0.01326,0.00486,-0.00037,1.47711,0.09563,3.27705
0.009,0,0,7.740542,1.428283,2.052902,0.000000,0.000000,0,0,4.302053,4.393541,16.947178,3.600266,-8.716399,17.462391,14.342575,14.337098,29.679491,19.080057,-9.273278,5.482448,3.703941,5.789857,15.336299,179.137756,0,44.151459,70.313042,90.549377,8.456993,18.566492,8.698164,15.063649,9.131413,14.885107,9.924195,14.544944,9.308661,16.021803,10.685030,16.093576,10.674826,16.859783,0,-0.01785,-0.01319,-0.02083,0.00331,0.00883,-0.01385,-0.00081,0.00451,1.47867,0.09511,3.27723
