"Time","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","47 RDS cle","45 R marks","42a CoMy (cm)","v2 R COP","v3 L COP","48 LDS cle","46 L marks","42 CoMy (cm)","v1 xCoM","3 Platform"
0.000,3.605441,5.430680,3.654883,5.783612,0,0,0.770427,0.000000,0.000000,0,0,4.290616,4.324609,1.47820
0.001,3.605130,5.435958,3.659348,5.784297,0,0,0.898214,0.000000,0.000000,0,0,4.291244,4.331231,1.47841
0.002,3.604595,5.441514,3.664553,5.784959,0,0,1.039644,0.000000,0.000000,0,0,4.292289,4.338300,1.47860
0.003,3.604061,5.447071,3.669758,5.785622,0,0,1.181073,0.000000,0.000000,0,0,4.293333,4.345528,1.47944
0.004,3.603526,5.452626,3.674963,5.786284,0,0,1.322502,0.000000,0.000000,0,0,4.294378,4.353097,1.47641
0.005,3.602962,5.458279,3.680314,5.786961,0,0,1.465276,0.000000,0.000000,0,0,4.295534,4.360785,1.47770
0.006,3.602290,5.464292,3.686208,5.787687,0,0,1.613046,0.000000,0.000000,0,0,4.297104,4.368729,1.47887
0.007,3.601618,5.470304,3.692101,5.788414,0,0,1.760816,0.000000,0.000000,0,0,4.298674,4.376793,1.47736
0.008,3.600946,5.476316,3.697995,5.789140,0,0,1.908585,0.000000,0.000000,0,0,4.300244,4.385116,1.47711
0.009,3.600266,5.482448,3.703941,5.789857,0,0,2.052902,0.000000,0.000000,0,0,4.302053,4.393541,1.47867
0.010,3.599557,5.489024,3.710078,5.790538,0,0,2.184385,0.000000,0.000000,0,0,4.304753,4.402189,1.47856
0.011,3.598847,5.495600,3.716216,5.791219,0,0,2.315868,0.000000,0.000000,0,0,4.307452,4.410786,1.48057
0.012,3.598137,5.502176,3.722353,5.791901,0,0,2.447351,0.000000,0.000000,0,0,4.310152,4.419271,1.48069
0.013,3.597421,5.508822,3.728554,5.792557,0,0,2.573626,0.000000,0.000000,0,0,4.312885,4.427555,1.47843
0.014,3.596681,5.515728,3.734994,5.793121,0,0,2.680542,0.000000,0.000000,0,0,4.315746,4.435407,1.47923
0.015,3.595941,5.522635,3.741433,5.793686,0,0,2.787457,0.000000,0.000000,0,0,4.318607,4.443128,1.47797
0.016,3.595201,5.529541,3.747873,5.794251,0,0,2.894373,0.000000,0.000000,0,0,4.321468,4.450566,1.47656
0.017,3.594440,5.536455,3.754370,5.794780,0,0,2.999070,0.000000,0.000000,0,0,4.324394,4.457992,1.47592
0.018,3.593603,5.543402,3.761084,5.795175,0,0,3.095521,0.000000,0.000000,0,0,4.327559,4.465388,1.47603
