"Time","47 RDS cle","45 R marks","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","v2 R COP","v3 L COP","48 LDS cle","46 L marks","42 CoMy (cm)","v1 xCoM","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","39 FRx (cm)","35a HRx (cm)","35 HRx (cm)","37a FLx (cm)","37 FLx (cm)","33a HLx (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,7.516715,1.171517,-6.579452,0.000000,0.000000,0,0,4.729308,4.435864,16.642294,3.800125,7.292050,18.508474,57.848690,9.815278,-9.774985,18.400509,-21.216078,4.902722,7.664441,7.299112,14.191683,148.388489,0,167.574219,160.731201,10.112101,8.307376,19.436398,11.821305,12.169311,11.588357,12.666563,9.827540,13.784860,7.017099,14.807428,6.969429,16.635515,12.699682,8.438415,0,-0.02310,-0.01492,-0.02045,0.01019,0.00842,-0.01376,0.00491,0.00267,-0.72314,0.11926,3.27723
0.001,0,0,7.515701,1.171359,-6.684510,0.000000,0.000000,0,0,4.722557,4.424627,16.632982,3.798195,7.234541,18.515453,61.879086,9.896784,-9.640726,18.390413,-20.995829,4.901008,7.665029,7.298413,14.169672,147.089874,0,167.869843,160.829926,11.397848,8.301643,19.433775,11.828783,12.179325,11.606319,12.674445,9.838992,13.782893,7.020698,14.806732,6.836350,16.634985,13.048420,6.935333,0,-0.01474,-0.02065,-0.02029,-0.00391,0.00830,-0.01364,0.00214,-0.00870,-0.75812,0.11751,3.27776
0.002,0,0,7.514147,1.169786,-6.780519,0.000000,0.000000,0,0,4.715741,4.413652,16.625923,3.796113,7.199425,18.522364,65.245316,9.978097,-9.477313,18.380539,-20.711102,4.899235,7.664736,7.297041,14.147810,146.638809,0,168.016937,160.904205,12.124718,8.306106,19.491367,11.834035,12.183714,11.617286,12.677626,9.847875,13.780117,7.023658,14.804886,6.703345,16.633223,13.237659,6.113918,0,-0.02222,0.02855,-0.02213,0.01463,0.00854,-0.01430,0.00595,0.00984,-0.79050,0.11763,3.27754
0.003,0,0,7.511942,1.166513,-6.865647,0.000000,0.000000,0,0,4.708848,4.402884,16.621569,3.793850,7.191240,18.529188,67.812798,10.059179,-9.278839,18.370934,-20.348829,4.897389,7.663383,7.294862,14.126126,147.207062,0,167.985413,160.949112,12.179458,8.322828,19.621372,11.836609,12.181336,11.619839,12.675152,9.853667,13.776369,7.025851,14.801654,6.570426,16.629978,13.235080,6.112305,0,-0.02032,-0.02280,-0.02090,-0.00052,0.00876,-0.01260,0.00696,0.00130,-0.81451,0.11819,3.27648
0.004,0,0,7.509738,1.163240,-6.950775,0.000000,0.000000,0,0,4.701956,4.392201,16.617214,3.791586,7.183054,18.536015,70.380280,10.140262,-9.080365,18.361326,-19.986557,4.895543,7.662030,7.292682,14.104443,147.775314,0,167.953903,160.994034,12.234198,8.339552,19.751379,11.839184,12.178959,11.622392,12.672678,9.859459,13.772620,7.028044,14.798422,6.437507,16.626732,13.232501,6.110693,0,-0.00986,-0.01306,-0.02060,0.00690,0.00836,-0.01358,0.00171,0.00839,-0.83374,0.11675,3.27605
0.005,0,0,7.507534,1.159967,-7.035903,0.000000,0.000000,0,0,4.695063,4.381584,16.612860,3.789323,7.174869,18.542839,72.947754,10.221344,-8.881892,18.351719,-19.624285,4.893697,7.660677,7.290503,14.082759,148.343567,0,167.922379,161.038940,12.288938,8.356275,19.881384,11.841758,12.176581,11.624945,12.670204,9.865251,13.768871,7.030237,14.795190,6.304588,16.623486,13.229921,6.109080,0,-0.02014,-0.00444,-0.02029,0.00641,0.00891,-0.01347,0.00565,0.00221,-0.85483,0.11516,3.27636
0.006,0,0,7.506617,1.157372,-7.118741,0.000000,0.000000,0,0,4.687963,4.370856,16.608562,3.786949,7.187154,18.549788,74.295174,10.301441,-8.646395,18.342577,-19.229809,4.891875,7.658976,7.288135,14.062470,148.498093,0,167.856461,161.088730,12.339839,8.420188,19.991732,11.842036,12.167041,11.629742,12.663932,9.868436,13.765675,7.029575,14.792363,6.230321,16.620388,13.227788,6.107806,0,-0.02344,-0.01343,-0.02182,0.00729,0.01035,-0.01357,0.00644,0.00328,-0.87570,0.11528,3.27656
0.007,0,0,7.507249,1.155590,-7.198824,0.000000,0.000000,0,0,4.680615,4.360043,16.604332,3.784443,7.224059,18.556885,74.175293,10.380356,-8.366372,18.333994,-18.796602,4.890080,7.656854,7.285541,14.043858,148.155075,0,167.749176,161.144379,12.386124,8.540856,20.078438,11.839553,12.148886,11.637236,12.653090,9.868486,13.763142,7.025478,14.790024,6.226593,16.617470,13.226192,6.106939,0,-0.03159,-0.01953,-0.02243,-0.00732,0.00888,-0.01295,0.00681,0.00801,-0.91058,0.11444,3.27663
0.008,0,0,7.507881,1.153809,-7.278908,0.000000,0.000000,0,0,4.673266,4.349124,16.600103,3.781937,7.260964,18.563982,74.055405,10.459270,-8.086350,18.325413,-18.363396,4.888285,7.654732,7.282947,14.025246,147.812057,0,167.641907,161.200027,12.432407,8.661524,20.165142,11.837070,12.130731,11.644730,12.642248,9.868536,13.760609,7.021382,14.787684,6.222865,16.614552,13.224594,6.106071,0,-0.03244,0.00821,-0.02243,-0.00623,0.00897,-0.01335,0.00589,0.00946,-0.93872,0.11156,3.27667
0.009,0,0,7.508513,1.152028,-7.358992,0.000000,0.000000,0,0,4.665918,4.338125,16.595873,3.779431,7.297870,18.571077,73.935524,10.538185,-7.806327,18.316830,-17.930189,4.886490,7.652610,7.280353,14.006633,147.469040,0,167.534622,161.255692,12.478692,8.782191,20.251848,11.834586,12.112576,11.652224,12.631407,9.868587,13.758076,7.017286,14.785344,6.219136,16.611633,13.222998,6.105204,0,-0.01685,-0.02710,-0.02060,0.00331,0.00781,-0.01170,0.00491,0.00389,-0.96036,0.10969,3.27667
0.010,0,0,7.506559,1.151516,-7.443689,0.000000,0.000000,0,0,4.658563,4.327047,16.592346,3.776506,7.332795,18.578449,72.584496,10.616628,-7.480068,18.308842,-17.532190,4.884716,7.648818,7.277823,13.989405,147.337112,0,167.446304,161.354935,12.561940,8.807051,20.297497,11.829810,12.094585,11.656032,12.624681,9.867284,13.756251,7.008957,14.783260,6.215378,16.607737,13.221833,6.104582,0,-0.01843,-0.01245,-0.02197,0.00403,0.00757,-0.01463,0.00607,0.00336,-0.97763,0.10915,3.27664
0.011,0,0,7.501494,1.152529,-7.533933,0.000000,0.000000,0,0,4.651200,4.315907,16.589664,3.773077,7.365339,18.586153,69.752838,10.694503,-7.098200,18.301571,-17.176535,4.882967,7.643019,7.275370,13.973842,147.459045,0,167.380814,161.506607,12.689642,8.716686,20.293772,11.822276,12.076794,11.655407,12.622905,9.864355,13.755279,6.995538,14.781483,6.211585,16.602665,13.221187,6.104255,0,-0.01797,-0.01274,-0.02182,0.00322,0.01041,-0.01361,0.00742,0.00381,-0.99628,0.10688,3.27656
0.012,0,0,7.496428,1.153543,-7.624177,0.000000,0.000000,0,0,4.643837,4.304522,16.586983,3.769648,7.397883,18.593855,66.921188,10.772378,-6.716333,18.294300,-16.820879,4.881219,7.637219,7.272916,13.958279,147.580978,0,167.315323,161.658295,12.817343,8.626323,20.290045,11.814742,12.059002,11.654782,12.621129,9.861425,13.754307,6.982120,14.779706,6.207791,16.597593,13.220541,6.103928,0,-0.01895,-0.01317,-0.02090,0.00336,0.00876,-0.01303,0.00513,0.00160,-1.01508,0.10301,3.27656
