"Time","40 FRy (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","47 RDS cle","45 R marks","42a CoMy (cm)","v2 R COP","v3 L COP","48 LDS cle","46 L marks","42 CoMy (cm)","v1 xCoM","3 Platform"
0.000,3.800125,4.902722,7.664441,7.299112,0,0,-6.579452,0.000000,0.000000,0,0,4.729308,4.435864,-0.72314
0.001,3.798195,4.901008,7.665029,7.298413,0,0,-6.684510,0.000000,0.000000,0,0,4.722557,4.424627,-0.75812
0.002,3.796113,4.899235,7.664736,7.297041,0,0,-6.780519,0.000000,0.000000,0,0,4.715741,4.413652,-0.79050
0.003,3.793850,4.897389,7.663383,7.294862,0,0,-6.865647,0.000000,0.000000,0,0,4.708848,4.402884,-0.81451
0.004,3.791586,4.895543,7.662030,7.292682,0,0,-6.950775,0.000000,0.000000,0,0,4.701956,4.392201,-0.83374
0.005,3.789323,4.893697,7.660677,7.290503,0,0,-7.035903,0.000000,0.000000,0,0,4.695063,4.381584,-0.85483
0.006,3.786949,4.891875,7.658976,7.288135,0,0,-7.118741,0.000000,0.000000,0,0,4.687963,4.370856,-0.87570
0.007,3.784443,4.890080,7.656854,7.285541,0,0,-7.198824,0.000000,0.000000,0,0,4.680615,4.360043,-0.91058
0.008,3.781937,4.888285,7.654732,7.282947,0,0,-7.278908,0.000000,0.000000,0,0,4.673266,4.349124,-0.93872
0.009,3.779431,4.886490,7.652610,7.280353,0,0,-7.358992,0.000000,0.000000,0,0,4.665918,4.338125,-0.96036
0.010,3.776506,4.884716,7.648818,7.277823,0,0,-7.443689,0.000000,0.000000,0,0,4.658563,4.327047,-0.97763
0.011,3.773077,4.882967,7.643019,7.275370,0,0,-7.533933,0.000000,0.000000,0,0,4.651200,4.315907,-0.99628
0.012,3.769648,4.881219,7.637219,7.272916,0,0,-7.624177,0.000000,0.000000,0,0,4.643837,4.304522,-1.01508
0.013,3.766219,4.879470,7.631420,7.270463,0,0,-7.714421,0.000000,0.000000,0,0,4.636474,4.292943,-1.04465
0.014,3.762571,4.877483,7.624352,7.268109,0,0,-7.812300,0.000000,0.000000,0,0,4.628899,4.280954,-1.07062
0.015,3.758661,4.875208,7.615760,7.265875,0,0,-7.919363,0.000000,0.000000,0,0,4.621070,4.268645,-1.08734
0.016,3.754751,4.872934,7.607168,7.263641,0,0,-8.026424,0.000000,0.000000,0,0,4.613240,4.256042,-1.10617
0.017,3.750841,4.870659,7.598576,7.261407,0,0,-8.133487,0.000000,0.000000,0,0,4.605411,4.243207,-1.12457
0.018,3.746863,4.868246,7.610604,7.259268,0,0,-8.237897,0.000000,0.000000,0,0,4.597276,4.230263,-1.14005
0.019,3.742803,4.865666,7.647430,7.257241,0,0,-8.339115,0.000000,0.000000,0,0,4.588773,4.217233,-1.16617
0.020,3.738743,4.863086,7.684257,7.255215,0,0,-8.440334,0.000000,0.000000,0,0,4.580270,4.204222,-1.18845
0.021,3.734684,4.860506,7.721083,7.253189,0,0,-8.541553,0.000000,0.000000,0,0,4.571768,4.191224,-1.20450
0.022,3.730619,4.857913,7.758167,7.251228,0,0,-8.632212,0.000000,0.000000,0,0,4.563043,4.178363,-1.22006
0.023,3.726549,4.855302,7.795561,7.249347,0,0,-8.710173,0.000000,0.000000,0,0,4.554051,4.165610,-1.23154
0.024,3.722479,4.852692,7.832955,7.247466,0,0,-8.788133,0.000000,0.000000,0,0,4.545059,4.153148,-1.24924
0.025,3.718408,4.850082,7.870350,7.245585,0,0,-8.866093,0.000000,0.000000,0,0,4.536067,4.140915,-1.26212
0.026,3.714360,4.847666,7.908643,7.243926,0,0,-8.926237,0.000000,0.000000,0,0,4.526958,4.129118,-1.28891
