"Time","48 L marks","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","42 CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","39 FRx (cm)","35a HRx (cm)","35 HRx (cm)","37a FLx (cm)","37 FLx (cm)","33a HLx (cm)","33 HLx (cm)","38 FLy (cm)","36 HRy (cm)","34 HLy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,7.046624,0.323701,5.646637,16.385368,4.871031,-10.069525,18.240559,-9.665000,13.763083,7.421574,18.699371,-8.938672,13.808978,6.565096,3.489800,6.845028,123.759323,0,86.053047,56.806366,88.257248,8.099958,18.856268,8.018674,14.192153,8.244618,13.935732,8.620332,13.985991,8.279306,15.651433,9.580799,15.135573,9.950212,16.157253,0,-0.01755,-0.01340,-0.02145,0.00348,0.00972,-0.01239,0.00464,0.00287,-1.49727,0.09456,3.27747
0.001,0,0,0,0,7.048812,0.328346,5.647812,16.378237,4.870682,-10.080015,18.230497,-9.687814,13.753334,6.942363,18.706509,-9.008320,13.799862,6.554096,3.486158,6.846572,123.024422,0,86.574013,56.785179,88.209831,8.097817,18.844954,8.019824,14.187289,8.244622,13.929996,8.618264,13.983245,8.278024,15.648848,9.579082,15.131895,9.948811,16.154411,0,-0.01643,-0.01376,-0.02170,0.00285,0.00876,-0.01161,0.00545,0.00160,-1.49860,0.09012,3.27815
0.002,0,0,0,0,7.051000,0.332992,5.648987,16.371107,4.870334,-10.090506,18.220434,-9.710628,13.743586,6.463151,18.713644,-9.077968,13.790746,6.543097,3.482515,6.848116,122.289528,0,87.094978,56.763992,88.162407,8.095676,18.833639,8.020974,14.182425,8.244625,13.924262,8.616197,13.980500,8.276740,15.646263,9.577363,15.128216,9.947411,16.151567,0,-0.01778,-0.01279,-0.02101,0.00301,0.00879,-0.01210,0.00660,0.00178,-1.49691,0.08642,3.27770
0.003,0,0,0,0,7.053188,0.337637,5.650162,16.363976,4.869985,-10.100996,18.210371,-9.733441,13.733837,5.983940,18.720781,-9.147615,13.781630,6.532097,3.478873,6.849660,121.554626,0,87.615936,56.742802,88.114990,8.093536,18.822325,8.022124,14.177561,8.244629,13.918527,8.614129,13.977755,8.275457,15.643678,9.575645,15.124537,9.946010,16.148726,0,-0.01745,-0.01414,-0.02080,0.00471,0.00826,-0.01170,0.00629,0.00179,-1.49691,0.08536,3.27716
0.004,0,0,0,0,7.052448,0.336566,5.652788,16.356695,4.871191,-10.103526,18.200191,-9.762649,13.724196,5.498285,18.725809,-9.207356,13.772356,6.623923,3.478865,6.851343,120.867020,0,88.030197,56.693951,88.125961,8.092863,18.810146,8.023159,14.173523,8.245271,13.913168,8.614562,13.975656,8.273549,15.641094,9.574024,15.122674,9.943579,16.145777,0,-0.01983,-0.01306,-0.01780,0.00355,0.00883,-0.01177,0.00627,0.00259,-1.49959,0.08305,3.27727
0.005,0,0,0,0,7.051452,0.334997,5.655540,16.349403,4.872531,-10.105364,18.190001,-9.792411,13.714565,5.012070,18.730652,-9.266235,13.763070,6.724690,3.479173,6.853039,120.183517,0,88.435173,56.642693,88.142014,8.092318,18.797894,8.024184,14.169557,8.245968,13.907841,8.615212,13.973612,8.271586,15.638512,9.572411,15.120970,9.941057,16.142817,0,-0.01956,-0.01340,-0.01761,0.00435,0.00822,-0.01286,0.00490,0.00140,-1.49848,0.07889,3.27743
0.006,0,0,0,0,7.050457,0.333428,5.658293,16.342110,4.873872,-10.107202,18.179811,-9.822173,13.704934,4.525856,18.735497,-9.325115,13.753783,6.825458,3.479481,6.854734,119.500023,0,88.840149,56.591438,88.158058,8.091772,18.785641,8.025210,14.165590,8.246665,13.902514,8.615863,13.971569,8.269624,15.635929,9.570798,15.119265,9.938536,16.139858,0,-0.01704,-0.01401,-0.02193,0.00386,0.00918,-0.01191,0.00557,0.00216,-1.49738,0.07586,3.27772
0.007,0,0,0,0,7.049462,0.331859,5.661045,16.334818,4.875213,-10.109039,18.169621,-9.851935,13.695303,4.039640,18.740341,-9.383995,13.744496,6.926225,3.479790,6.856430,118.816528,0,89.245132,56.540180,88.174110,8.091228,18.773388,8.026236,14.161624,8.247362,13.897188,8.616513,13.969525,8.267661,15.633347,9.569184,15.117559,9.936014,16.136898,0,-0.01813,-0.01334,-0.01927,0.00292,0.00750,-0.01144,0.00548,0.00328,-1.49929,0.07549,3.27803
0.008,0,0,0,0,7.050997,0.334374,5.661032,16.329067,4.873209,-10.105238,18.159470,-9.881525,13.685357,3.592551,18.743038,-9.419276,13.735037,6.930310,3.481210,6.857003,116.357643,0,90.812912,56.287804,88.058464,8.090227,18.761278,8.031645,14.154682,8.250466,13.885931,8.618851,13.969889,8.265531,15.632749,9.566160,15.114730,9.932584,16.133904,0,-0.01956,-0.01368,-0.01866,0.00185,0.00876,-0.01180,0.00462,0.00284,-1.49887,0.07422,3.27812
0.009,0,0,0,0,7.052753,0.337243,5.660778,16.323452,4.870914,-10.100946,18.149321,-9.911098,13.675385,3.148864,18.745550,-9.452506,13.725562,6.925987,3.482727,6.857479,113.744370,0,92.481804,56.017937,87.931366,8.089187,18.749182,8.037435,14.147482,8.253780,13.874159,8.621334,13.970462,8.263387,15.632323,9.563013,15.111803,9.929073,16.130903,0,-0.01819,-0.01353,-0.02018,0.00237,0.00885,-0.01143,0.00462,0.00165,-1.49851,0.07176,3.27819
0.010,0,0,0,0,7.054509,0.340113,5.660524,16.317837,4.868620,-10.096655,18.139172,-9.940673,13.665411,2.705177,18.748062,-9.485736,13.716087,6.921665,3.484244,6.857955,111.131104,0,94.150703,55.748070,87.804268,8.088146,18.737085,8.043224,14.140283,8.257093,13.862387,8.623817,13.971034,8.261242,15.631898,9.559867,15.108876,9.925564,16.127905,0,-0.01819,-0.01339,-0.02034,0.00328,0.00850,-0.01298,0.00532,0.00236,-1.49720,0.06910,3.27770
0.011,0,0,0,0,7.056264,0.342983,5.660271,16.312222,4.866326,-10.092363,18.129023,-9.970246,13.655438,2.261490,18.750574,-9.518965,13.706613,6.917343,3.485761,6.858430,108.517830,0,95.819595,55.478203,87.677177,8.087106,18.724987,8.049014,14.133082,8.260406,13.850615,8.626302,13.971607,8.259098,15.631474,9.556720,15.105949,9.922053,16.124907,0,-0.01765,-0.01280,-0.01999,0.00173,0.00909,-0.01196,0.00643,0.00190,-1.49780,0.07397,3.27716
0.012,0,0,0,0,7.054694,0.341938,5.661905,16.307724,4.866463,-10.090694,18.119007,-9.988931,13.645399,1.915960,18.752033,-9.518877,13.696769,6.915105,3.484755,6.856762,108.448059,0,96.666595,55.248672,87.550583,8.086303,18.714346,8.048330,14.120745,8.262617,13.843763,8.629138,13.972307,8.257192,15.631100,9.554210,15.104089,9.918196,16.122690,0,-0.01834,-0.01280,-0.02081,-0.00053,0.00830,-0.01213,0.00486,0.00256,-1.49890,0.08639,3.27713
0.013,0,0,0,0,7.052834,0.340553,5.663703,16.303326,4.866811,-10.089254,18.109005,-10.006668,13.635354,1.578965,18.753403,-9.515892,13.686893,6.913049,3.483529,6.854907,108.599464,0,97.442116,55.022644,87.424026,8.085520,18.703833,8.047083,14.107961,8.264731,13.837341,8.632005,13.973019,8.255307,15.630730,9.551754,15.102322,9.914308,16.120541,0,-0.01806,-0.01317,-0.01923,0.00713,0.00824,-0.01233,0.00653,0.00280,-1.49792,0.09128,3.27713
