"Time","17 Hipy (cm)","25 toey (cm)"
0.000,10.085319,8.155668
0.001,10.090527,8.156924
0.002,10.096283,8.159810
0.003,10.102039,8.162697
0.004,10.107796,8.165584
0.005,10.113573,8.168180
0.006,10.119396,8.170163
0.007,10.125218,8.172146
0.008,10.131042,8.174128
0.009,10.137031,8.176330
0.010,10.143372,8.178996
0.011,10.149713,8.181664
0.012,10.156054,8.184330
0.013,10.161540,8.186975
0.014,10.165211,8.189576
0.015,10.168880,8.192176
0.016,10.172550,8.194777
0.017,10.177193,8.196710
0.018,10.183902,8.197225
0.019,10.190610,8.197741
0.020,10.197319,8.198256
0.021,10.202800,8.199121
0.022,10.205673,8.200731
0.023,10.208547,8.202342
0.024,10.211420,8.203952
0.025,10.214471,8.203477
0.026,10.217900,8.198572
0.027,10.221329,8.193667
0.028,10.224757,8.188763
0.029,10.226708,8.184922
0.030,10.225521,8.183344
0.031,10.224333,8.181766
0.032,10.223145,8.180187
0.033,10.222180,8.180189
0.034,10.221687,8.183547
0.035,10.221194,8.186906
0.036,10.220701,8.190264
0.037,10.219745,8.192341
0.038,10.217801,8.191693
0.039,10.215857,8.191047
0.040,10.213913,8.190399
0.041,10.212241,8.189916
0.042,10.211147,8.189778
0.043,10.210052,8.189640
0.044,10.208959,8.189503
0.045,10.208724,8.188766
0.046,10.210314,8.186752
0.047,10.211905,8.184740
0.048,10.213495,8.182727
0.049,10.214788,8.180950
0.050,10.215452,8.179675
0.051,10.216115,8.178400
0.052,10.216778,8.177125
0.053,10.216770,8.175118
0.054,10.215335,8.171556
0.055,10.213901,8.167994
0.056,10.212466,8.164431
0.057,10.211061,8.160570
0.058,10.209719,8.156076
0.059,10.208377,8.151583
0.060,10.207034,8.147088
0.061,10.204162,8.142372
0.062,10.198035,8.137182
0.063,10.191910,8.131992
0.064,10.185784,8.126802
0.065,10.179989,8.124508
0.066,10.174894,8.128366
0.067,10.169800,8.132225
0.068,10.164705,8.136085
0.069,10.160752,8.138968
0.070,10.159225,8.139782
0.071,10.157699,8.140594
0.072,10.156172,8.141408
0.073,10.152971,8.141111
0.074,10.146216,8.138454
0.075,10.139462,8.135798
0.076,10.132707,8.133142
0.077,10.126209,8.129743
0.078,10.120258,8.124767
0.079,10.114306,8.119791
0.080,10.108356,8.114815
0.081,10.101404,8.111551
0.082,10.092331,8.111928
0.083,10.083257,8.112305
0.084,10.074183,8.112681
0.085,10.064363,8.113407
0.086,10.052954,8.114875
0.087,10.041544,8.116343
0.088,10.030135,8.117810
0.089,10.020786,8.118587
0.090,10.015817,8.117890
0.091,10.010847,8.117195
0.092,10.005877,8.116499
0.093,9.999907,8.114083
0.094,9.991809,8.108011
0.095,9.983711,8.101940
0.096,9.975614,8.095868
0.097,9.968451,8.090102
0.098,9.963277,8.084987
0.099,9.958102,8.079871
0.100,9.952928,8.074756
0.101,9.948866,8.070135
0.102,9.947171,8.066567
0.103,9.945477,8.062999
0.104,9.943782,8.059431
0.105,9.941804,8.054804
0.106,9.939227,8.047926
0.107,9.936650,8.041048
0.108,9.934073,8.034169
0.109,9.930832,8.027316
0.110,9.926176,8.020514
0.111,9.921520,8.013711
0.112,9.916865,8.006908
0.113,9.912647,8.001313
0.114,9.909361,7.998284
0.115,9.906075,7.995254
0.116,9.902787,7.992224
0.117,9.899183,7.989341
0.118,9.894903,7.986770
0.119,9.890624,7.984199
0.120,9.886345,7.981628
0.121,9.882467,7.980266
0.122,9.879445,7.981474
0.123,9.876423,7.982683
0.124,9.873402,7.983891
0.125,9.870007,7.983994
0.126,9.865820,7.981750
0.127,9.861633,7.979506
0.128,9.857446,7.977262
0.129,9.852903,7.973164
0.130,9.847607,7.965126
0.131,9.842309,7.957088
0.132,9.837011,7.949050
0.133,9.830973,7.943130
0.134,9.823359,7.941711
0.135,9.815744,7.940293
0.136,9.808130,7.938874
0.137,9.801095,7.937017
0.138,9.795291,7.934230
0.139,9.789487,7.931443
0.140,9.783683,7.928656
0.141,9.778182,7.926383
0.142,9.773323,7.925199
0.143,9.768464,7.924015
0.144,9.763605,7.922831
0.145,9.759083,7.920714
0.146,9.755277,7.916614
0.147,9.751471,7.912514
0.148,9.747664,7.908414
0.149,9.743348,7.903716
0.150,9.737948,7.897744
0.151,9.732549,7.891772
0.152,9.727149,7.885800
0.153,9.723082,7.884147
0.154,9.721844,7.891673
0.155,9.720606,7.899199
0.156,9.719368,7.906724
0.157,9.718226,7.912587
0.158,9.717287,7.914916
0.159,9.716348,7.917244
0.160,9.715409,7.919572
0.161,9.714632,7.925696
0.162,9.714199,7.939888
0.163,9.713766,7.954079
0.164,9.713333,7.968270
0.165,9.713130,7.978765
0.166,9.713414,7.981404
0.167,9.713699,7.984044
0.168,9.713984,7.986684
0.169,9.712963,7.988028
0.170,9.709167,7.986616
0.171,9.705373,7.985204
0.172,9.701577,7.983792
0.173,9.698059,7.982440
0.174,9.695129,7.981215
0.175,9.692201,7.979990
0.176,9.689271,7.978766
0.177,9.685702,7.976615
0.178,9.680777,7.972496
0.179,9.675851,7.968377
0.180,9.670924,7.964257
0.181,9.666104,7.961402
0.182,9.661510,7.961231
0.183,9.656915,7.961061
0.184,9.652319,7.960890
0.185,9.648085,7.958719
0.186,9.644616,7.952298
0.187,9.641149,7.945877
0.188,9.637680,7.939455
0.189,9.634700,7.935403
0.190,9.632758,7.936388
0.191,9.630816,7.937371
0.192,9.628874,7.938355
0.193,9.627725,7.937434
0.194,9.628263,7.932466
0.195,9.628800,7.927496
0.196,9.629338,7.922528
0.197,9.629215,7.920007
0.198,9.627691,7.922688
0.199,9.626166,7.925368
0.200,9.624642,7.928049
0.201,9.623070,7.932695
0.202,9.621395,7.941519
0.203,9.619720,7.950343
0.204,9.618045,7.959167
0.205,9.616251,7.966149
0.206,9.614203,7.969221
0.207,9.612156,7.972292
0.208,9.610108,7.975363
0.209,9.607914,7.976337
0.210,9.605406,7.972857
0.211,9.602899,7.969377
0.212,9.600390,7.965897
0.213,9.597345,7.964314
0.214,9.593160,7.966763
0.215,9.588973,7.969213
0.216,9.584786,7.971662
0.217,9.580160,7.974574
0.218,9.574597,7.978468
0.219,9.569036,7.982363
0.220,9.563473,7.986257
0.221,9.557316,7.988881
0.222,9.549893,7.988803
0.223,9.542472,7.988727
0.224,9.535049,7.988649
0.225,9.527806,8.011256
0.226,9.520941,8.082065
0.227,9.514076,8.152874
0.228,9.507212,8.223682
0.229,9.500800,8.258316
0.230,9.495353,8.216078
0.231,9.489905,8.173840
0.232,9.484457,8.131600
0.233,9.477998,8.103218
0.234,9.469388,8.104280
0.235,9.460777,8.105341
0.236,9.452168,8.106402
0.237,9.442896,8.218903
0.238,9.432217,8.568210
0.239,9.421538,8.917517
0.240,9.410859,9.266824
