"Time","17 Hipy (cm)","25 toey (cm)"
0.000,6.969429,11.821305
0.001,6.836350,11.828783
0.002,6.703345,11.834035
0.003,6.570426,11.836609
0.004,6.437507,11.839184
0.005,6.304588,11.841758
0.006,6.230321,11.842036
0.007,6.226593,11.839553
0.008,6.222865,11.837070
0.009,6.219136,11.834586
0.010,6.215378,11.829810
0.011,6.211585,11.822276
0.012,6.207791,11.814742
0.013,6.203998,11.807208
0.014,6.200206,11.795328
0.015,6.196418,11.778221
0.016,6.192629,11.761114
0.017,6.188841,11.744006
0.018,6.242373,11.718120
0.019,6.364841,11.681675
0.020,6.487310,11.645230
0.021,6.609778,11.608786
0.022,6.726069,11.567739
0.023,6.834929,11.521154
0.024,6.943790,11.474571
0.025,7.052651,11.427987
0.026,7.161558,11.365532
0.027,7.270522,11.283988
0.028,7.379486,11.202445
0.029,7.488450,11.120901
0.030,7.597432,11.039113
0.031,7.706437,10.957031
0.032,7.815442,10.874949
0.033,7.924447,10.792866
0.034,8.033997,10.710886
0.035,8.144200,10.629029
0.036,8.254403,10.547173
0.037,8.364607,10.465316
0.038,8.474906,10.384168
0.039,8.585321,10.303871
0.040,8.695736,10.223576
0.041,8.806150,10.143279
0.042,8.916842,10.063973
0.043,9.027864,9.985858
0.044,9.138886,9.907743
0.045,9.249909,9.829628
0.046,9.361340,9.752259
0.047,9.473259,9.675789
0.048,9.585179,9.599318
0.049,9.697099,9.522847
0.050,9.750694,9.448076
0.051,9.734145,9.375348
0.052,9.717596,9.302621
0.053,9.701047,9.229893
0.054,9.684816,9.159457
0.055,9.668968,9.091777
0.056,9.653120,9.024096
0.057,9.637272,8.956416
0.058,9.621938,8.893105
0.059,9.607221,8.835045
0.060,9.592504,8.776985
0.061,9.577787,8.718925
0.062,9.563877,8.670008
0.063,9.550937,8.632084
0.064,9.537997,8.594159
0.065,9.525057,8.556235
0.066,9.518702,8.522703
0.067,9.520266,8.494453
0.068,9.521830,8.466204
0.069,9.523394,8.437954
0.070,9.525172,8.426391
0.071,9.527208,8.434893
0.072,9.529245,8.443395
0.073,9.531282,8.451897
0.074,9.534063,8.463934
0.075,9.537739,8.480223
0.076,9.541415,8.496511
0.077,9.545091,8.512799
0.078,9.549460,8.529661
0.079,9.554663,8.547212
0.080,9.559865,8.564761
0.081,9.565067,8.582312
0.082,9.570490,8.600605
0.083,9.576175,8.619791
0.084,9.581861,8.638978
0.085,9.587546,8.658164
0.086,9.594061,8.677425
0.087,9.601574,8.696776
0.088,9.609086,8.716127
0.089,9.616599,8.735478
0.090,9.628217,8.757824
0.091,9.644773,8.783770
0.092,9.661327,8.809715
0.093,9.677883,8.835661
0.094,9.694464,8.861361
0.095,9.711074,8.886763
0.096,9.727685,8.912166
0.097,9.744296,8.937568
0.098,9.761041,8.965480
0.099,9.777946,8.996408
0.100,9.794852,9.027336
0.101,9.811758,9.058265
0.102,9.828503,9.091123
0.103,9.845052,9.126300
0.104,9.861602,9.161478
0.105,9.878152,9.196656
0.106,9.894447,9.231719
0.107,9.910439,9.266643
0.108,9.926429,9.301566
0.109,9.942419,9.336490
0.110,9.896000,9.346081
0.111,9.774524,9.325206
0.112,9.653048,9.304330
0.113,9.531572,9.283455
0.114,9.410117,9.271459
0.115,9.288687,9.270142
0.116,9.167256,9.268824
0.117,9.045826,9.267507
0.118,8.924658,9.262753
0.119,8.803807,9.253866
0.120,8.682956,9.244979
0.121,8.562105,9.236092
0.122,8.441368,9.226624
0.123,8.320768,9.216460
0.124,8.200168,9.206296
0.125,8.079568,9.196132
0.126,7.990388,9.209113
0.127,7.938996,9.249930
0.128,7.887604,9.290748
0.129,7.836212,9.331565
0.130,7.784069,9.372867
0.131,7.731021,9.414752
0.132,7.677975,9.456636
0.133,7.624928,9.498521
0.134,7.537762,9.539121
0.135,7.409564,9.578174
0.136,7.281365,9.617228
0.137,7.153166,9.656281
0.138,7.025213,9.696035
0.139,6.897555,9.736631
0.140,6.769897,9.777227
0.141,6.642239,9.817823
0.142,6.574144,9.855641
0.143,6.577683,9.890119
0.144,6.581222,9.924595
0.145,6.584761,9.959072
0.146,6.587091,9.991387
0.147,6.587968,10.021102
0.148,6.588845,10.050817
0.149,6.589722,10.080532
0.150,6.590481,10.108658
0.151,6.591100,10.134871
0.152,6.591719,10.161086
0.153,6.592338,10.187300
0.154,6.654797,10.236118
0.155,6.791627,10.312122
0.156,6.928457,10.388125
0.157,7.065288,10.464129
0.158,7.201880,10.507027
0.159,7.338187,10.510107
0.160,7.474493,10.513188
0.161,7.610799,10.516269
0.162,7.746271,10.518995
0.163,7.880738,10.521296
0.164,8.015205,10.523596
0.165,8.149673,10.525896
0.166,8.283519,10.527506
0.167,8.416616,10.528287
0.168,8.549715,10.529067
0.169,8.682813,10.529847
0.170,8.783891,10.505673
0.171,8.846460,10.451488
0.172,8.909029,10.397304
0.173,8.971599,10.343119
0.174,9.034686,10.287399
0.175,9.098399,10.229835
0.176,9.162111,10.172271
0.177,9.225823,10.114706
0.178,9.319152,10.055052
0.179,9.448097,9.992884
0.180,9.577043,9.930716
0.181,9.705989,9.868547
0.182,9.834374,9.805283
0.183,9.962088,9.740700
0.184,10.089801,9.676117
0.185,10.217513,9.611534
0.186,10.285421,9.547159
0.187,10.281405,9.483035
0.188,10.277390,9.418910
0.189,10.273374,9.354786
0.190,10.270309,9.291807
0.191,10.268391,9.230208
0.192,10.266471,9.168609
0.193,10.264552,9.107009
0.194,10.255979,9.047457
0.195,10.239404,8.990365
0.196,10.222828,8.933274
0.197,10.206253,8.876184
0.198,10.189426,8.821824
0.199,10.172299,8.770749
0.200,10.155171,8.719674
0.201,10.138043,8.668599
0.202,10.102609,8.640607
0.203,10.045156,8.640372
0.204,9.987703,8.640139
0.205,9.930251,8.639905
0.206,9.901540,8.639919
0.207,9.907393,8.640232
0.208,9.913247,8.640544
0.209,9.919101,8.640857
0.210,9.925597,8.641438
0.211,9.932866,8.642342
0.212,9.940135,8.643245
0.213,9.947404,8.644149
0.214,9.955455,8.645796
0.215,9.964444,8.648338
0.216,9.973434,8.650881
0.217,9.982424,8.653423
0.218,9.990676,8.656554
0.219,9.998040,8.660395
0.220,10.005404,8.664234
0.221,10.012769,8.668075
0.222,10.017142,8.672153
0.223,10.017919,8.676521
0.224,10.018695,8.680888
0.225,10.019471,8.685256
0.226,10.020433,8.689623
0.227,10.021622,8.693991
0.228,10.022809,8.698359
0.229,10.023997,8.702726
0.230,10.025207,8.707395
0.231,10.026443,8.712423
0.232,10.027678,8.717451
0.233,10.028914,8.722480
0.234,10.030563,8.726927
0.235,10.032709,8.730674
0.236,10.034855,8.734422
0.237,10.037001,8.738169
0.238,10.046068,8.741857
0.239,10.063461,8.745471
0.240,10.080854,8.749085
0.241,10.098248,8.752701
0.242,10.116405,8.756432
0.243,10.135484,8.760302
0.244,10.154562,8.764173
0.245,10.173640,8.768043
0.246,10.211009,8.772420
0.247,10.270373,8.777406
0.248,10.329739,8.782392
0.249,10.389103,8.787377
0.250,10.419785,8.792779
0.251,10.415972,8.798682
0.252,10.412158,8.804585
0.253,10.408344,8.810488
0.254,10.404141,8.817080
0.255,10.399468,8.824498
0.256,10.394796,8.831917
0.257,10.390124,8.839336
0.258,10.384978,8.847349
0.259,10.379263,8.856077
0.260,10.373548,8.864805
0.261,10.367832,8.873533
0.262,10.361661,8.883230
0.263,10.354940,8.894093
0.264,10.348221,8.904955
0.265,10.341500,8.915817
0.266,10.337414,8.926851
0.267,10.336493,8.938093
0.268,10.335572,8.949334
0.269,10.334652,8.960575
0.270,10.333232,8.971663
0.271,10.331212,8.982569
0.272,10.329192,8.993474
0.273,10.327172,9.004379
0.274,10.324744,9.014211
0.275,10.321825,9.022752
0.276,10.318906,9.031292
0.277,10.315986,9.039833
0.278,10.312428,9.046423
0.279,10.308102,9.050667
0.280,10.303776,9.054910
0.281,10.299450,9.059154
0.282,10.294425,9.061725
0.283,10.288560,9.062285
0.284,10.282695,9.062845
0.285,10.276830,9.063406
0.286,10.270617,9.061986
0.287,10.263988,9.058186
0.288,10.257360,9.054384
0.289,10.250731,9.050583
0.290,10.244010,9.042717
0.291,10.237180,9.029962
0.292,10.230350,9.017207
0.293,10.223519,9.004452
0.294,10.216668,8.990845
0.295,10.209794,8.976211
0.296,10.202919,8.961577
0.297,10.196045,8.946943
0.298,10.189206,8.931429
0.299,10.182410,8.914855
0.300,10.175614,8.898282
0.301,10.168818,8.881708
0.302,10.162037,8.864508
0.303,10.155272,8.846553
0.304,10.148507,8.828599
0.305,10.141743,8.810644
0.306,10.135380,8.791677
0.307,10.129501,8.771489
0.308,10.123622,8.751302
0.309,10.117743,8.731114
0.310,10.112140,8.710563
0.311,10.106867,8.689574
0.312,10.101594,8.668586
0.313,10.096322,8.647597
0.314,10.091167,8.626426
0.315,10.086156,8.605036
0.316,10.081144,8.583646
0.317,10.076132,8.562256
0.318,10.071011,8.541281
0.319,10.065758,8.520802
0.320,10.060504,8.500325
0.321,10.055251,8.479848
0.322,10.049806,8.460877
0.323,10.044128,8.443718
0.324,10.038452,8.426559
0.325,10.032776,8.409401
0.326,10.026992,8.393167
0.327,10.021078,8.378044
0.328,10.015164,8.362921
0.329,10.009251,8.347798
0.330,10.002890,8.334651
0.331,9.995991,8.323879
0.332,9.989092,8.313107
0.333,9.982194,8.302335
0.334,9.975024,8.295107
0.335,9.967528,8.292142
0.336,9.960032,8.289176
0.337,9.952537,8.286211
0.338,9.944665,8.283843
0.339,9.936342,8.282195
0.340,9.928020,8.280547
0.341,9.919697,8.278899
0.342,9.911190,8.277562
0.343,9.902462,8.276599
0.344,9.893733,8.275636
0.345,9.885005,8.274673
0.346,9.876329,8.273842
0.347,9.867718,8.273170
0.348,9.859105,8.272499
0.349,9.850493,8.271828
0.350,9.842082,8.271466
0.351,9.833913,8.271478
0.352,9.825743,8.271489
0.353,9.817574,8.271501
0.354,9.809644,8.271950
0.355,9.802000,8.272923
0.356,9.794357,8.273898
0.357,9.786715,8.274872
0.358,9.779499,8.276355
0.359,9.772799,8.278450
0.360,9.766099,8.280545
0.361,9.759398,8.282640
0.362,9.753336,8.284958
0.363,9.748041,8.287542
0.364,9.742746,8.290126
0.365,9.737452,8.292710
0.366,9.732820,8.295611
0.367,9.728986,8.298895
0.368,9.725153,8.302178
0.369,9.721319,8.305462
0.370,9.718330,8.309072
0.371,9.716359,8.313073
0.372,9.714387,8.317075
0.373,9.712416,8.321076
0.374,9.711293,8.325118
0.375,9.711193,8.329208
0.376,9.711093,8.333299
0.377,9.710993,8.337389
0.378,9.711447,8.341635
0.379,9.712566,8.346067
0.380,9.713686,8.350500
0.381,9.714806,8.354933
0.382,9.716725,8.359337
0.383,9.719606,8.363708
0.384,9.722487,8.368077
0.385,9.725368,8.372447
0.386,9.728930,8.376785
0.387,9.733306,8.381084
0.388,9.737683,8.385384
0.389,9.742060,8.389683
0.390,9.746842,8.393881
0.391,9.752113,8.397959
0.392,9.757384,8.402036
0.393,9.762654,8.406114
0.394,9.768227,8.409953
0.395,9.774160,8.413507
0.396,9.780094,8.417062
0.397,9.786028,8.420616
0.398,9.792082,8.423844
0.399,9.798282,8.426680
0.400,9.804482,8.429516
0.401,9.810681,8.432351
0.402,9.816877,8.434870
0.403,9.823071,8.437005
0.404,9.829264,8.439141
0.405,9.835457,8.441277
0.406,9.841526,8.443354
0.407,9.847446,8.445361
0.408,9.853366,8.447368
0.409,9.859286,8.449375
0.410,9.865239,8.451214
