"Time","52 LDS cle","v2 L COP","v3 xCoM","v1 R COP","51 RDS cle","40 FRy (cm)","36 HRy (cm)","38 FLy (cm)","34 HLy (cm)","42a CoMy (cm)","42 CoMy (cm)","3 Platform","2 Trdml"
0.000,0,0.000000,4.740257,0.000000,0,4.497789,3.819174,6.096422,6.507857,-11.322132,5.344350,-1.14623,0.09925
0.001,0,0.000000,4.727694,0.000000,0,4.481593,3.818254,6.094637,6.502836,-11.337089,5.332859,-1.17364,0.09859
0.002,0,0.000000,4.715636,0.000000,0,4.465396,3.817333,6.092853,6.497816,-11.352044,5.321367,-1.18917,0.10057
0.003,0,0.000000,4.703730,0.000000,0,4.449200,3.816412,6.091068,6.492795,-11.367000,5.309875,-1.20482,0.10256
0.004,0,0.000000,4.692501,0.000000,0,4.430218,3.816218,6.089317,6.490250,-11.359962,5.298570,-1.21867,0.10080
0.005,0,0.000000,4.681477,0.000000,0,4.411058,3.816069,6.087569,6.487864,-11.351521,5.287277,-1.23505,0.10108
0.006,0,0.000000,4.670792,0.000000,0,4.391898,3.815921,6.085820,6.485477,-11.343080,5.275983,-1.24659,0.10320
0.007,0,0.000000,4.660210,0.000000,0,4.372738,3.815772,6.084072,6.483090,-11.334638,5.264689,-1.27590,0.10352
0.008,0,0.000000,4.649734,0.000000,0,4.359381,3.816803,6.082434,6.482583,-11.311194,5.253232,-1.28731,0.10309
0.009,0,0.000000,4.639292,0.000000,0,4.346394,3.817909,6.080803,6.482195,-11.286794,5.241763,-1.30264,0.10186
0.010,0,0.000000,4.629355,0.000000,0,4.333407,3.819014,6.079172,6.481807,-11.262393,5.230294,-1.31389,0.10196
0.011,0,0.000000,4.619572,0.000000,0,4.320420,3.820120,6.077541,6.481419,-11.237992,5.218826,-1.32521,0.10234
0.012,0,0.000000,4.610674,0.000000,0,4.311642,3.819125,6.076000,6.482880,-11.180724,5.207464,-1.33807,0.10033
0.013,0,0.000000,4.602043,0.000000,0,4.303133,3.817996,6.074464,6.484458,-11.121358,5.196110,-1.35746,0.10002
0.014,0,0.000000,4.594234,0.000000,0,4.294623,3.816866,6.072928,6.486037,-11.061992,5.184755,-1.37040,0.09908
0.015,0,0.000000,4.586672,0.000000,0,4.286114,3.815737,6.071393,6.487616,-11.002625,5.173400,-1.38137,0.09826
0.016,0,0.000000,4.579813,0.000000,0,4.283336,3.815560,6.069850,6.484858,-10.919498,5.162568,-1.39185,0.09808
0.017,0,0.000000,4.573164,0.000000,0,4.280924,3.815444,6.068307,6.481823,-10.834855,5.151770,-1.39960,0.09687
0.018,0,0.000000,4.567190,0.000000,0,4.278512,3.815328,6.066764,6.478789,-10.750212,5.140971,-1.40581,0.09772
0.019,0,0.000000,4.561420,0.000000,0,4.276100,3.815212,6.065221,6.475754,-10.665567,5.130172,-1.42195,0.09866
0.020,0,0.000000,4.556336,0.000000,0,4.276791,3.812515,6.063372,6.476317,-10.550646,5.119473,-1.42994,0.09790
0.021,0,0.000000,4.551460,0.000000,0,4.277680,3.809653,6.061504,6.477109,-10.433790,5.108780,-1.43837,0.10009
0.022,0,0.000000,4.547354,0.000000,0,4.278570,3.806791,6.059635,6.477902,-10.316936,5.098088,-1.44767,0.10242
0.023,0,0.000000,4.543479,0.000000,0,4.279459,3.803930,6.057766,6.478694,-10.200081,5.087395,-1.45070,0.10188
0.024,0,0.000000,4.540359,1.549667,0,4.276328,3.801570,6.055635,6.475481,-10.065607,5.077436,-1.45439,0.10229
0.025,0,0.000000,4.537468,3.567463,1,4.272941,3.799242,6.053488,6.472011,-9.930010,5.067523,-1.46302,0.10234
0.026,0,0.000000,4.534970,4.033357,1,4.269553,3.796914,6.051341,6.468542,-9.794412,5.057610,-1.46918,0.10279
0.027,0,0.000000,4.532592,4.030448,1,4.266165,3.794586,6.049193,6.465073,-9.658813,5.047697,-1.47344,0.10319
0.028,0,0.000000,4.530365,4.028440,1,4.266078,3.792366,6.047076,6.462586,-9.518033,5.038221,-1.47739,0.10321
0.029,0,0.000000,4.528184,4.026703,1,4.266200,3.790153,6.044961,6.460163,-9.376921,5.028772,-1.48402,0.10306
0.030,0,0.000000,4.526478,4.026246,1,4.266323,3.787940,6.042847,6.457740,-9.235809,5.019324,-1.48917,0.10190
0.031,0,0.000000,4.524915,4.026175,1,4.266445,3.785727,6.040732,6.455317,-9.094698,5.009876,-1.48582,0.10080
0.032,0,0.000000,4.524087,4.027309,1,4.267832,3.787105,6.038191,6.449193,-8.940004,5.001176,-1.48660,0.09873
0.033,0,0.000000,4.523482,4.028808,1,4.269300,3.788713,6.035624,6.442833,-8.784444,4.992525,-1.48712,0.09877
0.034,0,0.000000,4.523344,4.030392,1,4.270769,3.790321,6.033056,6.436474,-8.628882,4.983873,-1.48463,0.09908
0.035,0,0.000000,4.523345,4.032001,1,4.272236,3.791928,6.030488,6.430114,-8.473322,4.975222,-1.48792,0.09784
0.036,0,0.000000,4.523580,4.032887,1,4.274032,3.791639,6.028315,6.424523,-8.309387,4.966959,-1.48611,0.09987
0.037,0,0.000000,4.523885,4.033554,1,4.275847,3.791229,6.026166,6.418982,-8.144918,4.958722,-1.48290,0.10182
0.038,0,0.000000,4.524612,4.034277,1,4.277663,3.790818,6.024018,6.413440,-7.980449,4.950485,-1.47911,0.10176
0.039,0,0.000000,4.525467,4.035017,1,4.279480,3.790407,6.021870,6.407898,-7.815980,4.942247,-1.47491,0.10288
0.040,0,0.000000,4.526998,4.036348,1,4.280884,3.791312,6.020069,6.406316,-7.630821,4.934476,-1.47401,0.10447
0.041,0,0.000000,4.528732,4.037857,1,4.282262,3.792300,6.018290,6.404987,-7.444340,4.926734,-1.46652,0.10491
0.042,0,0.000000,4.531334,4.038775,1,4.283640,3.793288,6.016510,6.403657,-7.257860,4.918992,-1.46398,0.10244
0.043,0,0.000000,4.534198,4.039515,1,4.285018,3.794276,6.014731,6.402328,-7.071379,4.911250,-1.45710,0.10200
0.044,0,0.000000,4.537978,4.038826,1,4.284174,3.792986,6.013004,6.399506,-6.866911,4.904574,-1.45125,0.10335
0.045,0,0.000000,4.542036,4.037705,1,4.283189,3.791550,6.011280,6.396588,-6.661295,4.897966,-1.44360,0.10150
0.046,0,0.000000,4.546654,4.036403,1,4.282203,3.790115,6.009555,6.393670,-6.455678,4.891359,-1.43837,0.10028
0.047,0,0.000000,4.551442,4.035046,1,4.281218,3.788679,6.007831,6.390752,-6.250062,4.884751,-1.43086,0.10074
0.048,0,0.000000,4.556446,4.034664,1,4.280513,3.789687,6.005901,6.383753,-6.045259,4.878932,-1.42402,0.09922
0.049,0,0.000000,4.561516,4.034577,1,4.279826,3.790852,6.003957,6.376493,-5.840507,4.873163,-1.41526,0.09850
0.050,0,0.000000,4.566736,4.035100,1,4.279139,3.792016,6.002014,6.369234,-5.635755,4.867395,-1.40003,0.09815
0.051,0,0.000000,4.572001,4.035808,1,4.278451,3.793181,6.000070,6.361974,-5.431003,4.861626,-1.38820,0.09687
0.052,0,0.000000,4.577379,4.036655,1,4.279628,3.793975,5.997498,6.357026,-5.235054,4.856571,-1.37902,0.09744
0.053,0,0.000000,4.582791,4.037546,1,4.280922,3.794746,5.994886,6.352224,-5.039668,4.851561,-1.36328,0.09791
0.054,0,0.000000,4.588201,4.038698,1,4.282218,3.795517,5.992275,6.347423,-4.844282,4.846551,-1.36052,0.09690
0.055,0,0.000000,4.593609,4.039930,1,4.283512,3.796288,5.989663,6.342622,-4.648895,4.841541,-1.34888,0.09922
0.056,0,0.000000,4.598870,4.041336,1,4.284391,3.797333,5.986547,6.333453,-4.478336,4.837497,-1.33170,0.10044
0.057,0,0.000000,4.604085,4.042794,1,4.285244,3.798394,5.983400,6.324005,-4.309362,4.833514,-1.31484,0.10067
0.058,0,0.000000,4.608955,4.043334,1,4.286096,3.799455,5.980252,6.314558,-4.140388,4.829532,-1.30233,0.10208
0.059,0,0.000000,4.613722,4.043597,1,4.286948,3.800517,5.977105,6.305110,-3.971414,4.825549,-1.28959,0.10275
0.060,0,0.000000,4.618033,4.042543,1,4.287137,3.798786,5.973188,6.298903,-3.823980,4.821769,-1.27698,0.10339
0.061,0,0.000000,4.622206,4.041092,1,4.287282,3.796878,5.969222,6.292902,-3.677921,4.818003,-1.26271,0.10316
0.062,0,0.000000,4.626099,4.040672,1,4.287428,3.794970,5.965256,6.286901,-3.531862,4.814237,-1.23699,0.10211
0.063,0,0.000000,4.629907,4.040563,1,4.287574,3.793061,5.961290,6.280900,-3.385804,4.810471,-1.21886,0.10276
0.064,0,0.000000,4.633575,4.043032,1,4.291641,3.794969,5.956631,6.280963,-3.263128,4.807433,-1.20289,0.10263
0.065,0,0.000000,4.637201,4.046280,1,4.295958,3.797120,5.951927,6.281414,-3.141944,4.804442,-1.18965,0.10134
0.066,0,0.000000,4.640543,4.049533,1,4.300275,3.799271,5.947224,6.281864,-3.020760,4.801452,-1.17059,0.10119
0.067,0,0.000000,4.643799,4.052788,1,4.304592,3.801422,5.942520,6.282314,-2.899576,4.798461,-1.15676,0.09979
0.068,0,0.000000,4.646646,4.053801,1,4.304342,3.801680,5.937681,6.286793,-2.802739,4.795914,-1.14155,0.09913
0.069,0,0.000000,4.649371,4.054137,1,4.303800,3.801817,5.932833,6.291529,-2.707456,4.793396,-1.11255,0.09865
0.070,0,0.000000,4.651795,4.053456,1,4.303258,3.801954,5.927985,6.296264,-2.612173,4.790877,-1.09017,0.09788
0.071,0,0.000000,4.654128,4.052469,1,4.302716,3.802091,5.923137,6.301000,-2.516891,4.788359,-1.07466,0.09866
0.072,0,0.000000,4.656277,4.051759,1,4.301965,3.801332,5.918540,6.308798,-2.436364,4.786101,-1.05181,0.09844
0.073,0,0.000000,4.658372,4.051133,1,4.301200,3.800515,5.913959,6.316793,-2.356779,4.783860,-1.03464,0.09897
0.074,0,0.000000,4.660296,4.050210,1,4.300436,3.799698,5.909378,6.324787,-2.277195,4.781619,-1.01539,0.10076
