"Time","v3 L COP","v2 R COP","47 RDS cle","45  R marks","39 FRx (cm)","35 HRx (cm)","48 LDS cle","46 L marks","37 FLx (cm)","33 HLx (cm)","v1 xCoM","3 Platform","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","42 CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","m3 RDS cle","m1 R marks","38 FLy (cm)","36 HRy (cm)","35a HRx (cm)","m4 LDS cle","m2 L marks","37a FLx (cm)","34 HLy (cm)","33a HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","11 Gr","10 Gs","9 TA","8 St","7 BF","6 Ip","5 VL","4 GM","2 Trdml","12 Sync","1 Synch"
0.000,8.486259,0.000000,0,0,19.305174,16.123558,1,0,18.263678,15.546957,5.283031,-1.09012,7.551645,0.737283,-0.825510,5.324893,17.274403,4.772591,23.207924,0,0,10.322535,3.840642,-7.628099,1,0,-7.121507,6.761377,28.032541,162.089188,0,54.692307,93.363754,73.874748,8.981249,19.918068,8.634753,16.832592,8.582788,16.163811,8.805161,15.235254,9.859572,16.438660,10.964877,15.579420,11.383015,16.628258,-0.01720,-0.01452,-0.02164,0.00269,0.00720,-0.01261,0.00455,0.00245,0.10517,0,3.27694
0.001,8.263590,0.000000,0,0,19.325464,16.116323,1,0,18.256765,15.575403,5.289478,-1.07234,7.551346,0.738625,-0.693675,5.324458,17.279404,4.774789,21.893322,0,0,9.623275,3.841914,-7.604938,1,0,-6.730007,6.767804,27.956007,162.299561,0,54.492722,93.025917,73.890358,8.966557,19.963697,8.634754,16.822794,8.586706,16.154270,8.809903,15.230894,9.857483,16.440170,10.962560,15.580634,11.382005,16.631102,-0.01646,-0.01340,-0.02133,0.00319,0.00823,-0.01195,0.00566,0.00431,0.10839,0,3.27671
0.002,7.969805,0.000000,0,0,19.345352,16.109121,1,0,18.249910,15.603848,5.295829,-1.05329,7.550746,0.740725,-0.563520,5.324060,17.284342,4.777061,20.579962,0,0,8.823673,3.843294,-7.582337,1,0,-6.315069,6.774826,27.874580,162.535751,0,54.300957,92.676216,73.881668,8.950858,20.008867,8.634607,16.812790,8.590829,16.144804,8.814822,15.226895,9.855671,16.441935,10.960261,15.581774,11.380870,16.633890,-0.01854,-0.01332,-0.02147,0.00338,0.00877,-0.01182,0.00495,0.00312,0.10932,0,3.27658
0.003,7.469345,0.000000,0,0,19.365240,16.101917,1,0,18.243057,15.632294,5.301898,-1.03530,7.550147,0.742825,-0.433366,5.323663,17.289280,4.779333,19.266603,0,0,8.024073,3.844674,-7.559737,1,0,-5.900131,6.781848,27.793156,162.771942,0,54.109188,92.326523,73.872978,8.935160,20.054037,8.634460,16.802784,8.594953,16.135338,8.819742,15.222896,9.853858,16.443697,10.957963,15.582913,11.379736,16.636679,-0.01593,-0.01293,-0.02028,0.00329,0.00818,-0.01209,0.00569,0.00241,0.11113,0,3.27696
0.004,7.054851,0.000000,0,0,19.385128,16.094715,1,0,18.236204,15.660739,5.307889,-1.01581,7.549547,0.744925,-0.303212,5.323266,17.294218,4.781604,17.953245,0,0,7.224472,3.846054,-7.537137,1,0,-5.485194,6.788871,27.711731,163.008133,0,53.917423,91.976822,73.864288,8.919462,20.099207,8.634314,16.792780,8.599076,16.125872,8.824661,15.218897,9.852046,16.445461,10.955665,15.584053,11.378601,16.639467,-0.01467,-0.01500,-0.02025,0.00304,0.00847,-0.01211,0.00538,0.00210,0.11088,0,3.27724
0.005,6.890195,0.000000,0,0,19.399778,16.087093,1,0,18.229750,15.688493,5.313649,-0.97726,7.551917,0.748490,-0.188333,5.323146,17.298969,4.780794,16.743868,0,0,7.173542,3.846684,-7.532092,1,0,-4.747632,6.794165,27.586040,162.979889,0,53.420315,91.858643,74.209427,8.887614,20.102892,8.636847,16.785202,8.601690,16.118925,8.829756,15.204221,9.845643,16.440065,10.955317,15.586667,11.376626,16.641516,-0.01698,-0.01454,-0.02180,0.00443,0.00707,-0.01239,0.00588,0.00203,0.10917,0,3.27702
0.006,6.792054,0.000000,0,0,19.414082,16.079445,1,0,18.223320,15.716202,5.319373,-0.95639,7.554483,0.752153,-0.074463,5.323045,17.303709,4.779780,15.541365,0,0,7.172100,3.847265,-7.528208,1,0,-3.988746,6.799345,27.457422,162.934158,0,52.903023,91.755768,74.577965,8.854699,20.103836,8.639559,16.777784,8.604204,16.112146,8.834861,15.188840,9.838936,16.434196,10.955099,15.589378,11.374596,16.643515,-0.02350,-0.01266,-0.02103,0.00343,0.00740,-0.01379,0.00595,0.00076,0.10731,0,3.27680
0.007,6.887220,0.000000,0,0,19.428387,16.071795,1,0,18.216892,15.743911,5.324993,-0.93730,7.557049,0.755815,0.039407,5.322945,17.308447,4.778767,14.338861,0,0,7.170657,3.847846,-7.524324,1,0,-3.229860,6.804524,27.328806,162.888443,0,52.385735,91.652885,74.946495,8.821785,20.104780,8.642270,16.770365,8.606718,16.105368,8.839967,15.173458,9.832230,16.428328,10.954880,15.592090,11.372564,16.645514,-0.02265,-0.01231,-0.02058,0.00245,0.00982,-0.01243,0.00448,0.00357,0.10430,0,3.27665
0.008,6.970228,0.000000,0,0,19.442690,16.064146,1,0,18.210464,15.771620,5.330626,-0.91802,7.559615,0.759477,0.153277,5.322844,17.313187,4.777753,13.136357,0,0,7.169214,3.848426,-7.520440,1,0,-2.470973,6.809704,27.200190,162.842712,0,51.868443,91.550011,75.315025,8.788870,20.105724,8.644982,16.762947,8.609232,16.098589,8.845072,15.158077,9.825522,16.422459,10.954661,15.594802,11.370534,16.647512,-0.01342,-0.01220,-0.01959,0.00231,0.00877,-0.01176,0.00602,0.00367,0.10792,0,3.27661
0.009,7.017900,0.000000,0,0,19.453402,16.056511,1,0,18.204052,15.797899,5.336298,-0.89827,7.559190,0.754347,0.259524,5.323195,17.317768,4.774238,12.055968,0,0,7.170792,3.848804,-7.527551,1,0,-1.366792,6.816013,27.052237,162.490463,0,51.903290,91.360146,75.218552,8.787035,20.067432,8.645944,16.750313,8.608892,16.090725,8.847183,15.155048,9.823670,16.422493,10.952665,15.594625,11.366934,16.647900,-0.01661,-0.01206,-0.02004,0.00294,0.00813,-0.01273,0.00380,0.00307,0.11113,0,3.27714
0.010,7.048136,0.000000,0,0,19.463875,16.048878,1,0,18.197641,15.824084,5.341996,-0.87769,7.558568,0.748635,0.365268,5.323576,17.322340,4.770557,10.983651,0,0,7.172570,3.849169,-7.535389,1,0,-0.239787,6.822397,26.903008,162.117950,0,51.974628,91.164536,75.091331,8.787255,20.026545,8.646790,16.737335,8.608364,16.082787,8.849096,15.152836,9.822140,16.422918,10.950552,15.594256,11.363230,16.648180,-0.02525,-0.01382,-0.02134,0.00276,0.00886,-0.01211,0.00457,0.00070,0.11153,0,3.27756
0.011,7.027695,0.000000,0,0,19.474348,16.041243,1,0,18.191231,15.850269,5.347773,-0.84412,7.557945,0.742923,0.471011,5.323958,17.326912,4.766877,9.911333,0,0,7.174348,3.849533,-7.543227,1,0,0.887217,6.828781,26.753777,161.745438,0,52.045967,90.968925,74.964119,8.787475,19.985659,8.647635,16.724356,8.607837,16.074850,8.851009,15.150624,9.820609,16.423344,10.948439,15.593888,11.359527,16.648462,-0.01407,-0.01308,-0.02086,0.00169,0.01086,-0.01313,0.00508,0.00418,0.10899,0,3.27741
0.012,7.010813,0.000000,0,0,19.484823,16.033609,1,0,18.184818,15.876455,5.353576,-0.81352,7.557322,0.737212,0.576755,5.324339,17.331482,4.763196,8.839016,0,0,7.176126,3.849898,-7.551065,1,0,2.014222,6.835165,26.604548,161.372925,0,52.117310,90.773315,74.836906,8.787695,19.944771,8.648481,16.711378,8.607308,16.066914,8.852922,15.148412,9.819078,16.423769,10.946325,15.593520,11.355823,16.648743,-0.01926,-0.01288,-0.01959,0.00202,0.00709,-0.01104,0.00695,0.00004,0.11136,0,3.27727
0.013,7.004276,0.000000,0,0,19.491718,16.026365,1,0,18.193926,15.903014,5.359457,-0.78868,7.564898,0.749636,0.677611,5.325167,17.338238,4.755009,7.883977,0,0,7.180448,3.855531,-7.575759,1,0,3.675886,6.840411,26.444071,161.286758,0,52.054379,90.647026,74.801376,8.776835,19.992619,8.651264,16.707161,8.610829,16.062450,8.857848,15.148386,9.819172,16.427349,10.947712,15.598867,11.354827,16.654779,-0.02311,-0.01438,-0.02627,0.00663,0.00467,-0.01678,0.00081,0.00246,0.10647,0,3.27719
0.014,7.002301,0.000000,0,0,19.498377,16.019146,1,0,18.204058,15.929599,5.365366,-0.76913,7.573016,0.763259,0.778144,5.326025,17.345139,4.746524,6.936691,0,0,7.184938,3.861511,-7.601568,1,0,5.372890,6.845582,26.282850,161.219528,0,51.982578,90.525330,74.771904,8.765244,20.046333,8.654175,16.703522,8.614617,16.058216,8.862973,15.148505,9.819374,16.431137,10.949330,15.604593,11.354011,16.661196,-0.01622,-0.01171,-0.01774,0.00169,0.01022,-0.01129,0.00491,-0.00021,0.10474,0,3.27709
0.015,7.013582,0.000000,0,0,19.505035,16.011927,1,0,18.214190,15.956183,5.371356,-0.74457,7.581133,0.776882,0.878677,5.326883,17.352039,4.738039,5.989404,0,0,7.189429,3.867492,-7.627377,1,0,7.069893,6.850752,26.121630,161.152283,0,51.910774,90.403625,74.742432,8.753653,20.100046,8.657085,16.699883,8.618405,16.053982,8.868099,15.148624,9.819575,16.434927,10.950948,15.610318,11.353193,16.667614,-0.01468,-0.01077,-0.01617,-0.00291,0.01231,-0.00795,0.00695,-0.00047,0.11199,0,3.27686
0.016,7.023315,0.000000,0,0,19.511694,16.004709,1,0,18.224323,15.982768,5.377377,-0.72349,7.589251,0.790505,0.979211,5.327740,17.358940,4.729554,5.042117,0,0,7.193919,3.873473,-7.653186,1,0,8.766897,6.855924,25.960409,161.085052,0,51.838974,90.281921,74.712959,8.742062,20.153761,8.659996,16.696243,8.622194,16.049747,8.873224,15.148743,9.819777,16.438715,10.952566,15.616044,11.352377,16.674030,-0.01925,-0.01437,-0.02180,0.00451,0.00862,-0.01300,0.00582,0.00573,0.11115,0,3.27675
0.017,7.028545,0.000000,0,0,19.514872,15.996928,1,0,18.234983,16.008886,5.383482,-0.69924,7.589315,0.789630,1.078041,5.328893,17.364103,4.727931,4.196641,0,0,7.195070,3.875879,-7.689250,1,0,10.172288,6.856424,25.724386,160.516739,0,51.700397,90.055626,74.931496,8.739438,20.145344,8.663477,16.678198,8.622685,16.038485,8.876788,15.141784,9.814383,16.438143,10.949560,15.618801,11.350338,16.676508,-0.01712,-0.01297,-0.01667,0.00081,0.01085,-0.00989,0.00807,0.00007,0.11292,0,3.27721
0.018,7.031920,0.000000,0,0,19.517820,15.989111,1,0,18.245680,16.034975,5.389614,-0.66442,7.588847,0.787797,1.176759,5.330064,17.369152,4.726761,3.357894,0,0,7.195999,3.878049,-7.725991,1,0,11.558404,6.856616,25.483419,159.915283,0,51.557407,89.822418,75.166420,8.737409,20.132820,8.666996,16.659199,8.622959,16.026760,8.880249,15.134356,9.808619,16.437283,10.946249,15.621363,11.348219,16.678724,-0.01775,-0.01432,-0.02150,0.00199,0.00791,-0.01359,0.00570,0.00278,0.11143,0,3.27759
0.019,7.029901,0.000000,0,0,19.520769,15.981294,1,0,18.256376,16.061064,5.395825,-0.63220,7.588379,0.785964,1.275476,5.331236,17.374203,4.725591,2.519148,0,0,7.196929,3.880218,-7.762732,1,0,12.944520,6.856809,25.242453,159.313843,0,51.414421,89.589203,75.401352,8.735378,20.120295,8.670515,16.640200,8.623232,16.015034,8.883710,15.126928,9.802855,16.436422,10.942938,15.623924,11.346099,16.680943,-0.01923,-0.01818,-0.02592,-0.00404,0.00765,-0.01791,-0.00077,-0.00021,0.10768,0,3.27759
0.020,7.027906,0.000000,0,0,19.523718,15.973476,1,0,18.267073,16.087152,5.402060,-0.60892,7.587912,0.784131,1.374194,5.332408,17.379251,4.724422,1.680401,0,0,7.197858,3.882388,-7.799473,1,0,14.330636,6.857001,25.001486,158.712402,0,51.271431,89.355995,75.636276,8.733349,20.107771,8.674034,16.621201,8.623506,16.003307,8.887171,15.119501,9.797091,16.435562,10.939627,15.626485,11.343980,16.683159,-0.01725,-0.01365,-0.01842,0.00465,0.00783,-0.01149,0.00790,0.00794,0.10732,0,3.27759
