"Time","m4 HLl swoff","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","42 CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","m1 FLr swoff","39a FRx (cm)","v2 R COP","47 RDS cle","45 R marks","39 FRx (cm)","38 FLy (cm)","36 HRy (cm)","m3 HLr swoff","35a HRx (cm)","35 HRx (cm)","v3 L COP","m2 FLl swoff","52 HLl swoff","51 HLr swoff","50 FLl swoff","49 FLr swoff","48 LDS cle","46 L marks","37a FLx (cm)","37 FLx (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","v1 xCoM","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","11 Gr","10 Gs","9 TA","8 St","7 BF","6 Ip","5 VL","4 GM","3 Platform","2 Trdml","12 Sync","1 Synch"
0.000,0,7.510703,0.724681,-6.014148,6.103888,17.830965,5.216549,0,10.059184,0.000000,0,0,19.480005,7.208562,4.784912,0,-7.475288,16.191143,0.000000,0,0,0,0,0,0,0,-6.344447,18.977455,7.146174,31.277645,16.267351,5.798835,159.766602,0,49.535954,78.887154,76.497330,8.721548,19.978428,8.607045,16.894470,8.600932,16.216257,8.894109,15.398067,9.689722,16.786232,10.747410,15.869011,11.239431,16.817083,-0.01548,-0.01385,-0.02219,0.00372,0.00714,-0.01244,0.00535,0.00294,-1.10409,0.09797,0,3.27726
0.001,0,7.513123,0.730790,-5.916021,6.097749,17.826113,5.209178,0,10.355419,0.000000,0,0,19.490574,7.214003,4.788089,0,-7.505726,16.183842,0.000000,0,0,0,0,0,0,0,-6.373375,18.970901,7.149169,31.158241,16.299973,5.797878,159.411377,0,49.845078,78.844849,76.348656,8.720898,20.022198,8.608410,16.888544,8.601747,16.209471,8.898407,15.395543,9.694016,16.783710,10.751030,15.865710,11.242663,16.817326,-0.01800,-0.01346,-0.02142,0.00215,0.00908,-0.01211,0.00486,0.00210,-1.08809,0.09890,0,3.27684
0.002,0,7.519872,0.730374,-5.795731,6.091698,17.829058,5.193558,0,10.528980,0.000000,0,0,19.501776,7.216215,4.789210,0,-7.536329,16.176245,0.000000,0,0,0,0,0,0,0,-6.412767,18.964529,7.150084,30.847206,16.331732,5.797522,158.748779,0,50.125134,78.724144,76.350395,8.735987,20.029766,8.612951,16.885145,8.603517,16.203249,8.906055,15.392401,9.697887,16.782700,10.755455,15.865340,11.246708,16.817551,-0.01747,-0.01396,-0.02043,0.00245,0.00870,-0.01319,0.00586,0.00166,-1.07149,0.10221,0,3.27715
0.003,0,7.527509,0.728621,-5.670902,6.085665,17.833601,5.176248,0,10.677416,0.000000,0,0,19.513107,7.217766,4.789911,0,-7.566966,16.168587,0.000000,0,0,0,0,0,0,0,-6.454301,18.958193,7.150572,30.496920,16.363314,5.797310,158.023224,0,50.399231,78.587379,76.382935,8.754299,20.029919,8.618143,16.882265,8.605482,16.197142,8.914391,15.389132,9.701673,16.782000,10.760044,15.865570,11.250919,16.817774,-0.01878,-0.01245,-0.02046,0.00306,0.00964,-0.01301,0.00665,0.00291,-1.05424,0.10335,0,3.27743
0.004,0,7.535146,0.726868,-5.546072,6.079633,17.838142,5.158937,0,10.825850,0.000000,0,0,19.524439,7.219317,4.790611,0,-7.597603,16.160929,0.000000,0,0,0,0,0,0,0,-6.495836,18.951857,7.151061,30.146633,16.394896,5.797937,157.297668,0,50.673332,78.450615,76.415482,8.772612,20.030073,8.623336,16.879383,8.607448,16.191036,8.922725,15.385863,9.705458,16.781300,10.764634,15.865799,11.255131,16.817995,-0.01779,-0.01246,-0.01993,0.00409,0.00941,-0.01203,0.00458,0.00423,-1.01718,0.10184,0,3.27727
0.005,0,7.542783,0.725114,-5.421243,6.073600,17.842686,5.141627,0,10.974286,0.000000,0,0,19.535770,7.220869,4.791312,0,-7.628240,16.153271,0.000000,0,0,0,0,0,0,0,-6.537370,18.945520,7.151550,29.796347,16.426477,5.798739,156.572113,0,50.947433,78.313850,76.448029,8.790924,20.030226,8.628528,16.876503,8.609413,16.184929,8.931060,15.382595,9.709242,16.780598,10.769224,15.866029,11.259342,16.818216,-0.01633,-0.01370,-0.02125,0.00229,0.00852,-0.01202,0.00629,0.00208,-0.99755,0.10382,0,3.27716
0.006,0,7.544282,0.727984,-5.271942,6.068225,17.844511,5.126580,0,11.024981,0.000000,0,0,19.547007,7.220859,4.791291,0,-7.640143,16.145409,0.000000,0,0,0,0,0,0,0,-6.571344,18.938643,7.157455,29.322933,16.456112,5.800555,156.059433,0,51.140038,78.115692,76.431656,8.828695,20.075191,8.632546,16.866255,8.611478,16.174747,8.936226,15.378568,9.710569,16.778690,10.769894,15.863362,11.261252,16.816940,-0.01702,-0.01336,-0.02023,0.00291,0.00900,-0.01272,0.00583,0.00156,-0.97833,0.10575,0,3.27761
0.007,0,7.544524,0.731800,-5.117628,6.062986,17.845779,5.111995,0,11.055658,0.000000,0,0,19.558222,7.220529,4.791122,0,-7.648210,16.137506,0.000000,0,0,0,0,0,0,0,-6.603769,18.931654,7.164470,28.824301,16.485350,5.802542,155.590347,0,51.315948,77.904953,76.405273,8.870453,20.129333,8.636324,16.854498,8.613564,16.163731,8.940743,15.374385,9.711392,16.776537,10.769759,15.860103,11.262691,16.815359,-0.01949,-0.01392,-0.01993,0.00382,0.00828,-0.01307,0.00453,0.00621,-0.95586,0.10601,0,3.27802
0.008,0,7.544765,0.735616,-4.963314,6.057746,17.847048,5.097411,0,11.086335,0.000000,0,0,19.569437,7.220199,4.790954,0,-7.656276,16.129604,0.000000,0,0,0,0,0,0,0,-6.636194,18.924665,7.171485,28.325668,16.514585,5.805522,155.121277,0,51.491859,77.694214,76.378883,8.912210,20.183477,8.640101,16.842743,8.615649,16.152716,8.945260,15.370202,9.712216,16.774382,10.769626,15.856842,11.264130,16.813776,-0.01558,-0.01450,-0.01972,0.00291,0.00944,-0.01271,0.00540,0.00140,-0.93777,0.10391,0,3.27764
0.009,0,7.545007,0.739432,-4.809000,6.052506,17.848316,5.082826,0,11.117012,0.000000,0,0,19.580652,7.219870,4.790785,0,-7.664342,16.121702,0.000000,0,0,0,0,0,0,0,-6.668619,18.917677,7.178500,27.827036,16.543821,5.808658,154.652191,0,51.667770,77.483482,76.352501,8.953968,20.237619,8.643880,16.830986,8.617735,16.141699,8.949778,15.366019,9.713039,16.772226,10.769492,15.853582,11.265569,16.812193,-0.01294,-0.01253,-0.02028,0.00220,0.01055,-0.01250,0.00497,0.00495,-0.91746,0.10438,0,3.27728
