"Time","m2 FLl swoff","v2 R COP","49 RDS cle","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","m1 FLr swoff","39a FRx (cm)","39 FRx (cm)","38 FLy (cm)","36 HRy (cm)","m3 HLr swoff","35a HRx (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","48 L marks","37a FLx (cm)","37 FLx (cm)","m4 HLl swoff","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","42 CoMy (cm)","v1 xCoM","42a CoMy (cm)","3 Platform","2 Trdml","1 Synch","24a toex (cm)"
0.000,0,0.000000,1,0,0,0,7.120282,1.023014,14.041035,4.964613,0,-10.934752,15.740203,6.763855,4.838423,0,2.542230,11.151740,0.000000,1,0,37.029312,14.752615,0,6.771404,-0.913921,12.805544,108.174004,0,98.946785,94.077805,89.794685,7.949702,16.280266,8.063222,11.292138,8.225148,10.796621,9.266758,10.794965,9.549026,12.572657,11.043433,12.443371,11.117868,13.341091,0,0.00226,0.00242,0.00101,0.00096,0.00061,0.00094,0.00091,0.00219,6.037749,6.014473,-0.428431,-1.48646,0.11262,3.27783,11.292138
0.001,0,0.000000,1,0,0,0,7.121067,1.027379,14.046307,4.964983,0,-10.919508,15.729172,6.761013,4.836414,0,3.331058,11.153112,0.000000,1,0,37.580574,14.789202,0,6.772293,-1.522395,12.804683,108.223511,0,99.460762,94.000023,89.979431,7.950871,16.276033,8.067645,11.281023,8.236101,10.788010,9.271070,10.799535,9.547043,12.578244,11.041737,12.452225,11.117349,13.352868,0,0.00222,0.00258,0.00121,0.00097,0.00064,0.00095,0.00092,0.00232,6.037095,6.016160,-0.387170,-1.48544,0.11164,3.27818,11.281023
0.002,0,0.000000,1,0,0,0,7.117946,1.020942,14.055575,4.967318,0,-10.902030,15.718310,6.756583,4.835419,0,4.156289,11.157646,0.000000,1,0,38.068401,14.827711,0,6.773406,-2.067971,12.802369,108.084831,0,100.162788,93.599983,89.783340,7.951142,16.268839,8.069194,11.274608,8.244632,10.782828,9.275270,10.810452,9.545054,12.590091,11.039255,12.458836,11.115134,13.361805,0,0.00220,0.00280,0.00138,0.00096,0.00063,0.00095,0.00088,0.00232,6.036762,6.018390,-0.335886,-1.48655,0.10964,3.27773,11.274608
0.003,0,0.000000,1,0,0,0,7.113885,1.011905,14.065805,4.970125,0,-10.884015,15.707489,6.751770,4.834669,0,4.990282,11.162940,0.000000,1,0,38.540962,14.866682,0,6.774573,-2.598408,12.799705,107.900856,0,100.910072,93.122375,89.495583,7.951197,16.260931,8.070049,11.269323,8.252580,10.778472,9.279442,10.822896,9.543066,12.603443,11.036584,12.464907,11.112513,13.370058,0,0.00219,0.00293,0.00156,0.00093,0.00063,0.00094,0.00086,0.00238,6.036506,6.020696,-0.282189,-1.48811,0.10793,3.27729,11.269323
0.004,0,0.000000,1,0,0,0,7.109824,1.002867,14.076035,4.972932,0,-10.865999,15.696668,6.746958,4.833918,0,5.824275,11.168235,0.000000,1,0,39.013523,14.905654,0,6.775740,-3.128844,12.797041,107.716873,0,101.657364,92.644775,89.207825,7.951252,16.253023,8.070906,11.264039,8.260528,10.774117,9.283615,10.835340,9.541078,12.616796,11.033914,12.470977,11.109891,13.378310,0,0.00213,0.00292,0.00169,0.00093,0.00064,0.00094,0.00086,0.00243,6.036250,6.023558,-0.228493,-1.49465,0.10964,3.27752,11.264039
0.005,0,0.000000,1,0,0,0,7.105762,0.993830,14.086266,4.975739,0,-10.847984,15.685846,6.742146,4.833167,0,6.658268,11.173529,0.000000,1,0,39.486084,14.944625,0,6.776907,-3.659281,12.794377,107.532898,0,102.404655,92.167168,88.920067,7.951308,16.245113,8.071762,11.258755,8.268475,10.769760,9.287787,10.847785,9.539089,12.630149,11.031242,12.477048,11.107269,13.386563,0,0.00209,0.00292,0.00186,0.00088,0.00064,0.00093,0.00083,0.00243,6.035994,6.026477,-0.174797,-1.48646,0.11239,3.27774,11.258755
0.006,0,0.000000,1,0,0,0,7.103850,0.996782,14.093962,4.978815,0,-10.825837,15.674998,6.737240,4.829213,0,7.477028,11.181742,0.000000,1,0,39.832867,14.985221,0,6.775467,-4.141996,12.789861,107.995781,0,102.810463,92.131615,88.920517,7.951827,16.241968,8.072734,11.253911,8.278946,10.766821,9.292938,10.854336,9.539459,12.637361,11.031911,12.487337,11.106039,13.396530,0,0.00200,0.00290,0.00192,0.00086,0.00064,0.00092,0.00082,0.00244,6.035939,6.029804,-0.111536,-1.48564,0.11249,3.27782,11.253911
0.007,0,0.000000,1,0,0,0,7.102454,1.002619,14.101048,4.981955,0,-10.802695,15.664143,6.732311,4.824487,0,8.292122,11.190657,0.000000,1,0,40.149372,15.026207,0,6.773400,-4.613226,12.784898,108.614365,0,103.134071,92.202454,88.990341,7.952457,16.239969,8.073733,11.249173,8.290024,10.764223,9.298326,10.859468,9.540397,12.643094,11.033383,12.498641,11.105144,13.406910,0,0.00203,0.00315,0.00210,0.00084,0.00064,0.00091,0.00084,0.00251,6.035932,6.033169,-0.045974,-1.48578,0.11092,3.27787,11.249173
0.008,0,0.000000,1,0,0,0,7.101059,1.008456,14.108133,4.985095,0,-10.779553,15.653288,6.727382,4.819761,0,9.107215,11.199573,0.000000,1,0,40.465878,15.067193,0,6.771332,-5.084455,12.779935,109.232948,0,103.457687,92.273293,89.060165,7.953088,16.237970,8.074733,11.244435,8.301102,10.761625,9.303712,10.864600,9.541334,12.648828,11.034856,12.509945,11.104248,13.417289,0,0.00212,0.00328,0.00225,0.00087,0.00064,0.00091,0.00083,0.00270,6.035925,6.036812,0.019589,-1.48755,0.10970,3.27726,11.244435
0.009,0,0.000000,1,0,0,0,7.099663,1.014294,14.115220,4.988235,0,-10.756413,15.642432,6.722453,4.815036,0,9.922309,11.208488,0.000000,1,0,40.782383,15.108179,0,6.769265,-5.555685,12.774973,109.851532,0,103.781296,92.344131,89.129990,7.953718,16.235970,8.075733,11.239698,8.312180,10.759027,9.309098,10.869733,9.542271,12.654562,11.036328,12.521249,11.103353,13.427669,0,0.00210,0.00346,0.00251,0.00090,0.00063,0.00096,0.00083,0.00309,6.035918,6.040480,0.085152,-1.48536,0.10803,3.27667,11.239698
