"Time","m2 FLl swoff","v2 R COP","49 RDS cle","47 R marks","46 sw offset","45 sw onset","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","m1 FLr swoff","39a FRx (cm)","39 FRx (cm)","38 FLy (cm)","36 HRy (cm)","m3 HLr swoff","35a HRx (cm)","35 HRx (cm)","v3 L COP","50 LDS cle","48 L marks","37a FLx (cm)","37 FLx (cm)","m4 HLl swoff","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","42 CoMy (cm)","v1 xCoM","42a CoMy (cm)","3 Platform","2 Trdml","1 Synch","24a toex (cm)"
0.000,0,0.000000,0,0,0,0,7.321818,1.207380,13.497119,4.811658,0,39.039455,14.977633,6.358290,4.654619,0,-9.434221,11.654634,0.000000,0,0,-9.543208,14.725955,0,7.200726,34.845264,10.905417,150.753525,0,56.825073,89.866837,72.444069,8.257912,15.038054,8.167630,11.917565,8.243648,11.312269,8.779655,10.585378,9.407684,12.272257,10.812198,11.745633,10.859983,12.658192,0,0.00069,0.00070,0.00069,0.00341,0.00098,0.00089,0.00067,0.00080,5.977890,5.835248,-2.642563,1.47805,0.11301,3.27820,11.917565
0.001,0,0.000000,0,0,0,0,7.320446,1.204487,13.498568,4.811473,0,39.121281,15.017086,6.363288,4.656187,0,-9.461649,11.645282,0.000000,0,0,-9.526688,14.716233,0,7.195537,35.711468,10.942698,150.572586,0,56.707466,89.821434,72.846069,8.261083,15.083662,8.168226,11.906899,8.245145,11.305825,8.789197,10.576714,9.404330,12.268174,10.812302,11.751163,10.860259,12.663385,0,0.00068,0.00070,0.00072,0.00343,0.00100,0.00088,0.00067,0.00080,5.974952,5.828474,-2.709446,1.47890,0.11165,3.27820,11.906899
0.002,0,0.000000,0,0,0,0,7.319076,1.201595,13.500016,4.811288,0,39.203110,15.056539,6.368285,4.657755,0,-9.489078,11.635930,0.000000,0,0,-9.510167,14.706511,0,7.190347,36.577671,10.979978,150.391663,0,56.589859,89.776031,73.248070,8.264253,15.129270,8.168821,11.896235,8.246642,11.299380,8.798738,10.568049,9.400977,12.264091,10.812406,11.756693,10.860534,12.668580,0,0.00069,0.00073,0.00075,0.00344,0.00096,0.00080,0.00064,0.00079,5.972015,5.821817,-2.776330,1.47824,0.10929,3.27803,11.896235
0.003,0,0.000000,0,0,0,0,7.317704,1.198702,13.501465,4.811104,0,39.284935,15.095991,6.373282,4.659323,0,-9.516505,11.626578,0.000000,0,0,-9.493647,14.696790,0,7.185158,37.443878,11.017258,150.210724,0,56.472252,89.730629,73.650078,8.267424,15.174878,8.169417,11.885569,8.248140,11.292935,8.808280,10.559386,9.397624,12.260009,10.812510,11.762223,10.860808,12.673775,0,0.00069,0.00074,0.00075,0.00341,0.00094,0.00073,0.00062,0.00077,5.969078,5.815386,-2.843214,1.47819,0.10768,3.27734,11.885569
0.004,0,0.000000,0,0,0,0,7.316351,1.195856,13.503099,4.810864,0,39.365124,15.135451,6.378150,4.660888,0,-9.544765,11.617223,0.000000,0,0,-9.476830,14.687078,0,7.180014,38.306747,11.054611,150.009537,0,56.363846,89.672485,74.055130,8.270072,15.220756,8.170076,11.874850,8.249784,11.286072,8.818248,10.550582,9.394271,12.255897,10.812617,11.767756,10.861120,12.679043,0,0.00068,0.00075,0.00073,0.00326,0.00094,0.00073,0.00063,0.00074,5.966130,5.809066,-2.909583,1.47868,0.10702,3.27692,11.874850
0.005,0,0.000000,0,0,0,0,7.315685,1.194770,13.511677,4.808596,0,39.383854,15.175222,6.378125,4.662327,0,-9.604151,11.607721,0.000000,0,0,-9.448905,14.677768,0,7.176578,39.044773,11.094714,149.049286,0,56.600033,89.137367,74.574623,8.253171,15.276719,8.173105,11.862172,8.256932,11.263515,8.844179,10.536521,9.390944,12.250639,10.812855,11.773388,10.862804,12.687083,0,0.00068,0.00076,0.00074,0.00357,0.00093,0.00072,0.00065,0.00075,5.962798,5.802957,-2.956653,1.47784,0.10715,3.27730,11.862172
0.006,0,0.000000,0,0,0,0,7.315019,1.193685,13.520253,4.806327,0,39.402584,15.214993,6.378100,4.663767,0,-9.663537,11.598220,0.000000,0,0,-9.420980,14.668456,0,7.173141,39.782799,11.134816,148.089035,0,56.836224,88.602242,75.094116,8.236269,15.332683,8.176134,11.849494,8.264081,11.240958,8.870111,10.522461,9.387615,12.245381,10.813091,11.779019,10.864489,12.695124,0,0.00069,0.00076,0.00076,0.00372,0.00093,0.00072,0.00066,0.00085,5.959466,5.796970,-3.003723,1.47786,0.10915,3.27745,11.849494
0.007,0,0.000000,0,0,0,0,7.314353,1.192599,13.528831,4.804059,0,39.421314,15.254765,6.378076,4.665206,0,-9.722922,11.588718,0.000000,0,0,-9.393055,14.659145,0,7.169705,40.520821,11.174918,147.128799,0,57.072411,88.067123,75.613609,8.219368,15.388646,8.179163,11.836816,8.271229,11.218401,8.896043,10.508401,9.384287,12.240124,10.813328,11.784651,10.866173,12.703163,0,0.00068,0.00077,0.00081,0.00379,0.00099,0.00073,0.00065,0.00091,5.956133,5.791217,-3.050794,1.47798,0.11072,3.27692,11.836816
0.008,0,0.000000,0,0,0,0,7.313733,1.191569,13.537378,4.801745,0,39.438927,15.294521,6.378089,4.666562,0,-9.782861,11.579212,0.000000,0,0,-9.364764,14.649836,0,7.166487,41.254375,11.215091,146.187546,0,57.302586,87.546776,76.129959,8.202788,15.444501,8.182193,11.824168,8.278255,11.196316,8.921458,10.494660,9.380994,12.235011,10.813565,11.790337,10.867864,12.711218,0,0.00070,0.00080,0.00081,0.00385,0.00088,0.00072,0.00064,0.00091,5.952796,5.785604,-3.097373,1.48013,0.11012,3.27652,11.824168
0.009,0,0.000000,0,0,0,0,7.314817,1.192619,13.544812,4.797738,0,39.414501,15.333771,6.379500,4.664762,0,-9.863486,11.569541,0.000000,0,0,-9.322768,14.640592,0,7.171433,41.820385,11.257905,145.958298,0,57.307484,87.579834,76.528755,8.198281,15.496308,8.185271,11.812643,8.280675,11.191907,8.927540,10.492896,9.379023,12.235294,10.813827,11.798083,10.869814,12.719799,0,0.00070,0.00080,0.00080,0.00390,0.00087,0.00072,0.00065,0.00091,5.949267,5.780260,-3.125553,1.47793,0.10856,3.27652,11.812643
