"Time","m4 HLl swoff","v2 R COP","47 RDS cle","45 R marks","44 miry (cm)","43 mirx (cm)","42a CoMy (cm)","41 CoMx (cm)","40 FRy (cm)","m1 FLr swoff","39a FRx (cm)","39 FRx (cm)","m3 HLr swoff","35a HRx (cm)","35 HRx (cm)","m2 FLl swoff","52 HLl swoff","51 HLr swoff","50 FLl swoff","49 FLr swoff","48 LDS cle","46 L marks","38 FLy (cm)","37a FLx (cm)","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","v3 L COP","42 CoMy (cm)","v1 xCoM","3 Platform","2 Trdml","1 Synch"
0.000,0,0.000000,0,0,7.525088,1.928236,-2.589140,18.282713,5.186743,0,17.862680,19.135941,0,-8.558099,17.135614,0,0,0,0,0,0,0,6.239857,-9.865452,20.286186,4.250043,6.926683,-9.326622,15.914751,164.119629,30.857204,67.082520,66.771225,8.774326,19.349356,8.691731,18.134296,8.635220,17.667252,8.814167,16.531010,9.373765,17.922546,10.449907,16.865192,10.744148,17.639563,0,-0.01988,-0.01398,-0.02115,0.00297,0.00914,-0.01433,0.00753,0.00387,0.000000,5.759255,5.634750,-1.49818,0.12051,3.27696
0.001,0,0.000000,0,0,7.528530,1.928275,-2.509429,18.284161,5.170617,0,18.303307,19.154415,0,-8.546416,17.127249,0,0,0,0,0,0,0,6.240796,-9.907712,20.275406,4.252519,6.926825,-9.180451,15.904928,164.237411,30.470400,66.961212,66.999451,8.775026,19.349751,8.691441,18.126907,8.635511,17.660603,8.815181,16.524088,9.364565,17.919710,10.448104,16.867914,10.738906,17.641153,0,-0.01734,-0.01441,-0.01971,0.00272,0.00776,-0.01230,0.00480,0.00330,0.000000,5.756380,5.635617,-1.50041,0.11982,3.27703
0.002,0,0.000000,0,0,7.531972,1.928315,-2.429717,18.285610,5.154491,0,18.743935,19.172888,0,-8.534734,17.118883,0,0,0,0,0,0,0,6.241736,-9.949972,20.264626,4.254995,6.926966,-9.034281,15.895105,164.355179,30.083595,66.839905,67.227676,8.775725,19.350145,8.691150,18.119520,8.635804,17.653952,8.816195,16.517168,9.355366,17.916874,10.446301,16.870634,10.733664,17.642746,0,-0.01718,-0.01263,-0.02288,0.00331,0.00791,-0.01451,0.00622,0.00197,0.000000,5.753505,5.636429,-1.49987,0.12003,3.27711
0.003,0,0.000000,0,0,7.533368,1.928323,-2.367022,18.289190,5.134394,0,19.105173,19.194031,0,-8.521940,17.110531,0,0,0,0,0,0,0,6.242584,-9.949862,20.254145,4.256935,6.927880,-8.847905,15.885603,164.450684,29.775225,66.725105,67.405869,8.805576,19.028215,8.690884,18.107718,8.636126,17.641357,8.816199,16.510744,9.347008,17.913626,10.444485,16.871655,10.729164,17.645010,0,-0.01900,-0.01455,-0.02061,0.00114,0.00628,-0.01365,0.00634,0.00325,0.000000,5.750872,5.636936,-1.49522,0.11741,3.27724
0.004,0,0.000000,0,0,7.534029,1.928321,-2.310429,18.293537,5.112871,0,19.437937,19.216131,0,-8.508747,17.102184,0,0,0,0,0,0,0,6.243400,-9.934553,20.243769,4.258682,6.929070,-8.647106,15.876215,164.538208,29.494986,66.612640,67.566116,8.845882,18.590670,8.690628,18.094334,8.636456,17.626631,8.815841,16.504498,9.338952,17.910233,10.442665,16.872063,10.724930,17.647516,0,-0.01746,-0.01185,-0.02288,0.00247,0.00781,-0.01401,0.00373,0.00250,0.000000,5.748325,5.637385,-1.49864,0.11234,3.27740
0.005,0,0.000000,0,0,7.534691,1.928319,-2.253837,18.297884,5.091348,0,19.770699,19.238232,0,-8.495555,17.093838,0,0,0,0,0,0,0,6.244215,-9.919245,20.233395,4.260429,6.930261,-8.446308,15.866827,164.625717,29.214746,66.500183,67.726372,8.886189,18.153122,8.690372,18.080950,8.636787,17.611904,8.815483,16.498251,9.330895,17.906837,10.440845,16.872473,10.720696,17.650023,0,-0.01984,-0.01458,-0.02084,0.00341,0.00856,-0.01418,0.00468,0.00126,0.000000,5.745779,5.637428,-1.49876,0.10866,3.27755
0.006,0,0.000000,0,0,7.535352,1.928316,-2.197245,18.302231,5.069825,0,20.103462,19.260332,0,-8.482363,17.085491,0,0,0,0,0,0,0,6.245030,-9.903936,20.223021,4.262177,6.931452,-8.245510,15.857440,164.713242,28.934507,66.387718,67.886620,8.926496,17.715576,8.690116,18.067566,8.637118,17.597176,8.815125,16.492006,9.322840,17.903444,10.439025,16.872881,10.716463,17.652529,0,-0.01812,-0.01224,-0.02109,0.00269,0.00763,-0.01340,0.00478,0.00275,0.000000,5.743232,5.637393,-1.50073,0.10501,3.27770
0.007,0,0.000000,0,0,7.532184,1.927286,-2.160635,18.307177,5.055600,0,20.334990,19.283058,0,-8.472445,17.077044,0,0,0,0,0,0,0,6.246515,-9.862869,20.213013,4.262804,6.932118,-7.993422,15.848360,164.734039,28.792494,66.317978,67.847107,8.959945,17.577238,8.689835,18.055874,8.637394,17.584394,8.815143,16.487965,9.317889,17.901188,10.437233,16.873137,10.711927,17.654682,0,-0.01878,-0.01289,-0.02207,0.00289,0.00823,-0.01348,0.00775,0.00260,0.000000,5.740920,5.636878,-1.50063,0.09882,3.27757
0.008,0,0.000000,0,0,7.527642,1.925888,-2.131193,18.312338,5.043993,0,20.530205,19.306009,0,-8.463704,17.068558,0,0,0,0,0,0,0,6.248240,-9.812563,20.203136,4.263030,6.932597,-7.722936,15.839392,164.730896,28.700058,66.263557,67.735947,8.990933,17.546225,8.689544,18.044790,8.637649,17.572308,8.815296,16.484715,9.314053,17.899342,10.435451,16.873339,10.707284,17.656708,0,-0.01308,-0.01328,-0.01968,0.00263,0.00840,-0.01158,0.00529,0.00334,0.000000,5.738691,5.636271,-1.49845,0.09278,3.27734
0.009,0,0.000000,0,0,7.523100,1.924490,-2.101751,18.317499,5.032386,0,20.725420,19.328960,0,-8.454962,17.060072,0,0,0,0,0,0,0,6.249965,-9.762257,20.193262,4.263255,6.933075,-7.452450,15.830423,164.727768,28.607624,66.209137,67.624779,9.021922,17.515211,8.689254,18.033705,8.637904,17.560223,8.815450,16.481464,9.310215,17.897495,10.433669,16.873539,10.702640,17.658733,0,-0.01591,-0.01367,-0.02153,0.00375,0.00853,-0.01437,0.00514,0.00202,0.000000,5.736462,5.635355,-1.50071,0.08928,3.27723
0.010,0,0.000000,0,0,7.518559,1.923092,-2.072309,18.322660,5.020779,0,20.920635,19.351912,0,-8.446219,17.051586,0,0,0,0,0,0,0,6.251690,-9.711950,20.183386,4.263481,6.933554,-7.181964,15.821455,164.724625,28.515188,66.154716,67.513618,9.052912,17.484198,8.688963,18.022621,8.638159,17.548138,8.815603,16.478214,9.306378,17.895649,10.431887,16.873739,10.697996,17.660761,0,-0.01693,-0.01465,-0.02086,0.00228,0.00825,-0.01383,0.00590,0.00418,0.000000,5.734233,5.634381,-1.49952,0.08566,3.27715
0.011,0,0.000000,0,0,7.515667,1.924149,-2.052560,18.324537,4.828702,0,21.020866,19.375656,0,-8.446178,17.043127,0,0,0,0,0,0,0,6.253832,-9.647211,20.173796,4.263257,6.934037,-6.868136,15.813049,164.739929,28.235260,66.133881,67.643127,9.060716,17.472797,8.688605,18.013573,8.638648,17.540268,8.816462,16.470810,9.299724,17.890757,10.430248,16.874302,10.694104,17.661781,0,-0.01209,-0.01387,-0.02175,0.00283,0.00809,-0.01163,0.00533,0.00204,0.000000,5.732232,5.633307,-1.49974,0.07994,3.27707
0.012,0,0.000000,0,0,7.513368,1.926086,-2.036288,18.325235,4.571892,0,21.087029,19.399685,0,-8.449258,17.034679,0,0,0,0,0,0,0,6.256124,-9.577295,20.164309,4.262872,6.934522,-6.538761,15.804847,164.761826,27.888079,66.125099,67.858978,9.060203,17.468433,8.688222,18.005253,8.639221,17.533911,8.817572,16.461916,9.292059,17.884775,10.428661,16.874996,10.690483,17.662443,0,-0.01886,-0.01487,-0.02078,0.00355,0.00687,-0.01402,0.00532,0.00237,0.000000,5.730312,5.632215,-1.49934,0.07466,3.27700
