"Time","v2 R COP","47 RDS cle","39 FRx (cm)","35 HRx (cm)","48 LDS cle","37 FLx (cm)","33 HLx (cm)","v3 L COP","42 CoMy (cm)","v1 xCoM","3 Platform","2 Trdml"
0.000,0.000000,0,19.135941,17.135614,0,20.286186,15.914751,0.000000,5.759255,5.634750,-1.49818,0.12051
0.001,0.000000,0,19.154415,17.127249,0,20.275406,15.904928,0.000000,5.756380,5.635617,-1.50041,0.11982
0.002,0.000000,0,19.172888,17.118883,0,20.264626,15.895105,0.000000,5.753505,5.636429,-1.49987,0.12003
0.003,0.000000,0,19.194031,17.110531,0,20.254145,15.885603,0.000000,5.750872,5.636936,-1.49522,0.11741
0.004,0.000000,0,19.216131,17.102184,0,20.243769,15.876215,0.000000,5.748325,5.637385,-1.49864,0.11234
0.005,0.000000,0,19.238232,17.093838,0,20.233395,15.866827,0.000000,5.745779,5.637428,-1.49876,0.10866
0.006,0.000000,0,19.260332,17.085491,0,20.223021,15.857440,0.000000,5.743232,5.637393,-1.50073,0.10501
0.007,0.000000,0,19.283058,17.077044,0,20.213013,15.848360,0.000000,5.740920,5.636878,-1.50063,0.09882
0.008,0.000000,0,19.306009,17.068558,0,20.203136,15.839392,0.000000,5.738691,5.636271,-1.49845,0.09278
0.009,0.000000,0,19.328960,17.060072,0,20.193262,15.830423,0.000000,5.736462,5.635355,-1.50071,0.08928
0.010,0.000000,0,19.351912,17.051586,0,20.183386,15.821455,0.000000,5.734233,5.634381,-1.49952,0.08566
0.011,0.000000,0,19.375656,17.043127,0,20.173796,15.813049,0.000000,5.732232,5.633307,-1.49974,0.07994
0.012,0.000000,0,19.399685,17.034679,0,20.164309,15.804847,0.000000,5.730312,5.632215,-1.49934,0.07466
0.013,0.000000,0,19.423712,17.026232,0,20.154821,15.796644,0.000000,5.728393,5.631057,-1.49992,0.07288
0.014,0.000000,0,19.447741,17.017782,0,20.145334,15.788442,0.000000,5.726473,5.629888,-1.49710,0.08546
0.015,0.000000,0,19.472013,17.009230,0,20.135887,15.781336,0.000000,5.724736,5.628647,-1.49745,0.09839
0.016,0.000000,0,19.496376,17.000639,0,20.126451,15.774625,0.000000,5.723064,5.627394,-1.49642,0.10463
