"Time","v2 R COP","47 RDS cle","39 FRx (cm)","35 HRx (cm)","48 LDS cle","37 FLx (cm)","33 HLx (cm)","v3 L COP","42 CoMy (cm)","v1 xCoM","3 Platform","2 Trdml"
0.000,0.000000,0,18.811995,15.642947,0,19.904131,15.013778,0.000000,6.619412,6.850873,1.20862,0.11230
0.001,0.000000,0,18.801809,15.644661,0,19.915726,15.010242,0.000000,6.624124,6.856565,1.19760,0.10330
0.002,0.000000,0,18.791624,15.646375,0,19.927320,15.006705,0.000000,6.628836,6.861965,1.17966,0.09193
0.003,0.000000,0,18.781527,15.650320,0,19.933125,15.003009,0.000000,6.633531,6.866627,1.14893,0.08082
0.004,0.000000,0,18.771484,15.655667,0,19.935289,14.999210,0.000000,6.638214,6.871003,1.13403,0.08877
0.005,0.000000,0,18.761442,15.661015,0,19.937452,14.995413,0.000000,6.642897,6.874663,1.11526,0.11248
0.006,0.000000,0,18.751400,15.666362,0,19.939615,14.991614,0.000000,6.647581,6.878044,1.09882,0.12426
0.007,0.000000,0,18.741497,15.673519,0,19.941828,14.986089,0.000000,6.652051,6.880771,1.08704,0.12284
0.008,0.000000,0,18.731682,15.681816,0,19.944071,14.979476,0.000000,6.656389,6.883243,1.06393,0.11762
0.009,0.000000,0,18.721867,15.690112,0,19.946316,14.972864,0.000000,6.660727,6.885293,1.04407,0.10840
0.010,0.000000,0,18.712051,15.698408,0,19.948559,14.966251,0.000000,6.665064,6.887181,1.00708,0.09740
0.011,0.000000,0,18.702303,15.708903,0,19.950933,14.959129,0.000000,6.669367,6.888883,0.98404,0.08892
0.012,0.000000,0,18.692595,15.720781,0,19.953392,14.951687,0.000000,6.673648,6.890512,0.97141,0.08270
0.013,0.000000,0,18.682886,15.732658,0,19.955851,14.944244,0.000000,6.677929,6.891959,0.94977,0.08764
0.014,0.000000,0,18.673180,15.744536,0,19.958309,14.936802,0.000000,6.682210,6.893335,0.93033,0.10021
0.015,0.000000,0,18.663527,15.757943,0,19.965927,14.929289,0.000000,6.686299,6.894457,0.91013,0.11447
0.016,0.000000,0,18.653910,15.772311,0,19.976789,14.921732,0.000000,6.690266,6.895480,0.88687,0.12364
0.017,0.000000,0,18.644293,15.786679,0,19.987652,14.914174,0.000000,6.694233,6.896150,0.84747,0.12111
0.018,0.000000,0,18.634676,15.801047,0,19.998516,14.906617,0.000000,6.698201,6.896682,0.82828,0.11492
0.019,0.000000,0,18.625210,15.817719,0,20.009396,14.898987,0.000000,6.701884,6.896763,0.80695,0.10773
0.020,0.000000,0,18.615837,15.835840,0,20.020287,14.891312,0.000000,6.705388,6.896669,0.78317,0.09792
0.021,0.000000,0,18.606464,15.853961,0,20.031176,14.883636,0.000000,6.708892,6.896071,0.76050,0.08762
0.022,0.000000,0,18.597092,15.872082,0,20.042067,14.875961,0.000000,6.712396,6.895278,0.73651,0.08012
0.023,0.000000,0,18.587620,15.892116,0,20.052576,14.868212,0.000000,6.715716,6.893954,0.71011,0.08864
0.024,0.000000,0,18.578085,15.913354,0,20.062847,14.860415,0.000000,6.718921,6.892423,0.66779,0.10682
0.025,0.000000,0,18.568550,15.934591,0,20.073116,14.852620,0.000000,6.722126,6.890374,0.64514,0.11667
0.026,0.000000,0,18.559017,15.955830,0,20.083387,14.844824,0.000000,6.725330,6.888124,0.62585,0.12174
0.027,0.000000,0,18.549549,15.978657,0,20.093409,14.837117,0.000000,6.728548,6.885373,0.60059,0.12160
0.028,0.000000,0,18.540123,16.002483,0,20.103275,14.829467,0.000000,6.731773,6.882427,0.57620,0.11475
0.029,0.000000,0,18.530697,16.026308,0,20.113142,14.821816,0.000000,6.734999,6.878958,0.55261,0.10772
0.030,0.000000,0,18.521271,16.050135,0,20.123007,14.814166,0.000000,6.738225,6.875285,0.52222,0.10100
0.031,0.000000,0,18.511719,16.074726,0,20.129463,14.806578,0.000000,6.741201,6.871062,0.48083,0.09215
0.032,0.000000,0,18.502090,16.099798,0,20.133776,14.799027,0.000000,6.744022,6.866625,0.45435,0.08305
0.033,0.000000,0,18.492460,16.124870,0,20.138088,14.791477,0.000000,6.746843,6.861659,0.43048,0.07815
0.034,0.000000,0,18.482832,16.149942,0,20.142399,14.783927,0.000000,6.749664,6.856486,0.40399,0.09074
0.035,0.000000,0,18.473097,16.175833,0,20.146402,14.776265,0.000000,6.752077,6.850844,0.38318,0.10950
0.036,0.000000,0,18.463299,16.202236,0,20.150211,14.768532,0.000000,6.754234,6.845020,0.34998,0.11784
0.037,0.000000,0,18.453499,16.228642,0,20.154020,14.760799,0.000000,6.756391,6.838927,0.30542,0.12211
0.038,0.000000,0,18.443699,16.255045,0,20.157827,14.753067,0.000000,6.758548,6.832728,0.28036,0.12085
0.039,0.000000,0,18.434013,16.281672,0,20.160900,14.745159,0.000000,6.760193,6.826463,0.25586,0.11297
0.040,0.000000,0,18.424398,16.308435,0,20.163511,14.737142,0.000000,6.761518,6.820171,0.22943,0.10478
0.041,0.000000,0,18.414783,16.335199,0,20.166121,14.729123,0.000000,6.762842,6.813838,0.20508,0.09668
0.042,0.000000,0,18.405169,16.361965,0,20.168732,14.721106,0.000000,6.764166,6.807487,0.17780,0.08663
0.043,0.000000,0,18.395912,16.388628,0,20.170214,14.712510,0.000000,6.764972,6.801075,0.14767,0.07834
0.044,0.000000,0,18.386881,16.415226,0,20.170988,14.703550,0.000000,6.765452,6.794638,0.10016,0.08937
0.045,0.000000,0,18.377850,16.441826,0,20.171762,14.694591,0.000000,6.765932,6.788146,0.07349,0.11220
0.046,0.000000,0,18.368820,16.468424,0,20.172535,14.685631,0.000000,6.766412,6.781632,0.04874,0.12258
0.047,0.000000,0,18.359943,16.494942,0,20.172682,14.676366,0.000000,6.766567,6.775077,0.02209,0.12223
0.048,0.000000,0,18.351166,16.521406,0,20.172432,14.666909,0.000000,6.766516,6.768507,-0.00146,0.11913
0.049,0.000000,0,18.342388,16.547873,0,20.172182,14.657452,0.000000,6.766465,6.761901,-0.03241,0.11250
0.050,0.000000,0,18.333611,16.574339,0,20.171932,14.647995,0.000000,6.766414,6.755282,-0.07950,0.10351
0.051,0.000000,0,18.324820,16.600662,1,20.171164,14.637624,2.746601,6.766065,6.748595,-0.10641,0.09649
0.052,0.000000,0,18.316017,16.626894,1,20.170071,14.626678,6.561324,6.765527,6.741881,-0.13181,0.09031
0.053,0.000000,0,18.307215,16.653128,1,20.168978,14.615733,7.633016,6.764990,6.734883,-0.15799,0.08258
0.054,0.000000,0,18.298412,16.679359,1,20.167885,14.604788,7.637974,6.764453,6.727776,-0.18250,0.07519
0.055,0.000000,0,18.289804,16.704905,1,20.166319,14.593709,7.636573,6.763465,6.720202,-0.21173,0.07816
0.056,0.000000,0,18.281319,16.730017,1,20.164455,14.582547,7.632699,6.762195,6.712448,-0.25739,0.09619
0.057,0.000000,0,18.272833,16.755129,1,20.162590,14.571384,7.626204,6.760925,6.704440,-0.28534,0.11156
0.058,0.000000,0,18.264347,16.780241,1,20.160727,14.560222,7.618692,6.759655,6.696332,-0.31363,0.11642
0.059,0.000000,0,18.256332,16.804649,1,20.158859,14.549282,7.613881,6.758078,6.688225,-0.33481,0.12035
0.060,0.000000,0,18.248611,16.828615,1,20.156988,14.538483,7.610121,6.756309,6.680118,-0.36234,0.12112
0.061,0.000000,0,18.240892,16.852579,1,20.155117,14.527682,7.608165,6.754540,6.671912,-0.38556,0.11616
0.062,0.000000,0,18.233171,16.876545,1,20.153246,14.516883,7.606911,6.752771,6.663669,-0.41150,0.11083
0.063,0.000000,0,18.226105,16.899345,1,20.165373,14.506100,7.605061,6.750639,6.655183,-0.46152,0.10535
0.064,0.000000,0,18.219448,16.921413,1,20.186300,14.495326,7.602979,6.748279,6.646604,-0.48538,0.09730
0.065,0.000000,0,18.212791,16.943481,1,20.207228,14.484553,7.599387,6.745919,6.637906,-0.51056,0.08877
0.066,0.000000,0,18.206135,16.965549,1,20.228157,14.473780,7.595207,6.743559,6.629162,-0.53479,0.08272
0.067,0.000000,0,18.200459,16.986055,1,20.248962,14.463019,7.589366,6.741054,6.620431,-0.55890,0.07987
0.068,0.000000,0,18.195400,17.005581,1,20.269693,14.452266,7.582880,6.738458,6.611704,-0.58771,0.08600
0.069,0.000000,0,18.190340,17.025106,1,20.290422,14.441513,7.576123,6.735863,6.602787,-0.62991,0.09670
0.070,0.000000,0,18.185282,17.044632,1,20.311153,14.430759,7.569261,6.733267,6.593798,-0.65265,0.11055
0.071,0.000000,0,18.181543,17.062494,1,20.312193,14.420686,7.563697,6.730279,6.584377,-0.67722,0.12194
0.072,0.000000,0,18.178637,17.079313,1,20.300854,14.411039,7.558640,6.727046,6.574790,-0.70004,0.12215
0.073,0.000000,0,18.175730,17.096132,1,20.289515,14.401392,7.555188,6.723812,6.564807,-0.72232,0.11785
0.074,0.000000,0,18.172821,17.112949,1,20.278177,14.391746,7.552360,6.720578,6.554671,-0.74896,0.11251
0.075,0.000000,0,18.171997,17.127899,1,20.266857,14.382403,7.550850,6.717082,6.544250,-0.78824,0.10411
0.076,0.000000,0,18.172480,17.141674,1,20.255548,14.373255,7.549853,6.713420,6.533718,-0.81201,0.09437
0.077,0.000000,0,18.172964,17.155447,1,20.244242,14.364105,7.548849,6.709758,6.522979,-0.83438,0.08686
0.078,0.000000,0,18.173447,17.169222,1,20.232933,14.354956,7.547843,6.706096,6.512161,-0.85345,0.08196
0.079,0.000000,0,18.176769,17.181250,1,20.227423,14.346597,7.545772,6.702040,6.501223,-0.87695,0.08833
0.080,0.000000,0,18.181875,17.192181,1,20.225555,14.338736,7.543287,6.697736,6.490237,-0.90128,0.10182
0.081,0.000000,0,18.186981,17.203112,1,20.223690,14.330873,7.541373,6.693432,6.479280,-0.93881,0.11602
0.082,0.000000,0,18.192087,17.214043,1,20.221823,14.323012,7.539680,6.689127,6.468334,-0.95560,0.12399
0.083,0.000000,0,18.200363,17.223291,1,20.220089,14.317952,7.540440,6.684562,6.457553,-0.97546,0.12019
0.084,0.000000,0,18.210634,17.231483,1,20.218439,14.314652,7.542153,6.679832,6.446836,-0.99771,0.11323
0.085,0.000000,0,18.220905,17.239676,1,20.216789,14.311353,7.545661,6.675102,6.436277,-1.01645,0.10568
0.086,0.000000,0,18.231176,17.247868,1,20.215139,14.308053,7.549868,6.670372,6.425779,-1.03540,0.09598
0.087,0.000000,0,18.245678,17.253990,0,20.213112,14.307205,4.832669,6.665354,6.415400,-1.06754,0.08630
0.088,0.000000,0,18.262838,17.258814,0,20.210850,14.307899,1.057146,6.660153,6.405066,-1.08868,0.07935
0.089,0.000000,0,18.279999,17.263636,0,20.208586,14.308591,0.000000,6.654953,6.394854,-1.10556,0.08555
0.090,0.000000,0,18.297157,17.268457,0,20.206322,14.309284,0.000000,6.649753,6.384688,-1.12277,0.10044
0.091,0.000000,0,18.317934,17.271734,0,20.198675,14.312388,0.000000,6.644341,6.374621,-1.13971,0.10984
0.092,0.000000,0,18.340982,17.274036,0,20.187645,14.317010,0.000000,6.638799,6.364593,-1.15604,0.11803
0.093,0.000000,0,18.364031,17.276340,0,20.176615,14.321631,0.000000,6.633255,6.354462,-1.17447,0.12280
0.094,0.000000,0,18.387079,17.278645,0,20.165583,14.326253,0.000000,6.627712,6.344291,-1.20276,0.11951
0.095,0.000000,0,18.411793,17.278675,0,20.154184,14.332686,0.000000,6.621818,6.333816,-1.21860,0.11439
0.096,0.000000,0,18.437551,17.277277,0,20.142555,14.340258,0.000000,6.615702,6.323223,-1.23309,0.10917
0.097,0.000000,0,18.463312,17.275879,0,20.130924,14.347830,0.000000,6.609586,6.312366,-1.24646,0.10139
0.098,0.000000,0,18.489073,17.274481,0,20.119295,14.355401,0.000000,6.603470,6.301406,-1.26169,0.09286
0.099,0.000000,0,18.516161,17.271479,0,20.107759,14.364484,0.000000,6.597057,6.290256,-1.27533,0.08683
0.100,0.000000,0,18.544086,17.267466,0,20.096287,14.374516,0.000000,6.590458,6.279032,-1.30106,0.08129
0.101,0.000000,0,18.572010,17.263454,0,20.084812,14.384549,0.000000,6.583859,6.267516,-1.31177,0.08033
0.102,0.000000,0,18.599936,17.259443,0,20.073338,14.394581,0.000000,6.577260,6.255885,-1.32559,0.08710
0.103,0.000000,0,18.629993,17.253996,0,20.061701,14.405602,0.000000,6.570331,6.243853,-1.33621,0.10367
0.104,0.000000,0,18.661392,17.247646,0,20.049963,14.417242,0.000000,6.563194,6.231665,-1.34711,0.11981
0.105,0.000000,0,18.692793,17.241299,0,20.038225,14.428884,0.000000,6.556057,6.219181,-1.36133,0.12310
0.106,0.000000,0,18.724192,17.234949,0,20.026487,14.440524,0.000000,6.548920,6.206582,-1.37711,0.11992
0.107,0.000000,0,18.756714,17.227886,0,20.017075,14.453328,0.000000,6.541584,6.193818,-1.39169,0.11525
0.108,0.000000,0,18.789938,17.220375,0,20.009121,14.466863,0.000000,6.534123,6.180989,-1.39648,0.10734
0.109,0.000000,0,18.823164,17.212866,0,20.001167,14.480398,0.000000,6.526662,6.167946,-1.40759,0.09781
0.110,0.000000,0,18.856390,17.205355,0,19.993216,14.493933,0.000000,6.519201,6.154820,-1.41275,0.09040
0.111,0.000000,0,18.890116,17.197077,0,19.985476,14.508944,0.000000,6.511447,6.141421,-1.42368,0.08359
0.112,0.000000,0,18.924154,17.188316,0,19.977871,14.524883,0.000000,6.503510,6.127917,-1.43829,0.08175
0.113,0.000000,0,18.958195,17.179556,0,19.970266,14.540822,0.000000,6.495572,6.114285,-1.44449,0.08883
0.114,0.000000,0,18.992233,17.170795,0,19.962662,14.556762,0.000000,6.487634,6.100604,-1.45004,0.10525
0.115,0.000000,0,19.026436,17.161961,0,19.955036,14.574209,0.000000,6.479520,6.086936,-1.45575,0.12017
0.116,0.000000,0,19.060738,17.153078,0,19.947397,14.592606,0.000000,6.471295,6.073276,-1.46231,0.12289
0.117,0.000000,0,19.095041,17.144196,0,19.939758,14.611003,0.000000,6.463069,6.059484,-1.46390,0.11980
0.118,0.000000,0,19.129345,17.135313,0,19.932119,14.629399,0.000000,6.454844,6.045642,-1.47012,0.11588
0.119,0.000000,0,19.163721,17.126156,0,19.914223,14.649483,0.000000,6.446161,6.031518,-1.47641,0.10896
0.120,0.000000,0,19.198145,17.116827,0,19.889879,14.670626,0.000000,6.437190,6.017285,-1.47672,0.10028
