"Time","m4 HLl swoff","45 R marks","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","m1 FLr swoff","39a FRx (cm)","v2 R COP","47 RDS cle","39 FRx (cm)","38 FLy (cm)","m3 HLr swoff","35a HRx (cm)","35 HRx (cm)","v3 L COP","48 LDS cle","46 L marks","m2 FLl swoff","37a FLx (cm)","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","42a CoMy (cm)","v1 xCoM","42 CoMy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,7.313162,1.591870,15.413130,3.785747,0,-9.669974,0.000000,1,16.829782,5.640100,0,19.869263,12.252037,0.000000,1,0,0,31.200552,16.371202,4.242944,6.280774,0.738502,14.830838,-0.328175,5.096443,5.110960,108.890732,0,111.386482,84.498741,86.957748,8.441418,17.650463,8.503209,12.239419,8.809138,11.889410,9.863375,12.488592,9.663151,13.873678,10.846414,13.930712,10.773669,14.803911,0,-0.02242,-0.01389,-0.01093,0.00534,0.00906,-0.01514,0.00725,0.00378,-0.00005,0.08746,3.27741
0.001,0,0,7.314150,1.592479,15.429228,3.785371,0,-9.756977,0.000000,1,16.819681,5.625809,0,20.490965,12.272015,0.000000,1,0,0,31.620783,16.406425,4.231325,6.281259,0.100588,14.828697,-0.236754,5.100134,5.110733,111.094742,0,110.797729,83.686493,86.736420,8.442044,17.642462,8.510472,12.244983,8.834858,11.907428,9.886928,12.510806,9.667054,13.893211,10.850850,13.950233,10.774573,14.819315,0,-0.01810,-0.01450,-0.01846,0.00580,0.00830,-0.01315,0.00565,-0.00034,0.00011,0.08254,3.27711
0.002,0,0,7.316809,1.594692,15.442639,3.784679,0,-9.811859,0.000000,1,16.809467,5.617001,0,21.112410,12.293953,0.000000,1,0,0,32.010357,16.442844,4.218970,6.281863,-0.502739,14.825012,-0.156993,5.103576,5.110620,115.482201,0,109.611168,82.691628,86.449829,8.442052,17.631834,8.518201,12.248389,8.871183,11.942620,9.913115,12.535155,9.670301,13.913463,10.854968,13.969638,10.774604,14.834120,0,-0.01669,-0.01312,-0.01488,-0.00937,0.00861,-0.01376,0.00305,0.00259,-0.00015,0.08512,3.27676
0.003,0,0,7.320760,1.598145,15.453974,3.783745,0,-9.841909,0.000000,1,16.799164,5.612432,0,21.733660,12.317409,0.000000,1,0,0,32.376232,16.480192,4.206046,6.282557,-1.079330,14.820133,-0.086248,5.106894,5.110598,121.557579,0,107.962471,81.555588,86.112778,8.441583,17.619179,8.526289,12.250127,8.915709,11.991091,9.941337,12.561157,9.673040,13.934271,10.858839,13.988951,10.773958,14.848462,0,-0.01965,-0.01343,0.10884,0.00635,0.00851,-0.01376,0.00626,0.00107,0.00021,0.09349,3.27637
0.004,0,0,7.324711,1.601599,15.465307,3.782809,0,-9.871961,0.000000,1,16.788862,5.607862,0,22.354908,12.340863,0.000000,1,0,0,32.742104,16.517538,4.193122,6.283252,-1.655920,14.815254,-0.015502,5.110044,5.110576,127.632950,0,106.313774,80.419548,85.775726,8.441113,17.606522,8.534377,12.251864,8.960233,12.039561,9.969560,12.587159,9.675779,13.955078,10.862710,14.008265,10.773313,14.862805,0,-0.01839,-0.01434,-0.03775,0.00385,0.00897,-0.01190,0.00977,0.01379,-0.00011,0.10626,3.27635
0.005,0,0,7.328661,1.605052,15.476642,3.781875,0,-9.902011,0.000000,1,16.778561,5.603292,0,22.976158,12.364319,0.000000,1,0,0,33.107979,16.554886,4.180198,6.283947,-2.232511,14.810375,0.055244,5.113111,5.110553,133.708328,0,104.665077,79.283508,85.438675,8.440644,17.593864,8.542464,12.253602,9.004758,12.088032,9.997782,12.613161,9.678518,13.975885,10.866580,14.027577,10.772667,14.877148,0,-0.01917,-0.01495,-0.01601,-0.00043,0.00873,-0.01514,0.00359,0.02872,-0.00009,0.12048,3.27658
0.006,0,0,7.330407,1.606806,15.488121,3.781612,0,-9.912424,0.000000,1,16.768467,5.596844,0,23.594343,12.389312,0.000000,1,0,0,33.448402,16.593548,4.167531,6.282930,-2.762847,14.804140,0.118013,5.116076,5.110681,139.675491,0,102.123306,78.248444,85.058334,8.439859,17.578995,8.551201,12.274718,9.036500,12.147632,10.024364,12.636823,9.682047,13.993982,10.870142,14.044340,10.771645,14.892260,0,-0.02051,-0.01282,-0.02515,-0.00638,0.00876,-0.01129,0.01129,-0.00824,-0.00015,0.12347,3.27667
0.007,0,0,7.330448,1.607247,15.499712,3.781869,0,-9.907656,0.000000,1,16.758533,5.588943,0,24.210157,12.415495,0.000000,1,0,0,33.769154,16.633226,4.155062,6.280591,-3.257427,14.796859,0.174615,5.118988,5.110925,145.558990,0,98.891159,77.291443,84.644516,8.438831,17.562412,8.560437,12.310817,9.058359,12.215836,10.049678,12.658675,9.686188,14.009985,10.873465,14.059132,10.770330,14.907966,0,-0.00510,-0.01297,-0.02258,0.00171,0.00800,-0.01501,0.00404,0.00616,0.00032,0.12078,3.27667
0.008,0,0,7.330488,1.607687,15.511303,3.782125,0,-9.902887,0.000000,1,16.748602,5.581042,0,24.825974,12.441678,0.000000,1,0,0,34.089905,16.672903,4.142593,6.278250,-3.752006,14.789577,0.231217,5.121772,5.111169,151.442505,0,95.659004,76.334435,84.230698,8.437803,17.545832,8.569674,12.346915,9.080218,12.284039,10.074992,12.680529,9.690328,14.025987,10.876788,14.073923,10.769016,14.923672,0,-0.02541,-0.01511,-0.01190,0.00403,0.00899,-0.01285,0.00893,0.00284,0.00021,0.11738,3.27672
0.009,0,0,7.330528,1.608127,15.522895,3.782382,0,-9.898119,0.000000,1,16.738668,5.573141,0,25.441790,12.467861,0.000000,1,0,0,34.410660,16.712582,4.130125,6.275910,-4.246585,14.782294,0.287819,5.124493,5.111414,157.326004,0,92.426849,75.377434,83.816887,8.436775,17.529249,8.578911,12.383014,9.102077,12.352243,10.100306,12.702381,9.694468,14.041988,10.880111,14.088715,10.767703,14.939378,0,-0.01859,-0.01297,-0.02266,0.00247,0.00960,-0.01309,0.00328,0.00314,0.00006,0.11146,3.27679
0.010,0,0,7.330351,1.609357,15.533914,3.783048,0,-9.882301,0.000000,1,16.728889,5.567760,0,26.063452,12.495836,0.000000,1,0,0,34.695435,16.753139,4.107122,6.274328,-4.672421,14.774529,0.337115,5.127053,5.111757,161.663223,0,88.994644,74.912834,83.674736,8.436692,17.515717,8.588301,12.439324,9.114714,12.422198,10.117214,12.719041,9.697481,14.054585,10.883386,14.103991,10.766429,14.955076,0,-0.01822,-0.01419,-0.02368,-0.00153,0.00894,-0.01334,0.00740,0.00311,-0.00015,0.10322,3.27669
0.011,0,0,7.330007,1.611197,15.544492,3.784029,0,-9.857944,0.000000,1,16.719229,5.564327,0,26.689632,12.525197,0.000000,1,0,0,34.952400,16.794380,4.075978,6.273333,-5.045114,14.766390,0.380763,5.129534,5.112176,164.805054,0,85.407791,74.828888,83.742607,8.437339,17.504541,8.597809,12.511261,9.120219,12.493506,10.127626,12.731685,9.699624,14.064548,10.886623,14.119640,10.765185,14.970770,0,-0.01546,-0.01312,-0.02252,0.00485,0.00902,-0.01285,0.00648,0.00336,-0.00015,0.09677,3.27646
