"Time","m4 HLl swoff","45 R marks","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","m1 FLr swoff","39a FRx (cm)","v2 R COP","47 RDS cle","39 FRx (cm)","38 FLy (cm)","m3 HLr swoff","35a HRx (cm)","35 HRx (cm)","v3 L COP","48 LDS cle","46 L marks","m2 FLl swoff","37a FLx (cm)","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","42a CoMy (cm)","v1 xCoM","42 CoMy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,7.313104,1.630993,18.668728,4.796237,0,17.021984,0.000000,0,20.292559,5.910574,0,-10.336900,16.989262,0.000000,0,0,0,-19.315914,19.522943,3.852657,6.863227,7.845801,17.447807,11.587500,5.953071,5.428589,139.876373,0,47.041679,91.448898,97.061119,8.608702,21.434185,8.473768,17.959959,8.472518,17.427786,9.169168,16.591049,9.346006,17.979780,10.541658,17.858347,10.737006,18.721384,0,-0.01804,-0.01164,-0.02115,0.00514,0.00789,-0.01343,0.00505,0.00150,1.46498,0.10534,3.27550
0.001,0,0,7.313174,1.631009,18.666626,4.796319,0,15.837421,0.000000,0,20.304575,5.912391,0,-10.182981,16.978558,0.000000,0,0,0,-18.443739,19.498278,3.854568,6.954001,6.286256,17.433952,11.603662,5.965403,5.440259,139.849869,0,47.033230,91.315193,97.553986,8.608784,21.422176,8.473262,17.952219,8.473522,17.413349,9.170511,16.586580,9.338497,17.976357,10.537126,17.859743,10.734067,18.722559,0,-0.01780,-0.01282,-0.01983,0.00309,0.00858,-0.01370,0.00518,0.00281,1.46938,0.09359,3.27557
0.002,0,0,7.313244,1.631024,18.664524,4.796402,0,14.652859,0.000000,0,20.316591,5.914208,0,-10.029062,16.967852,0.000000,0,0,0,-17.571564,19.473612,3.856479,7.044775,4.726710,17.420097,11.619825,5.977820,5.451930,139.823364,0,47.024780,91.181488,98.046852,8.608867,21.410168,8.472756,17.944481,8.474526,17.398911,9.171855,16.582113,9.330989,17.972935,10.532593,17.861139,10.731129,18.723734,0,-0.01701,-0.01389,-0.02320,0.00324,0.00982,-0.01339,0.00527,0.00214,1.47116,0.08742,3.27609
0.003,0,0,7.313313,1.631040,18.662422,4.796484,0,13.468295,0.000000,0,20.328609,5.916025,0,-9.875143,16.957148,0.000000,0,0,0,-16.699389,19.448946,3.858390,7.135549,3.167165,17.406242,11.635988,5.990280,5.463600,139.796875,0,47.016327,91.047783,98.539719,8.608949,21.398159,8.472250,17.936743,8.475531,17.384474,9.173199,16.577644,9.323481,17.969511,10.528061,17.862534,10.728189,18.724909,0,-0.01706,-0.01373,-0.02199,0.00348,0.00865,-0.01326,0.00694,0.00283,1.47339,0.09958,3.27693
0.004,1,0,7.313592,1.630967,18.659561,4.797548,0,12.207179,0.000000,0,20.337267,5.916570,0,-9.658025,16.946260,0.000000,0,0,0,-15.561079,19.424078,3.859830,7.182712,1.556548,17.391565,11.658569,6.002774,5.475212,139.654495,0,46.986668,90.920273,99.029625,8.609345,21.387182,8.471908,17.926863,8.475646,17.371143,9.175111,16.572271,9.316111,17.965088,10.523657,17.863420,10.724695,18.724503,0,-0.01755,-0.01402,-0.02135,0.00234,0.00681,-0.01387,0.00458,0.00301,1.47350,0.11919,3.27684
0.005,0,0,7.314030,1.630826,18.656118,4.799366,0,10.887363,0.000000,0,20.343349,5.916141,0,-9.392446,16.935236,0.000000,0,0,0,-14.218703,19.399055,3.860910,7.196436,-0.093229,17.376255,11.686071,6.015284,5.486778,139.423264,0,46.940739,90.797508,99.517250,8.609982,21.376997,8.471689,17.915340,8.475080,17.358664,9.177459,16.566206,9.308847,17.959900,10.519352,17.863914,10.720774,18.722885,0,-0.01748,-0.01431,-0.02133,0.00404,0.00766,-0.01361,0.00477,0.00211,1.47440,0.12498,3.27608
0.006,0,0,7.314468,1.630685,18.652676,4.801185,0,9.567548,0.000000,0,20.349430,5.915711,0,-9.126867,16.924212,0.000000,0,0,0,-12.876327,19.374033,3.861990,7.210160,-1.743006,17.360945,11.713574,6.028159,5.498344,139.192032,0,46.894814,90.674744,100.004883,8.610620,21.366812,8.471471,17.903818,8.474513,17.346182,9.179807,16.560141,9.301584,17.954712,10.515048,17.864410,10.716853,18.721266,0,-0.01598,-0.01460,-0.02080,0.00331,0.01031,-0.01277,0.00501,0.00278,1.47534,0.11892,3.27602
0.007,0,0,7.314906,1.630544,18.649231,4.803003,0,8.247732,0.000000,0,20.355513,5.915282,0,-8.861289,16.913187,0.000000,0,0,0,-11.533951,19.349010,3.863070,7.223885,-3.392784,17.345636,11.741076,6.041212,5.509911,138.960800,0,46.848885,90.551979,100.492516,8.611258,21.356627,8.471252,17.892298,8.473947,17.333702,9.182155,16.554075,9.294321,17.949524,10.510743,17.864904,10.712932,18.719648,0,-0.01801,-0.01386,-0.02186,0.00331,0.00889,-0.01250,0.00514,0.00315,1.47498,0.10816,3.27648
0.008,0,0,7.314237,1.629893,18.647596,4.803720,0,6.972679,0.000000,0,20.358829,5.914991,0,-8.527384,16.902254,0.000000,0,0,0,-10.186970,19.323709,3.864648,7.234349,-4.669269,17.330511,11.788145,6.054963,5.521560,138.678482,0,46.869293,90.429314,100.930153,8.613427,21.345184,8.471042,17.879303,8.473577,17.322334,9.184105,16.549423,9.288462,17.945499,10.506571,17.865019,10.710743,18.718046,0,-0.01843,-0.01432,-0.02141,0.00365,0.00879,-0.01243,0.00472,0.00285,1.47447,0.09760,3.27685
0.009,0,0,7.312719,1.628852,18.647346,4.803595,0,5.731949,0.000000,0,20.360025,5.914805,0,-8.141086,16.891392,0.000000,0,0,0,-8.836458,19.298195,3.866609,7.242314,-5.659521,17.315529,11.850216,6.069056,5.533273,138.356995,0,46.940567,90.306717,101.329460,8.616772,21.332781,8.470837,17.865181,8.473359,17.311819,9.185752,16.545856,9.283679,17.942371,10.502500,17.864840,10.709881,18.716455,0,-0.01832,-0.01358,-0.02111,0.00320,0.00815,-0.01236,0.00597,0.00309,1.47025,0.08593,3.27716
