"Time","v3 L COP","v2 R COP","47 RDS cle","39 FRx (cm)","35 HRx (cm)","48 LDS cle","37 FLx (cm)","33 HLx (cm)","v1 xCoM","42 CoMy (cm)","3 Platform","2 Trdml"
0.000,0.000000,0.000000,0,20.292559,16.989262,0,19.522943,17.447807,5.953071,5.428589,1.46498,0.10534
0.001,0.000000,0.000000,0,20.304575,16.978558,0,19.498278,17.433952,5.965403,5.440259,1.46938,0.09359
0.002,0.000000,0.000000,0,20.316591,16.967852,0,19.473612,17.420097,5.977820,5.451930,1.47116,0.08742
0.003,0.000000,0.000000,0,20.328609,16.957148,0,19.448946,17.406242,5.990280,5.463600,1.47339,0.09958
0.004,0.000000,0.000000,0,20.337267,16.946260,0,19.424078,17.391565,6.002774,5.475212,1.47350,0.11919
0.005,0.000000,0.000000,0,20.343349,16.935236,0,19.399055,17.376255,6.015284,5.486778,1.47440,0.12498
0.006,0.000000,0.000000,0,20.349430,16.924212,0,19.374033,17.360945,6.028159,5.498344,1.47534,0.11892
0.007,0.000000,0.000000,0,20.355513,16.913187,0,19.349010,17.345636,6.041212,5.509911,1.47498,0.10816
0.008,0.000000,0.000000,0,20.358829,16.902254,0,19.323709,17.330511,6.054963,5.521560,1.47447,0.09760
0.009,0.000000,0.000000,0,20.360025,16.891392,0,19.298195,17.315529,6.069056,5.533273,1.47025,0.08593
0.010,0.000000,0.000000,0,20.361221,16.880529,0,19.272680,17.300545,6.083672,5.544986,1.46917,0.08743
0.011,0.000000,0.000000,0,20.362417,16.869669,0,19.247168,17.285563,6.098543,5.556699,1.46453,0.10720
0.012,0.000000,0.000000,0,20.360989,16.858938,0,19.221481,17.283909,6.113673,5.568599,1.46375,0.12368
0.013,0.000000,0.000000,0,20.357550,16.848309,0,19.195665,17.292477,6.128928,5.580642,1.46083,0.12424
0.014,0.000000,0.000000,0,20.354111,16.837679,0,19.169849,17.301043,6.144451,5.592685,1.45717,0.11432
0.015,0.000000,0.000000,0,20.350672,16.827051,0,19.144033,17.309610,6.160103,5.604728,1.45057,0.10374
0.016,0.000000,0.000000,0,20.342169,16.817398,0,19.133360,17.317690,6.176073,5.616972,1.44583,0.09166
0.017,0.000000,0.000000,0,20.329786,16.808496,0,19.134298,17.325397,6.192197,5.629371,1.43823,0.08243
0.018,0.000000,0.000000,0,20.317404,16.799595,0,19.135235,17.333105,6.208504,5.641770,1.43127,0.09145
0.019,0.000000,0.000000,0,20.305021,16.790693,0,19.136173,17.340811,6.224901,5.654169,1.42679,0.11538
0.020,0.000000,0.000000,0,20.291061,16.783575,0,19.137234,17.347466,6.241272,5.666991,1.41718,0.12589
0.021,0.000000,0.000000,0,20.275896,16.777824,0,19.138391,17.353312,6.257631,5.680138,1.41099,0.12155
0.022,0.000000,0.000000,0,20.260729,16.772076,0,19.139547,17.359158,6.273657,5.693285,1.40379,0.11597
0.023,0.000000,0.000000,0,20.245562,16.766325,0,19.140705,17.365005,6.289522,5.706431,1.39364,0.10691
0.024,0.000000,0.000000,0,20.230667,16.761988,0,19.142038,17.369951,6.304810,5.719520,1.37872,0.09673
0.025,0.000000,0.000000,0,20.215979,16.758730,0,19.143507,17.374208,6.319816,5.732564,1.36687,0.08809
0.026,0.000000,0.000000,0,20.201292,16.755474,0,19.144976,17.378466,6.334429,5.745608,1.35116,0.08525
0.027,0.000000,0.000000,0,20.186605,16.752218,0,19.146444,17.382721,6.348851,5.758652,1.34823,0.09016
0.028,0.000000,0.000000,0,20.173212,16.750439,0,19.147881,17.385386,6.363106,5.771807,1.33699,0.10218
0.029,0.000000,0.000000,0,20.160812,16.749794,0,19.149292,17.386827,6.377279,5.785049,1.32602,0.11629
0.030,0.000000,0.000000,0,20.148413,16.749147,0,19.150703,17.388271,6.391115,5.798290,1.31355,0.12317
0.031,0.000000,0.000000,0,20.136013,16.748501,0,19.152117,17.389713,6.404787,5.811532,1.29296,0.12136
0.032,0.000000,0.000000,0,20.124222,16.749632,0,19.153320,17.385893,6.417922,5.824628,1.27835,0.11438
0.033,0.000000,0.000000,0,20.112902,16.752127,0,19.154367,17.378038,6.430794,5.837613,1.26008,0.10730
0.034,0.000000,0.000000,0,20.101580,16.754620,0,19.155413,17.370184,6.443335,5.850597,1.24960,0.09781
0.035,0.000000,0.000000,0,20.090258,16.757114,0,19.156460,17.362329,6.455714,5.863582,1.23596,0.08765
0.036,0.000000,0.000000,0,20.079199,16.761873,0,19.157492,17.353821,6.467973,5.876633,1.22324,0.08159
0.037,0.000000,0.000000,0,20.068344,16.768370,0,19.158510,17.344809,6.480173,5.889734,1.20799,0.09890
0.038,0.000000,0.000000,0,20.057487,16.774866,0,19.159531,17.335796,6.491941,5.902835,1.18105,0.12091
0.039,0.000000,0.000000,0,20.046631,16.781364,0,19.160549,17.326784,6.503500,5.915937,1.16157,0.12322
0.040,0.000000,0.000000,0,20.035686,16.788912,0,19.161539,17.316767,6.514195,5.929092,1.14404,0.12103
0.041,0.000000,0.000000,0,20.024675,16.797264,0,19.162504,17.305983,6.524470,5.942289,1.12993,0.11165
0.042,0.000000,0.000000,0,20.013664,16.805618,0,19.163471,17.295197,6.533615,5.955486,1.11046,0.09942
0.043,0.000000,0.000000,0,20.002653,16.813971,0,19.164436,17.284410,6.542209,5.968683,1.09498,0.08837
0.044,0.000000,0.000000,0,19.975771,16.823484,0,19.165537,17.272963,6.549472,5.981613,1.07681,0.09408
0.045,0.000000,0.000000,0,19.936716,16.833889,0,19.166742,17.261005,6.556087,5.994339,1.04700,0.11096
0.046,0.000000,0.000000,0,19.897661,16.844292,0,19.167946,17.249048,6.561258,6.007066,1.02246,0.12024
0.047,0.000000,0.000000,0,19.858606,16.854696,0,19.169151,17.237091,6.565724,6.019792,1.00299,0.12375
0.048,0.000000,0.000000,0,19.820349,16.866220,0,19.178671,17.224646,6.568651,6.032115,0.98370,0.11765
0.049,0.000000,0.000000,0,19.782701,16.878607,0,19.194569,17.211828,6.570826,6.044128,0.96600,0.10672
0.050,0.000000,0.000000,0,19.745056,16.890991,0,19.210464,17.199009,6.571316,6.056142,0.94670,0.09571
0.051,0.000000,0.000000,0,19.707409,16.903378,0,19.226362,17.186192,6.570984,6.068156,0.92641,0.08841
0.052,0.000000,0.000000,0,19.671040,16.917309,0,19.243677,17.166649,6.568905,6.079314,0.89197,0.09199
0.053,0.000000,0.000000,0,19.635647,16.932426,0,19.262081,17.141951,6.565973,6.089817,0.86584,0.10780
0.054,0.000000,0.000000,0,19.600256,16.947542,0,19.280485,17.117254,6.561684,6.100320,0.84261,0.12183
0.055,0.000000,0.000000,0,19.564863,16.962660,0,19.298887,17.092556,6.556733,6.110823,0.82277,0.12344
0.056,0.000000,0.000000,0,19.530180,16.979109,0,19.317644,17.067593,6.550896,6.120490,0.79988,0.11640
0.057,0.000000,0.000000,0,19.496038,16.996580,0,19.336668,17.042429,6.544626,6.129515,0.77721,0.10614
0.058,0.000000,0.000000,0,19.461897,17.014051,0,19.355694,17.017263,6.537689,6.138541,0.75723,0.09614
0.059,0.000000,0.000000,0,19.427755,17.031523,0,19.374718,16.992098,6.530427,6.147566,0.71620,0.08517
0.060,0.000000,0.000000,0,19.406090,17.049986,0,19.394205,16.973825,6.522651,6.155781,0.68842,0.08458
0.061,0.000000,0.000000,0,19.393990,17.069210,0,19.414045,16.960838,6.514624,6.163373,0.66350,0.10192
0.062,0.000000,0.000000,0,19.381887,17.088434,0,19.433886,16.947851,6.506270,6.170965,0.64291,0.12104
0.063,0.000000,0.000000,0,19.369787,17.107660,0,19.453726,16.934864,6.497757,6.178558,0.61943,0.12543
0.064,0.000000,0.000000,0,19.357809,17.127636,0,19.482605,16.922169,6.489116,6.185186,0.59631,0.11842
0.065,0.000000,0.000000,0,19.345928,17.148186,0,19.518419,16.909698,6.480413,6.191076,0.57257,0.11040
0.066,0.000000,0.000000,0,19.334045,17.168737,0,19.554232,16.897228,6.471794,6.196965,0.52479,0.09957
0.067,0.000000,0.000000,0,19.322165,17.189289,0,19.590044,16.884758,6.463216,6.202855,0.50033,0.08833
0.068,0.000000,0.000000,0,19.310398,17.209473,0,19.626167,16.872372,6.454873,6.208218,0.47411,0.08297
0.069,0.000000,0.000000,0,19.298721,17.229374,0,19.662529,16.860046,6.446645,6.213177,0.45081,0.10137
0.070,0.000000,0.000000,0,19.287043,17.249277,0,19.698891,16.847721,6.438503,6.218137,0.42562,0.12262
0.071,0.000000,0.000000,0,19.275366,17.269178,0,19.735250,16.835396,6.430403,6.223097,0.40313,0.12343
0.072,0.000000,0.000000,0,19.263643,17.288929,0,19.772123,16.823502,6.422195,6.227426,0.35685,0.12019
0.073,0.000000,0.000000,0,19.251886,17.308563,0,19.809387,16.811937,6.413934,6.231271,0.32460,0.11054
0.074,0.000000,0.000000,0,19.240129,17.328197,0,19.846651,16.800371,6.405564,6.235116,0.30154,0.09849
0.075,0.000000,0.000000,0,19.228371,17.347832,0,19.883915,16.788807,6.397140,6.238961,0.30095,0.08760
0.076,0.000000,0.000000,0,19.216669,17.367348,0,19.921593,16.777250,6.388618,6.242280,0.27418,0.09483
