"Time","25 toey (cm)","17 Hipy (cm)"
0.000,8.888223,10.540237
0.001,8.889840,10.547794
0.002,8.891457,10.555350
0.003,8.893084,10.562964
0.004,8.894717,10.570615
0.005,8.896350,10.578265
0.006,8.897984,10.585916
0.007,8.900084,10.593592
0.008,8.902477,10.601285
0.009,8.904871,10.608977
0.010,8.907265,10.616671
0.011,8.909765,10.624353
0.012,8.912333,10.632030
0.013,8.914901,10.639707
0.014,8.917468,10.647384
0.015,8.920041,10.654901
0.016,8.922617,10.662318
0.017,8.925194,10.669735
0.018,8.927770,10.677153
0.019,8.930379,10.684436
0.020,8.933009,10.691634
0.021,8.935638,10.698833
0.022,8.938269,10.706031
0.023,8.941084,10.712753
0.024,8.944016,10.719176
0.025,8.946947,10.725599
0.026,8.949879,10.732021
0.027,8.952755,10.737983
0.028,8.955596,10.743652
0.029,8.958436,10.749323
0.030,8.961277,10.754993
0.031,8.963954,10.760249
0.032,8.966529,10.765244
0.033,8.969103,10.770239
0.034,8.971677,10.775233
0.035,8.974301,10.779744
0.036,8.976958,10.783950
0.037,8.979615,10.788156
0.038,8.982272,10.792362
0.039,8.984292,10.796290
0.040,8.985912,10.800045
0.041,8.987533,10.803800
0.042,8.989152,10.807554
0.043,8.989940,10.810692
0.044,8.990203,10.813442
0.045,8.990467,10.816192
0.046,8.990730,10.818941
0.047,8.990389,10.820875
0.048,8.989666,10.822295
0.049,8.988944,10.823716
0.050,8.988221,10.825136
0.051,8.986514,10.825847
0.052,8.984188,10.826110
0.053,8.981861,10.826373
0.054,8.979535,10.826636
0.055,8.976331,10.826308
0.056,8.972575,10.825609
0.057,8.968820,10.824909
0.058,8.965064,10.824209
0.059,8.960879,10.822972
0.060,8.956426,10.821397
0.061,8.951971,10.819822
0.062,8.947517,10.818247
0.063,8.942931,10.816291
0.064,8.938263,10.814094
0.065,8.933595,10.811897
0.066,8.928926,10.809700
0.067,8.923997,10.806964
0.068,8.918902,10.803888
0.069,8.913808,10.800814
0.070,8.908713,10.797738
0.071,8.903464,10.794067
0.072,8.898118,10.790023
0.073,8.892773,10.785979
0.074,8.887426,10.781935
0.075,8.882148,10.777515
0.076,8.876913,10.772861
0.077,8.871677,10.768205
0.078,8.866442,10.763550
0.079,8.861219,10.758465
0.080,8.856005,10.753110
0.081,8.850790,10.747755
0.082,8.845575,10.742399
0.083,8.840250,10.736852
0.084,8.834855,10.731182
0.085,8.829460,10.725513
0.086,8.824065,10.719844
0.087,8.818722,10.713995
0.088,8.813411,10.708033
0.089,8.808100,10.702071
0.090,8.802789,10.696110
0.091,8.797522,10.690010
0.092,8.792281,10.683824
0.093,8.787042,10.677637
0.094,8.781802,10.671451
0.095,8.776603,10.665241
0.096,8.771428,10.659017
0.097,8.766254,10.652792
0.098,8.761080,10.646567
0.099,8.756819,10.640417
0.100,8.753130,10.634313
0.101,8.749442,10.628208
0.102,8.745754,10.622105
0.103,8.743039,10.616240
0.104,8.740937,10.610526
0.105,8.738834,10.604813
0.106,8.736732,10.599099
0.107,8.735506,10.593784
0.108,8.734830,10.588720
0.109,8.734155,10.583657
0.110,8.733479,10.578593
0.111,8.733190,10.573876
0.112,8.733143,10.569378
0.113,8.733097,10.564878
0.114,8.733050,10.560380
0.115,8.733335,10.556113
0.116,8.733829,10.551992
0.117,8.734324,10.547873
0.118,8.734818,10.543752
0.119,8.735419,10.539889
0.120,8.736086,10.536189
0.121,8.736753,10.532489
0.122,8.737421,10.528789
0.123,8.738390,10.525266
0.124,8.739549,10.521856
0.125,8.740706,10.518446
0.126,8.741865,10.515036
0.127,8.744544,10.511687
0.128,8.748178,10.508378
0.129,8.751812,10.505068
0.130,8.755446,10.501759
0.131,8.759519,10.498598
0.132,8.763866,10.495533
0.133,8.768214,10.492468
0.134,8.772562,10.489403
0.135,8.774030,10.486306
0.136,8.773686,10.483190
0.137,8.773343,10.480074
0.138,8.773000,10.476957
0.139,8.772626,10.473790
0.140,8.772232,10.470591
0.141,8.771838,10.467391
0.142,8.771444,10.464191
0.143,8.771080,10.460855
0.144,8.770733,10.457433
0.145,8.770386,10.454011
0.146,8.770039,10.450588
0.147,8.769729,10.446969
0.148,8.769444,10.443226
0.149,8.769158,10.439484
0.150,8.768873,10.435740
0.151,8.768865,10.431829
0.152,8.769030,10.427812
0.153,8.769196,10.423795
0.154,8.769361,10.419777
0.155,8.769788,10.415615
0.156,8.770377,10.411362
0.157,8.770967,10.407109
