"Time","63 sinus","62 rm dwn st","61 rm dwn sw","60 rmp up st","59 rmp up sw","58 Ramp down","57 Ramp up","56 right DS","55 left DS","54 lHL swoff","53 lHL swon","52 rHL swoff","51 rHL swon","50 lFL swoff","49 lFL swon","48 rFL swoff","47 rFL swon","46 sw offset","45 sw onset","44 ramnp dwn","43 ramp up","42 sinus rmp","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,159.091705,73.829140,68.979759,98.933296,6.086248,8.355883,5.009731,9.601119,6.255499,11.185820,0,4.750175,4.928136,6.670299,5.785348,7.782430,9.411830,8.342397,4.377460,8.906299,4.555083,9.392842,4.959985,8.274591,5.809794,9.360898,6.487514,9.047771,7.256069,0,-0.01825,0.00418,-0.01083,-0.01422,0.00812,-0.01215,0.00955,0.00206,0.00015,0.09366,3.27698
0.001,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,159.788895,72.245384,68.829391,98.499939,6.089463,8.356448,5.009795,9.591729,6.253606,11.210185,0,4.742743,4.959028,6.668570,5.775241,7.783531,9.399543,8.346388,4.417948,8.914630,4.585923,9.400581,4.966743,8.279030,5.820905,9.365204,6.500303,9.047160,7.262723,0,-0.01910,0.00410,-0.00916,-0.01346,0.00754,-0.01073,0.01062,0.00336,-0.00006,0.10410,3.27718
0.002,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160.486084,70.661629,68.679016,98.066574,6.092679,8.357013,5.009858,9.582338,6.251714,11.234550,0,4.735311,4.989920,6.666841,5.765134,7.784631,9.387256,8.350379,4.458436,8.922962,4.616764,9.408320,4.973501,8.283467,5.832016,9.369510,6.513092,9.046550,7.269377,0,-0.01666,0.00346,-0.04471,-0.01274,0.00803,-0.01335,-0.00168,0.00305,0.00003,0.10176,3.27749
0.003,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161.114136,69.075432,68.226707,97.748932,6.094495,8.363379,5.009971,9.572840,6.250116,11.256295,0,4.728336,5.022055,6.665129,5.755330,7.785755,9.375160,8.357388,4.499994,8.928614,4.650096,9.412647,4.987653,8.284268,5.845061,9.373330,6.524635,9.047215,7.276891,0,-0.01743,0.00478,-0.01297,-0.01250,0.00867,-0.01183,0.00656,0.00214,0.00000,0.10083,3.27754
0.004,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161.709656,67.488083,67.632309,97.485741,6.095652,8.372477,5.010107,9.563290,6.248656,11.276806,0,4.721578,5.054774,6.663424,5.745669,7.786889,9.363154,8.365816,4.542056,8.933004,4.684601,9.415369,5.005284,8.283358,5.859014,9.376922,6.535593,9.048482,7.284808,0,-0.01740,0.00293,-0.01984,-0.01482,0.00803,-0.01320,-0.00122,0.00275,0.00000,0.11497,3.27746
0.005,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,162.305176,65.900726,67.037918,97.222542,6.096809,8.381574,5.010242,9.553741,6.247197,11.297317,0,4.714818,5.087493,6.661720,5.736009,7.788023,9.351150,8.374245,4.584118,8.937394,4.719106,9.418090,5.022916,8.282447,5.872968,9.380514,6.546550,9.049749,7.292726,0,-0.01712,0.00735,-0.01419,-0.01355,0.00827,-0.01070,0.00583,0.00336,-0.00003,0.10635,3.27749
0.006,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,162.900696,64.313377,66.443520,96.959351,6.097967,8.390671,5.010378,9.544190,6.245737,11.317828,0,4.708060,5.120213,6.660016,5.726348,7.789158,9.339144,8.382673,4.626181,8.941785,4.753612,9.420812,5.040547,8.281536,5.886921,9.384106,6.557507,9.051016,7.300643,0,-0.02197,0.00250,-0.01816,-0.01361,0.00867,-0.01328,0.00690,0.00313,0.00021,0.07726,3.27756
0.007,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,159.310654,62.529556,66.029251,96.860023,6.097324,8.397607,5.010618,9.534655,6.244317,11.335716,0,4.702600,5.154175,6.658196,5.716343,7.790135,9.327301,8.397090,4.671199,8.951629,4.791965,9.426298,5.064065,8.281348,5.899600,9.385289,6.566664,9.052541,7.308028,0,-0.01816,0.00374,-0.01404,-0.01454,0.01004,-0.01292,0.00467,0.00267,-0.00009,0.08965,3.27784
0.008,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,153.750931,60.653278,65.699760,96.837799,6.095834,8.403527,5.010907,9.525124,6.242915,11.352370,0,4.697753,5.188721,6.656322,5.706175,7.791038,9.315534,8.414325,4.717608,8.964040,4.832128,9.433086,5.090352,8.281502,5.911678,9.385340,6.574974,9.054187,7.315163,0,-0.01648,0.00255,-0.01465,-0.01500,0.00934,-0.01155,0.00476,0.00298,0.00000,0.10352,3.27822
0.009,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,148.191208,58.777004,65.370270,96.815582,6.094343,8.409447,5.011196,9.515594,6.241513,11.369024,0,4.692905,5.223268,6.654449,5.696008,7.791941,9.303767,8.431560,4.764018,8.976451,4.872291,9.439875,5.116640,8.281655,5.923756,9.385391,6.583284,9.055833,7.322298,0,-0.02063,0.00354,-0.00519,-0.01300,0.00916,-0.01306,-0.00037,0.00305,0.00015,0.09483,3.27799
