"Time","59 lHL swoff","58 lHL swon","57 rHL swoff","56 rHL swon","55 lFL swoff","54 lFL swon","53 rFL swoff","52 rFL swon","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch","63 Ramp down","62 Ramp up","61 right DS","60 left DS","51 CoM peak","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","31 Keyboard","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM"
0.000,0,0,0,0,0,0,0,0,5.710297,-0.988519,0.000000,1,0,18.213886,13.081818,0.000000,1,6.173184,0,16.391394,4.716573,6.843931,11.491621,0.00004,0.11127,3.27731,0,0,1,0,0,0,0,0,0,0,0,0,0,0,145.016022,71.892563,113.719772,75.029457,5.756379,15.475812,5.137702,0,9.300077,18.364597,8.606727,13.198246,8.750389,12.637824,9.217244,12.218748,9.737035,13.520801,11.035472,13.570635,10.784726,14.370382,0,-0.01885,0.00447,-0.02219,-0.01354,0.00776,-0.01317,0.00622,0.00404
0.001,0,0,0,0,0,0,0,0,5.706930,-1.038693,0.000000,1,0,18.224283,13.070393,0.000000,1,6.173237,0,16.380754,4.716486,6.860733,11.530696,0.00013,0.08195,3.27716,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.840530,72.623482,113.646767,75.110802,5.755304,15.471246,5.146487,0,9.292772,18.377234,8.601995,13.176283,8.751580,12.624148,9.215509,12.214664,9.737315,13.518505,11.035819,13.563293,10.786847,14.366626,0,-0.01824,0.00427,-0.01900,-0.01156,0.01248,-0.01360,0.00429,0.00346
0.002,0,0,0,0,0,0,0,0,5.703930,-1.065133,0.000000,1,0,18.234137,13.058853,0.000000,1,6.172949,0,16.370483,4.716417,6.877247,11.572741,0.00004,0.08546,3.27731,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.651321,73.190559,113.858597,75.343254,5.753917,15.470858,5.156187,0,9.286625,18.387846,8.602840,13.159054,8.753973,12.609730,9.217875,12.216728,9.737658,13.515063,11.036373,13.557376,10.790559,14.364510,0,-0.01938,0.00435,-0.02171,-0.01349,0.00798,-0.01354,0.00597,0.00300
0.003,0,0,0,0,0,0,0,0,5.701135,-1.091572,0.000000,1,0,18.243988,13.047313,0.000000,1,6.172662,0,16.360214,4.716349,6.893761,11.614785,0.00025,0.10215,3.27736,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.462112,73.757629,114.070419,75.575714,5.752530,15.470469,5.165887,0,9.280478,18.398460,8.603685,13.141826,8.756367,12.595310,9.220241,12.218792,9.737999,13.511622,11.036928,13.551460,10.794271,14.362393,0,-0.01719,0.00387,-0.02299,-0.01497,0.00845,-0.01371,0.00474,0.00359
0.004,0,0,0,0,0,0,0,0,5.698841,-1.118012,0.000000,1,0,18.253841,13.035773,0.000000,1,6.172375,0,16.349943,4.716281,6.910274,11.656830,0.00002,0.10525,3.27698,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.272903,74.324707,114.282242,75.808174,5.751143,15.470080,5.175587,0,9.274330,18.409073,8.604530,13.124597,8.758759,12.580892,9.222606,12.220857,9.738341,13.508181,11.037482,13.545544,10.797982,14.360277,0,-0.02120,0.00441,-0.01957,-0.01331,0.00936,-0.01237,0.00507,0.00283
0.005,0,0,0,0,0,0,0,0,5.696785,-1.138202,0.000000,1,0,18.263685,13.024260,0.000000,1,6.172097,0,16.339661,4.716228,6.926390,11.699865,0.00015,0.11155,3.27661,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.133179,74.725952,114.437080,76.048935,5.749787,15.470094,5.185362,0,9.266591,18.421459,8.605521,13.109954,8.761630,12.567495,9.223185,12.221036,9.738920,13.503331,11.037973,13.539546,10.801271,14.357619,0,-0.01968,0.00493,-0.02089,-0.01367,0.00817,-0.01409,0.00656,0.00280
0.006,0,0,0,0,0,0,0,0,5.695315,-1.134306,0.000000,1,0,18.273504,13.012850,0.000000,1,6.171859,0,16.329327,4.716229,6.940970,11.746717,0.00002,0.10124,3.27631,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.184189,74.488014,114.372284,76.321724,5.748554,15.471659,5.195430,0,9.252716,18.440685,8.607075,13.105275,8.766337,12.558043,9.216874,12.213950,9.740411,13.493052,11.038219,13.533235,10.802934,14.352874,0,-0.01771,0.00445,-0.02009,-0.01436,0.00921,-0.01202,0.00454,0.00307
0.007,0,0,0,0,0,0,0,0,5.694067,-1.130409,0.000000,1,0,18.283321,13.001439,0.000000,1,6.171620,0,16.318995,4.716231,6.955550,11.793571,-0.00013,0.08305,3.27617,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.235214,74.250076,114.307487,76.594513,5.747321,15.473225,5.205497,0,9.238840,18.459909,8.608629,13.100597,8.771046,12.548589,9.210564,12.206863,9.741900,13.482774,11.038465,13.526923,10.804597,14.348128,0,-0.01904,0.00329,-0.02114,-0.01442,0.00795,-0.01362,0.00711,0.00273
0.008,0,0,0,0,0,0,0,0,5.693371,-1.126512,0.000000,1,0,18.293139,12.990028,0.000000,1,6.171382,0,16.308661,4.716232,6.970130,11.840424,0.00042,0.08862,3.27670,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.286224,74.012138,114.242691,76.867302,5.746088,15.474790,5.215564,0,9.224965,18.479136,8.610184,13.095920,8.775753,12.539136,9.204253,12.199777,9.743391,13.472496,11.038711,13.520612,10.806259,14.343384,0,-0.02123,0.00301,-0.02114,-0.01299,0.00864,-0.01209,0.00318,0.00375
0.009,0,0,0,0,0,0,0,0,5.692867,-1.117095,0.000000,1,0,18.302866,12.978581,0.000000,1,6.171179,0,16.298317,4.716297,6.984321,11.887901,0.00000,0.12007,3.27713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.276855,73.800560,114.110687,77.100647,5.744868,15.476239,5.225684,0,9.210564,18.495779,8.612111,13.089508,8.779977,12.529455,9.203450,12.190467,9.744879,13.462464,11.039417,13.514712,10.808217,14.338732,0,-0.01872,0.00361,-0.02206,-0.01542,0.00933,-0.01260,0.00539,0.00297
0.010,0,0,0,0,0,0,0,0,5.692838,-1.086396,0.000000,1,0,18.312241,12.966992,0.000000,1,6.171112,0,16.287930,4.716604,6.997014,11.937787,0.00015,0.11177,3.27713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,144.034729,73.690552,113.719643,77.181961,5.743696,15.477243,5.236007,0,9.194134,18.502468,8.615475,13.076416,8.782335,12.518900,9.223874,12.172585,9.746355,13.453386,11.041903,13.510398,10.811316,14.334441,0,-0.02203,0.00616,-0.02094,-0.01454,0.00831,-0.01284,0.00473,0.00407
0.011,0,0,0,0,0,0,0,0,5.692961,-1.055697,0.000000,1,0,18.321617,12.955403,0.000000,1,6.171044,0,16.277540,4.716911,7.009706,11.987674,0.00002,0.08339,3.27713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,143.792603,73.580544,113.328606,77.263283,5.742524,15.478247,5.246330,0,9.177704,18.509159,8.618838,13.063323,8.784694,12.508345,9.244298,12.154705,9.747832,13.444308,11.044387,13.506083,10.814414,14.330151,0,-0.02322,0.00418,-0.02084,-0.00996,0.00895,-0.01280,0.00234,0.00341
0.012,0,0,0,0,0,0,0,0,5.693459,-1.024998,0.000000,1,0,18.330992,12.943814,0.000000,1,6.170977,0,16.267153,4.717218,7.022399,12.037560,-0.00012,0.08610,3.27713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,143.550476,73.470535,112.937561,77.344597,5.741353,15.479251,5.256653,0,9.161274,18.515850,8.622202,13.050231,8.787052,12.497789,9.264722,12.136824,9.749309,13.435229,11.046872,13.501768,10.817513,14.325860,0,-0.02289,0.00350,-0.02021,-0.01554,0.00833,-0.01279,0.00782,0.00278
0.013,0,0,0,0,0,0,0,0,5.694064,-0.992647,0.000000,1,0,18.340391,12.932103,0.000000,1,6.170918,0,16.256704,4.717502,7.034823,12.087825,0.00029,0.10058,3.27718,0,0,1,0,0,0,0,0,0,0,0,0,0,0,143.352112,73.464027,112.606056,77.403831,5.740251,15.479542,5.267086,0,9.145937,18.523647,8.625483,13.036079,8.789228,12.487524,9.280898,12.121248,9.750826,13.426822,11.048915,13.496248,10.820317,14.320560,0,-0.01542,0.00365,-0.02239,-0.01341,0.00795,-0.01184,0.00579,0.00256
