"Time","v3 L COP","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,5.710297,-0.988519,0.000000,1,0,18.213886,13.081818,1,6.173184,0,16.391394,4.716573,6.843931,11.491621,0.00004,0.11127,3.27731
0.001,0.000000,5.706930,-1.038693,0.000000,1,0,18.224283,13.070393,1,6.173237,0,16.380754,4.716486,6.860733,11.530696,0.00013,0.08195,3.27716
0.002,0.000000,5.703930,-1.065133,0.000000,1,0,18.234137,13.058853,1,6.172949,0,16.370483,4.716417,6.877247,11.572741,0.00004,0.08546,3.27731
0.003,0.000000,5.701135,-1.091572,0.000000,1,0,18.243988,13.047313,1,6.172662,0,16.360214,4.716349,6.893761,11.614785,0.00025,0.10215,3.27736
0.004,0.000000,5.698841,-1.118012,0.000000,1,0,18.253841,13.035773,1,6.172375,0,16.349943,4.716281,6.910274,11.656830,0.00002,0.10525,3.27698
0.005,0.000000,5.696785,-1.138202,0.000000,1,0,18.263685,13.024260,1,6.172097,0,16.339661,4.716228,6.926390,11.699865,0.00015,0.11155,3.27661
0.006,0.000000,5.695315,-1.134306,0.000000,1,0,18.273504,13.012850,1,6.171859,0,16.329327,4.716229,6.940970,11.746717,0.00002,0.10124,3.27631
0.007,0.000000,5.694067,-1.130409,0.000000,1,0,18.283321,13.001439,1,6.171620,0,16.318995,4.716231,6.955550,11.793571,-0.00013,0.08305,3.27617
0.008,0.000000,5.693371,-1.126512,0.000000,1,0,18.293139,12.990028,1,6.171382,0,16.308661,4.716232,6.970130,11.840424,0.00042,0.08862,3.27670
0.009,0.000000,5.692867,-1.117095,0.000000,1,0,18.302866,12.978581,1,6.171179,0,16.298317,4.716297,6.984321,11.887901,0.00000,0.12007,3.27713
0.010,0.000000,5.692838,-1.086396,0.000000,1,0,18.312241,12.966992,1,6.171112,0,16.287930,4.716604,6.997014,11.937787,0.00015,0.11177,3.27713
0.011,0.000000,5.692961,-1.055697,0.000000,1,0,18.321617,12.955403,1,6.171044,0,16.277540,4.716911,7.009706,11.987674,0.00002,0.08339,3.27713
0.012,0.000000,5.693459,-1.024998,0.000000,1,0,18.330992,12.943814,1,6.170977,0,16.267153,4.717218,7.022399,12.037560,-0.00012,0.08610,3.27713
0.013,0.000000,5.694064,-0.992647,0.000000,1,0,18.340391,12.932103,1,6.170918,0,16.256704,4.717502,7.034823,12.087825,0.00029,0.10058,3.27718
0.014,0.000000,5.694934,-0.953929,0.000000,1,0,18.349878,12.919922,1,6.170893,0,16.246033,4.717695,7.046211,12.139551,0.00017,0.11185,3.27740
0.015,0.000000,5.695858,-0.915211,0.000000,1,0,18.359365,12.907741,1,6.170867,0,16.235359,4.717889,7.057599,12.191278,-0.00027,0.11120,3.27750
