"Time","59 lHL swoff","58 lHL swon","57 rHL swoff","56 rHL swon","55 lFL swoff","54 lFL swon","53 rFL swoff","52 rFL swon","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch","63 Ramp down","62 Ramp up","61 right DS","60 left DS","51 CoM peak","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","31 Keyboard","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM"
0.000,0,0,0,0,0,0,0,0,6.466712,1.067531,0.000000,0,0,15.228203,9.716671,0.000000,0,6.422423,0,16.175697,5.321399,7.645236,12.036930,-1.48026,0.08185,3.27675,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165.350555,106.287964,78.135124,112.280457,6.416694,14.167366,5.161398,0,8.659402,15.207355,9.335114,9.283507,9.851132,9.742777,10.212391,10.278016,9.344864,11.412807,10.499400,11.998240,10.440860,12.793139,0,-0.01710,0.00353,-0.02192,-0.01346,0.00842,-0.01255,0.00417,0.00184
0.001,0,0,0,0,0,0,0,0,6.465328,1.001347,0.000000,0,0,15.217134,9.750041,0.000000,0,6.416680,0,16.223541,5.314351,7.646213,12.024884,-1.48100,0.10416,3.27682,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165.436569,105.094452,77.686470,112.257133,6.418098,14.166304,5.160767,0,8.657952,15.194994,9.342278,9.332751,9.857038,9.776063,10.219225,10.302700,9.341153,11.426627,10.498430,12.005447,10.439330,12.795816,0,-0.01690,0.00782,-0.01878,-0.01312,0.00839,-0.01284,0.00170,0.00347
0.002,0,0,0,0,0,0,0,0,6.463349,0.935164,0.000000,0,0,15.206066,9.783411,0.000000,0,6.410937,0,16.271387,5.307302,7.647191,12.012838,-1.47690,0.11321,3.27675,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165.522598,103.900948,77.237816,112.233818,6.419503,14.165241,5.160137,0,8.656503,15.182634,9.349442,9.381996,9.862942,9.809350,10.226058,10.327384,9.337443,11.440447,10.497460,12.012656,10.437800,12.798493,0,-0.01582,0.00352,-0.02326,-0.01385,0.00847,-0.01274,0.00890,0.00231
0.003,0,0,0,0,0,0,0,0,6.461260,0.868521,0.000000,0,0,15.194998,9.816767,0.000000,0,6.405204,0,16.319130,5.300303,7.648168,12.000791,-1.48138,0.08814,3.27666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,165.626907,102.687218,76.797287,112.219299,6.420889,14.164357,5.159505,0,8.655082,15.170173,9.356454,9.431004,9.868446,9.842360,10.232702,10.351812,9.333857,11.454085,10.496517,12.019867,10.436384,12.801225,0,-0.01862,0.00110,-0.02112,-0.01326,0.00900,-0.01201,0.00410,0.00215
0.004,0,0,0,0,0,0,0,0,6.458226,0.781446,0.000000,0,0,15.183951,9.849484,0.000000,0,6.399896,0,16.362297,5.295461,7.649167,11.988669,-1.48049,0.09797,3.27613,0,0,1,0,0,0,0,0,0,0,0,0,0,0,166.544220,100.574715,76.717979,112.596268,6.421487,14.171376,5.158834,0,8.654961,15.153167,9.356771,9.469482,9.856125,9.863082,10.230921,10.364903,9.335745,11.459682,10.496794,12.027191,10.440030,12.806396,0,-0.01305,0.00016,-0.01949,-0.01394,0.00930,-0.01335,0.00381,0.00497
0.005,0,0,0,0,0,0,0,0,6.455111,0.694371,0.000000,0,0,15.172906,9.882203,0.000000,0,6.394588,0,16.405464,5.290618,7.650165,11.976547,-1.47854,0.11162,3.27561,0,0,1,0,0,0,0,0,0,0,0,0,0,0,167.461533,98.462204,76.638664,112.973236,6.422086,14.178395,5.158163,0,8.654839,15.136162,9.357088,9.507962,9.843804,9.883804,10.229138,10.377994,9.337633,11.465280,10.497069,12.034515,10.443676,12.811566,0,0.00951,0.01079,-0.02151,-0.01189,0.00815,-0.01243,0.03878,0.00153
0.006,0,0,0,0,0,0,0,0,6.451303,0.607296,0.000000,0,0,15.161860,9.914921,0.000000,0,6.389279,0,16.448631,5.285776,7.651163,11.964426,-1.47962,0.09187,3.27622,0,0,1,0,0,0,0,0,0,0,0,0,0,0,168.378845,96.349701,76.559349,113.350197,6.422684,14.185415,5.157491,0,8.654717,15.119156,9.357406,9.546441,9.831483,9.904527,10.227357,10.391085,9.339521,11.470876,10.497345,12.041840,10.447321,12.816737,0,0.02292,-0.01074,-0.01655,-0.01404,0.00803,-0.01509,-0.00500,0.00212
0.007,0,0,0,0,0,0,0,0,6.447456,0.520008,0.000000,0,0,15.150819,9.947575,0.000000,0,6.383942,0,16.491678,5.280974,7.652165,11.952301,-1.48142,0.08996,3.27683,0,0,1,0,0,0,0,0,0,0,0,0,0,0,169.293396,94.234772,76.482864,113.723938,6.423273,14.192381,5.156821,0,8.654715,15.102242,9.357699,9.585027,9.819403,9.925416,10.225931,10.404011,9.341434,11.476377,10.497648,12.049174,10.450959,12.821927,0,-0.05868,0.00712,-0.02691,-0.01116,0.00938,-0.00998,0.00974,-0.00005
0.008,0,0,0,0,0,0,0,0,6.443276,0.423250,0.000000,0,0,15.140040,9.977356,0.000000,0,6.377302,0,16.529409,5.277945,7.653310,11.940049,-1.47979,0.11086,3.27690,0,0,1,0,0,0,0,0,0,0,0,0,0,0,170.085526,92.012138,76.531944,113.954071,6.423444,14.196986,5.156219,0,8.660023,15.089358,9.356975,9.628350,9.818031,9.953714,10.240322,10.409587,9.344482,11.477611,10.499159,12.056998,10.454245,12.827991,0,0.00829,0.00731,-0.01812,-0.01709,0.00852,-0.01429,0.00534,0.00594
0.009,0,0,0,0,0,0,0,0,6.439068,0.326492,0.000000,0,0,15.129262,10.007136,0.000000,0,6.370661,0,16.567141,5.274916,7.654455,11.927797,-1.48114,0.09916,3.27698,0,0,1,0,0,0,0,0,0,0,0,0,0,0,170.877655,89.789505,76.581032,114.184204,6.423614,14.201591,5.155616,0,8.665330,15.076474,9.356249,9.671673,9.816660,9.982013,10.254713,10.415163,9.347529,11.478844,10.500669,12.064822,10.457530,12.834053,0,-0.02679,-0.01791,-0.02057,-0.01300,0.00774,-0.01132,0.00573,0.00308
