"Time","59 lHL swoff","58 lHL swon","57 rHL swoff","56 rHL swon","55 lFL swoff","54 lFL swon","53 rFL swoff","52 rFL swon","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch","63 Ramp down","62 Ramp up","61 right DS","60 left DS","51 CoM peak","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","31 Keyboard","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM"
0.000,0,0,0,0,0,0,0,0,6.656476,-1.202231,0.000000,0,0,14.438527,9.278295,0.000000,0,7.041855,0,16.394386,5.448784,7.478545,10.531754,1.48530,0.09061,3.27698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.781525,97.765862,83.634705,98.131027,6.712473,13.342726,5.845810,0,8.899249,14.468101,9.216582,8.596674,9.861572,8.876204,10.362210,9.367317,9.605639,10.535720,10.733815,11.125256,10.476401,11.899465,0,-0.01962,0.00909,-0.02070,-0.01329,0.00898,-0.01272,0.00959,0.00545
0.001,0,0,0,0,0,0,0,0,6.648493,-1.345500,0.000000,0,0,14.428088,9.304769,0.000000,0,7.033813,0,16.402126,5.441868,7.478847,10.521962,1.48501,0.11502,3.27689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.105896,95.901573,83.217850,97.727829,6.711166,13.343816,5.844783,0,8.901276,14.460763,9.232025,8.618296,9.875899,8.908560,10.381018,9.379316,9.615752,10.540708,10.741445,11.130787,10.482040,11.900895,0,-0.01585,0.00035,-0.02333,-0.01310,0.00704,-0.01191,0.00352,0.00251
0.002,0,0,0,0,0,0,0,0,6.640686,-1.467541,0.000000,0,0,14.417596,9.334133,0.000000,0,7.026373,0,16.409821,5.435906,7.479065,10.512154,1.48348,0.10469,3.27658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.414368,94.094009,82.838806,97.077240,6.709346,13.344892,5.843990,0,8.908377,14.439478,9.248931,8.656108,9.891803,8.933469,10.403862,9.388519,9.626101,10.546993,10.755001,11.137107,10.488303,11.902504,0,-0.01879,0.00259,-0.02058,-0.01301,0.00756,-0.01353,-0.00066,-0.00629
0.003,0,0,0,0,0,0,0,0,6.633097,-1.589581,0.000000,0,0,14.407104,9.363497,0.000000,0,7.018933,0,16.417519,5.429945,7.479284,10.502346,1.48671,0.09273,3.27646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.722839,92.286438,82.459763,96.426636,6.707527,13.345968,5.843197,0,8.915479,14.418193,9.265837,8.693920,9.907706,8.958378,10.426706,9.397722,9.636451,10.553279,10.768558,11.143428,10.494567,11.904113,0,-0.01652,0.00323,-0.01865,-0.01317,0.00802,-0.01175,0.00582,0.00271
0.004,0,0,0,0,0,0,0,0,6.625863,-1.711622,0.000000,0,0,14.396613,9.392861,0.000000,0,7.011494,0,16.425213,5.423982,7.479502,10.492537,1.48547,0.10875,3.27676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.031326,90.478867,82.080719,95.776047,6.705707,13.347045,5.842403,0,8.922580,14.396908,9.282742,8.731732,9.923610,8.983288,10.449551,9.406925,9.646800,10.559565,10.782114,11.149748,10.500830,11.905722,0,-0.01254,0.00336,-0.02290,-0.01373,0.00834,-0.01235,0.00384,0.00691
0.005,0,0,0,0,0,0,0,0,6.618954,-1.822136,0.000000,0,0,14.386152,9.423524,0.000000,0,7.004317,0,16.432760,5.418354,7.479512,10.482826,1.48518,0.10068,3.27700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.174103,88.665672,81.707726,95.103088,6.703815,13.348701,5.841648,0,8.928157,14.377511,9.297881,8.773960,9.934733,9.009616,10.467549,9.416280,9.655891,10.567097,10.793804,11.155936,10.506271,11.906586,0,-0.02148,0.00593,-0.02007,-0.01324,0.00844,-0.01324,-0.00254,0.00521
0.006,0,0,0,0,0,0,0,0,6.612570,-1.905753,0.000000,0,0,14.375762,9.457215,0.000000,0,6.997756,0,16.439953,5.413503,7.479035,10.473339,1.48364,0.08549,3.27708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.930252,86.839333,81.348839,94.377953,6.701758,13.351708,5.840981,0,8.930177,14.362519,9.308898,8.826492,9.934703,9.039254,10.474240,9.425987,9.662050,10.577535,10.801139,11.161819,10.509797,11.905710,0,-0.02079,0.00737,-0.02255,-0.01400,0.00959,-0.01357,0.00418,0.00232
0.007,0,0,0,0,0,0,0,0,6.606494,-1.989371,0.000000,0,0,14.365373,9.490908,0.000000,0,6.991194,0,16.447147,5.408653,7.478558,10.463852,1.48446,0.09637,3.27702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.686417,85.013000,80.989944,93.652817,6.699700,13.354716,5.840313,0,8.932197,14.347527,9.319915,8.879025,9.934673,9.068893,10.480931,9.435695,9.668209,10.587974,10.808473,11.167701,10.513324,11.904835,0,-0.03871,0.00444,-0.03034,-0.01382,0.00793,-0.01212,-0.01112,0.00824
0.008,0,0,0,0,0,0,0,0,6.600917,-2.072989,0.000000,0,0,14.354982,9.524600,0.000000,0,6.984633,0,16.454342,5.403802,7.478081,10.454365,1.48355,0.12703,3.27664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.442566,83.186668,80.631058,92.927681,6.697643,13.357724,5.839646,0,8.934216,14.332535,9.330932,8.931557,9.934643,9.098533,10.487623,9.445402,9.674368,10.598413,10.815807,11.173583,10.516850,11.903959,0,-0.02443,-0.00040,-0.00631,-0.01369,0.01016,-0.01306,0.05034,-0.01365
0.009,0,0,0,0,0,0,0,0,6.595608,-2.145342,0.000000,0,0,14.344591,9.559306,0.000000,0,6.978390,0,16.461302,5.399013,7.477600,10.445054,1.48432,0.10697,3.27632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.497726,81.202850,80.287842,92.234001,6.695501,13.360983,5.839046,0,8.936742,14.317855,9.337916,8.986488,9.934388,9.129185,10.493474,9.455170,9.679622,10.610842,10.824059,11.179023,10.521912,11.904308,0,0.01046,0.00125,-0.02721,-0.01423,0.00842,-0.01152,-0.01192,0.01843
