"Time","66 RDS cle","64 R marks","63 sinus","62 Ramp down","61 Ramp up","60 right DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 simus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 Sw offset","44 Sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","67 LDS cle","v2 R COP","v3 L COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","65 L marks","59 left DS","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.556046,47.635372,92.450287,101.580772,0,0.000000,0.000000,5.403403,-8.197707,5.725753,14.750578,4.949937,17.548071,6.255561,11.716063,0,0,16.415852,0,4.840721,6.542107,12.255609,8.084599,17.834930,7.681549,11.975035,7.874178,11.478698,8.443413,11.152698,8.114635,12.602992,9.472854,12.956167,9.403543,13.833517,0,-0.01906,0.00262,-0.02226,-0.01285,0.01129,-0.01008,0.00262,0.00787,-1.47766,0.11371,3.27723
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.164642,47.823837,92.763725,102.332413,0,0.000000,0.000000,5.399732,-8.202229,5.716609,14.759536,4.949004,17.555325,6.254779,11.704236,0,0,16.405163,0,4.841613,6.541092,12.269685,8.084196,17.842913,7.680328,11.955163,7.877407,11.469053,8.446109,11.146512,8.115117,12.595872,9.470212,12.958084,9.406672,13.836952,0,-0.01316,0.00408,-0.01997,-0.01526,0.00599,-0.01114,0.00429,0.00300,-1.47873,0.09853,3.27747
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.735046,48.064907,93.092026,103.062546,0,0.000000,0.000000,5.396627,-8.149643,5.706752,14.768342,4.947802,17.562780,6.253948,11.692464,0,0,16.394442,0,4.842464,6.540665,12.283968,8.079092,17.848677,7.679149,11.933430,7.879653,11.461306,8.448278,11.140452,8.116615,12.588452,9.468291,12.959094,9.410620,13.839828,0,-0.01974,0.00497,-0.01983,-0.01215,0.00915,-0.01315,0.00414,0.00363,-1.47772,0.10699,3.27755
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.305450,48.305981,93.420326,103.792679,0,0.000000,0.000000,5.394219,-8.097056,5.696895,14.777148,4.946599,17.570238,6.253117,11.680693,0,0,16.383720,0,4.843315,6.540238,12.298251,8.073988,17.854441,7.677970,11.911697,7.881899,11.453557,8.450449,11.134393,8.118114,12.581032,9.466370,12.960105,9.414568,13.842705,0,-0.01543,0.00292,-0.01900,-0.01347,0.00781,-0.01270,0.00505,0.00503,-1.47559,0.11993,3.27735
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.875854,48.547050,93.748627,104.522812,0,0.000000,0.000000,5.392398,-8.044471,5.687038,14.785954,4.945396,17.577694,6.252286,11.668921,0,0,16.372999,0,4.844166,6.539812,12.312534,8.068884,17.860205,7.676791,11.889964,7.884146,11.445809,8.452619,11.128333,8.119613,12.573612,9.464449,12.961116,9.418516,13.845581,0,-0.01634,0.00311,-0.01975,-0.01353,0.00705,-0.01252,0.00524,0.00386,-1.47987,0.10142,3.27681
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.000824,48.910110,94.054298,105.204582,0,0.000000,0.000000,5.391272,-7.951818,5.678451,14.794612,4.943934,17.585596,6.251339,11.657528,0,0,16.362417,0,4.844919,6.539752,12.327356,8.065615,17.866304,7.675101,11.870433,7.886325,11.436132,8.456559,11.121572,8.121814,12.566414,9.463237,12.963045,9.422398,13.849125,0,-0.02499,0.00549,-0.02180,-0.01394,0.00764,-0.01257,0.00432,0.00233,-1.47800,0.10250,3.27666
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.607101,49.415230,94.333618,105.830032,0,0.000000,0.000000,5.390733,-7.812510,5.671341,14.803096,4.942171,17.594021,6.250258,11.646577,0,0,16.351995,0,4.845558,6.540122,12.342809,8.064483,17.872795,7.672818,11.853466,7.888427,11.424211,8.462562,11.113998,8.124833,12.559473,9.462851,12.966045,9.426202,13.853447,0,-0.02129,0.00064,-0.02154,-0.01251,0.00811,-0.01340,0.00434,0.00254,-1.47852,0.12420,3.27696
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.213364,49.920349,94.612938,106.455482,0,0.000000,0.000000,5.390909,-7.673202,5.664231,14.811580,4.940407,17.602444,6.249177,11.635626,0,0,16.341574,0,4.846198,6.540491,12.358260,8.063351,17.879286,7.670534,11.836498,7.890529,11.412288,8.468564,11.106423,8.127853,12.552533,9.462464,12.969045,9.430005,13.857768,0,-0.01477,0.00421,-0.02075,-0.01332,0.00731,-0.01311,0.00377,0.00167,-1.47835,0.10281,3.27720
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.819641,50.425465,94.892258,107.080933,0,0.000000,0.000000,5.391690,-7.533893,5.657122,14.820064,4.938643,17.610867,6.248096,11.624675,0,0,16.331152,0,4.846837,6.540860,12.373712,8.062219,17.885775,7.668251,11.819531,7.892631,11.400366,8.474566,11.098848,8.130873,12.545592,9.462078,12.972045,9.433809,13.862089,0,-0.01642,0.00308,-0.02189,-0.01474,-0.00075,-0.01177,0.00115,0.00422,-1.47783,0.09540,3.27735
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.157349,50.985287,95.192589,107.615616,0,0.000000,0.000000,5.393166,-7.361049,5.649969,14.827642,4.936695,17.619461,6.247067,11.614223,0,0,16.320728,0,4.847358,6.541263,12.389675,8.060669,17.893473,7.667530,11.805047,7.892368,11.389460,8.480439,11.092492,8.134072,12.539590,9.462066,12.974740,9.437678,13.865761,0,-0.01930,0.00328,-0.01972,-0.00489,0.01053,-0.01260,0.00598,-0.00285,-1.47752,0.12145,3.27744
