"Time","66 RDS cle","64 R marks","63 sinus","62 Ramp down","61 Ramp up","60 right DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 simus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 Sw offset","44 Sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","67 LDS cle","v2 R COP","v3 L COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","65 L marks","59 left DS","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.692032,49.152340,90.667191,58.630695,0,0.000000,0.000000,4.391098,-6.501294,4.675295,14.038674,3.844877,14.882144,5.047853,12.185852,0,0,17.217094,0,3.826504,5.386154,10.708248,7.643528,14.983722,7.612488,12.346924,7.690403,11.755923,7.985764,11.223453,8.495511,12.613024,9.797495,12.163008,9.625187,12.985664,0,-0.01739,0.00264,-0.02022,-0.01439,0.00540,-0.01222,0.00289,0.00316,-1.40723,0.10231,3.27603
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.049026,49.273094,90.305183,58.302822,0,0.000000,0.000000,4.384968,-6.578862,4.667850,14.022863,3.845265,14.869184,5.041514,12.174768,0,0,17.205738,0,3.826284,5.386302,10.697719,7.643589,14.982896,7.613220,12.339049,7.697967,11.740920,7.990550,11.211070,8.502250,12.600414,9.803033,12.144693,9.632051,12.962929,0,-0.01726,0.00391,-0.02000,-0.01288,0.00288,-0.01195,0.00515,0.00162,-1.40130,0.09520,3.27633
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.406021,49.393848,89.943169,57.974949,0,0.000000,0.000000,4.378946,-6.656430,4.660406,14.007052,3.845654,14.856226,5.035176,12.163684,0,0,17.194382,0,3.826065,5.386449,10.687188,7.643649,14.982069,7.613953,12.331175,7.705531,11.725917,7.995336,11.198689,8.508988,12.587804,9.808571,12.126379,9.638915,12.940192,0,-0.01682,0.00350,-0.02009,-0.01349,0.00847,-0.01197,0.00708,0.00366,-1.39070,0.11355,3.27661
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.763016,49.514603,89.581161,57.647076,0,0.000000,0.000000,4.373042,-6.733998,4.652962,13.991241,3.846042,14.843266,5.028837,12.152600,0,0,17.183025,0,3.825845,5.386597,10.676659,7.643709,14.981243,7.614685,12.323300,7.713095,11.710915,8.000122,11.186306,8.515726,12.575194,9.814109,12.108066,9.645779,12.917456,0,-0.01768,0.00297,-0.01946,-0.01437,0.00803,-0.01243,0.00652,0.00266,-1.38382,0.11122,3.27684
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.913986,49.758934,89.226059,57.365532,0,0.000000,0.000000,4.367290,-6.798004,4.645718,13.974276,3.846498,14.830448,5.022462,12.141441,0,0,17.147329,0,3.825548,5.386878,10.665999,7.641530,14.977603,7.616099,12.311213,7.719421,11.696061,8.004842,11.174320,8.522863,12.562996,9.817646,12.086624,9.650968,12.895806,0,-0.01728,0.00357,-0.01936,-0.01259,0.00784,-0.01176,0.00697,0.00264,-1.37314,0.10745,3.27724
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.753372,50.190189,88.881416,57.154072,0,0.000000,0.000000,4.361707,-6.841495,4.638777,13.955563,3.847057,14.817843,5.016032,12.130170,0,0,17.074816,0,3.825135,5.387360,10.655145,7.635962,14.969709,7.618544,12.292755,7.723877,11.681436,8.009463,11.162932,8.530602,12.551419,9.818156,12.060453,9.653624,12.875802,0,-0.01559,0.00345,-0.02033,-0.01292,-0.00063,-0.01162,0.00269,0.00146,-1.35347,0.12599,3.27793
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.592743,50.621441,88.536781,56.942608,0,0.000000,0.000000,4.356341,-6.884986,4.631836,13.936850,3.847615,14.805238,5.009602,12.118899,0,0,17.002302,0,3.824721,5.387843,10.644290,7.630395,14.961815,7.620989,12.274297,7.728333,11.666809,8.014084,11.151546,8.538342,12.539844,9.818666,12.034283,9.656279,12.855798,0,-0.01799,0.00290,-0.02171,-0.01365,0.00902,-0.01227,0.00513,0.00408,-1.34161,0.09690,3.27823
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.432129,51.052696,88.192139,56.731144,0,0.000000,0.000000,4.351214,-6.928478,4.624896,13.918137,3.848174,14.792633,5.003172,12.107628,0,0,16.929790,0,3.824307,5.388325,10.633435,7.624827,14.953920,7.623434,12.255838,7.732789,11.652184,8.018704,11.140158,8.546082,12.528267,9.819177,12.008112,9.658935,12.835793,0,-0.01695,0.00390,-0.02072,-0.01319,0.00850,-0.01258,0.00611,0.00158,-1.32831,0.08909,3.27793
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.423813,51.309975,87.971985,56.644840,0,0.000000,0.000000,4.346354,-6.952375,4.618145,13.902116,3.848860,14.780033,4.996521,12.096528,0,0,16.856916,0,3.824011,5.388852,10.622874,7.621639,14.944901,7.624994,12.240058,7.735903,11.638454,8.023495,11.129463,8.552931,12.514772,9.821189,11.983564,9.663812,12.815101,0,-0.01662,0.00344,-0.02017,-0.01419,0.00751,-0.01262,0.00432,0.00393,-1.31970,0.10960,3.27750
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.645859,51.304115,87.940125,56.747845,0,0.000000,0.000000,4.341784,-6.946636,4.611681,13.890167,3.849737,14.767442,4.989536,12.085688,0,0,16.783497,0,3.823895,5.389447,10.612757,7.622048,14.934177,7.625216,12.228327,7.736989,11.626083,8.028543,11.119815,8.558432,12.498374,9.825475,11.961473,9.672049,12.793367,0,-0.01619,0.00343,-0.02021,-0.01312,0.00014,-0.01328,0.00232,0.00274,-1.30795,0.10338,3.27689
0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.867905,51.298252,87.908272,56.850849,0,0.000000,0.000000,4.337518,-6.940897,4.605217,13.878220,3.850615,14.754850,4.982552,12.074847,0,0,16.710077,0,3.823778,5.390043,10.602640,7.622458,14.923453,7.625439,12.216597,7.738075,11.613712,8.033589,11.110167,8.563933,12.481977,9.829760,11.939381,9.680286,12.771634,0,-0.01889,0.00266,-0.01981,-0.01363,0.00699,-0.01221,-0.00114,0.00245,-1.29490,0.11800,3.27652
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.089966,51.292389,87.876411,56.953857,0,0.000000,0.000000,4.333583,-6.935157,4.598753,13.866271,3.851492,14.742258,4.975567,12.064007,0,0,16.636660,0,3.823662,5.390638,10.592523,7.622867,14.912730,7.625661,12.204866,7.739161,11.601341,8.038636,11.100518,8.569434,12.465578,9.834044,11.917289,9.688523,12.749901,0,-0.01816,0.00289,-0.01987,-0.01238,0.02568,-0.01241,-0.00145,0.00286,-1.28106,0.10771,3.27652
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.380600,51.251492,87.817375,56.993816,0,0.000000,0.000000,4.329952,-6.895797,4.591995,13.852017,3.852364,14.729765,4.968592,12.053201,0,0,16.563080,0,3.823722,5.391320,10.582441,7.622838,14.904733,7.625735,12.194817,7.740323,11.590108,8.041150,11.086582,8.574393,12.448730,9.837713,11.896262,9.696389,12.727807,0,-0.01801,0.00289,-0.02004,-0.01323,0.01623,-0.01228,0.00316,0.00218,-1.25691,0.10954,3.27658
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.774979,51.157597,87.717224,56.938419,0,0.000000,0.000000,4.326655,-6.805583,4.584792,13.834276,3.853226,14.717419,4.961630,12.042448,0,0,16.489262,0,3.824049,5.392134,10.572414,7.622147,14.900860,7.625585,12.187308,7.741597,11.580594,8.039832,11.066160,8.578531,12.431201,9.840449,11.876845,9.703692,12.705167,0,-0.01753,0.00469,-0.02064,-0.01389,0.00952,-0.01246,0.00598,0.00150,-1.24227,0.13183,3.27673
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.169357,51.063702,87.617081,56.883022,0,0.000000,0.000000,4.323643,-6.715369,4.577590,13.816534,3.854088,14.705073,4.954669,12.031695,0,0,16.415442,0,3.824375,5.392948,10.562387,7.621455,14.896986,7.625433,12.179800,7.742872,11.571080,8.038514,11.045738,8.582668,12.413672,9.843185,11.857429,9.710995,12.682527,0,-0.01830,0.00300,-0.01993,-0.01240,0.00586,-0.01246,0.00410,0.00457,-1.22745,0.11006,3.27697
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.563736,50.969807,87.516930,56.827621,0,0.000000,0.000000,4.320943,-6.625154,4.570386,13.798793,3.854951,14.692727,4.947708,12.020943,0,0,16.341623,0,3.824702,5.393762,10.552360,7.620764,14.893112,7.625283,12.172292,7.744147,11.561566,8.037196,11.025316,8.586806,12.396144,9.845922,11.838012,9.718298,12.659886,0,-0.01710,0.00413,-0.01971,-0.01353,0.00959,-0.01312,0.00487,0.00518,-1.21207,0.10511,3.27735
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.910736,50.913414,87.390381,56.784451,0,0.000000,0.000000,4.318516,-6.497331,4.563037,13.781259,3.855892,14.680531,4.940678,12.010180,0,0,16.267559,0,3.825155,5.394814,10.542493,7.619613,14.885447,7.625544,12.160771,7.744814,11.549883,8.034930,11.009270,8.591311,12.379292,9.846945,11.814198,9.723653,12.638533,0,-0.01738,0.00258,-0.02004,-0.01335,0.00835,-0.01225,0.00533,0.00108,-1.19683,0.11615,3.27750
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.186096,50.913738,87.223885,56.759769,0,0.000000,0.000000,4.316385,-6.312621,4.555467,13.764036,3.856953,14.668558,4.933547,11.999405,0,0,16.193125,0,3.825797,5.396228,10.532871,7.617765,14.872044,7.626428,12.143180,7.744564,11.534918,8.031232,10.999840,8.596369,12.363463,9.845374,11.783734,9.726063,12.619125,0,-0.01693,0.00192,-0.02020,-0.01281,0.00866,-0.01310,0.00470,0.00409,-1.18381,0.10451,3.27727
