"Time","v1 xCoM","v2 R COP","66 RDS cle","64 R marks","37a CoMy (cm)","37 CoMy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","65 L marks","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,6.045031,0.000000,0,0,1.520925,5.987872,14.910574,6.106269,10.197119,0.000000,0,0,16.300547,4.833268,6.793051,11.469679,0.00001,0.09209,3.27654
0.001,6.044433,0.000000,0,0,1.391754,5.989249,14.899130,6.105382,10.208906,0.000000,0,0,16.305538,4.821774,6.792725,11.457311,0.00016,0.07867,3.27613
0.002,6.043623,0.000000,0,0,1.283624,5.989991,14.887847,6.103795,10.221219,0.000000,0,0,16.310726,4.811277,6.792158,11.445276,0.00015,0.11497,3.27681
0.003,6.042709,0.000000,0,0,1.175494,5.990733,14.876564,6.102207,10.233531,0.000000,0,0,16.315912,4.800781,6.791590,11.433242,-0.00013,0.11239,3.27721
0.004,6.041644,0.000000,0,0,1.067364,5.991476,14.865280,6.100620,10.245844,0.000000,0,0,16.321098,4.790285,6.791023,11.421206,0.00001,0.09993,3.27698
0.005,6.040529,0.000000,0,0,0.970443,5.992268,14.854020,6.098760,10.258322,0.000000,0,0,16.326340,4.780542,6.790369,11.409163,-0.00014,0.10904,3.27680
0.006,6.039344,0.000000,0,0,0.896697,5.993163,14.842809,6.096335,10.271140,0.000000,0,0,16.331694,4.772356,6.789533,11.397102,0.00002,0.10237,3.27672
0.007,6.038194,0.000000,0,0,0.822951,5.994058,14.831596,6.093912,10.283959,0.000000,0,0,16.337048,4.764170,6.788697,11.385040,0.00001,0.08031,3.27662
0.008,6.037093,0.000000,0,0,0.749205,5.994953,14.820385,6.091487,10.296778,0.000000,0,0,16.342400,4.755984,6.787861,11.372979,-0.00013,0.08309,3.27647
0.009,6.036105,0.000000,0,0,0.681824,5.995721,14.809185,6.089014,10.309709,0.000000,0,0,16.348036,4.748419,6.786941,11.360916,0.00001,0.12462,3.27642
0.010,6.035281,0.000000,0,0,0.627601,5.996225,14.798010,6.086436,10.322868,0.000000,0,0,16.354258,4.742136,6.785845,11.348849,-0.00001,0.10734,3.27657
0.011,6.034616,0.000000,0,0,0.573378,5.996729,14.786834,6.083859,10.336028,0.000000,0,0,16.360479,4.735855,6.784749,11.336782,0.00015,0.09251,3.27662
0.012,6.034187,0.000000,0,0,0.519155,5.997233,14.775659,6.081282,10.349188,0.000000,0,0,16.366701,4.729572,6.783652,11.324715,0.00029,0.10566,3.27647
0.013,6.033949,0.000000,0,0,0.471229,5.997740,14.764614,6.078828,10.362509,0.000000,0,0,16.373304,4.723844,6.782571,11.312709,0.00015,0.09238,3.27642
0.014,6.033989,0.000000,0,0,0.436320,5.998252,14.753839,6.076631,10.376162,0.000000,0,0,16.380703,4.719260,6.781521,11.300830,0.00002,0.08648,3.27657
0.015,6.034245,0.000000,0,0,0.401412,5.998765,14.743063,6.074434,10.389813,0.000000,0,0,16.388100,4.714676,6.780472,11.288950,-0.00013,0.12032,3.27670
0.016,6.034815,0.000000,0,0,0.366503,5.999279,14.732287,6.072237,10.403466,0.000000,0,0,16.395496,4.710092,6.779422,11.277071,-0.00002,0.11932,3.27677
0.017,6.035604,0.000000,0,0,0.341317,5.999625,14.721489,6.070069,10.417176,0.000000,0,0,16.403030,4.705948,6.778211,11.265329,0.00030,0.09638,3.27673
0.018,6.036710,0.000000,0,0,0.336231,5.999628,14.710642,6.067960,10.431005,0.000000,0,0,16.410849,4.702713,6.776667,11.253875,0.00015,0.08376,3.27642
0.019,6.038020,0.000000,0,0,0.331144,5.999631,14.699795,6.065852,10.444834,0.000000,0,0,16.418665,4.699478,6.775123,11.242420,0.00002,0.10343,3.27636
0.020,6.039628,0.000000,0,0,0.326058,5.999634,14.688948,6.063743,10.458662,0.000000,0,0,16.426483,4.696243,6.773579,11.230966,-0.00013,0.08663,3.27682
0.021,6.041428,0.000000,0,0,0.337872,5.999702,14.678255,6.061651,10.472644,0.000000,0,0,16.434544,4.693501,6.772014,11.219550,-0.00001,0.09781,3.27725
0.022,6.043510,0.000000,0,0,0.384627,5.999904,14.667880,6.059590,10.486941,0.000000,0,0,16.443110,4.691775,6.770404,11.208216,-0.00029,0.12839,3.27763
0.023,6.045780,0.000000,0,0,0.431382,6.000105,14.657505,6.057530,10.501240,0.000000,0,0,16.451674,4.690049,6.768795,11.196881,0.00001,0.10649,3.27782
