"Time","63 sinus","62 rm dwn st","61 rm dwn sw","60 rmp up st","59 rmp up sw","58 Ramp down","57 Ramp up","56 right DS","54 lHL swoff","53 lHL swon","52 rHL swoff","51 rHL swon","50 lFL swoff","49 lFL swon","48 rFL swoff","47 rFL swon","46 sw offset","45 sw onset","44 ramnp dwn","43 ramp up","42 sinus rmp","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","66 RDS cle","64 R marks","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","55 left DS","67 LDS cle","65 L marks","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.907593,12.644592,57.420586,99.413803,0.000000,0,0,5.938030,5.239604,5.785104,16.292244,4.970531,17.618832,5.998122,13.929882,0.000000,1,0,0,14.738744,0,4.325348,6.962931,14.029717,7.857434,17.684145,7.985594,14.136182,8.284392,13.885134,8.699765,13.574682,7.792038,14.677650,9.094909,14.822288,9.134337,15.516717,0,-0.01518,0.00381,-0.00974,-0.01547,0.00816,-0.01221,-0.00418,0.02719,0.62862,0.11823,3.27655
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.064133,12.432872,57.593430,99.347282,0.000000,0,0,5.943150,5.335851,5.791425,16.291670,4.972203,17.609730,6.007789,13.936016,0.000000,1,0,0,14.743123,0,4.332295,6.962205,14.020452,7.858296,17.683187,7.978264,14.152047,8.270840,13.901533,8.682470,13.579611,7.787418,14.689963,9.088119,14.827842,9.130000,15.523911,0,-0.01633,0.00446,-0.03870,-0.01099,0.00787,-0.01450,0.01233,0.00009,0.65147,0.10186,3.27663
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.220657,12.221150,57.766273,99.280754,0.000000,0,0,5.948120,5.432097,5.797745,16.291094,4.973875,17.600628,6.017456,13.942150,0.000000,1,0,0,14.747502,0,4.339242,6.961479,14.011186,7.859158,17.682228,7.970933,14.167913,8.257287,13.917933,8.665175,13.584540,7.782798,14.702277,9.081327,14.833396,9.125664,15.531104,0,-0.01534,0.00558,-0.01834,-0.01511,0.00943,-0.01297,0.00551,0.00323,0.68277,0.09805,3.27674
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.377197,12.009429,57.939117,99.214233,0.000000,0,0,5.952958,5.528344,5.804066,16.290520,4.975547,17.591526,6.027122,13.948284,0.000000,1,0,0,14.751882,0,4.346190,6.960753,14.001921,7.860019,17.681271,7.963603,14.183780,8.243734,13.934332,8.647881,13.589469,7.778179,14.714590,9.074537,14.838951,9.121327,15.538297,0,-0.01778,0.00287,-0.02319,-0.01752,0.00992,-0.01205,0.01727,0.00192,0.72180,0.12010,3.27689
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.334976,11.995493,58.044556,99.152817,0.000000,0,0,5.957490,5.562664,5.810351,16.291466,4.977317,17.582073,6.036644,13.954972,0.000000,1,0,0,14.756153,0,4.353535,6.960014,13.992420,7.860927,17.680342,7.958245,14.196115,8.234183,13.946620,8.635846,13.596210,7.775336,14.724916,9.070369,14.844663,9.118766,15.544818,0,-0.01617,-0.00015,-0.02802,-0.01230,0.00851,-0.01434,-0.00008,0.00256,0.74141,0.10885,3.27688
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.049820,12.223295,58.067608,99.097656,0.000000,0,0,5.961750,5.521296,5.816593,16.294271,4.979208,17.572195,6.045986,13.962337,0.000000,1,0,0,14.760295,0,4.361365,6.959259,13.982634,7.861890,17.679445,7.955297,14.204137,8.229524,13.953883,8.630239,13.605167,7.774666,14.732811,9.069404,14.850568,9.118373,15.550516,0,-0.01945,0.00616,-0.00841,-0.01532,0.00801,-0.01236,0.00674,0.00208,0.76610,0.09572,3.27665
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.764679,12.451097,58.090660,99.042496,0.000000,0,0,5.965683,5.479928,5.822835,16.297077,4.981098,17.562315,6.055328,13.969701,0.000000,1,0,0,14.764436,0,4.369195,6.958504,13.972847,7.862854,17.678551,7.952349,14.212158,8.224864,13.961146,8.624634,13.614124,7.773997,14.740706,9.068439,14.856473,9.117980,15.556214,0,-0.01945,0.00443,-0.00606,-0.01227,0.00824,-0.01328,0.00510,0.00333,0.78740,0.09622,3.27669
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.479538,12.678899,58.113712,98.987335,0.000000,0,0,5.969326,5.438560,5.829077,16.299883,4.982988,17.552437,6.064671,13.977065,0.000000,1,0,0,14.768578,0,4.377026,6.957750,13.963060,7.863818,17.677654,7.949401,14.220180,8.220204,13.968410,8.619027,13.623081,7.773327,14.748602,9.067473,14.862378,9.117587,15.561913,0,-0.01816,0.01282,-0.02347,-0.01971,0.00856,-0.01160,0.00363,0.00247,0.81183,0.11812,3.27707
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.062469,12.887950,58.148792,99.039597,0.000000,0,0,5.972621,5.340259,5.835080,16.302322,4.984901,17.542374,6.073876,13.985115,0.000000,1,0,0,14.772427,0,4.385143,6.956972,13.952939,7.864878,17.676678,7.946356,14.225895,8.216665,13.973083,8.615454,13.629254,7.773422,14.754184,9.067151,14.866120,9.117551,15.565200,0,-0.01587,0.00354,-0.06636,-0.01535,0.00819,-0.01236,0.00685,0.00293,0.83246,0.10568,3.27708
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.484177,13.074085,58.198574,99.223145,0.000000,0,0,5.975606,5.172372,5.840792,16.304317,4.986841,17.532089,6.082914,13.994003,0.000000,1,0,0,14.775919,0,4.393609,6.956165,13.942408,7.866057,17.675602,7.943193,14.228791,8.214496,13.974590,8.614365,13.632026,7.774451,14.756939,9.067616,14.867217,9.117948,15.565540,0,-0.02579,0.00278,0.00810,-0.01431,0.00803,-0.01144,0.02417,0.00235,0.85094,0.09343,3.27662
