"Time","67 LDS cle","65 L mark","64 R mark","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","36 CoMx (cm)","35 FRy (cm)","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.203949,43.359806,79.804939,80.741699,-3.410870,0.000000,0.000000,4.215605,4.069086,16.437748,2.919646,17.390421,13.173738,0,18.051813,4.622544,0,3.409331,14.821216,4.925172,6.285698,18.715231,6.093061,15.263177,6.213625,14.682343,6.720757,14.199991,6.632942,15.482919,7.824537,15.351174,7.785088,16.109411,0,-0.02010,0.00308,-0.01897,-0.01379,0.00801,-0.01315,0.00272,0.00266,1.48450,0.10725,3.27672
0.001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.649551,43.776253,79.822098,80.756500,-3.370170,0.000000,0.000000,4.212214,4.067595,16.433691,2.906075,17.380524,13.192837,0,18.083206,4.622268,0,3.408890,14.809715,4.929284,6.297231,18.751703,6.089991,15.253829,6.213190,14.668102,6.723732,14.192565,6.632782,15.475918,7.823879,15.346991,7.782841,16.105362,0,-0.01758,0.00375,-0.01906,-0.01419,0.00847,-0.01331,0.01123,0.00391,1.48535,0.09190,3.27655
0.002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.095169,44.192699,79.839256,80.771294,-3.329470,0.000000,0.000000,4.208822,4.066154,16.429634,2.892503,17.370625,13.211935,0,18.114601,4.621991,0,3.408448,14.798214,4.933396,6.308763,18.788174,6.086920,15.244481,6.212755,14.653862,6.726706,14.185139,6.632623,15.468916,7.823222,15.342807,7.780594,16.101313,0,-0.01819,0.00247,-0.01947,-0.01251,0.00847,-0.01312,0.00627,0.00253,1.48453,0.10777,3.27640
0.003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.323074,44.547264,79.688591,80.761162,-3.281327,0.000000,0.000000,4.205540,4.064905,16.430742,2.878913,17.360210,13.233298,0,18.139492,4.622119,0,3.407021,14.786934,4.937043,6.313370,18.822521,6.086472,15.229584,6.211364,14.642395,6.730474,14.178832,6.631787,15.460711,7.824008,15.339546,7.778315,16.098917,0,-0.01727,0.00348,-0.01758,-0.01270,0.00748,-0.01257,0.00487,0.00101,1.48352,0.10656,3.27710
0.004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.499908,44.887310,79.498566,80.745178,-3.231438,0.000000,0.000000,4.202284,4.063680,16.433062,2.865318,17.349674,13.255193,0,18.162859,4.622342,0,3.405363,14.775704,4.940580,6.316353,18.856373,6.086638,15.213384,6.209748,14.631579,6.734427,14.172788,6.630794,15.452223,7.825134,15.336502,7.776027,16.096910,0,-0.01215,0.00400,-0.01823,-0.01410,0.00877,-0.01230,0.00671,0.00809,1.48419,0.10186,3.27802
0.005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.676743,45.227360,79.308540,80.729195,-3.181549,0.000000,0.000000,4.199028,4.062629,16.435381,2.851724,17.339140,13.277086,0,18.186226,4.622564,0,3.403704,14.764476,4.944118,6.319335,18.890223,6.086804,15.197184,6.208133,14.620763,6.738381,14.166744,6.629799,15.443735,7.826260,15.333459,7.773739,16.094902,0,-0.01703,0.00363,-0.02003,-0.01056,0.00862,-0.01254,0.00705,0.00769,1.48416,0.08450,3.27832
0.006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.853577,45.567406,79.118507,80.713211,-3.131660,0.000000,0.000000,4.195771,4.061600,16.437700,2.838129,17.328604,13.298981,0,18.209593,4.622787,0,3.402046,14.753246,4.947655,6.322318,18.924074,6.086971,15.180984,6.206518,14.609947,6.742335,14.160700,6.628805,15.435247,7.827385,15.330415,7.771451,16.092894,0,-0.01648,0.00421,-0.02078,-0.01578,0.00755,-0.01202,0.00531,-0.00061,1.48445,0.11208,3.27847
0.007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.706100,45.724983,79.307762,80.916748,-3.074673,0.000000,0.000000,4.192614,4.060782,16.430422,2.825490,17.318192,13.336861,0,18.227182,4.622779,0,3.400903,14.742147,4.916050,6.321301,18.944963,6.090642,15.163541,6.207157,14.595294,6.749369,14.151693,6.627563,15.427164,7.825555,15.323071,7.768678,16.085737,0,-0.02354,0.00357,-0.02055,-0.01361,0.00916,-0.01328,0.00415,0.00034,1.48555,0.10685,3.27783
0.008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.717117,45.839756,79.585983,81.171768,-3.016022,0.000000,0.000000,4.189479,4.059991,16.420893,2.813076,17.307806,13.378491,0,18.243414,4.622716,0,3.399882,14.731079,4.876202,6.319346,18.962812,6.095136,15.145805,6.208326,14.579741,6.757125,14.141993,6.626263,15.419176,7.823030,15.314720,7.765791,16.077372,0,-0.01682,0.00266,-0.02097,-0.01321,0.00923,-0.01227,0.00848,0.00006,1.48466,0.08096,3.27699
0.009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.728149,45.954529,79.864204,81.426796,-2.957371,0.000000,0.000000,4.186345,4.059478,16.411364,2.800661,17.297421,13.420121,0,18.259647,4.622653,0,3.398860,14.720011,4.836354,6.317390,18.980661,6.099629,15.128070,6.209495,14.564187,6.764882,14.132291,6.624962,15.411188,7.820506,15.306368,7.762904,16.069006,0,-0.01997,0.00470,-0.01979,-0.01221,0.00832,-0.01251,0.00974,0.00430,1.48343,0.08225,3.27695
