"Time","67 LDS cle","65 L mark","64 R mark","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","36 CoMx (cm)","35 FRy (cm)","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.728683,41.828983,90.345413,53.241474,-0.352955,0.000000,0.000000,4.120274,4.105313,7.469788,2.974467,8.970323,4.128752,0,8.940274,4.423388,0,3.137089,6.594536,4.233216,6.200398,8.778951,5.977133,6.581425,5.999243,5.984999,6.244321,5.338628,6.712418,6.525101,7.858208,6.102760,7.643795,6.750054,0,-0.01250,0.00849,-0.02143,-0.00716,0.00533,-0.01092,0.00613,-0.00188,-1.21541,0.12356,3.27697
0.001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.546021,41.597214,90.109024,54.034370,-0.278999,0.000000,0.000000,4.119891,4.108028,7.473279,2.965039,8.958765,4.120084,0,9.000089,4.421730,0,3.133863,6.582581,4.233129,6.208889,8.849286,5.973762,6.570099,5.992969,5.968381,6.237108,5.330895,6.699696,6.518505,7.846141,6.100655,7.639835,6.742643,0,-0.01592,0.00405,-0.02073,-0.01884,0.00907,-0.01140,0.00330,0.00688,-1.22700,0.11656,3.27718
0.002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.892609,41.128551,89.785339,54.842659,-0.229358,0.000000,0.000000,4.119714,4.110341,7.475819,2.952770,8.947107,4.113451,0,9.058856,4.420352,0,3.131774,6.570748,4.234265,6.218258,8.913531,5.969417,6.557534,5.990773,5.953866,6.241180,5.315343,6.688923,6.510838,7.833313,6.096628,7.638520,6.734250,0,-0.02030,0.00251,-0.02039,-0.00569,0.01048,-0.01466,0.00267,-0.00205,-1.24037,0.10217,3.27733
0.003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.239212,40.659885,89.461662,55.650948,-0.179717,0.000000,0.000000,4.119536,4.112387,7.478358,2.940501,8.935449,4.106818,0,9.117623,4.418973,0,3.129686,6.558915,4.235401,6.227628,8.977776,5.965072,6.544969,5.988578,5.939350,6.245252,5.299791,6.678149,6.503172,7.820486,6.092601,7.637205,6.725856,0,-0.01810,0.00449,-0.02001,-0.01398,0.00916,-0.01347,0.00336,0.00357,-1.25455,0.10588,3.27748
0.004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.585800,40.191223,89.137985,56.459236,-0.130077,0.000000,0.000000,4.119359,4.114026,7.480898,2.928232,8.923791,4.100184,0,9.176391,4.417595,0,3.127598,6.547082,4.236537,6.236997,9.042021,5.960727,6.532404,5.986382,5.924835,6.249324,5.284239,6.667376,6.495506,7.807658,6.088574,7.635890,6.717462,0,-0.01558,0.00388,-0.02113,-0.00643,0.00819,-0.01008,0.00645,-0.00377,-1.27924,0.11825,3.27763
0.005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.071960,39.661217,88.892075,57.195747,-0.095393,0.000000,0.000000,4.119339,4.115393,7.483055,2.915637,8.912253,4.094764,0,9.234173,4.416302,0,3.125696,6.535539,4.238527,6.246963,9.102300,5.957323,6.520891,5.985984,5.911497,6.250728,5.271269,6.657520,6.487809,7.796788,6.084004,7.635110,6.708476,0,-0.01904,0.00320,-0.01904,-0.01580,0.00793,-0.01426,0.00289,0.00087,-1.29500,0.09477,3.27762
0.006,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.860168,38.998432,88.814514,57.776882,-0.093083,0.000000,0.000000,4.119664,4.116347,7.484382,2.902339,8.900977,4.091971,0,9.289824,4.415193,0,3.124200,6.524622,4.242365,6.258220,9.153994,5.955954,6.511653,5.989475,5.900710,6.246355,5.263886,6.649650,6.480047,7.790155,6.078261,7.635489,6.698205,0,-0.01877,0.00390,-0.01992,-0.01118,0.00839,-0.01155,0.00745,0.00355,-1.30793,0.07830,3.27724
0.007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.648392,38.335648,88.736946,58.358017,-0.090773,0.000000,0.000000,4.119989,4.116913,7.485710,2.889040,8.889701,4.089178,0,9.345476,4.414084,0,3.122704,6.513705,4.246203,6.269477,9.205688,5.954586,6.502416,5.992966,5.889922,6.241981,5.256504,6.641780,6.472285,7.783523,6.072518,7.635867,6.687934,0,-0.02195,0.00501,-0.02098,-0.01582,0.00922,-0.00621,0.00326,0.00259,-1.31835,0.09930,3.27698
0.008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.436615,37.672863,88.659378,58.939152,-0.088464,0.000000,0.000000,4.120314,4.116885,7.487037,2.875741,8.878425,4.086385,0,9.401128,4.412975,0,3.121208,6.502789,4.250042,6.280735,9.257381,5.953217,6.493179,5.996457,5.879135,6.237607,5.249122,6.633911,6.464523,7.776891,6.066775,7.636246,6.677663,0,-0.01253,0.00703,-0.02059,-0.00847,0.00680,0.00385,0.00662,-0.01530,-1.33075,0.09722,3.27698
0.009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.204132,37.027237,88.520264,59.359135,-0.105643,0.000000,0.000000,4.120623,4.116323,7.488461,2.862922,8.867267,4.085460,0,9.455009,4.411992,0,3.119998,6.492047,4.255234,6.290415,9.306515,5.952405,6.482141,5.999213,5.868563,6.232994,5.240844,6.626252,6.457512,7.770069,6.061382,7.635985,6.668961,0,-0.02147,0.00407,-0.01975,-0.01026,0.01006,-0.00377,0.00380,0.02111,-1.34306,0.08971,3.27702
