"Time","67 LDS cle","66 RDS cle","65 L marks","64 R marks","63 sinus 2","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","v3 L COP","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.822281,55.784279,89.485306,54.646790,0.000000,4.179904,-0.992088,4.227824,12.767717,3.649420,14.724722,5.477197,0,3.053165,11.988589,0.000000,13.684684,4.779950,9.783990,8.429866,15.130687,8.149871,12.222380,8.232822,11.567855,8.539675,10.947051,9.306645,12.323550,10.523039,11.636106,10.431059,12.461447,0,-0.01812,0.00226,-0.01956,-0.01389,0.00978,-0.01176,0.00410,0.00284,-0.00009,0.11980,3.27645
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.945526,55.565666,89.605186,55.027588,0.000000,4.190272,-0.779096,4.227290,12.772754,3.650354,14.798965,5.477265,0,3.051829,11.977557,0.000000,13.674507,4.776845,9.821267,8.436527,15.203346,8.148252,12.210323,8.234114,11.552509,8.541750,10.931721,9.302795,12.312131,10.522014,11.633543,10.433412,12.456989,0,-0.02112,0.00343,-0.02076,-0.01202,0.00864,-0.01145,0.00626,0.00314,0.00003,0.08201,3.27668
0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.068756,55.347054,89.725067,55.408386,0.000000,4.199621,-0.566104,4.226756,12.777789,3.651289,14.873210,5.477334,0,3.050493,11.966526,0.000000,13.664331,4.773739,9.858544,8.443189,15.276006,8.146632,12.198267,8.235404,11.537164,8.543825,10.916390,9.298945,12.300712,10.520988,11.630980,10.435764,12.452531,0,-0.02138,0.00467,-0.01998,-0.01553,0.00836,-0.01245,0.00337,0.00333,0.00027,0.06881,3.27683
0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.179169,55.140049,89.840393,55.772297,0.000000,4.208873,-0.354882,4.226241,12.782759,3.652329,14.947328,5.477386,0,3.049172,11.955486,0.000000,13.654163,4.770716,9.895623,8.449811,15.348771,8.145164,12.186271,8.236650,11.522025,8.545811,10.901166,9.295282,12.289412,10.520067,11.628295,10.438095,12.448089,0,-0.01581,0.00389,-0.02035,-0.01188,0.00891,-0.01276,0.00734,0.00324,0.00027,0.11120,3.27698
0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.981888,55.211639,89.846558,55.730942,0.000000,4.217432,-0.186162,4.226167,12.786132,3.655912,15.018423,5.477041,0,3.048193,11.944251,0.000000,13.644206,4.769678,9.927956,8.455480,15.424098,8.147307,12.175707,8.236820,11.511840,8.545640,10.888479,9.296083,12.280990,10.521637,11.622651,10.439909,12.444042,0,-0.02611,0.00310,-0.02162,-0.01212,0.00757,-0.01068,0.00323,0.00338,-0.00012,0.10496,3.27721
0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.784622,55.283234,89.852722,55.689587,0.000000,4.225906,-0.017441,4.226092,12.789505,3.659496,15.089519,5.476696,0,3.047215,11.933017,0.000000,13.634249,4.768640,9.960287,8.461149,15.499425,8.149451,12.165143,8.236990,11.501655,8.545469,10.875793,9.296885,12.272567,10.523207,11.617007,10.441724,12.439995,0,-0.02350,0.00426,-0.01963,-0.01576,0.00938,-0.01445,0.00428,0.00253,0.00003,0.09259,3.27743
0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.587341,55.354824,89.858887,55.648232,0.000000,4.233758,0.151280,4.226018,12.792878,3.663079,15.160614,5.476351,0,3.046237,11.921782,0.000000,13.624291,4.767601,9.992620,8.466818,15.574752,8.151596,12.154580,8.237161,11.491470,8.545299,10.863106,9.297687,12.264144,10.524777,11.611363,10.443538,12.435948,0,-0.01002,0.00448,-0.02140,-0.01248,0.00913,-0.01121,0.00685,0.00201,-0.00015,0.06477,3.27712
0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.381760,55.438995,89.864487,55.601730,0.000000,4.241534,0.318552,4.225973,12.796215,3.666805,15.231467,5.476007,0,3.045282,11.910572,0.000000,13.614338,4.766601,10.024837,8.472509,15.650105,8.153717,12.144231,8.237367,11.481270,8.545377,10.850670,9.298648,12.255864,10.526409,11.605725,10.445208,12.431932,0,-0.02510,0.00301,-0.02184,-0.01360,0.00683,-0.01439,0.00502,0.00248,0.00003,0.11966,3.27683
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.976669,55.825054,89.856499,55.431675,0.000000,4.248759,0.451035,4.226613,12.798666,3.673937,15.296511,5.475681,0,3.044891,11.899970,0.000000,13.604494,4.766500,10.054340,8.478730,15.726090,8.155281,12.139046,8.238440,11.470695,8.551421,10.844262,9.303451,12.250999,10.529523,11.600212,10.443419,12.428665,0,-0.02073,0.00487,-0.02128,-0.01305,0.00789,-0.01338,0.00444,0.00330,0.00003,0.11880,3.27706
0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.571564,56.211117,89.848518,55.261620,0.000000,4.255960,0.583519,4.227253,12.801118,3.681069,15.361554,5.475355,0,3.044500,11.889368,0.000000,13.594651,4.766398,10.083843,8.484951,15.802076,8.156846,12.133860,8.239512,11.460122,8.557466,10.837854,9.308253,12.246134,10.532638,11.594699,10.441629,12.425398,0,-0.01958,0.00244,-0.02072,-0.01447,0.00882,-0.01329,0.00702,0.00269,-0.00012,0.09512,3.27728
0.010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.166473,56.597176,89.840530,55.091564,0.000000,4.262988,0.716003,4.227893,12.803569,3.688202,15.426598,5.475029,0,3.044109,11.878766,0.000000,13.584807,4.766296,10.113346,8.491172,15.878062,8.158411,12.128674,8.240585,11.449549,8.563510,10.831447,9.313056,12.241269,10.535752,11.589186,10.439841,12.422131,0,-0.01679,0.00578,-0.02075,-0.01266,0.00875,-0.01186,0.01316,0.00251,0.00003,0.08938,3.27713
0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.764877,56.979816,89.833229,54.928123,0.000000,4.270040,0.848039,4.228559,12.805878,3.695402,15.491368,5.474709,0,3.043725,11.868168,0.000000,13.574954,4.766230,10.142775,8.497258,15.953430,8.159982,12.123411,8.241746,11.438938,8.569617,10.825079,9.317827,12.236306,10.538971,11.583667,10.438256,12.418917,0,-0.01732,0.00269,-0.02122,-0.01436,0.00901,-0.01190,0.00276,0.00290,0.00019,0.09949,3.27697
0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.447540,57.280369,89.842369,54.923405,0.000000,4.277267,0.969324,4.229846,12.804755,3.704225,15.549601,5.474495,0,3.043499,11.857645,0.000000,13.564877,4.766996,10.170409,8.500125,16.013958,8.161704,12.116305,8.245008,11.427444,8.577218,10.819659,9.321845,12.228990,10.544690,11.578015,10.441562,12.416992,0,-0.01957,0.00341,-0.01968,-0.01280,0.00876,-0.01283,0.00715,0.00338,-0.00003,0.11763,3.27674
0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.130188,57.580921,89.851509,54.918686,0.000000,4.284491,1.090610,4.231133,12.803633,3.713048,15.607832,5.474282,0,3.043272,11.847122,0.000000,13.554798,4.767762,10.198043,8.502991,16.074488,8.163426,12.109199,8.248271,11.415949,8.584818,10.814240,9.325862,12.221672,10.550410,11.572363,10.444868,12.415068,0,-0.01867,0.00448,-0.01992,-0.01201,0.00742,-0.01351,0.00759,0.00212,0.00019,0.09671,3.27653
0.014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.812851,57.881474,89.860649,54.913967,0.000000,4.291703,1.211895,4.232420,12.802511,3.721871,15.666063,5.474069,0,3.043046,11.836599,0.000000,13.544721,4.768528,10.225677,8.505857,16.135015,8.165148,12.102093,8.251534,11.404455,8.592419,10.808822,9.329879,12.214355,10.556129,11.566711,10.448174,12.413143,0,-0.01914,0.00358,-0.02199,-0.01539,0.00851,-0.01203,0.00843,0.00386,0.00000,0.09125,3.27676
0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.487350,58.186275,89.869095,54.912910,0.000000,4.298878,1.332712,4.233716,12.801465,3.730687,15.723957,5.473852,0,3.042827,11.826070,0.000000,13.534643,4.769328,10.253257,8.508695,16.195192,8.166886,12.094824,8.254837,11.392808,8.599969,10.803130,9.333862,12.206988,10.561806,11.561100,10.451438,12.411163,0,-0.02007,0.00359,-0.02045,-0.01450,0.00784,-0.01161,0.01389,0.00303,0.00000,0.08113,3.27698
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.966080,58.593052,89.860802,54.999718,0.000000,4.305793,1.442288,4.235213,12.802244,3.739342,15.773742,5.473540,0,3.042780,11.815363,0.000000,13.524576,4.770907,10.279540,8.510834,16.246943,8.168998,12.083632,8.259122,11.377500,8.606320,10.790895,9.337037,12.198441,10.566435,11.556450,10.453701,12.407881,0,-0.01466,0.00358,-0.02125,-0.01296,0.00924,-0.01288,0.00302,0.00407,0.00000,0.10948,3.27706
0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.444809,58.999828,89.852516,55.086525,0.000000,4.312696,1.551864,4.236710,12.803023,3.747997,15.823526,5.473228,0,3.042732,11.804656,0.000000,13.514509,4.772487,10.305823,8.512973,16.298693,8.171109,12.072441,8.263407,11.362191,8.612671,10.778660,9.340212,12.189893,10.571063,11.551799,10.455965,12.404597,0,-0.02131,0.00262,-0.02045,-0.01329,0.00813,-0.01250,0.00594,0.00286,-0.00009,0.11866,3.27712
0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.923538,59.406605,89.844231,55.173332,0.000000,4.319500,1.661439,4.238207,12.803802,3.756651,15.873311,5.472916,0,3.042684,11.793950,0.000000,13.504443,4.774067,10.332107,8.515112,16.350443,8.173221,12.061250,8.267692,11.346884,8.619022,10.766425,9.343387,12.181345,10.575692,11.547149,10.458228,12.401314,0,-0.01375,0.00366,-0.02058,-0.01368,0.00795,-0.01303,0.00325,0.00363,0.00003,0.10191,3.27674
