"Time","67 LDS cle","66 RDS cle","65 L marks","64 R marks","63 sinus 2","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","v3 L COP","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.896179,77.116821,107.257324,80.021919,0.000000,6.289283,-1.629471,6.369244,14.471952,5.576756,17.196991,6.873668,0,5.764983,11.675279,0.000000,15.963961,7.450518,11.416894,8.695562,17.941782,8.436154,12.019238,8.657238,11.529774,9.284079,11.325865,9.430265,12.890944,10.798870,13.164979,10.467502,14.005484,0,-0.01740,0.00451,-0.02234,-0.01303,0.00651,-0.01229,0.00570,0.00219,1.48348,0.11081,3.27674
0.001,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.961487,77.069275,107.512871,80.308289,0.000000,6.289330,-1.598080,6.367530,14.466953,5.580599,17.199776,6.873369,0,5.764825,11.663231,0.000000,15.952511,7.445598,11.458523,8.697851,17.939898,8.435982,12.001964,8.654200,11.516380,9.287757,11.309089,9.431993,12.876929,10.797439,13.158293,10.466105,13.999945,0,-0.01815,0.00300,-0.02192,-0.01393,0.00916,-0.01176,0.00530,0.00300,1.48623,0.11532,3.27667
0.002,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.940506,77.269707,107.766479,80.631958,0.000000,6.289690,-1.554122,6.365969,14.463442,5.584529,17.202555,6.873169,0,5.765084,11.651626,0.000000,15.941439,7.440005,11.498394,8.700257,17.938602,8.436535,11.984537,8.654876,11.504318,9.287374,11.295794,9.433406,12.866924,10.796749,13.155401,10.466755,13.996237,0,-0.01777,0.00418,-0.02070,-0.01415,0.00909,-0.01340,0.00391,0.00243,1.48424,0.09366,3.27721
0.003,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.919525,77.470131,108.020088,80.955627,0.000000,6.290210,-1.510164,6.364408,14.459929,5.588459,17.205332,6.872969,0,5.765343,11.640020,0.000000,15.930367,7.434411,11.538264,8.702663,17.937307,8.437088,11.967111,8.655551,11.492256,9.286992,11.282499,9.434818,12.856918,10.796060,13.152511,10.467405,13.992528,0,-0.01022,0.00363,-0.01989,-0.01377,0.00829,-0.01138,0.00468,0.00280,1.48456,0.08138,3.27752
0.004,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.898560,77.670555,108.273705,81.279297,0.000000,6.290993,-1.466205,6.362847,14.456418,5.592389,17.208111,6.872770,0,5.765602,11.628415,0.000000,15.919294,7.428818,11.578135,8.705070,17.936012,8.437641,11.949684,8.656227,11.480194,9.286609,11.269204,9.436231,12.846913,10.795370,13.149619,10.468056,13.988820,0,-0.01879,0.00301,-0.01967,-0.01400,0.00889,-0.01225,0.00638,0.00214,1.48431,0.11398,3.27729
0.005,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.822952,77.941681,108.521446,81.607101,0.000000,6.291914,-1.419657,6.361355,14.452957,5.596154,17.210886,6.872414,0,5.765855,11.616741,0.000000,15.908104,7.422881,11.616176,8.707571,17.934294,8.438522,11.934431,8.657940,11.467728,9.287157,11.257845,9.437712,12.837373,10.795117,13.146511,10.469160,13.985089,0,-0.01213,0.00128,-0.01993,-0.01369,0.00761,-0.01236,0.00429,0.00294,1.48325,0.10819,3.27713
0.006,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.616165,78.382568,108.755089,81.944839,0.000000,6.293064,-1.366889,6.360026,14.449617,5.599520,17.213652,6.871681,0,5.766094,11.604902,0.000000,15.896632,7.416121,11.649823,8.710299,17.931559,8.440191,11.924398,8.662143,11.454293,9.289940,11.251132,9.439357,12.828950,10.795912,13.142882,10.471354,13.981305,0,-0.02090,0.00407,-0.01995,-0.01365,-0.00201,-0.01278,0.00407,0.00209,1.48351,0.09185,3.27713
0.007,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.409378,78.823463,108.988739,82.282578,0.000000,6.294285,-1.314122,6.358697,14.446279,5.602887,17.216419,6.870949,0,5.766333,11.593063,0.000000,15.885159,7.409361,11.683471,8.713028,17.928823,8.441860,11.914366,8.666346,11.440858,9.292722,11.244419,9.441003,12.820526,10.796705,13.139254,10.473548,13.977520,0,-0.01830,0.00367,-0.02156,-0.01218,0.00724,-0.01275,0.00588,0.00169,1.48297,0.07356,3.27724
0.008,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.202606,79.264351,109.222389,82.620323,0.000000,6.295623,-1.261354,6.357368,14.442940,5.606253,17.219187,6.870217,0,5.766572,11.581224,0.000000,15.873688,7.402601,11.717119,8.715755,17.926088,8.443529,11.904332,8.670548,11.427423,9.295505,11.237706,9.442648,12.812103,10.797500,13.135625,10.475742,13.973736,0,-0.01723,0.00300,-0.02025,-0.01339,0.00952,-0.01181,0.00514,0.00279,1.48293,0.10091,3.27762
0.009,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.041916,79.691948,109.444473,82.923660,0.000000,6.296955,-1.210402,6.356124,14.439002,5.609549,17.221912,6.869593,0,5.766821,11.569577,0.000000,15.862234,7.395526,11.748857,8.718460,17.923437,8.443587,11.893502,8.673824,11.413694,9.298004,11.229963,9.444420,12.802995,10.798903,13.131847,10.478261,13.969192,0,-0.01669,0.00344,-0.02155,-0.01287,0.00801,-0.01217,0.00187,0.00269,1.48474,0.09489,3.27763
