"Time","v3 L COP","67 LDS cle","66 RDS cle","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","30 HRy (cm)","29 HRx (cm)","m4 LDS cle","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0.000000,4.799243,-3.272091,4.959752,4.725039,12.694164,5.858122,4.551115,8.734894,0,12.091607,5.279106,6.105352,-1.48064,0.07440,3.27681
0.001,0.000000,0,0,0.000000,4.789715,-3.397872,4.956269,4.724827,12.682663,5.859346,4.550600,8.725706,0,12.085055,5.280792,6.094671,-1.47987,0.10204,3.27712
0.002,0.000000,0,0,0.000000,4.780343,-3.523653,4.952787,4.724615,12.671162,5.860571,4.550084,8.716518,0,12.078504,5.282478,6.083989,-1.48016,0.12011,3.27735
0.003,0.000000,0,0,0.000000,4.771593,-3.625943,4.949104,4.724376,12.659703,5.861992,4.548952,8.706667,0,12.072365,5.283548,6.073286,-1.47963,0.10513,3.27700
0.004,0.000000,0,0,0.000000,4.763077,-3.715248,4.945310,4.724122,12.648269,5.863521,4.547479,8.696449,0,12.066454,5.284278,6.062570,-1.47983,0.08411,3.27631
0.005,0.000000,0,0,0.000000,4.755037,-3.804554,4.941515,4.723868,12.636833,5.865049,4.546006,8.686232,0,12.060543,5.285008,6.051854,-1.47973,0.08720,3.27611
0.006,0.000000,0,0,0.000000,4.747177,-3.893859,4.937721,4.723614,12.625399,5.866579,4.544534,8.676014,0,12.054632,5.285738,6.041139,-1.47865,0.09641,3.27619
0.007,0.000000,0,0,0.000000,4.739632,-3.961358,4.933598,4.723389,12.614199,5.868347,4.543553,8.665346,0,12.049108,5.286380,6.030141,-1.48125,0.09354,3.27631
0.008,0.000000,0,0,0.000000,4.732207,-4.016802,4.929293,4.723179,12.603130,5.870247,4.542845,8.654428,0,12.043796,5.286974,6.018988,-1.47870,0.10057,3.27646
0.009,0.000000,0,0,0.000000,4.725330,-4.072248,4.924988,4.722969,12.592061,5.872147,4.542137,8.643511,0,12.038483,5.287568,6.007835,-1.48050,0.11321,3.27691
0.010,0.000000,0,0,0.000000,4.718660,-4.127692,4.920683,4.722760,12.580993,5.874047,4.541429,8.632593,0,12.033171,5.288161,5.996682,-1.47993,0.11323,3.27752
