"Time","v2 R COP","67 LDS cle","66 RDS cle","65 L marks","64 R marks","63 sinus 2","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","v3 L COP","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.535416,78.475517,99.422195,92.331055,5.502272,-3.025017,5.650616,9.954907,4.887090,10.820934,6.823528,0,4.457961,6.694785,0.000000,12.595322,6.974570,7.560669,8.246902,10.603112,8.254928,6.618168,8.576281,6.199603,9.196108,6.207540,8.840239,7.757757,10.140149,8.280788,9.828479,9.150770,0,-0.02433,0.00282,-0.01767,-0.01370,0.00790,-0.01368,0.00255,0.00266,-0.76435,0.12093,3.27673
0.001,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.799171,78.803329,99.679985,92.402634,5.508737,-2.826407,5.647487,9.955956,4.886928,10.812017,6.825124,0,4.460625,6.685910,0.000000,12.586596,6.974050,7.553964,8.249179,10.592798,8.255968,6.602613,8.582155,6.192345,9.198465,6.204494,8.841777,7.752532,10.139736,8.279813,9.825422,9.150147,0,-0.01563,0.00339,-0.02178,-0.01371,0.01221,-0.01086,0.00509,0.00143,-0.73817,0.09990,3.27675
0.002,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.062927,79.131142,99.937782,92.474205,5.515608,-2.627797,5.644358,9.957004,4.886767,10.803101,6.826720,0,4.463289,6.677034,0.000000,12.577870,6.973529,7.547259,8.251454,10.582484,8.257010,6.587059,8.588030,6.185087,9.200823,6.201447,8.843315,7.747308,10.139324,8.278837,9.822366,9.149525,0,-0.01822,0.00295,-0.01935,-0.01227,0.00898,-0.01422,0.00457,0.00381,-0.71022,0.07600,3.27706
0.003,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.171219,79.479446,100.220741,92.569748,5.522754,-2.427466,5.641490,9.957134,4.886612,10.794190,6.828270,0,4.465983,6.668139,0.000000,12.569285,6.972766,7.540783,8.253550,10.572995,8.257487,6.572800,8.592367,6.177124,9.202795,6.197230,8.845243,7.741443,10.138875,8.277900,9.819239,9.148705,0,-0.02041,0.00423,-0.01920,-0.01310,0.00719,-0.01083,0.00490,0.00170,-0.67040,0.10062,3.27720
0.004,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.863380,79.882607,100.571060,92.729416,5.530402,-2.222531,5.639318,9.954807,4.886476,10.785299,6.829700,0,4.468756,6.659187,0.000000,12.561079,6.971355,7.534917,8.255164,10.565711,8.256459,6.562010,8.592589,6.167276,9.203736,6.189879,8.848211,7.733862,10.138328,8.277065,9.815920,9.147359,0,-0.00925,0.00474,-0.02144,-0.01253,0.00826,-0.01393,0.00402,0.00258,-0.64975,0.10613,3.27690
0.005,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.555550,80.285767,100.921379,92.889091,5.538182,-2.017595,5.637147,9.952481,4.886340,10.776408,6.831129,0,4.471529,6.650237,0.000000,12.552872,6.969945,7.529051,8.256779,10.558428,8.255432,6.551219,8.592811,6.157428,9.204678,6.182528,8.851181,7.726283,10.137779,8.276231,9.812601,9.146012,0,-0.02189,0.00241,-0.01904,-0.01310,0.01323,-0.01299,0.00556,0.00254,-0.62227,0.08383,3.27663
0.006,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.247719,80.688919,101.271698,93.048767,5.546207,-1.812660,5.634976,9.950155,4.886203,10.767516,6.832558,0,4.474302,6.641285,0.000000,12.544665,6.968534,7.523185,8.258393,10.551145,8.254404,6.540430,8.593033,6.147580,9.205619,6.175177,8.854150,7.718702,10.137232,8.275396,9.809282,9.144666,0,-0.01624,0.00303,-0.02297,-0.01317,0.00157,-0.01251,0.00712,0.00164,-0.60385,0.07792,3.27648
0.007,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.927933,81.090698,101.579285,93.208611,5.554167,-1.617784,5.633182,9.948226,4.886006,10.759034,6.833907,0,4.477316,6.632382,0.000000,12.536482,6.967240,7.518051,8.260139,10.544679,8.253924,6.529198,8.593321,6.136746,9.206552,6.167447,8.856936,7.711472,10.136738,8.274698,9.806833,9.143180,0,-0.02204,0.00467,-0.01929,-0.01461,0.01077,-0.01386,0.00741,0.00247,-0.57668,0.10006,3.27641
0.008,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.576164,81.488785,101.772469,93.368896,5.562008,-1.449836,5.632393,9.947360,4.885644,10.751647,6.835041,0,4.480978,6.623608,0.000000,12.528363,6.966259,7.514876,8.262235,10.540401,8.254910,6.516787,8.593785,6.123274,9.207458,6.158705,8.859229,7.705176,10.136386,8.274364,9.806710,9.141323,0,-0.01966,0.00278,-0.02041,-0.01370,0.00780,-0.01113,0.00646,0.00273,-0.55463,0.11472,3.27656
0.009,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.224388,81.886864,101.965660,93.529190,5.569577,-1.281887,5.631604,9.946494,4.885282,10.744260,6.836175,0,4.484639,6.614833,0.000000,12.520244,6.965279,7.511702,8.264331,10.536122,8.255897,6.504375,8.594251,6.109802,9.208364,6.149962,8.861523,7.698880,10.136035,8.274031,9.806587,9.139466,0,-0.01530,0.00351,-0.02404,-0.01419,0.00909,-0.01423,0.00016,0.00560,-0.53017,0.10738,3.27665
0.010,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.872620,82.284950,102.158852,93.689476,5.576648,-1.113939,5.630815,9.945628,4.884920,10.736872,6.837309,0,4.488300,6.606059,0.000000,12.512125,6.964298,7.508527,8.266427,10.531844,8.256883,6.491963,8.594715,6.096331,9.209270,6.141220,8.863815,7.692585,10.135683,8.273697,9.806464,9.137609,0,-0.01853,0.00317,-0.02479,-0.01265,0.00707,-0.01255,0.01026,-0.00065,-0.48261,0.08813,3.27658
0.011,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.551590,82.652740,102.345413,93.879379,5.583282,-0.959357,5.630082,9.945331,4.884367,10.729823,6.838420,0,4.491930,6.597342,0.000000,12.504079,6.963499,7.506071,8.268631,10.527779,8.258463,6.480692,8.596430,6.084480,9.211061,6.133838,8.866144,7.686872,10.135269,8.272791,9.806328,9.135579,0,-0.01860,0.00395,-0.02307,-0.01507,0.00706,-0.01132,0.00046,0.00153,-0.46021,0.10648,3.27654
0.012,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.312836,82.939445,102.514236,94.148544,5.589115,-0.840550,5.629497,9.946555,4.883302,10.723679,6.839469,0,4.495475,6.588779,0.000000,12.496227,6.963187,7.505538,8.271122,10.524283,8.261634,6.472474,8.601491,6.076969,9.215217,6.130096,8.868568,7.682719,10.134686,8.270353,9.806157,9.133087,0,-0.01550,0.00333,-0.01635,-0.01331,0.00615,-0.01239,-0.00037,0.00134,-0.42939,0.11476,3.27662
0.013,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.074081,83.226158,102.683060,94.417709,5.594550,-0.721743,5.628912,9.947780,4.882236,10.717534,6.840518,0,4.499020,6.580216,0.000000,12.488377,6.962874,7.505006,8.273613,10.520788,8.264805,6.464256,8.606551,6.069458,9.219373,6.126355,8.870993,7.678566,10.134102,8.267916,9.805986,9.130595,0,-0.01775,0.00284,-0.01470,-0.01313,0.01012,-0.01242,0.00894,0.00283,-0.40766,0.10577,3.27669
0.014,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.835327,83.512871,102.851883,94.686874,5.599259,-0.602936,5.628328,9.949003,4.881171,10.711390,6.841568,0,4.502565,6.571653,0.000000,12.480525,6.962563,7.504474,8.276104,10.517293,8.267976,6.456038,8.611611,6.061946,9.223529,6.122613,8.873417,7.674413,10.133518,8.265479,9.805816,9.128102,0,-0.01759,0.00313,-0.01803,-0.01375,0.00656,-0.01282,0.00395,0.00220,-0.38163,0.09039,3.27677
0.015,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.619324,83.762749,103.082100,94.972015,5.603646,-0.497982,5.627890,9.951266,4.879351,10.706659,6.842864,0,4.505917,6.563159,0.000000,12.472643,6.962393,7.505317,8.279016,10.515079,8.271288,6.448400,8.616200,6.054676,9.227807,6.118876,8.876666,7.669810,10.134077,8.263824,9.807020,9.126416,0,-0.01742,0.00300,-0.02001,-0.01293,0.00724,-0.01241,0.00403,0.00281,-0.35707,0.08794,3.27676
0.016,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.464203,83.914032,103.476646,95.299896,5.607446,-0.430105,5.627843,9.956308,4.875511,10.705714,6.844821,0,4.508751,6.554851,0.000000,12.464678,6.962606,7.509841,8.283056,10.516296,8.274977,6.442320,8.619527,6.048050,9.232412,6.115150,8.882123,7.664000,10.137695,8.264268,9.811905,9.126887,0,-0.01796,0.00418,-0.01995,-0.01389,0.00947,-0.01249,0.00533,0.00066,-0.32618,0.10095,3.27654
0.017,0.000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.309082,84.065315,103.871193,95.627785,5.610901,-0.362227,5.627798,9.961349,4.871671,10.704769,6.846778,0,4.511586,6.546543,0.000000,12.456713,6.962819,7.514365,8.287096,10.517514,8.278666,6.436239,8.622853,6.041425,9.237018,6.111424,8.887581,7.658191,10.141314,8.264710,9.816790,9.127358,0,-0.01887,0.00328,-0.01983,-0.01417,0.01184,-0.01406,0.00732,0.00373,-0.27906,0.09034,3.27651
0.018,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.153961,84.216599,104.265739,95.955666,5.613728,-0.294350,5.627751,9.966392,4.867831,10.703824,6.848735,0,4.514421,6.538234,0.000000,12.448748,6.963032,7.518888,8.291135,10.518731,8.282353,6.430158,8.626180,6.034799,9.241623,6.107698,8.893038,7.652381,10.144932,8.265153,9.821673,9.127830,0,-0.02319,0.00366,-0.01906,-0.01137,0.00805,-0.00712,0.00606,0.00063,-0.25626,0.07907,3.27704
0.019,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.978821,84.335899,104.687180,96.315742,5.616202,-0.234971,5.627659,9.970716,4.860987,10.706761,6.850643,0,4.517059,6.529800,0.000000,12.440761,6.963233,7.524963,8.294648,10.525949,8.284161,6.424770,8.628129,6.027910,9.244908,6.102450,8.898595,7.645863,10.148640,8.264749,9.825974,9.127686,0,-0.02454,0.00151,-0.02118,-0.01150,0.01188,-0.01680,0.00232,0.00319,-0.23007,0.09666,3.27735
0.020,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.750107,84.369576,105.180588,96.761978,5.618032,-0.198336,5.627443,9.973122,4.846103,10.720091,6.852422,0,4.519174,6.521029,0.000000,12.432716,6.963399,7.535187,8.296752,10.549229,8.280931,6.421235,8.626392,6.020313,9.244664,6.093126,8.904417,7.637451,10.152588,8.262075,9.828709,9.125894,0,-0.01671,0.00307,-0.01992,-0.01307,0.00922,-0.01021,0.00412,0.00323,-0.20381,0.10884,3.27705
0.021,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,123.521385,84.403252,105.673996,97.208206,5.619695,-0.161702,5.627226,9.975526,4.831219,10.733421,6.854200,0,4.521289,6.512259,0.000000,12.424671,6.963566,7.545412,8.298857,10.572508,8.277702,6.417700,8.624657,6.012717,9.244419,6.083802,8.910239,7.629039,10.156537,8.259402,9.831444,9.124102,0,-0.01847,0.00203,-0.02133,-0.01249,0.00564,-0.01285,0.00631,0.00280,-0.17906,0.10770,3.27689
0.022,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.292671,84.436928,106.167404,97.654442,5.621053,-0.125067,5.627010,9.977931,4.816335,10.746751,6.855978,0,4.523404,6.503488,0.000000,12.416626,6.963733,7.555635,8.300961,10.595787,8.274473,6.414165,8.622920,6.005120,9.244175,6.074479,8.916061,7.620626,10.160485,8.256729,9.834179,9.122311,0,-0.01743,0.00249,-0.02098,-0.01273,0.00556,-0.00938,0.00155,0.00320,-0.15290,0.09660,3.27711
0.023,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.076050,84.438957,106.663643,98.138298,5.622437,-0.089654,5.626818,9.980891,4.798612,10.764856,6.857770,0,4.525640,6.494596,0.000000,12.408568,6.963437,7.567219,8.292631,10.626426,8.273475,6.410984,8.622908,5.997143,9.244986,6.065177,8.921636,7.611860,10.164190,8.254978,9.837339,9.120840,0,-0.01701,0.00377,-0.02143,-0.01389,0.00992,-0.01260,0.00620,0.00134,-0.12687,0.11104,3.27720
0.024,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.891792,84.356316,107.167480,98.722847,5.623869,-0.057510,5.626695,9.985337,4.773293,10.795744,6.859601,0,4.528201,6.485379,0.000000,12.400475,6.961901,7.582441,8.256379,10.676761,8.278444,6.408748,8.627509,5.988146,9.248620,6.055937,8.926543,7.602147,10.167246,8.255694,9.841639,9.120229,0,-0.01806,0.00372,-0.02000,-0.01449,0.00797,-0.01177,0.00534,0.00175,-0.07877,0.12075,3.27690
