"Time","v1 xCoMy","v3 Left CoP","28a CoMy (cm)","v2 Right CoP","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,5.771978,4.545613,5.761282,6.498788,0.206962,14.104049,6.579040,11.593099,4.957346,13.265290,6.418536,16.051731,4.133881,16.420616,119.336563,12.724390,30.893566,143.310013,8.690750,13.320724,9.315002,15.686131,9.958370,17.027796,10.439530,17.059084,9.879742,17.147573,11.272077,15.983011,11.478731,15.115562
0.001,5.773174,4.550273,5.762723,6.490762,0.202222,14.101253,6.564874,11.569496,4.958238,13.271187,6.416650,16.056099,4.142309,16.393604,121.039017,15.377837,29.993015,143.193787,8.689732,13.328270,9.318114,15.690008,9.956830,17.012665,10.437868,17.057020,9.884995,17.155333,11.279320,15.980371,11.481735,15.108676
0.002,5.774370,4.554934,5.764165,6.482736,0.197481,14.098456,6.550708,11.545893,4.959129,13.277084,6.414763,16.060469,4.150738,16.366590,122.741478,18.031284,29.092464,143.077560,8.688713,13.335816,9.321226,15.693885,9.955290,16.997532,10.436207,17.054956,9.890249,17.163092,11.286562,15.977733,11.484740,15.101789
0.003,5.775567,4.559594,5.765606,6.474710,0.192741,14.095660,6.536542,11.522290,4.960021,13.282982,6.412877,16.064838,4.159167,16.339577,124.443939,20.684732,28.191912,142.961334,8.687695,13.343363,9.324339,15.697762,9.953751,16.982399,10.434546,17.052893,9.895503,17.170851,11.293805,15.975094,11.487745,15.094903
0.004,5.776710,4.565276,5.766987,6.470894,0.188130,14.091161,6.528532,11.497739,4.960021,13.293328,6.413257,16.081360,4.170530,16.310085,137.001068,25.365152,26.187651,143.418762,8.686211,13.352955,9.343123,15.941101,9.927085,16.951679,10.420504,17.046427,9.895388,17.183487,11.297682,15.967399,11.492697,15.087501
0.005,5.777852,4.570957,5.768368,6.467079,0.183519,14.086660,6.520522,11.473187,4.960021,13.303675,6.413636,16.097881,4.181894,16.280592,149.558212,30.045570,24.183388,143.876190,8.684727,13.362547,9.361908,16.184439,9.900419,16.920959,10.406462,17.039961,9.895271,17.196125,11.301558,15.959703,11.497648,15.080099
0.006,5.778995,4.576639,5.769749,6.463264,0.178908,14.082161,6.512512,11.448636,4.960021,13.314020,6.414015,16.114403,4.193258,16.251099,162.115356,34.725990,22.179127,144.333633,8.683243,13.372138,9.380692,16.427778,9.873753,16.890240,10.392420,17.033495,9.895156,17.208763,11.305434,15.952008,11.502601,15.072697
0.007,5.780138,4.582321,5.771130,6.459448,0.174297,14.077662,6.504501,11.424085,4.960021,13.324367,6.414394,16.130924,4.204621,16.221607,174.672485,39.406410,20.174866,144.791061,8.681759,13.381730,9.399477,16.671116,9.847087,16.859520,10.378378,17.027029,9.895041,17.221399,11.309311,15.944313,11.507552,15.065294
0.008,5.781215,4.584727,5.772444,6.453244,0.169706,14.076696,6.495146,11.406904,4.960021,13.334173,6.411343,16.138885,4.209434,16.187386,166.284851,49.684929,17.597870,146.157410,8.682407,13.393802,9.384430,16.461246,9.833838,16.827648,10.346349,17.004829,9.914520,17.254154,11.313052,15.942445,11.516143,15.063750
0.009,5.782291,4.587133,5.773758,6.447041,0.165115,14.075731,6.485790,11.389724,4.960021,13.343979,6.408292,16.146847,4.214246,16.153164,157.897202,59.963448,15.020874,147.523743,8.683056,13.405874,9.369383,16.251377,9.820587,16.795776,10.314320,16.982628,9.933999,17.286909,11.316793,15.940577,11.524733,15.062206
0.010,5.783368,4.589540,5.775073,6.440837,0.160524,14.074765,6.476434,11.372543,4.960021,13.353786,6.405240,16.154806,4.219059,16.118940,149.509552,70.241966,12.443877,148.890091,8.683703,13.417946,9.354335,16.041506,9.807337,16.763906,10.282291,16.960428,9.953478,17.319664,11.320536,15.938708,11.533323,15.060663
0.011,5.784445,4.591946,5.776387,6.434633,0.155933,14.073800,6.467078,11.355363,4.960021,13.363592,6.402189,16.162767,4.223871,16.084719,141.121918,80.520485,9.866881,150.256439,8.684352,13.430017,9.339288,15.831636,9.794087,16.732035,10.250262,16.938229,9.972958,17.352419,11.324277,15.936840,11.541914,15.059119
