"Time","28a CoMy (cm)","v1 xCoMy","v3 Left CoP","v2 Right CoP","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,6.799107,6.812056,5.489582,7.344881,0.238574,4.459715,7.288502,1.782107,5.953510,3.273342,7.401259,6.412746,5.025654,7.984639,152.506775,4.663393,7.459973,145.145508,8.290884,2.813684,8.627315,7.756933,9.211673,7.713857,9.720646,7.398911,9.165257,7.807884,10.898592,6.143992,11.081123,5.231975
0.001,6.799491,6.812381,5.490678,7.344851,0.237495,4.458471,7.289059,1.767762,5.951489,3.281406,7.400644,6.422512,5.029867,7.957326,152.877625,4.782445,7.912765,144.984650,8.292156,2.825851,8.647840,7.734592,9.229609,7.694519,9.730552,7.392131,9.170820,7.796382,10.903640,6.137380,11.084291,5.227770
0.002,6.799875,6.812707,5.491775,7.344823,0.236416,4.457228,7.289616,1.753416,5.949468,3.289471,7.400030,6.432277,5.034081,7.930014,153.248489,4.901497,8.365556,144.823807,8.293428,2.838018,8.668367,7.712252,9.247543,7.675181,9.740458,7.385351,9.176383,7.784880,10.908688,6.130767,11.087458,5.223565
0.003,6.800259,6.813033,5.492870,7.344794,0.235337,4.455985,7.290172,1.739071,5.947447,3.297536,7.399416,6.442042,5.038293,7.902701,153.619339,5.020549,8.818347,144.662964,8.294702,2.850185,8.688893,7.689911,9.265479,7.655843,9.750363,7.378572,9.181946,7.773378,10.913736,6.124155,11.090626,5.219359
0.004,6.800791,6.813485,5.491644,7.347346,0.233875,4.455678,7.292511,1.722487,5.949705,3.309430,7.402182,6.455862,5.033583,7.876049,155.577576,6.502583,9.215487,144.619080,8.296458,2.861904,8.699829,7.663589,9.273623,7.629622,9.763134,7.370936,9.191157,7.761289,10.919868,6.119131,11.096907,5.215964
0.005,6.801323,6.813937,5.490417,7.349899,0.232413,4.455372,7.294851,1.705904,5.951962,3.321325,7.404947,6.469681,5.028872,7.849397,157.535828,7.984617,9.612628,144.575180,8.298214,2.873622,8.710764,7.637267,9.281765,7.603400,9.775905,7.363301,9.200369,7.749200,10.926001,6.114107,11.103187,5.212568
0.006,6.801855,6.814390,5.489192,7.352451,0.230951,4.455066,7.297190,1.689321,5.954220,3.333220,7.407712,6.483500,5.024162,7.822744,159.494064,9.466652,10.009768,144.531281,8.299971,2.885341,8.721700,7.610945,9.289908,7.577178,9.788675,7.355665,9.209581,7.737111,10.932132,6.109084,11.109467,5.209173
0.007,6.802386,6.814842,5.487965,7.355003,0.229489,4.454760,7.299530,1.672738,5.956478,3.345114,7.410478,6.497320,5.019452,7.796092,161.452301,10.948686,10.406909,144.487396,8.301727,2.897060,8.732635,7.584623,9.298052,7.550957,9.801446,7.348030,9.218793,7.725021,10.938264,6.104060,11.115747,5.205777
0.008,6.802949,6.815302,5.483438,7.358345,0.227595,4.452378,7.303278,1.664491,5.955188,3.353334,7.413413,6.506413,5.011687,7.772141,163.630478,12.382746,10.772943,144.215424,8.300279,2.908724,8.745266,7.560782,9.309205,7.524246,9.816879,7.338523,9.231771,7.710733,10.943668,6.101161,11.118521,5.199930
0.009,6.803512,6.815763,5.478910,7.361687,0.225700,4.449996,7.307026,1.656244,5.953898,3.361555,7.416348,6.515507,5.003922,7.748190,165.808655,13.816807,11.138979,143.943466,8.298830,2.920389,8.757895,7.536941,9.320358,7.497535,9.832313,7.329016,9.244749,7.696445,10.949074,6.098263,11.121294,5.194083
