"Time","v3 Left CoP","v2 Right CoP","v1 xCoMy","28a CoMy (cm)","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,5.514850,3.911660,4.885670,4.937488,-0.958006,15.828074,3.857709,16.121582,5.062017,18.175705,3.965611,14.950460,5.967682,13.746012,159.709381,64.387291,49.370949,39.075706,8.669773,16.667917,9.058706,15.120247,9.174647,14.589888,9.594215,14.021390,10.930922,16.145535,11.650116,14.171883,11.931949,14.891499
0.001,5.514162,3.908296,4.884189,4.936447,-0.966154,15.828446,3.856338,16.111782,5.061519,18.168686,3.960255,14.972656,5.966805,13.737948,166.673462,50.705456,54.714104,47.196644,8.673124,16.659000,9.173679,15.416422,9.251043,14.872079,9.494628,14.251019,10.640434,16.293661,11.648776,14.172407,11.934701,14.888266
0.002,5.515429,3.908019,4.882676,4.935372,-0.974257,15.825185,3.855903,16.102335,5.058944,18.158672,3.960135,14.975988,5.971913,13.723756,164.927322,51.249134,55.252766,47.910622,8.677042,16.651176,9.159542,15.420517,9.223728,14.880258,9.472465,14.258748,10.618860,16.289997,11.644125,14.170486,11.932667,14.881273
0.003,5.516695,3.907741,4.881162,4.934297,-0.982360,15.821924,3.855468,16.092888,5.056370,18.148659,3.960015,14.979321,5.977021,13.709564,163.181183,51.792809,55.791428,48.624603,8.680961,16.643353,9.145405,15.424612,9.196413,14.888437,9.450300,14.266478,10.597287,16.286335,11.639475,14.168566,11.930633,14.874281
0.004,5.517962,3.907464,4.879648,4.933221,-0.990464,15.818663,3.855033,16.083439,5.053795,18.138643,3.959895,14.982655,5.982129,13.695372,161.435028,52.336487,56.330090,49.338581,8.684879,16.635530,9.131267,15.428706,9.169099,14.896616,9.428137,14.274206,10.575714,16.282673,11.634824,14.166644,11.928598,14.867288
0.005,5.519229,3.907186,4.878135,4.932146,-0.998567,15.815401,3.854598,16.073992,5.051221,18.128630,3.959775,14.985987,5.987237,13.681179,159.688889,52.880165,56.868752,50.052559,8.688797,16.627707,9.117129,15.432801,9.141784,14.904795,9.405973,14.281935,10.554140,16.279009,11.630173,14.164723,11.926564,14.860295
0.006,5.519244,3.909162,4.876537,4.930976,-1.006467,15.813004,3.855865,16.066542,5.050035,18.119202,3.962459,14.990563,5.988453,13.669829,159.216248,53.667496,57.368797,50.634438,8.690601,16.618481,9.080348,15.443032,9.105552,14.929995,9.386892,14.288298,10.535281,16.272903,11.625240,14.162244,11.924392,14.856092
0.007,5.519258,3.911138,4.874940,4.929806,-1.014368,15.810606,3.857133,16.059093,5.048848,18.109776,3.965143,14.995140,5.989669,13.658480,158.743607,54.454826,57.868839,51.216312,8.692405,16.609255,9.043567,15.453264,9.069319,14.955194,9.367810,14.294662,10.516422,16.266798,11.620308,14.159764,11.922219,14.851889
0.008,5.519273,3.913114,4.873342,4.928635,-1.022268,15.808208,3.858402,16.051643,5.047662,18.100348,3.967827,14.999718,5.990885,13.647129,158.270966,55.242161,58.368881,51.798187,8.694208,16.600029,9.006785,15.463495,9.033087,14.980393,9.348728,14.301025,10.497563,16.260693,11.615376,14.157285,11.920047,14.847685
0.009,5.519288,3.915090,4.871745,4.927465,-1.030168,15.805811,3.859669,16.044193,5.046475,18.090919,3.970511,15.004294,5.992101,13.635779,157.798325,56.029491,58.868927,52.380066,8.696012,16.590803,8.970004,15.473726,8.996855,15.005593,9.329647,14.307388,10.478704,16.254587,11.610444,14.154805,11.917874,14.843482
0.010,5.518178,3.917811,4.870130,4.926261,-1.037764,15.802348,3.862199,16.040104,5.045841,18.079615,3.973422,15.003865,5.990515,13.626273,157.544174,56.985424,59.473061,53.276436,8.697016,16.584969,8.935194,15.475647,8.966009,15.021688,9.309072,14.330410,10.444450,16.251419,11.602978,14.152386,11.914611,14.839693
0.011,5.517068,3.920531,4.868515,4.925057,-1.045361,15.798885,3.864729,16.036015,5.045207,18.068310,3.976333,15.003436,5.988929,13.616767,157.290009,57.941353,60.077194,54.172810,8.698019,16.579132,8.900385,15.477568,8.935164,15.037781,9.288498,14.353432,10.410196,16.248253,11.595512,14.149967,11.911348,14.835903
0.012,5.515957,3.923251,4.866900,4.923853,-1.052957,15.795424,3.867259,16.031923,5.044572,18.057003,3.979243,15.003007,5.987342,13.607261,157.035858,58.897285,60.681332,55.069183,8.699023,16.573296,8.865576,15.479489,8.904320,15.053875,9.267924,14.376454,10.375942,16.245085,11.588047,14.147548,11.908085,14.832113
0.013,5.514847,3.925972,4.865285,4.922649,-1.060553,15.791961,3.869789,16.027834,5.043938,18.045698,3.982154,15.002578,5.985756,13.597754,156.781708,59.853218,61.285465,55.965553,8.700027,16.567461,8.830766,15.481410,8.873474,15.069969,9.247350,14.399476,10.341688,16.241917,11.580581,14.145128,11.904821,14.828324
0.014,5.514325,3.926732,4.863496,4.921240,-1.067575,15.792216,3.870675,16.019930,5.043803,18.036251,3.982790,15.000018,5.984847,13.588799,156.685486,61.126831,61.707619,56.740334,8.699686,16.558765,8.799531,15.470894,8.850348,15.057545,9.227375,14.410173,10.316960,16.236267,11.568905,14.142992,11.899499,14.824970
0.015,5.513803,3.927493,4.861707,4.919830,-1.074597,15.792472,3.871560,16.012024,5.043668,18.026802,3.983425,14.997458,5.983938,13.579843,156.589264,62.400440,62.129768,57.515110,8.699345,16.550070,8.768295,15.460377,8.827221,15.045119,9.207399,14.420872,10.292233,16.230616,11.557230,14.140856,11.894176,14.821616
0.016,5.513281,3.928253,4.859918,4.918421,-1.081618,15.792727,3.872446,16.004120,5.043533,18.017353,3.984061,14.994898,5.983029,13.570887,156.493042,63.674049,62.551922,58.289886,8.699003,16.541374,8.737061,15.449860,8.804095,15.032694,9.187425,14.431570,10.267504,16.224964,11.545554,14.138720,11.888853,14.818262
0.017,5.512759,3.929014,4.858129,4.917012,-1.088640,15.792983,3.873332,15.996216,5.043398,18.007906,3.984696,14.992338,5.982120,13.561931,156.396820,64.947662,62.974075,59.064667,8.698663,16.532679,8.705826,15.439343,8.780969,15.020269,9.167450,14.442267,10.242776,16.219315,11.533878,14.136583,11.883531,14.814908
0.018,5.513011,3.929150,4.856229,4.915462,-1.095095,15.794962,3.876813,15.989817,5.044405,18.000641,3.981487,14.987860,5.981616,13.554057,155.659470,65.426521,62.789146,58.945847,8.701113,16.527378,8.703653,15.422647,8.776568,15.003736,9.165417,14.431700,10.249627,16.220957,11.529216,14.139204,11.879242,14.815363
0.019,5.513263,3.929286,4.854330,4.913912,-1.101549,15.796942,3.880294,15.983418,5.045413,17.993376,3.978278,14.983381,5.981112,13.546184,154.922119,65.905380,62.604214,58.827030,8.703564,16.522076,8.701482,15.405952,8.772169,14.987202,9.163384,14.421131,10.256477,16.222599,11.524553,14.141825,11.874953,14.815817
0.020,5.513515,3.929422,4.852431,4.912362,-1.108004,15.798922,3.883775,15.977018,5.046421,17.986111,3.975069,14.978902,5.980609,13.538310,154.184769,66.384239,62.419281,58.708214,8.706015,16.516773,8.699310,15.389257,8.767769,14.970668,9.161352,14.410563,10.263329,16.224243,11.519890,14.144445,11.870665,14.816271
0.021,5.513767,3.929558,4.850532,4.910811,-1.114459,15.800900,3.887255,15.970619,5.047429,17.978846,3.971860,14.974423,5.980105,13.530437,153.447418,66.863098,62.234352,58.589394,8.708465,16.511473,8.697138,15.372561,8.763369,14.954134,9.159319,14.399995,10.270180,16.225885,11.515227,14.147066,11.866376,14.816726
0.022,5.512803,3.929160,4.848400,4.909001,-1.120410,15.796994,3.888304,15.960107,5.047616,17.970249,3.970016,14.963617,5.977989,13.523342,153.457108,66.863953,62.030430,58.385174,8.709296,16.502535,8.694622,15.360178,8.760859,14.943206,9.156914,14.389380,10.272507,16.224628,11.508985,14.145207,11.859167,14.813643
0.023,5.511838,3.928762,4.846268,4.907191,-1.126361,15.793089,3.889353,15.949594,5.047805,17.961655,3.968172,14.952810,5.975872,13.516249,153.466797,66.864807,61.826508,58.180954,8.710127,16.493599,8.692106,15.347794,8.758350,14.932278,9.154510,14.378765,10.274833,16.223372,11.502742,14.143349,11.851959,14.810560
0.024,5.510874,3.928364,4.844135,4.905381,-1.132312,15.789183,3.890401,15.939081,5.047993,17.953060,3.966327,14.942004,5.973756,13.509155,153.476486,66.865654,61.622589,57.976734,8.710958,16.484661,8.689590,15.335409,8.755842,14.921350,9.152105,14.368150,10.277159,16.222115,11.496499,14.141489,11.844750,14.807477
0.025,5.509910,3.927967,4.842003,4.903571,-1.138263,15.785276,3.891450,15.928569,5.048181,17.944464,3.964483,14.931198,5.971640,13.502061,153.486176,66.866508,61.418667,57.772514,8.711790,16.475723,8.687074,15.323026,8.753333,14.910422,9.149700,14.357534,10.279486,16.220858,11.490256,14.139630,11.837542,14.804394
0.026,5.509742,3.928037,4.839914,4.901757,-1.143375,15.784864,3.892388,15.922527,5.048024,17.936815,3.963687,14.925318,5.971459,13.494399,154.141556,66.833542,61.268566,57.700298,8.713268,16.470884,8.683185,15.309299,8.753208,14.900381,9.148684,14.347755,10.284060,16.219147,11.486496,14.138519,11.835440,14.803802
0.027,5.509573,3.928108,4.837824,4.899944,-1.148488,15.784451,3.893326,15.916487,5.047868,17.929167,3.962890,14.919437,5.971279,13.486736,154.796936,66.800575,61.118469,57.628082,8.714746,16.466045,8.679296,15.295570,8.753082,14.890339,9.147666,14.337976,10.288633,16.217438,11.482736,14.137409,11.833338,14.803209
0.028,5.509405,3.928179,4.835734,4.898131,-1.153601,15.784039,3.894264,15.910445,5.047711,17.921518,3.962094,14.913557,5.971099,13.479074,155.452332,66.767609,60.968369,57.555862,8.716223,16.461206,8.675407,15.281843,8.752957,14.880298,9.146648,14.328197,10.293208,16.215727,11.478975,14.136298,11.831235,14.802616
0.029,5.509237,3.928249,4.833645,4.896318,-1.158714,15.783627,3.895201,15.904404,5.047555,17.913870,3.961298,14.907677,5.970919,13.471413,156.107712,66.734642,60.818268,57.483646,8.717701,16.456367,8.671518,15.268116,8.752832,14.870256,9.145632,14.318418,10.297782,16.214016,11.475215,14.135187,11.829133,14.802024
0.030,5.510253,3.928360,4.831359,4.894266,-1.163033,15.781643,3.897156,15.903521,5.046610,17.904421,3.959563,14.892916,5.973897,13.461886,156.660431,66.609283,60.574940,57.261112,8.720025,16.447687,8.668462,15.256857,8.752174,14.860787,9.146953,14.302664,10.308779,16.211081,11.471862,14.133919,11.827620,14.802481
0.031,5.511270,3.928469,4.829073,4.892214,-1.167352,15.779659,3.899110,15.902637,5.045665,17.894970,3.957829,14.878155,5.976874,13.452360,157.213135,66.483932,60.331612,57.038578,8.722349,16.439007,8.665405,15.245598,8.751517,14.851318,9.148273,14.286911,10.319776,16.208145,11.468508,14.132650,11.826107,14.802937
0.032,5.512286,3.928579,4.826787,4.890162,-1.171671,15.777676,3.901064,15.901753,5.044721,17.885521,3.956095,14.863395,5.979853,13.442835,157.765839,66.358582,60.088284,56.816044,8.724674,16.430328,8.662350,15.234339,8.750860,14.841849,9.149594,14.271157,10.330772,16.205210,11.465155,14.131381,11.824594,14.803392
0.033,5.513303,3.928689,4.824502,4.888109,-1.175990,15.775692,3.903018,15.900870,5.043776,17.876072,3.954360,14.848634,5.982831,13.433309,158.318558,66.233223,59.844955,56.593510,8.726998,16.421648,8.659293,15.223080,8.750202,14.832380,9.150915,14.255404,10.341769,16.202274,11.461802,14.130113,11.823081,14.803849
