"Time","v2 Right CoP","v1 xCoMy","v3 Left CoP","28a CoMy (cm)","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.000,5.177320,6.266481,6.600631,6.318470,-0.956209,9.576825,4.644604,10.500565,6.106952,10.729179,5.710037,8.267367,7.094311,5.541255,142.699783,91.869225,54.523216,41.530476,9.476418,10.532288,8.822835,8.369978,8.981775,7.937946,9.570531,7.563009,11.078055,9.767560,11.785704,7.839949,12.144009,8.755530
0.001,5.175320,6.264478,6.610099,6.316382,-0.954638,9.581252,4.640571,10.510710,6.105509,10.720734,5.710069,8.257249,7.114690,5.557106,142.773987,92.325653,54.444103,41.525063,9.465633,10.545313,8.817316,8.361545,8.979332,7.932593,9.573477,7.560361,11.084671,9.767355,11.787157,7.841953,12.147345,8.757208
0.002,5.173320,6.262475,6.619566,6.314294,-0.953068,9.585679,4.636539,10.520854,6.104065,10.712287,5.710101,8.247130,7.135068,5.572957,142.848175,92.782074,54.364990,41.519646,9.454847,10.558338,8.811798,8.353111,8.976888,7.927240,9.576422,7.557712,11.091286,9.767151,11.788610,7.843957,12.150681,8.758886
0.003,5.171319,6.260472,6.629034,6.312206,-0.951498,9.590106,4.632505,10.530998,6.102621,10.703840,5.710134,8.237012,7.155447,5.588808,142.922379,93.238495,54.285873,41.514233,9.444062,10.571362,8.806280,8.344678,8.974443,7.921887,9.579368,7.555064,11.097901,9.766946,11.790064,7.845962,12.154016,8.760564
0.004,5.172363,6.258232,6.638894,6.309869,-0.949727,9.591288,4.628559,10.543061,6.098924,10.693563,5.716167,8.227921,7.178864,5.627693,142.242645,93.702675,54.077446,41.307049,9.438074,10.614760,8.805407,8.339703,8.972304,7.915846,9.585306,7.551327,11.105202,9.766757,11.790192,7.845842,12.154286,8.761625
0.005,5.173407,6.255992,6.648754,6.307532,-0.947955,9.592469,4.624613,10.555124,6.095227,10.683286,5.722200,8.218828,7.202281,5.666578,141.562897,94.166855,53.869022,41.099861,9.432085,10.658157,8.804533,8.334726,8.970165,7.909805,9.591246,7.547590,11.112501,9.766567,11.790318,7.845722,12.154558,8.762688
0.006,5.174450,6.253751,6.658613,6.305196,-0.946183,9.593651,4.620667,10.567186,6.091530,10.673008,5.728234,8.209737,7.225697,5.705464,140.883148,94.631035,53.660599,40.892677,9.426097,10.701555,8.803659,8.329750,8.968025,7.903765,9.597185,7.543853,11.119802,9.766378,11.790445,7.845603,12.154829,8.763750
0.007,5.175494,6.251511,6.668473,6.302859,-0.944412,9.594832,4.616721,10.579249,6.087833,10.662731,5.734267,8.200645,7.249114,5.744349,140.203415,95.095215,53.452171,40.685493,9.420109,10.744953,8.802786,8.324775,8.965886,7.897724,9.603124,7.540116,11.127102,9.766190,11.790573,7.845483,12.155100,8.764812
0.008,5.172929,6.249180,6.676434,6.300364,-0.941389,9.594832,4.615335,10.598096,6.086786,10.650838,5.730523,8.193861,7.266081,5.770570,139.911346,95.429665,53.456741,40.711819,9.377096,10.778868,8.801700,8.316374,8.964539,7.890312,9.601892,7.537062,11.127893,9.763699,11.789962,7.844448,12.155758,8.764606
0.009,5.170364,6.246849,6.684394,6.297869,-0.938367,9.594832,4.613950,10.616941,6.085739,10.638945,5.726778,8.187077,7.283049,5.796792,139.619263,95.764114,53.461311,40.738144,9.334085,10.812783,8.800613,8.307972,8.963190,7.882900,9.600660,7.534008,11.128685,9.761208,11.789351,7.843413,12.156416,8.764400
0.010,5.167799,6.244518,6.692355,6.295373,-0.935345,9.594832,4.612564,10.635788,6.084692,10.627050,5.723033,8.180291,7.300017,5.823013,139.327194,96.098557,53.465885,40.764473,9.291073,10.846699,8.799526,8.299571,8.961842,7.875488,9.599429,7.530953,11.129478,9.758716,11.788740,7.842379,12.157073,8.764194
0.011,5.165234,6.242187,6.700315,6.292878,-0.932323,9.594832,4.611178,10.654634,6.083645,10.615157,5.719289,8.173507,7.316985,5.849235,139.035126,96.433006,53.470455,40.790798,9.248060,10.880613,8.798440,8.291170,8.960494,7.868076,9.598198,7.527899,11.130269,9.756225,11.788129,7.841344,12.157731,8.763988
0.012,5.162762,6.239757,6.714033,6.290211,-0.927952,9.592571,4.606502,10.670364,6.083160,10.603766,5.719021,8.164502,7.344906,5.889388,139.129868,96.823128,53.294605,40.609039,9.254968,10.888118,8.798440,8.281512,8.962789,7.859069,9.603079,7.522821,11.138692,9.754637,11.788633,7.841710,12.158804,8.765121
